final_site_uid,report_record_number,field_maps_number,field_maps_globalid,source_feature_id,site_origin,table1a_name,table1a_latitude,table1a_longitude,table1b_name,table1b_latitude,table1b_longitude,table1c_name,table1c_latitude,table1c_longitude,table2_name_original,table2_latitude_original,table2_longitude_original,table2_report_basin_original,table2_status_original,table2_field_notes,final_site_name,final_latitude,final_longitude,final_status,final_feature_type,spatial_bulletin118_id,spatial_bulletin118_name,reported_basin,monitoring_performed,laboratory_sample_collected,duplicate_flag,duplicate_of_site_uid,identity_resolution_method,identity_confidence,identity_notes,status_resolution_reason,source_authority,review_status,table1c_to_table2_distance_ft,table1c_to_table2_distance_miles,coordinate_change_category,reported_spatial_basin_match,name_basin_expected,name_spatial_basin_conflict
mojave_fieldcheck_r001,1,33,,,BLM original contract target,06N11E30X001S,34.5811,-115.8735,06N11E30X001S,34.5811,-115.8735,06N11E30X001S,34.5811,-115.8735,06N11E30X001S,34.5811,-115.8735,Bristol Valley,not_found,No well,06N11E30X001S,34.5811,-115.8735,not_found,groundwater_well_site,7-008,Bristol Valley,Bristol Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r002,2,34,,,BLM original contract target,06N12E29P001S,34.5757,-115.7514,06N12E29P001S,34.5757,-115.7514,06N12E29P001S,34.5757,-115.7514,06N12E29P001S,34.5757,-115.7514,Bristol Valley,not_found,No well,06N12E29P001S,34.5757,-115.7514,not_found,groundwater_well_site,7-008,Bristol Valley,Bristol Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r003,3,35,,,BLM original contract target,06N12E31A001S,34.5721,-115.7606,06N12E31A001S,34.5721,-115.7606,06N12E31A001S,34.5721,-115.7606,06N12E31A001S,34.5721,-115.7606,Bristol Valley,not_found,No well,06N12E31A001S,34.5721,-115.7606,not_found,groundwater_well_site,7-008,Bristol Valley,Bristol Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r004,4,111,,,BLM original contract target,DH-6A,34.49707,-115.751462,DH-6A,34.49707,-115.75146,DH-6A,34.49707,-115.751462,DH-6A,34.49707,-115.751462,Bristol Valley,present,"Well located on National Chloride lease area, well locked, 8"" stovepipe",DH-6A,34.49707,-115.751462,present,groundwater_well_site,7-008,Bristol Valley,Bristol Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r005,5,0,,,BLM original contract target,04N12E06R001S,34.4588,-115.7563,04N12E06R001S,34.4588,-115.7563,04N12E06R001S,34.4588,-115.7563,04N12E06R001S,34.4588,-115.7563,Bristol Valley,unknown,"Reported well location is remote and inaccessible, unverified",04N12E06R001S,34.4588,-115.7563,unknown,groundwater_well_site,7-008,Bristol Valley,Bristol Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r006,6,62,,,BLM original contract target,G-4,34.51664,-115.668092,G-4,34.51664,-115.66809,G-4,34.51664,-115.668092,G-4,34.51664,-115.668092,Bristol Valley,present,"13"" steel casing with power panel",G-4,34.51664,-115.668092,present,groundwater_well_site,7-008,Bristol Valley,Bristol Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r007,7,61,,,BLM original contract target,,34.51345,-115.651242,,34.51345,-115.65124,,34.51345,-115.651242,EW-3 (Tetra),34.513477,-115.651255,Bristol Valley,present,"18"" PVC outer, 3"" inner, production well, appears active, locked, sampling thru sample port when pump is active",EW-3 (Tetra),34.513477,-115.651255,present,groundwater_well_site,7-008,Bristol Valley,Bristol Valley,True,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,10.596836160574483,0.0020069765455633494,minor_field_refinement_le_500ft,True,,False
mojave_fieldcheck_r008,8,37,,,BLM original contract target,,34.53007,-115.636679,,34.53007,-115.63668,,34.53007,-115.636679,,34.53007,-115.636679,Bristol Valley,present,"8"" steel, pump in well",,34.53007,-115.636679,present,groundwater_well_site,7-008,Bristol Valley,Bristol Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r009,9,56,,,BLM original contract target,06N12E35F001S,34.5686,-115.7042,06N12E35F001S,34.5686,-115.7042,06N12E35F001S,34.5686,-115.7042,06N12E35F001S,34.5686,-115.7042,Bristol Valley,not_found,No well,06N12E35F001S,34.5686,-115.7042,not_found,groundwater_well_site,7-008,Bristol Valley,Bristol Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
mojave_fieldcheck_r010,10,55,,,BLM original contract target,06N13E32M001S,34.5649,-115.6495,06N13E32M001S,34.5649,-115.6495,06N13E32M001S,34.5649,-115.6495,06N13E32M001S,34.5649,-115.6495,Bristol Valley,not_found,No well,06N13E32M001S,34.5649,-115.6495,not_found,groundwater_well_site,7-008,Bristol Valley,Bristol Valley,False,False,False,,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,,Table 2 field result retained,Contractor Table 2 final coordinates/status; Bulletin 118 v6.2 spatial basin; monitoring workbook for measurements/feature type,ACCEPTED,0.0,0.0,unchanged_or_rounding_le_1ft,True,,False
