final_site_uid,current_brim_record_identifier,report_record_number,field_maps_number,action,old_name,new_name,name_changed,old_latitude,new_latitude,latitude_changed,old_longitude,new_longitude,longitude_changed,coordinate_distance_m,old_status,new_status,status_changed,old_report_basin,new_report_basin,report_basin_changed,spatial_bulletin118_name,old_notes,new_notes,notes_changed,match_key_used,resolution_method,confidence,reason,source_file,source_sheet,source_record_reference
mojave_fieldcheck_r001,mojave2025_1,1,33,KEEP,06N11E30X001S,06N11E30X001S,False,34.5811,34.5811,False,-115.8735,-115.8735,False,0.0,not_found,not_found,False,Bristol Valley,Bristol Valley,False,Bristol Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 1
mojave_fieldcheck_r002,mojave2025_2,2,34,KEEP,06N12E29P001S,06N12E29P001S,False,34.5757,34.5757,False,-115.7514,-115.7514,False,0.0,not_found,not_found,False,Bristol Valley,Bristol Valley,False,Bristol Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 2
mojave_fieldcheck_r003,mojave2025_3,3,35,KEEP,06N12E31A001S,06N12E31A001S,False,34.5721,34.5721,False,-115.7606,-115.7606,False,0.0,not_found,not_found,False,Bristol Valley,Bristol Valley,False,Bristol Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 3
mojave_fieldcheck_r004,mojave2025_4,4,111,KEEP,DH-6A,DH-6A,False,34.49707,34.49707,False,-115.751462,-115.751462,False,0.0,present,present,False,Bristol Valley,Bristol Valley,False,Bristol Valley,"Well located on National Chloride lease area; well locked; 8"" stovepipe","Well located on National Chloride lease area, well locked, 8"" stovepipe",False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 4
mojave_fieldcheck_r005,mojave2025_5,5,0,UPDATE,04N12E06R001S,04N12E06R001S,False,34.4588,34.4588,False,-115.7563,-115.7563,False,0.0,present,unknown,True,Bristol Valley,Bristol Valley,False,Bristol Valley,Well location is remote and inaccessible; unverified,"Reported well location is remote and inaccessible, unverified",True,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,one or more reconciled attributes differ from current BRIM,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 5
mojave_fieldcheck_r006,mojave2025_6,6,62,KEEP,G-4,G-4,False,34.51664,34.51664,False,-115.668092,-115.668092,False,0.0,present,present,False,Bristol Valley,Bristol Valley,False,Bristol Valley,"13"" steel casing with power panel","13"" steel casing with power panel",False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 6
mojave_fieldcheck_r007,mojave2025_7,7,61,UPDATE,Field Maps #61,EW-3 (Tetra),True,34.513477,34.513477,False,-115.651255,-115.651255,False,0.0,present,present,False,Bristol Valley,Bristol Valley,False,Bristol Valley,"18"" PVC outer; 3"" inner; production well; appears active; locked; sampling thru sample port when pump is active","18"" PVC outer, 3"" inner, production well, appears active, locked, sampling thru sample port when pump is active",False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,one or more reconciled attributes differ from current BRIM,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 7
mojave_fieldcheck_r008,mojave2025_8,8,37,UPDATE,Field Maps #37,,True,34.53007,34.53007,False,-115.636679,-115.636679,False,0.0,present,present,False,Bristol Valley,Bristol Valley,False,Bristol Valley,"8"" steel","8"" steel, pump in well",True,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,one or more reconciled attributes differ from current BRIM,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 8
mojave_fieldcheck_r009,mojave2025_9,9,56,KEEP,06N12E35F001S,06N12E35F001S,False,34.5686,34.5686,False,-115.7042,-115.7042,False,0.0,not_found,not_found,False,Bristol Valley,Bristol Valley,False,Bristol Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 9
mojave_fieldcheck_r010,mojave2025_10,10,55,KEEP,06N13E32M001S,06N13E32M001S,False,34.5649,34.5649,False,-115.6495,-115.6495,False,0.0,not_found,not_found,False,Bristol Valley,Bristol Valley,False,Bristol Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 10
mojave_fieldcheck_r011,mojave2025_11,11,57,KEEP,05N12E11B001S,05N12E11B001S,False,34.5424,34.5424,False,-115.6905,-115.6905,False,0.0,not_found,not_found,False,Bristol Valley,Bristol Valley,False,Bristol Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 11
mojave_fieldcheck_r012,mojave2025_12,12,48,KEEP,BNSF Well,BNSF Well,False,34.51892,34.51892,False,-115.500881,-115.500881,False,0.0,present,present,False,Bristol Valley,Bristol Valley,False,Bristol Valley,well behind locked gate; appears active and for municipal use,"well behind locked gate, appears active and for municipal use",False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 12
mojave_fieldcheck_r013,mojave2025_13,13,36,UPDATE,Field Maps #36,,True,34.52712,34.52712,False,-115.598226,-115.598226,False,0.0,not_found,not_found,False,Bristol Valley,Bristol Valley,False,Bristol Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,one or more reconciled attributes differ from current BRIM,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 13
mojave_fieldcheck_r014,mojave2025_14,14,51,KEEP,05N14E15L001S,05N14E15L001S,False,34.5207,34.5207,False,-115.5017,-115.5017,False,0.0,not_found,not_found,False,Bristol Valley,Bristol Valley,False,Bristol Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 14
mojave_fieldcheck_r015,mojave2025_15,15,50,KEEP,05N14E15K001S,05N14E15K001S,False,34.5183,34.5183,False,-115.5005,-115.5005,False,0.0,not_found,not_found,False,Bristol Valley,Bristol Valley,False,Bristol Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 15
mojave_fieldcheck_r016,mojave2025_16,16,52,KEEP,06N14E31A001S,06N14E31A001S,False,34.5699,34.5699,False,-115.5492,-115.5492,False,0.0,not_found,not_found,False,Bristol Valley,Bristol Valley,False,Bristol Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 16
mojave_fieldcheck_r017,mojave2025_17,17,59,KEEP,DH-1,DH-1,False,34.47039,34.47039,False,-115.70083,-115.70083,False,0.0,present,present,False,Bristol Valley,Bristol Valley,False,Bristol Valley,well locked; Nat'l Chloride,"well locked, Nat'l Chloride",False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 17
mojave_fieldcheck_r018,mojave2025_18,18,104,KEEP,DH-2,DH-2,False,34.48537,34.48537,False,-115.667632,-115.667632,False,0.0,present,present,False,Bristol Valley,Bristol Valley,False,Bristol Valley,"well locked; on 4x4 pad; 9"" steel; Standard Lithium","well locked, on 4x4 pad, 9"" steel, Standard Lithium",False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 18
mojave_fieldcheck_r019,mojave2025_19,19,60,KEEP,DH-5,DH-5,False,34.48529,34.48529,False,-115.747382,-115.747382,False,0.0,present,present,False,Bristol Valley,Bristol Valley,False,Bristol Valley,"well locked; on 4x4 pad; 9"" steel; Nat'l Chloride","well locked, on 4x4 pad, 9"" steel, Nat'l Chloride",False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 19
mojave_fieldcheck_r020,mojave2025_20,20,58,KEEP,DH-5A,DH-5A,False,34.48535,34.48535,False,-115.747302,-115.747302,False,0.0,present,present,False,Bristol Valley,Bristol Valley,False,Bristol Valley,"well locked; on 4x4 pad; 9"" steel; Nat'l Chloride","well locked, on 4x4 pad, 9"" steel, Nat'l Chloride",False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 20
mojave_fieldcheck_r021,mojave2025_21,21,29,KEEP,Gravel Pit,Gravel Pit,False,34.444,34.444,False,-115.746502,-115.746502,False,0.0,present,present,False,Bristol Valley,Bristol Valley,False,Bristol Valley,"outer 8"" PVC; inner 3"" PVC","outer 8"" PVC, inner 3"" PVC",False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 21
mojave_fieldcheck_r022,mojave2025_22,22,32,KEEP,CA3601097_002_002,CA3601097_002_002,False,34.43512,34.43512,False,-115.70297,-115.70297,False,0.0,not_found,not_found,False,Bristol Valley,Bristol Valley,False,Bristol Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 22
mojave_fieldcheck_r023,mojave2025_23,23,30,KEEP,05N12E32G001S,05N12E32G001S,False,34.4806,34.4806,False,-115.7432,-115.7432,False,0.0,not_found,not_found,False,Bristol Valley,Bristol Valley,False,Bristol Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 23
mojave_fieldcheck_r024,mojave2025_24,24,112,KEEP,04N12E05A001S,04N12E05A001S,False,34.4696,34.4696,False,-115.7388,-115.7388,False,0.0,not_found,not_found,False,Bristol Valley,Bristol Valley,False,Bristol Valley,No well,No well,False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 24
mojave_fieldcheck_r025,mojave2025_25,25,0,KEEP,TT-2,TT-2,False,34.48873,34.48873,False,-115.728582,-115.728582,False,0.0,unknown,unknown,False,Bristol Valley,Bristol Valley,False,Bristol Valley,Well location is remote and inaccessible; unverified,"Well location is remote and inaccessible, unverified",False,coordinate_within_5m,Table 2 name retained; identity/coordinate lineage is coherent,HIGH,current BRIM values agree with reconciled authority,Copy of Tables rev 1 10Jun2026(1).xlsx,Table 2 - Results of Recon,record 25
