external_display_num,display_badge,external_layer_id,current_group_order,current_group,current_theme,current_panel_subgroup_reference,display_name,new_group,new_theme,agency,program,service_type,default_load_mode,min_zoom_current_view,min_zoom_live,large_layer_warning,proposed_group_order,proposed_group,proposed_theme_order,proposed_theme,action_keep_move_delete,paper_notes
1,#1,EXT001,10,Water / groundwater / water quality,Groundwater levels,Groundwater levels,DWR Groundwater Depth Seasonal Contours,GW/SW Data Products,DWR GW,DWR / CNRA,DWR GIS Atlas,map,visual,,8,,,,,,,
2,#2,EXT022,10,Water / groundwater / water quality,Groundwater levels,Groundwater levels,DWR Seasonal Groundwater Depth Contours,GW/SW Data Products,DWR GW,DWR / CNRA,DWR GIS Atlas,map,visual,,8,,,,,,,
3,#3,EXT023,10,Water / groundwater / water quality,Groundwater levels,Groundwater levels,DWR Seasonal Groundwater Depth Points,GW/SW Data Products,DWR GW,DWR / CNRA,DWR GIS Atlas,map,visual,,8,,,,,,,
4,#4,EXT024,10,Water / groundwater / water quality,Groundwater levels,Groundwater levels,DWR Seasonal Groundwater Elevation Contours,GW/SW Data Products,DWR GW,DWR / CNRA,DWR GIS Atlas,map,visual,,8,,,,,,,
5,#5,EXT025,10,Water / groundwater / water quality,Groundwater levels,Groundwater levels,DWR Seasonal Groundwater Elevation Points,GW/SW Data Products,DWR GW,DWR / CNRA,DWR GIS Atlas,map,visual,,8,,,,,,,
6,#6,EXT026,10,Water / groundwater / water quality,Groundwater levels,Groundwater levels,DWR Seasonal Groundwater Level Change Contours,GW/SW Data Products,DWR GW,DWR / CNRA,DWR GIS Atlas,map,visual,,8,,,,,,,
7,#7,EXT027,10,Water / groundwater / water quality,Groundwater levels,Groundwater levels,DWR Seasonal Groundwater Level Change Points,GW/SW Data Products,DWR GW,DWR / CNRA,DWR GIS Atlas,map,visual,,8,,,,,,,
8,#8,EXT050,10,Water / groundwater / water quality,Groundwater levels,Groundwater levels,DWR Recently Measured Groundwater Levels,GW/SW Data Products,DWR GW,DWR / CNRA,California's Groundwater Live,feature,current_view,8,8,Statewide point FeatureServer. Current-view loading is recommended for performance.,,,,,,
9,#9,EXT002,10,Water / groundwater / water quality,Groundwater / SGMA,Groundwater / SGMA,DWR Adjudicated Groundwater Areas,Hydrologic Basins/Admin Bndries,Groundwater,DWR / CNRA,DWR GIS Atlas,map,visual,,,,,,,,,
10,#10,EXT003,10,Water / groundwater / water quality,Groundwater / SGMA,Groundwater / SGMA,DWR Groundwater Sustainability Agencies,Hydrologic Basins/Admin Bndries,Groundwater,DWR / CNRA,DWR GIS Atlas,map,visual,,,,,,,,,
11,#11,EXT004,10,Water / groundwater / water quality,Groundwater / SGMA,Groundwater / SGMA,DWR Groundwater Sustainability Plan Areas,Hydrologic Basins/Admin Bndries,Groundwater,DWR / CNRA,DWR GIS Atlas,map,visual,,,,,,,,,
12,#12,EXT020,10,Water / groundwater / water quality,Groundwater / SGMA,Groundwater / SGMA,DWR Critically Overdrafted Basins,Hydrologic Basins/Admin Bndries,Groundwater,DWR / CNRA,DWR GIS Atlas,map,visual,,,,,,,,,
13,#13,EXT021,10,Water / groundwater / water quality,Groundwater / SGMA,Groundwater / SGMA,DWR SGMA 2019 Basin Prioritization,Hydrologic Basins/Admin Bndries,Groundwater,DWR / CNRA,DWR GIS Atlas,map,visual,,,,,,,,,
14,#14,EXT011,10,Water / groundwater / water quality,Delta / Bay-Delta,Delta / Bay-Delta,DWR Delta Primary/Secondary Zones,Hydrologic Basins/Admin Bndries,Surface water,DWR / CNRA,DWR GIS Atlas,map,visual,,,,,,,,,
15,#15,EXT013,10,Water / groundwater / water quality,Delta / Bay-Delta,Delta / Bay-Delta,DWR Legal Delta Boundary,Hydrologic Basins/Admin Bndries,Surface water,DWR / CNRA,DWR GIS Atlas,map,visual,,,,,,,,,
16,#16,EXT014,10,Water / groundwater / water quality,Delta / Bay-Delta,Delta / Bay-Delta,DWR Suisun Marsh Boundary,Hydrologic Basins/Admin Bndries,Surface water,DWR / CNRA,DWR GIS Atlas,map,visual,,,,,,,,,
