acec_id,component_id,boundary_represents,designation_applies_to,surface_management_scope,mineral_estate_scope,includes_non_blm_land,non_blm_land_summary,public_access_status,public_access_scope,access_information_source,access_information_source_url,access_information_verified_on,access_information_confidence,land_status_caveat,last_verified,notes
acec-2f049d343b6beb,blmca-4361352e-8ad0-4e17-8819-a66cbe28099b,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-c0fa64746ffb35,blmca-33ea03d1-a477-4b15-9750-67ffd176ef32,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-19355b869d75a5,blmca-006bce6f-aff5-4f0c-a926-e4de1bfd5b8f,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-4e6db7be3808b1,blmca-b200860b-b4ad-40ef-be15-c2a745bb33e2,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-ef280204ec7b96,blmca-79903eaf-ce9e-4fb6-949b-ddde809945a4,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-2f8b0003630f1d,blmca-ac3f4a95-d2c8-4310-8dd9-efc484933064,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-a9da4ed4f3157a,blmca-313b320c-6c4c-437f-a307-eec9ce706511,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-b9e89555f6b9bd,blmca-8ae22b62-d8f3-4bcc-9a89-563ffe86b5a6,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-c06f4dd9f79c23,blmca-294f3a94-7777-435b-a5a0-edc0b48a70c3,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-561918c93985ab,blmca-ded6d452-a8be-4197-bd79-540780472af3,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-93b33768f0933f,blmca-21d2afa6-309a-48f9-9ba8-fde38b733eed,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-68fcb84cbd80e5,blmca-004f9633-cc03-4c13-a059-11084e765024,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-7ecf54790be880,blmca-8834992e-c026-4bd7-b422-9d8e5ae54a22,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-f4fe1725df2d38,blmca-4bf8c41e-8c38-4d5f-8053-d738e1fc1d21,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-0f1980c7239423,blmca-6a114bb8-8c39-4500-a529-ad40519d73d8,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-a13d189a605166,blmca-e2b2c3ef-cceb-4b97-82db-180fb3aedc20,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-33bf7ea8bb1f42,blmca-e7210ae8-ea7f-425a-92ec-3267b80c08c9,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-f360b0cdf8ad6b,blmca-ec11ea2b-364d-426d-9147-3882e771ffc5,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
acec-177cabde2d30a6,blmca-0199a4bc-06c5-4ec4-9219-78cbc2da8d2f,BLM land-use-planning ACEC polygon,scope must be read with governing plan and land status,unresolved at parcel level,unresolved,unresolved,No surface-management overlay was supplied or executed.,unresolved,Do not infer access from polygon or roads.,,,,unknown,"The ACEC boundary is not an ownership boundary, cadastral survey, or guarantee of public access.",2026-08-05,
