component_id,acec_id,source_globalid,source_globalid_normalized,source_objectid,source_name,source_name_normalized,source_feature_type,source_designation_code,source_status_code,source_agency_code,component_number,component_count_for_acec,component_gis_acres,component_calculated_acres,component_official_acres,component_blm_district,component_blm_field_office,component_local_managing_unit,component_local_managing_unit_url,component_office_evidence,component_office_evidence_url,component_office_method,component_office_confidence,component_governing_plan,component_governing_plan_url,component_governing_plan_page,component_land_status_scope,component_surface_management_scope,component_inholding_status,component_public_access_status,component_management_summary,component_source_modified_date,component_blm_modify_date,component_last_verified,component_notes,component_supplied_brim_row_number,component_supplied_brim_record_id,component_supplied_geometry_type,component_supplied_geometry_part_count,component_supplied_is_multipart,component_supplied_geometry_valid,component_supplied_geometry_validity_reason,component_supplied_shape_area_m2,component_supplied_shape_length_m,component_live_shape_area_m2,component_live_shape_length_m,component_geometry_metric_status,component_supplied_to_live_match_method,component_supplied_to_live_match_confidence,component_supplied_snapshot
blmca-4361352e-8ad0-4e17-8819-a66cbe28099b,acec-2f049d343b6beb,{4361352E-8AD0-4E17-8819-A66CBE28099B},4361352e-8ad0-4e17-8819-a66cbe28099b,61,Afton Canyon,afton canyon,designated_acec_polygon_record,designated_acec,current_live_source_record,CA,1,1,9195.314611,9195.314610719874,,California Desert District,,California Desert District,https://www.blm.gov/office/california-desert-district-office,CA_ADMIN_unit_code coded domain in official statewide source,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,authoritative_source_attribute,high_for_source_unit; responsibility scope still requires plan review,"CDCA Plan, as amended by DRECP",https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,,not established by ACEC boundary,planning designation on BLM public-land context; do not infer ownership of every acre,unresolved,unresolved,The statewide source identifies special management attention to prevent irreparable damage to those values. Detailed restrictions and exceptions are plan-specific.,2026-07-09,2025-08-01,2026-08-05,Original source fields are retained in source_snapshot/blm_ca_acec_live_records.csv. Supplied BRIM geometry matched exactly by normalized GlobalID; original fields remain preserved in the supplied snapshot.,57,brim-supplied-4361352e-8ad0-4e17-8819-a66cbe28099b,Polygon,1,False,True,Valid Geometry,37212117.988380276,32745.64789802336,37212117.9883803,32745.6478980234,equivalent_within_qa_tolerance,exact_normalized_globalid,high,source_snapshot/supplied_acec.zip
blmca-33ea03d1-a477-4b15-9750-67ffd176ef32,acec-c0fa64746ffb35,{33EA03D1-A477-4B15-9750-67FFD176EF32},33ea03d1-a477-4b15-9750-67ffd176ef32,62,Alligator Rock,alligator rock,designated_acec_polygon_record,designated_acec,current_live_source_record,CA,1,1,7742.300797,7742.300797400003,,California Desert District,,California Desert District,https://www.blm.gov/office/california-desert-district-office,CA_ADMIN_unit_code coded domain in official statewide source,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,authoritative_source_attribute,high_for_source_unit; responsibility scope still requires plan review,"CDCA Plan, as amended by amendment #8",https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california,,not established by ACEC boundary,planning designation on BLM public-land context; do not infer ownership of every acre,unresolved,unresolved,The statewide source identifies special management attention to prevent irreparable damage to those values. Detailed restrictions and exceptions are plan-specific.,2026-07-09,2025-08-01,2026-08-05,Original source fields are retained in source_snapshot/blm_ca_acec_live_records.csv. Supplied BRIM geometry matched exactly by normalized GlobalID; original fields remain preserved in the supplied snapshot.,58,brim-supplied-33ea03d1-a477-4b15-9750-67ffd176ef32,Polygon,1,False,True,Valid Geometry,31331979.706110843,39263.26453373503,31331979.7061108,39263.264533735,equivalent_within_qa_tolerance,exact_normalized_globalid,high,source_snapshot/supplied_acec.zip
blmca-006bce6f-aff5-4f0c-a926-e4de1bfd5b8f,acec-19355b869d75a5,{006BCE6F-AFF5-4F0C-A926-E4DE1BFD5B8F},006bce6f-aff5-4f0c-a926-e4de1bfd5b8f,63,Amargosa North,amargosa north,designated_acec_polygon_record,designated_acec,current_live_source_record,CA,1,1,124316.843543,124316.84354282577,,California Desert District,,California Desert District,https://www.blm.gov/office/california-desert-district-office,CA_ADMIN_unit_code coded domain in official statewide source,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,authoritative_source_attribute,high_for_source_unit; responsibility scope still requires plan review,"CDCA Plan, as amended by DRECP",https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,,not established by ACEC boundary,planning designation on BLM public-land context; do not infer ownership of every acre,unresolved,unresolved,The statewide source identifies special management attention to prevent irreparable damage to those values. Detailed restrictions and exceptions are plan-specific.,2026-07-09,2025-08-01,2026-08-05,Original source fields are retained in source_snapshot/blm_ca_acec_live_records.csv. Supplied BRIM geometry matched exactly by normalized GlobalID; original fields remain preserved in the supplied snapshot.,59,brim-supplied-006bce6f-aff5-4f0c-a926-e4de1bfd5b8f,Polygon,1,False,True,Valid Geometry,503092416.7037804,153435.38886827114,503092416.703781,153435.388868271,equivalent_within_qa_tolerance,exact_normalized_globalid,high,source_snapshot/supplied_acec.zip
blmca-b200860b-b4ad-40ef-be15-c2a745bb33e2,acec-4e6db7be3808b1,{B200860B-B4AD-40EF-BE15-C2A745BB33E2},b200860b-b4ad-40ef-be15-c2a745bb33e2,64,Amargosa South,amargosa south,designated_acec_polygon_record,designated_acec,current_live_source_record,CA,1,1,161328.085332,161328.08296418958,,California Desert District,,California Desert District,https://www.blm.gov/office/california-desert-district-office,CA_ADMIN_unit_code coded domain in official statewide source,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,authoritative_source_attribute,high_for_source_unit; responsibility scope still requires plan review,"CDCA Plan, as amended by DRECP",https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,,not established by ACEC boundary,planning designation on BLM public-land context; do not infer ownership of every acre,unresolved,unresolved,The statewide source identifies special management attention to prevent irreparable damage to those values. Detailed restrictions and exceptions are plan-specific.,2026-07-09,2025-08-01,2026-08-05,Original source fields are retained in source_snapshot/blm_ca_acec_live_records.csv. Supplied BRIM geometry matched exactly by normalized GlobalID; original fields remain preserved in the supplied snapshot.,60,brim-supplied-b200860b-b4ad-40ef-be15-c2a745bb33e2,Polygon,1,False,True,Valid Geometry,652871588.6571107,310007.77773551526,652871598.238801,310007.928653875,equivalent_within_qa_tolerance,exact_normalized_globalid,high,source_snapshot/supplied_acec.zip
blmca-79903eaf-ce9e-4fb6-949b-ddde809945a4,acec-ef280204ec7b96,{79903EAF-CE9E-4FB6-949B-DDDE809945A4},79903eaf-ce9e-4fb6-949b-ddde809945a4,65,Amboy Crater,amboy crater,designated_acec_polygon_record,designated_acec,current_live_source_record,CA,1,1,639.985018,639.9850182943306,,California Desert District,,California Desert District,https://www.blm.gov/office/california-desert-district-office,CA_ADMIN_unit_code coded domain in official statewide source,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,authoritative_source_attribute,high_for_source_unit; responsibility scope still requires plan review,CDCA Plan,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,,not established by ACEC boundary,planning designation on BLM public-land context; do not infer ownership of every acre,unresolved,unresolved,The statewide source identifies special management attention to prevent irreparable damage to those values. Detailed restrictions and exceptions are plan-specific.,2026-07-09,2025-08-01,2026-08-05,Original source fields are retained in source_snapshot/blm_ca_acec_live_records.csv. Supplied BRIM geometry matched exactly by normalized GlobalID; original fields remain preserved in the supplied snapshot.,61,brim-supplied-79903eaf-ce9e-4fb6-949b-ddde809945a4,Polygon,1,False,True,Valid Geometry,2589927.4815241937,6436.327626049709,2589927.48152419,6436.32762604971,equivalent_within_qa_tolerance,exact_normalized_globalid,high,source_snapshot/supplied_acec.zip
blmca-ac3f4a95-d2c8-4310-8dd9-efc484933064,acec-2f8b0003630f1d,{AC3F4A95-D2C8-4310-8DD9-EFC484933064},ac3f4a95-d2c8-4310-8dd9-efc484933064,204,Ancient Lakeshores - Alkali Sinks,ancient lakeshores alkali sinks,designated_acec_polygon_record,designated_acec,current_live_source_record,CA,1,1,402.420484,402.4204836392346,,Central California District,Bakersfield Field Office,Bakersfield Field Office,https://www.blm.gov/office/bakersfield-field-office,CA_ADMIN_unit_code coded domain in official statewide source,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,authoritative_source_attribute,high_for_source_unit; responsibility scope still requires plan review,Bakersfield Resource Management Plan,https://eplanning.blm.gov/Project-Home/?id=77b9ea95-a7f2-f011-8406-001dd802fdea,,not established by ACEC boundary,planning designation on BLM public-land context; do not infer ownership of every acre,unresolved,unresolved,The statewide source identifies special management attention to prevent irreparable damage to those values. Detailed restrictions and exceptions are plan-specific.,2026-07-09,2025-08-01,2026-08-05,Original source fields are retained in source_snapshot/blm_ca_acec_live_records.csv. Supplied BRIM geometry matched exactly by normalized GlobalID; original fields remain preserved in the supplied snapshot.,200,brim-supplied-ac3f4a95-d2c8-4310-8dd9-efc484933064,MultiPolygon,3,True,True,Valid Geometry,1628537.9187207506,8085.111562962482,1628537.91872075,8085.11156296248,equivalent_within_qa_tolerance,exact_normalized_globalid,high,source_snapshot/supplied_acec.zip
blmca-313b320c-6c4c-437f-a307-eec9ce706511,acec-a9da4ed4f3157a,{313B320C-6C4C-437F-A307-EEC9CE706511},313b320c-6c4c-437f-a307-eec9ce706511,205,Ancient Lakeshores - Goose Lake,ancient lakeshores goose lake,designated_acec_polygon_record,designated_acec,current_live_source_record,CA,1,1,40.282013,40.282012830144836,,Central California District,Bakersfield Field Office,Bakersfield Field Office,https://www.blm.gov/office/bakersfield-field-office,CA_ADMIN_unit_code coded domain in official statewide source,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,authoritative_source_attribute,high_for_source_unit; responsibility scope still requires plan review,Bakersfield Resource Management Plan,https://eplanning.blm.gov/Project-Home/?id=77b9ea95-a7f2-f011-8406-001dd802fdea,,not established by ACEC boundary,planning designation on BLM public-land context; do not infer ownership of every acre,unresolved,unresolved,The statewide source identifies special management attention to protect identified relevant and important values and prevent irreparable damage to those values. Detailed restrictions and exceptions are plan-specific.,,2025-08-01,2026-08-05,Original source fields are retained in source_snapshot/blm_ca_acec_live_records.csv. Supplied BRIM geometry matched exactly by normalized GlobalID; original fields remain preserved in the supplied snapshot.,201,brim-supplied-313b320c-6c4c-437f-a307-eec9ce706511,Polygon,1,False,True,Valid Geometry,163015.52232887084,1615.1133638173746,163015.522328871,1615.11336381737,equivalent_within_qa_tolerance,exact_normalized_globalid,high,source_snapshot/supplied_acec.zip
blmca-8ae22b62-d8f3-4bcc-9a89-563ffe86b5a6,acec-b9e89555f6b9bd,{8AE22B62-D8F3-4BCC-9A89-563FFE86B5A6},8ae22b62-d8f3-4bcc-9a89-563ffe86b5a6,188,Ancient Lakeshores - Sand Ridge,ancient lakeshores sand ridge,designated_acec_polygon_record,designated_acec,current_live_source_record,CA,1,1,1600.474006,1600.474006465794,,Central California District,Bakersfield Field Office,Bakersfield Field Office,https://www.blm.gov/office/bakersfield-field-office,CA_ADMIN_unit_code coded domain in official statewide source,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,authoritative_source_attribute,high_for_source_unit; responsibility scope still requires plan review,Bakersfield Resource Management Plan,https://eplanning.blm.gov/Project-Home/?id=77b9ea95-a7f2-f011-8406-001dd802fdea,,not established by ACEC boundary,planning designation on BLM public-land context; do not infer ownership of every acre,unresolved,unresolved,The statewide source identifies special management attention to prevent irreparable damage to those values. Detailed restrictions and exceptions are plan-specific.,2026-07-09,2025-08-01,2026-08-05,Original source fields are retained in source_snapshot/blm_ca_acec_live_records.csv. Supplied BRIM geometry matched exactly by normalized GlobalID; original fields remain preserved in the supplied snapshot.,184,brim-supplied-8ae22b62-d8f3-4bcc-9a89-563ffe86b5a6,Polygon,1,False,True,Valid Geometry,6476888.511950358,11661.374968573513,6476888.51195036,11661.3749685735,equivalent_within_qa_tolerance,exact_normalized_globalid,high,source_snapshot/supplied_acec.zip
blmca-294f3a94-7777-435b-a5a0-edc0b48a70c3,acec-c06f4dd9f79c23,{294F3A94-7777-435B-A5A0-EDC0B48A70C3},294f3a94-7777-435b-a5a0-edc0b48a70c3,2,Ash Valley,ash valley,designated_acec_polygon_record,designated_acec,current_live_source_record,CA,1,1,1224.88003,1224.8800303599492,,Northern California District,Applegate Field Office,Applegate Field Office,https://www.blm.gov/office/applegate-field-office,CA_ADMIN_unit_code coded domain in official statewide source,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,authoritative_source_attribute,high_for_source_unit; responsibility scope still requires plan review,Alturas,https://eplanning.blm.gov/Project-Home/?id=e567a393-a7f2-f011-8407-001dd80c29f3,,not established by ACEC boundary,planning designation on BLM public-land context; do not infer ownership of every acre,unresolved,unresolved,The statewide source identifies special management attention to prevent irreparable damage to those values. Detailed restrictions and exceptions are plan-specific.,2026-07-09,2025-08-01,2026-08-05,Original source fields are retained in source_snapshot/blm_ca_acec_live_records.csv. Supplied BRIM geometry matched exactly by normalized GlobalID; original fields remain preserved in the supplied snapshot.,1,brim-supplied-294f3a94-7777-435b-a5a0-edc0b48a70c3,MultiPolygon,2,True,True,Valid Geometry,4956913.617531667,18689.29121323045,4956913.61753167,18689.2912132305,equivalent_within_qa_tolerance,exact_normalized_globalid,high,source_snapshot/supplied_acec.zip
blmca-ded6d452-a8be-4197-bd79-540780472af3,acec-561918c93985ab,{DED6D452-A8BE-4197-BD79-540780472AF3},ded6d452-a8be-4197-bd79-540780472af3,66,Avawatz Mountains WSA,avawatz mountains wsa,designated_acec_polygon_record,designated_acec,current_live_source_record,CA,1,1,53158.638661,53158.63866116484,,California Desert District,,California Desert District,https://www.blm.gov/office/california-desert-district-office,CA_ADMIN_unit_code coded domain in official statewide source,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,authoritative_source_attribute,high_for_source_unit; responsibility scope still requires plan review,"CDCA Plan, as amended by DRECP",https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california,,not established by ACEC boundary,planning designation on BLM public-land context; do not infer ownership of every acre,unresolved,unresolved,The statewide source identifies special management attention to prevent irreparable damage to those values. Detailed restrictions and exceptions are plan-specific.,2026-07-09,2025-08-01,2026-08-05,Original source fields are retained in source_snapshot/blm_ca_acec_live_records.csv. Supplied BRIM geometry matched exactly by normalized GlobalID; original fields remain preserved in the supplied snapshot.,62,brim-supplied-ded6d452-a8be-4197-bd79-540780472af3,Polygon,1,False,True,Valid Geometry,215125378.27197587,78839.73353061966,215125378.271975,78839.7335306197,equivalent_within_qa_tolerance,exact_normalized_globalid,high,source_snapshot/supplied_acec.zip
