office_key,office_code,current_official_name,boundary_source_name,parent_district_code,parent_district_name,official_office_url,roster_source_url,roster_verified_on,boundary_globalid,boundary_source,boundary_source_url,boundary_snapshot_date,boundary_raw_shp_sha256,boundary_derivative_rds_sha256,current_roster_status,sort_order,notes
barstow_field_office,CAD08000,Barstow Field Office,Barstow Field Office,CAD00000,California Desert District,https://www.blm.gov/office/barstow-field-office,https://www.blm.gov/office/california-desert-district-office,2026-08-08,{5145BACD-F0F6-420D-8C1D-F705FE62EB8A},01_raw_data/blm/fo_outer.shp,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_Administrative_Unit/FeatureServer/1,2025-06-23,899a2724ed3c6a696131c57d74f092eb560320b0b8ce2fab90b348013997e229,89884eb36cafda640ed13165b47beb18005ac086f0549bb5c0dbf1b46ef197c6,current,4,Current roster and exact BLM boundary GlobalID verified; spatial context does not establish responsibility.
el_centro_field_office,CAD07000,El Centro Field Office,El Centro Field Office,CAD00000,California Desert District,https://www.blm.gov/office/el-centro-field-office,https://www.blm.gov/office/california-desert-district-office,2026-08-08,{4FD9EE91-6452-4BE2-B24C-6F9E00B26479},01_raw_data/blm/fo_outer.shp,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_Administrative_Unit/FeatureServer/1,2025-06-23,899a2724ed3c6a696131c57d74f092eb560320b0b8ce2fab90b348013997e229,89884eb36cafda640ed13165b47beb18005ac086f0549bb5c0dbf1b46ef197c6,current,8,Current roster and exact BLM boundary GlobalID verified; spatial context does not establish responsibility.
needles_field_office,CAD09000,Needles Field Office,Needles Field Office,CAD00000,California Desert District,https://www.blm.gov/office/needles-field-office,https://www.blm.gov/office/california-desert-district-office,2026-08-08,{5975ECF0-0AA5-4D97-8631-AF74F9AF8029},01_raw_data/blm/fo_outer.shp,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_Administrative_Unit/FeatureServer/1,2025-06-23,899a2724ed3c6a696131c57d74f092eb560320b0b8ce2fab90b348013997e229,89884eb36cafda640ed13165b47beb18005ac086f0549bb5c0dbf1b46ef197c6,current,10,Current roster and exact BLM boundary GlobalID verified; spatial context does not establish responsibility.
palm_springs_south_coast_field_office,CAD06000,Palm Springs-South Coast Field Office,Palm Springs/S. Coast Field Office,CAD00000,California Desert District,https://www.blm.gov/office/palm-springs-south-coast-field-office,https://www.blm.gov/office/california-desert-district-office,2026-08-08,{A00CD8C2-381F-4CCA-B6FF-F109E3B597DF},01_raw_data/blm/fo_outer.shp,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_Administrative_Unit/FeatureServer/1,2025-06-23,899a2724ed3c6a696131c57d74f092eb560320b0b8ce2fab90b348013997e229,89884eb36cafda640ed13165b47beb18005ac086f0549bb5c0dbf1b46ef197c6,current,11,Official current display name normalizes the boundary source abbreviation; spatial context does not establish responsibility.
ridgecrest_field_office,CAD05000,Ridgecrest Field Office,Ridgecrest Field Office,CAD00000,California Desert District,https://www.blm.gov/office/ridgecrest-field-office,https://www.blm.gov/office/california-desert-district-office,2026-08-08,{5DF85FB3-945E-4EDB-AB8E-84C8E2D2B6E3},01_raw_data/blm/fo_outer.shp,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_Administrative_Unit/FeatureServer/1,2025-06-23,899a2724ed3c6a696131c57d74f092eb560320b0b8ce2fab90b348013997e229,89884eb36cafda640ed13165b47beb18005ac086f0549bb5c0dbf1b46ef197c6,current,13,Current roster and exact BLM boundary GlobalID verified; spatial context does not establish responsibility.
bakersfield_field_office,CAC06000,Bakersfield Field Office,Bakersfield Field Office,CAC00000,Central California District,https://www.blm.gov/office/bakersfield-field-office,https://www.blm.gov/office/central-california-district-office,2026-08-08,{DD40DD94-0F6A-4E06-B69B-CF240D2C35DC},01_raw_data/blm/fo_outer.shp,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_Administrative_Unit/FeatureServer/1,2025-06-23,899a2724ed3c6a696131c57d74f092eb560320b0b8ce2fab90b348013997e229,89884eb36cafda640ed13165b47beb18005ac086f0549bb5c0dbf1b46ef197c6,current,3,Current roster and exact BLM boundary GlobalID verified; spatial context does not establish responsibility.
bishop_field_office,CAC07000,Bishop Field Office,Bishop Field Office,CAC00000,Central California District,https://www.blm.gov/office/bishop-field-office,https://www.blm.gov/office/central-california-district-office,2026-08-08,{3E81B7C0-AF93-4D98-AD39-9172FEFD9DA5},01_raw_data/blm/fo_outer.shp,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_Administrative_Unit/FeatureServer/1,2025-06-23,899a2724ed3c6a696131c57d74f092eb560320b0b8ce2fab90b348013997e229,89884eb36cafda640ed13165b47beb18005ac086f0549bb5c0dbf1b46ef197c6,current,5,Current roster and exact BLM boundary GlobalID verified; spatial context does not establish responsibility.
central_coast_field_office,CAC09000,Central Coast Field Office,Central Coast Field Office,CAC00000,Central California District,https://www.blm.gov/office/central-coast-field-office,https://www.blm.gov/office/central-california-district-office,2026-08-08,{E64C749F-B310-4003-8C1D-AB6BF4876BF5},01_raw_data/blm/fo_outer.shp,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_Administrative_Unit/FeatureServer/1,2025-06-23,899a2724ed3c6a696131c57d74f092eb560320b0b8ce2fab90b348013997e229,89884eb36cafda640ed13165b47beb18005ac086f0549bb5c0dbf1b46ef197c6,current,6,Current successor to the former Hollister name; Hollister is deliberately absent from the current-office lookup.
mother_lode_field_office,CAC08000,Mother Lode Field Office,Mother Lode Field Office,CAC00000,Central California District,https://www.blm.gov/office/mother-lode-field-office,https://www.blm.gov/office/central-california-district-office,2026-08-08,{9312600B-6375-4A02-8D06-FB0C0CEB8A81},01_raw_data/blm/fo_outer.shp,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_Administrative_Unit/FeatureServer/1,2025-06-23,899a2724ed3c6a696131c57d74f092eb560320b0b8ce2fab90b348013997e229,89884eb36cafda640ed13165b47beb18005ac086f0549bb5c0dbf1b46ef197c6,current,9,Current roster and exact BLM boundary GlobalID verified; spatial context does not establish responsibility.
ukiah_field_office,CAC05000,Ukiah Field Office,Ukiah Field Office,CAC00000,Central California District,https://www.blm.gov/office/ukiah-field-office,https://www.blm.gov/office/central-california-district-office,2026-08-08,{D507AF88-4B37-4FCB-858D-A965B884DD86},01_raw_data/blm/fo_outer.shp,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_Administrative_Unit/FeatureServer/1,2025-06-23,899a2724ed3c6a696131c57d74f092eb560320b0b8ce2fab90b348013997e229,89884eb36cafda640ed13165b47beb18005ac086f0549bb5c0dbf1b46ef197c6,current,14,Current roster and exact BLM boundary GlobalID verified; spatial context does not establish responsibility.
