document_id,document_type,document_title,nepa_number,document_date,document_status,source_agency,document_url,url_status,relevant_pages,local_snapshot_status,file_size,sha256,retrieval_date,associated_acec_count,notes
doc-5385a2606b1c,resource_management_plan_or_amendment_record_of_decision,Alturas,DOI-BLM-CA-N020-2008-0001-RMP-EIS,2008-04-17,current_source_governing_association,Bureau of Land Management,https://eplanning.blm.gov/Project-Home/?id=e567a393-a7f2-f011-8407-001dd80c29f3,direct_official_plan_or_project_page,,not_packaged,,,2026-08-05,7,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
doc-69af73445cb2,resource_management_plan_or_amendment_record_of_decision,Bakersfield Resource Management Plan,DOI-BLM-CA-C060-2014-0001-RMP-EIS,2014-12-22,current_source_governing_association,Bureau of Land Management,https://eplanning.blm.gov/Project-Home/?id=77b9ea95-a7f2-f011-8406-001dd802fdea,direct_official_plan_or_project_page,,not_packaged,,,2026-08-05,21,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
doc-00f5dfe916c7,resource_management_plan_or_amendment_record_of_decision,Bishop,DOI-BLM-CA-C070-1993-0001-RMP-EIS,1993-03-26,current_source_governing_association,Bureau of Land Management,https://eplanning.blm.gov/Project-Home/?id=dd68a393-a7f2-f011-8407-001dd80c29f3,direct_official_plan_or_project_page,,not_packaged,,,2026-08-05,6,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
doc-cc78e2d66311,resource_management_plan_or_amendment_record_of_decision,Bishop,DOI-BLM-CA-C070-1993-0001-RPM-EIS,1993-03-26,current_source_governing_association,Bureau of Land Management,https://eplanning.blm.gov/Project-Home/?id=dd68a393-a7f2-f011-8407-001dd80c29f3,direct_official_plan_or_project_page,,not_packaged,,,2026-08-05,1,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
doc-31eedd24de3b,resource_management_plan_or_amendment_record_of_decision,"Bishop RMP, as amended by DRECP",DOI-BLM-CA-D010-2014-0001-RMP-EIS,2016-09-14,current_source_governing_association,Bureau of Land Management,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,direct_official_plan_or_project_page,,not_packaged,,,2026-08-05,6,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
doc-bd13b35a93d3,resource_management_plan_or_amendment_record_of_decision,CDCA Plan,DOI-BLM-CA-D010-2014-0001-RMP-EIS,2016-09-14,current_source_governing_association,Bureau of Land Management,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,direct_official_plan_or_project_page,,not_packaged,,,2026-08-05,1,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
doc-c128ae117c38,resource_management_plan_or_amendment_record_of_decision,"CDCA Plan, as amended by DRECP",,2016-09-14,current_source_governing_association,Bureau of Land Management,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california,official_plan_index_only,,not_packaged,,,2026-08-05,42,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
doc-7de636074288,resource_management_plan_or_amendment_record_of_decision,"CDCA Plan, as amended by DRECP",DOI-BLM-CA-D010-2014-0001-RMP-EIS,2016-09-14,current_source_governing_association,Bureau of Land Management,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,direct_official_plan_or_project_page,,not_packaged,,,2026-08-05,54,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
doc-b6824d1b819e,resource_management_plan_or_amendment_record_of_decision,"CDCA Plan, as amended by NEMO",DOI-BLM-CA-D010-2014-0001-RMP-EIS,2016-09-14,current_source_governing_association,Bureau of Land Management,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,direct_official_plan_or_project_page,,not_packaged,,,2026-08-05,1,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
doc-74b65ecc23ab,resource_management_plan_or_amendment_record_of_decision,"CDCA Plan, as amended by Plan 29",DOI-BLM-CA-D010-2014-0001-RMP-EIS,2016-09-14,current_source_governing_association,Bureau of Land Management,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,direct_official_plan_or_project_page,,not_packaged,,,2026-08-05,1,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
doc-6a42a9bf2f8c,resource_management_plan_or_amendment_record_of_decision,"CDCA Plan, as amended by Plan 52",DOI-BLM-CA-D010-2014-0001-RMP-EIS,2016-09-14,current_source_governing_association,Bureau of Land Management,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,direct_official_plan_or_project_page,,not_packaged,,,2026-08-05,1,Direct PDF and unit-specific page citations remain incomplete unless explicitly supplied by the official project page.
