"acec_id","component_id","current_field_office_key","current_field_office_code","current_field_office_name","intersection_area_m2","intersection_area_acres","percent_of_acec_area","acec_context_class","source_context_qa_class","relationship_method","minimum_intersection_area_m2","complete_coverage_percent","boundary_snapshot_date","derivation_date","confidence"
"acec-2f049d343b6beb","blmca-4361352e-8ad0-4e17-8819-a66cbe28099b","barstow_field_office","CAD08000","Barstow Field Office",37212161.279055,9195.325308079,100,"wholly_within_one_field_office","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-c0fa64746ffb35","blmca-33ea03d1-a477-4b15-9750-67ffd176ef32","palm_springs_south_coast_field_office","CAD06000","Palm Springs-South Coast Field Office",31331993.887922,7742.304301802,100,"wholly_within_one_field_office","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-19355b869d75a5","blmca-006bce6f-aff5-4f0c-a926-e4de1bfd5b8f","barstow_field_office","CAD08000","Barstow Field Office",503046592.398386,124305.520110361,99.99096179,"crosses_field_office_boundaries","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-19355b869d75a5","blmca-006bce6f-aff5-4f0c-a926-e4de1bfd5b8f","ridgecrest_field_office","CAD05000","Ridgecrest Field Office",13355.261381,3.300156958,0.00265464,"crosses_field_office_boundaries","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-4e6db7be3808b1","blmca-b200860b-b4ad-40ef-be15-c2a745bb33e2","barstow_field_office","CAD08000","Barstow Field Office",598827344.511913,147973.459398586,91.72279362,"crosses_field_office_boundaries","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-4e6db7be3808b1","blmca-b200860b-b4ad-40ef-be15-c2a745bb33e2","needles_field_office","CAD09000","Needles Field Office",54039103.284536,13353.353231269,8.27720638,"crosses_field_office_boundaries","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-ef280204ec7b96","blmca-79903eaf-ce9e-4fb6-949b-ddde809945a4","needles_field_office","CAD09000","Needles Field Office",2589913.47455,639.981557096,100,"wholly_within_one_field_office","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-2f8b0003630f1d","blmca-ac3f4a95-d2c8-4310-8dd9-efc484933064","bakersfield_field_office","CAC06000","Bakersfield Field Office",1628532.436456,402.419128942,100,"wholly_within_one_field_office","exact_single","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-a9da4ed4f3157a","blmca-313b320c-6c4c-437f-a307-eec9ce706511","bakersfield_field_office","CAC06000","Bakersfield Field Office",163015.361534,40.281973097,100,"wholly_within_one_field_office","exact_single","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-b9e89555f6b9bd","blmca-8ae22b62-d8f3-4bcc-9a89-563ffe86b5a6","bakersfield_field_office","CAC06000","Bakersfield Field Office",6476860.719453,1600.46713879,100,"wholly_within_one_field_office","exact_single","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-c06f4dd9f79c23","blmca-294f3a94-7777-435b-a5a0-edc0b48a70c3","applegate_field_office","CAN02000","Applegate Field Office",4956965.213959,1224.892780115,100,"wholly_within_one_field_office","exact_single","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-561918c93985ab","blmca-ded6d452-a8be-4197-bd79-540780472af3","barstow_field_office","CAD08000","Barstow Field Office",215125696.818865,53158.717375815,100,"wholly_within_one_field_office","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-93b33768f0933f","blmca-21d2afa6-309a-48f9-9ba8-fde38b733eed","ridgecrest_field_office","CAD05000","Ridgecrest Field Office",6174760.558848,1525.816563363,100,"wholly_within_one_field_office","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-68fcb84cbd80e5","blmca-004f9633-cc03-4c13-a059-11084e765024","mother_lode_field_office","CAC08000","Mother Lode Field Office",23419332.151733,5787.04300506,100,"wholly_within_one_field_office","exact_single","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-7ecf54790be880","blmca-8834992e-c026-4bd7-b422-9d8e5ae54a22","barstow_field_office","CAD08000","Barstow Field Office",147078606.248254,36343.915102634,100,"wholly_within_one_field_office","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-f4fe1725df2d38","blmca-4bf8c41e-8c38-4d5f-8053-d738e1fc1d21","ridgecrest_field_office","CAD05000","Ridgecrest Field Office",1787618.841628,441.730235778,100,"wholly_within_one_field_office","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-0f1980c7239423","blmca-6a114bb8-8c39-4500-a529-ad40519d73d8","redding_field_office","CAN06000","Redding Field Office",18155299.846968,4486.272294336,100,"wholly_within_one_field_office","exact_single","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
"acec-a13d189a605166","blmca-e2b2c3ef-cceb-4b97-82db-180fb3aedc20","barstow_field_office","CAD08000","Barstow Field Office",39580099.29719,9780.45553534,100,"wholly_within_one_field_office","district_only_contextualized","positive-area intersection in EPSG:3310",100,99.5,"2025-06-23","2026-08-08","high_for_spatial_context_only"
