"acec_id_a","acec_id_b","overlap_area_m2","overlap_area_acres","percent_of_smaller_acec","relationship_type"
"acec-029d324461b4fd","acec-ffb5fd99225d29",2608216.921285,644.504437283,22.20718448,"overlap"
"acec-0a081bfa7bfd65","acec-eefba2002e5d17",86.784862,0.021445006,1.014e-05,"overlap"
"acec-0a67662d845f3a","acec-ba901b38eac683",3.629195,0.000896794,4.99e-06,"overlap"
"acec-0acef5ecce6ce0","acec-7ecf54790be880",21.918207,0.005416107,1.49e-05,"overlap"
"acec-0acef5ecce6ce0","acec-a8362b58c810cc",53.790267,0.013291864,6.23e-06,"overlap"
"acec-11ad70d626345d","acec-bb02e878544f98",30.367361,0.007503938,2.627e-05,"overlap"
"acec-13046e763ce21f","acec-29f7d98ecf0deb",4072310.881243,1006.289933762,46.17315557,"overlap"
"acec-163713939580c4","acec-90e93d7b70aff7",9857.604265,2.435867062,0.00680409,"overlap"
"acec-163713939580c4","acec-d716ed657cb21c",25123681.368254,6208.196868362,99.99999999,"containment"
"acec-163713939580c4","acec-f36ce6f5a67354",1.992523,0.000492363,9.1e-07,"overlap"
"acec-17177cc0a3f19c","acec-3377f0ee1fcbb1",7777455.793378,1921.851180667,100,"containment"
"acec-177cabde2d30a6","acec-bb02e878544f98",1474.28277,0.364303206,0.00633725,"overlap"
"acec-1fe131d30ed452","acec-35f6ced14506e5",1586.98031,0.392151375,0.03184209,"overlap"
"acec-3470fc550ec680","acec-7c3af1e43a9f14",1102.798591,0.272507467,0.00094577,"overlap"
"acec-463a6667a6e4b9","acec-e57347bdd98060",53.178887,0.013140789,1.52e-05,"overlap"
"acec-88e3a418c2424c","acec-c92a8cb916758b",128.601027,0.031778006,0.00154331,"overlap"
"acec-a139ef01241894","acec-e8b72e19e142f6",34228.989029,8.458167391,0.12847359,"overlap"
"acec-a26e29826790bb","acec-eff7540c4ac147",1316.615045,0.325342663,0.00318924,"overlap"
"acec-a639e3210a97b6","acec-f36ce6f5a67354",668.0675,0.165083074,0.00030636,"overlap"
"acec-a639e3210a97b6","acec-f37bb01a4504d9",17.655029,0.004362653,3.71e-06,"overlap"
"acec-a8362b58c810cc","acec-cbae284ab714d2",220.896389,0.054584686,5.222e-05,"overlap"
"acec-a8362b58c810cc","acec-f85e7284dc76d3",28966.869006,7.157869216,0.06452191,"overlap"
"acec-a8362b58c810cc","acec-ffb5fd99225d29",4.562215,0.001127348,4.57e-06,"overlap"
"acec-be7c4d3409891b","acec-c92a8cb916758b",19335.492829,4.777904331,0.13139625,"overlap"
"acec-c92a8cb916758b","acec-ff9476c993c7fd",3.848484,0.000950981,1.73e-06,"overlap"
"acec-e3030589272cd2","acec-ff9476c993c7fd",7.430849,0.001836203,8.061e-05,"overlap"
"acec-f36ce6f5a67354","acec-f37bb01a4504d9",4677.142069,1.155746975,0.00214486,"overlap"
