acec_id,component_id,planning_action_id,planning_action_type,planning_action_title,planning_action_date,planning_action_status,planning_action_effect,prior_status,resulting_status,boundary_effect,acreage_before,acreage_after,document_id,document_title,document_url,document_page,eplanning_project_id,eplanning_project_url,source_agency,last_verified,confidence,notes
acec-2f049d343b6beb,blmca-4361352e-8ad0-4e17-8819-a66cbe28099b,plan-action-81b6c73dcbdb,governing_land_use_plan_or_amendment,"CDCA Plan, as amended by DRECP",2016-09-14,current_source_association,source identifies ACEC under this planning decision,unresolved,designated,unresolved_without_historical_geometry,,,doc-7de636074288,"CDCA Plan, as amended by DRECP",https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,,DOI-BLM-CA-D010-2014-0001-RMP-EIS,,Bureau of Land Management,2026-08-05,high_source_association; current/supersession review partial,Earlier designation history and later component-level amendments were not systematically extracted.
acec-c0fa64746ffb35,blmca-33ea03d1-a477-4b15-9750-67ffd176ef32,plan-action-a0e1c4192306,governing_land_use_plan_or_amendment,"CDCA Plan, as amended by amendment #8",2016-09-14,current_source_association,source identifies ACEC under this planning decision,unresolved,designated,unresolved_without_historical_geometry,,,doc-f2176bc9b0d9,"CDCA Plan, as amended by amendment #8",https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california,,,,Bureau of Land Management,2026-08-05,high_source_association; current/supersession review partial,Earlier designation history and later component-level amendments were not systematically extracted.
acec-19355b869d75a5,blmca-006bce6f-aff5-4f0c-a926-e4de1bfd5b8f,plan-action-0d79d6899137,governing_land_use_plan_or_amendment,"CDCA Plan, as amended by DRECP",2016-09-14,current_source_association,source identifies ACEC under this planning decision,unresolved,designated,unresolved_without_historical_geometry,,,doc-7de636074288,"CDCA Plan, as amended by DRECP",https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,,DOI-BLM-CA-D010-2014-0001-RMP-EIS,,Bureau of Land Management,2026-08-05,high_source_association; current/supersession review partial,Earlier designation history and later component-level amendments were not systematically extracted.
acec-4e6db7be3808b1,blmca-b200860b-b4ad-40ef-be15-c2a745bb33e2,plan-action-0faf46f701b6,governing_land_use_plan_or_amendment,"CDCA Plan, as amended by DRECP",2016-09-14,current_source_association,source identifies ACEC under this planning decision,unresolved,designated,unresolved_without_historical_geometry,,,doc-7de636074288,"CDCA Plan, as amended by DRECP",https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,,DOI-BLM-CA-D010-2014-0001-RMP-EIS,,Bureau of Land Management,2026-08-05,high_source_association; current/supersession review partial,Earlier designation history and later component-level amendments were not systematically extracted.
acec-ef280204ec7b96,blmca-79903eaf-ce9e-4fb6-949b-ddde809945a4,plan-action-7978706d6578,governing_land_use_plan_or_amendment,CDCA Plan,2016-09-14,current_source_association,source identifies ACEC under this planning decision,unresolved,designated,unresolved_without_historical_geometry,,,doc-bd13b35a93d3,CDCA Plan,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,,DOI-BLM-CA-D010-2014-0001-RMP-EIS,,Bureau of Land Management,2026-08-05,high_source_association; current/supersession review partial,Earlier designation history and later component-level amendments were not systematically extracted.
acec-2f8b0003630f1d,blmca-ac3f4a95-d2c8-4310-8dd9-efc484933064,plan-action-a3fa466b71c4,governing_land_use_plan_or_amendment,Bakersfield Resource Management Plan,2014-12-22,current_source_association,source identifies ACEC under this planning decision,unresolved,designated,unresolved_without_historical_geometry,,,doc-69af73445cb2,Bakersfield Resource Management Plan,https://eplanning.blm.gov/Project-Home/?id=77b9ea95-a7f2-f011-8406-001dd802fdea,,DOI-BLM-CA-C060-2014-0001-RMP-EIS,https://eplanning.blm.gov/Project-Home/?id=77b9ea95-a7f2-f011-8406-001dd802fdea,Bureau of Land Management,2026-08-05,high_source_association; current/supersession review partial,Earlier designation history and later component-level amendments were not systematically extracted.
acec-a9da4ed4f3157a,blmca-313b320c-6c4c-437f-a307-eec9ce706511,plan-action-f12d29380971,governing_land_use_plan_or_amendment,Bakersfield Resource Management Plan,2014-12-22,current_source_association,source identifies ACEC under this planning decision,unresolved,designated,unresolved_without_historical_geometry,,,doc-69af73445cb2,Bakersfield Resource Management Plan,https://eplanning.blm.gov/Project-Home/?id=77b9ea95-a7f2-f011-8406-001dd802fdea,,DOI-BLM-CA-C060-2014-0001-RMP-EIS,https://eplanning.blm.gov/Project-Home/?id=77b9ea95-a7f2-f011-8406-001dd802fdea,Bureau of Land Management,2026-08-05,high_source_association; current/supersession review partial,Earlier designation history and later component-level amendments were not systematically extracted.
acec-b9e89555f6b9bd,blmca-8ae22b62-d8f3-4bcc-9a89-563ffe86b5a6,plan-action-e6a409131ed9,governing_land_use_plan_or_amendment,Bakersfield Resource Management Plan,2014-12-22,current_source_association,source identifies ACEC under this planning decision,unresolved,designated,unresolved_without_historical_geometry,,,doc-69af73445cb2,Bakersfield Resource Management Plan,https://eplanning.blm.gov/Project-Home/?id=77b9ea95-a7f2-f011-8406-001dd802fdea,,DOI-BLM-CA-C060-2014-0001-RMP-EIS,https://eplanning.blm.gov/Project-Home/?id=77b9ea95-a7f2-f011-8406-001dd802fdea,Bureau of Land Management,2026-08-05,high_source_association; current/supersession review partial,Earlier designation history and later component-level amendments were not systematically extracted.
acec-c06f4dd9f79c23,blmca-294f3a94-7777-435b-a5a0-edc0b48a70c3,plan-action-91f19302a0b9,governing_land_use_plan_or_amendment,Alturas,2008-04-17,current_source_association,source identifies ACEC under this planning decision,unresolved,designated,unresolved_without_historical_geometry,,,doc-5385a2606b1c,Alturas,https://eplanning.blm.gov/Project-Home/?id=e567a393-a7f2-f011-8407-001dd80c29f3,,DOI-BLM-CA-N020-2008-0001-RMP-EIS,https://eplanning.blm.gov/Project-Home/?id=e567a393-a7f2-f011-8407-001dd80c29f3,Bureau of Land Management,2026-08-05,high_source_association; current/supersession review partial,Earlier designation history and later component-level amendments were not systematically extracted.
acec-561918c93985ab,blmca-ded6d452-a8be-4197-bd79-540780472af3,plan-action-7dd990578c0a,governing_land_use_plan_or_amendment,"CDCA Plan, as amended by DRECP",2016-09-14,current_source_association,source identifies ACEC under this planning decision,unresolved,designated,unresolved_without_historical_geometry,,,doc-c128ae117c38,"CDCA Plan, as amended by DRECP",https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california,,,,Bureau of Land Management,2026-08-05,high_source_association; current/supersession review partial,Earlier designation history and later component-level amendments were not systematically extracted.
acec-93b33768f0933f,blmca-21d2afa6-309a-48f9-9ba8-fde38b733eed,plan-action-5a8cf081140b,governing_land_use_plan_or_amendment,"CDCA Plan, as amended by DRECP",2016-09-14,current_source_association,source identifies ACEC under this planning decision,unresolved,designated,unresolved_without_historical_geometry,,,doc-c128ae117c38,"CDCA Plan, as amended by DRECP",https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california,,,,Bureau of Land Management,2026-08-05,high_source_association; current/supersession review partial,Earlier designation history and later component-level amendments were not systematically extracted.
