acec_id,official_acec_name,normalized_acec_name,alternate_names,source_semantic_key,designation_status,designation_status_label,designation_type,designation_types,rna_relationship_status,is_currently_designated,is_proposed_only,is_historical_or_superseded,is_research_natural_area,has_research_natural_area_component,source_component_count,source_polygon_count,multipart_source_count,official_acres,official_acres_source,current_gis_acres,calculated_source_geometry_acres,acreage_difference,acreage_difference_percent,blm_districts,blm_field_offices,source_administrative_unit,source_admin_unit_code,governing_plan_count,current_governing_plans,designation_decision_date,designation_year,designation_authority,designation_document_id,designation_document_url,designation_document_page,designation_history_summary,relevant_and_important_values_summary,value_families,management_direction_summary,access_and_land_status_summary,counties,states,primary_ecoregions,planning_framework,water_resource_relevance,water_resource_relevance_summary,current_official_page_url,direct_official_area_page_status,current_official_map_url,official_map_status,current_plan_url,current_plan_status,current_office_url,office_page_status,implementation_plan_status,access_page_status,research_status,last_verified,record_confidence,unit_summary_short,notes,source_geometry_part_count,supplied_brim_calculated_geometry_acres,supplied_brim_geometry_valid,supplied_brim_geometry_metric_status,source_geometry_provenance
acec-2f049d343b6beb,Afton Canyon,afton canyon,,"afton canyon|CDCA Plan, as amended by DRECP|DOI-BLM-CA-D010-2014-0001-RMP-EIS|2016-09-14|CAD00000",currently_designated_source_layer,Currently mapped as designated,ACEC,ACEC,not_verified,True,False,False,unverified,unverified,1,1,0,,not_researched,9195.314611,9195.314611,0.0,0.0,California Desert District,,California Desert District,CAD00000,1,"CDCA Plan, as amended by DRECP",2016-09-14,2016,BLM land-use planning decision,DOI-BLM-CA-D010-2014-0001-RMP-EIS,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,,Current statewide source supplies one governing-plan/ROD association; earlier boundary and designation history require plan-level research.,"Cultural resources, Natural processes, Natural systems, and Wildlife resources.",botanical_or_ecological;cultural_archaeological_historic;wildlife_and_habitat,The statewide source identifies special management attention to prevent irreparable damage to those values. Detailed restrictions and exceptions are plan-specific.,"Legal access, ownership, inholdings, and component-specific restrictions were not established from the statewide ACEC layer.",,California,,drecp,no_water_value_identified_in_statewide_source,No fish-resource relevance is coded affirmative in the statewide source; spatial hydrologic context has not been derived.,,not_verified,,statewide_source_map_only,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,direct_official_plan_or_project_page,https://www.blm.gov/office/california-desert-district-office,official_unit_url_candidate_not_http_validated,not_systematically_researched,not_systematically_researched,statewide_source_audit_complete_plan_level_research_partial,2026-08-05,high_source_identity_medium_semantic_history,"Afton Canyon is represented in the current BLM California designated-ACEC layer under CDCA Plan, as amended by DRECP. The statewide source identifies cultural resources, natural processes, natural systems, and wildlife resources as relevant designation categories. The statewide source identifies special management attention to prevent irreparable damage to those values. Detailed restrictions and exceptions are plan-specific. The mapped boundary is a planning-designation geometry, not an ownership or access boundary.","Detailed ACEC-specific plan pages, maps, prescriptions, land status, access, and related-designation intersections remain a documented research/overlay phase.",1,9195.314610719874,True,equivalent_within_qa_tolerance,user-supplied BRIM acec shapefile; EPSG:3310; original snapshot preserved
acec-c0fa64746ffb35,Alligator Rock,alligator rock,,"alligator rock|CDCA Plan, as amended by amendment #8||2016-09-14|CAD00000",currently_designated_source_layer,Currently mapped as designated,ACEC,ACEC,not_verified,True,False,False,unverified,unverified,1,1,0,,not_researched,7742.300797,7742.300797,0.0,0.0,California Desert District,,California Desert District,CAD00000,1,"CDCA Plan, as amended by amendment #8",2016-09-14,2016,BLM land-use planning decision,,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california,,Current statewide source supplies one governing-plan/ROD association; earlier boundary and designation history require plan-level research.,"Cultural resources, Historic resources, Scenic values, and Wildlife resources.",cultural_archaeological_historic;scenic;wildlife_and_habitat,The statewide source identifies special management attention to prevent irreparable damage to those values. Detailed restrictions and exceptions are plan-specific.,"Legal access, ownership, inholdings, and component-specific restrictions were not established from the statewide ACEC layer.",,California,,california_desert_other_plan,no_water_value_identified_in_statewide_source,No fish-resource relevance is coded affirmative in the statewide source; spatial hydrologic context has not been derived.,,not_verified,,statewide_source_map_only,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california,official_california_plan_index_only,https://www.blm.gov/office/california-desert-district-office,official_unit_url_candidate_not_http_validated,not_systematically_researched,not_systematically_researched,statewide_source_audit_complete_plan_level_research_partial,2026-08-05,high_source_identity_medium_semantic_history,"Alligator Rock is represented in the current BLM California designated-ACEC layer under CDCA Plan, as amended by amendment #8. The statewide source identifies cultural resources, historic resources, scenic values, and wildlife resources as relevant designation categories. The statewide source identifies special management attention to prevent irreparable damage to those values. Detailed restrictions and exceptions are plan-specific. The mapped boundary is a planning-designation geometry, not an ownership or access boundary.","Detailed ACEC-specific plan pages, maps, prescriptions, land status, access, and related-designation intersections remain a documented research/overlay phase.",1,7742.300797400003,True,equivalent_within_qa_tolerance,user-supplied BRIM acec shapefile; EPSG:3310; original snapshot preserved
acec-19355b869d75a5,Amargosa North,amargosa north,,"amargosa north|CDCA Plan, as amended by DRECP|DOI-BLM-CA-D010-2014-0001-RMP-EIS|2016-09-14|CAD00000",currently_designated_source_layer,Currently mapped as designated,ACEC,ACEC,not_verified,True,False,False,unverified,unverified,1,1,0,,not_researched,124316.843543,124316.843543,0.0,0.0,California Desert District,,California Desert District,CAD00000,1,"CDCA Plan, as amended by DRECP",2016-09-14,2016,BLM land-use planning decision,DOI-BLM-CA-D010-2014-0001-RMP-EIS,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,,Current statewide source supplies one governing-plan/ROD association; earlier boundary and designation history require plan-level research.,"Fish or aquatic resources, and Wildlife resources.",water_aquatic;wildlife_and_habitat,The statewide source identifies special management attention to prevent irreparable damage to those values. Detailed restrictions and exceptions are plan-specific.,"Legal access, ownership, inholdings, and component-specific restrictions were not established from the statewide ACEC layer.",,California,,drecp,documented_designation_value,The statewide source identifies fish-resource relevance.,,not_verified,,statewide_source_map_only,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,direct_official_plan_or_project_page,https://www.blm.gov/office/california-desert-district-office,official_unit_url_candidate_not_http_validated,not_systematically_researched,not_systematically_researched,statewide_source_audit_complete_plan_level_research_partial,2026-08-05,high_source_identity_medium_semantic_history,"Amargosa North is represented in the current BLM California designated-ACEC layer under CDCA Plan, as amended by DRECP. The statewide source identifies fish or aquatic resources, and wildlife resources as relevant designation categories. The statewide source identifies special management attention to prevent irreparable damage to those values. Detailed restrictions and exceptions are plan-specific. The mapped boundary is a planning-designation geometry, not an ownership or access boundary.","Detailed ACEC-specific plan pages, maps, prescriptions, land status, access, and related-designation intersections remain a documented research/overlay phase.",1,124316.84354282577,True,equivalent_within_qa_tolerance,user-supplied BRIM acec shapefile; EPSG:3310; original snapshot preserved
acec-4e6db7be3808b1,Amargosa South,amargosa south,,"amargosa south|CDCA Plan, as amended by DRECP|DOI-BLM-CA-D010-2014-0001-RMP-EIS|2016-09-14|CAD00000",currently_designated_source_layer,Currently mapped as designated,ACEC,ACEC,not_verified,True,False,False,unverified,unverified,1,1,0,,not_researched,161328.085332,161328.085332,0.0,0.0,California Desert District,,California Desert District,CAD00000,1,"CDCA Plan, as amended by DRECP",2016-09-14,2016,BLM land-use planning decision,DOI-BLM-CA-D010-2014-0001-RMP-EIS,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,,Current statewide source supplies one governing-plan/ROD association; earlier boundary and designation history require plan-level research.,"Fish or aquatic resources, Historic resources, and Wildlife resources.",cultural_archaeological_historic;water_aquatic;wildlife_and_habitat,The statewide source identifies special management attention to prevent irreparable damage to those values. Detailed restrictions and exceptions are plan-specific.,"Legal access, ownership, inholdings, and component-specific restrictions were not established from the statewide ACEC layer.",,California,,drecp,documented_designation_value,The statewide source identifies fish-resource relevance.,,not_verified,,statewide_source_map_only,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,direct_official_plan_or_project_page,https://www.blm.gov/office/california-desert-district-office,official_unit_url_candidate_not_http_validated,not_systematically_researched,not_systematically_researched,statewide_source_audit_complete_plan_level_research_partial,2026-08-05,high_source_identity_medium_semantic_history,"Amargosa South is represented in the current BLM California designated-ACEC layer under CDCA Plan, as amended by DRECP. The statewide source identifies fish or aquatic resources, historic resources, and wildlife resources as relevant designation categories. The statewide source identifies special management attention to prevent irreparable damage to those values. Detailed restrictions and exceptions are plan-specific. The mapped boundary is a planning-designation geometry, not an ownership or access boundary.","Detailed ACEC-specific plan pages, maps, prescriptions, land status, access, and related-designation intersections remain a documented research/overlay phase.",1,161328.08296418958,True,equivalent_within_qa_tolerance,user-supplied BRIM acec shapefile; EPSG:3310; original snapshot preserved
acec-ef280204ec7b96,Amboy Crater,amboy crater,,amboy crater|CDCA Plan|DOI-BLM-CA-D010-2014-0001-RMP-EIS|2016-09-14|CAD00000,currently_designated_source_layer,Currently mapped as designated,ACEC,ACEC,not_verified,True,False,False,unverified,unverified,1,1,0,,not_researched,639.985018,639.985018,-0.0,-0.0,California Desert District,,California Desert District,CAD00000,1,CDCA Plan,2016-09-14,2016,BLM land-use planning decision,DOI-BLM-CA-D010-2014-0001-RMP-EIS,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,,Current statewide source supplies one governing-plan/ROD association; earlier boundary and designation history require plan-level research.,"Natural processes, and Scenic values.",botanical_or_ecological;scenic,The statewide source identifies special management attention to prevent irreparable damage to those values. Detailed restrictions and exceptions are plan-specific.,"Legal access, ownership, inholdings, and component-specific restrictions were not established from the statewide ACEC layer.",,California,,drecp,no_water_value_identified_in_statewide_source,No fish-resource relevance is coded affirmative in the statewide source; spatial hydrologic context has not been derived.,,not_verified,,statewide_source_map_only,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,direct_official_plan_or_project_page,https://www.blm.gov/office/california-desert-district-office,official_unit_url_candidate_not_http_validated,not_systematically_researched,not_systematically_researched,statewide_source_audit_complete_plan_level_research_partial,2026-08-05,high_source_identity_medium_semantic_history,"Amboy Crater is represented in the current BLM California designated-ACEC layer under CDCA Plan. The statewide source identifies natural processes, and scenic values as relevant designation categories. The statewide source identifies special management attention to prevent irreparable damage to those values. Detailed restrictions and exceptions are plan-specific. The mapped boundary is a planning-designation geometry, not an ownership or access boundary.","Detailed ACEC-specific plan pages, maps, prescriptions, land status, access, and related-designation intersections remain a documented research/overlay phase.",1,639.9850182943306,True,equivalent_within_qa_tolerance,user-supplied BRIM acec shapefile; EPSG:3310; original snapshot preserved
acec-2f8b0003630f1d,Ancient Lakeshores - Alkali Sinks,ancient lakeshores alkali sinks,,ancient lakeshores alkali sinks|Bakersfield Resource Management Plan|DOI-BLM-CA-C060-2014-0001-RMP-EIS|2014-12-22|CAC06000,currently_designated_source_layer,Currently mapped as designated,ACEC,ACEC,not_verified,True,False,False,unverified,unverified,1,1,1,,not_researched,402.420484,402.420484,0.0,0.0,Central California District,Bakersfield Field Office,Bakersfield Field Office,CAC06000,1,Bakersfield Resource Management Plan,2014-12-22,2014,BLM land-use planning decision,DOI-BLM-CA-C060-2014-0001-RMP-EIS,https://eplanning.blm.gov/Project-Home/?id=77b9ea95-a7f2-f011-8406-001dd802fdea,,Current statewide source supplies one governing-plan/ROD association; earlier boundary and designation history require plan-level research.,"Cultural resources, Fish or aquatic resources, Historic resources, Natural processes, Natural systems, and Wildlife resources.",botanical_or_ecological;cultural_archaeological_historic;water_aquatic;wildlife_and_habitat,The statewide source identifies special management attention to prevent irreparable damage to those values. Detailed restrictions and exceptions are plan-specific.,"Legal access, ownership, inholdings, and component-specific restrictions were not established from the statewide ACEC layer.",,California,,central_california_plan,documented_designation_value,The statewide source identifies fish-resource relevance.,,not_verified,,statewide_source_map_only,https://eplanning.blm.gov/Project-Home/?id=77b9ea95-a7f2-f011-8406-001dd802fdea,direct_official_plan_or_project_page,https://www.blm.gov/office/bakersfield-field-office,official_unit_url_candidate_not_http_validated,not_systematically_researched,not_systematically_researched,statewide_source_audit_complete_plan_level_research_partial,2026-08-05,high_source_identity_medium_semantic_history,"Ancient Lakeshores - Alkali Sinks is represented in the current BLM California designated-ACEC layer under Bakersfield Resource Management Plan. The statewide source identifies cultural resources, fish or aquatic resources, historic resources, natural processes, natural systems, and wildlife resources as relevant designation categories. The statewide source identifies special management attention to prevent irreparable damage to those values. Detailed restrictions and exceptions are plan-specific. The mapped boundary is a planning-designation geometry, not an ownership or access boundary.","Detailed ACEC-specific plan pages, maps, prescriptions, land status, access, and related-designation intersections remain a documented research/overlay phase.",3,402.4204836392346,True,equivalent_within_qa_tolerance,user-supplied BRIM acec shapefile; EPSG:3310; original snapshot preserved
acec-a9da4ed4f3157a,Ancient Lakeshores - Goose Lake,ancient lakeshores goose lake,,ancient lakeshores goose lake|Bakersfield Resource Management Plan|DOI-BLM-CA-C060-2014-0001-RMP-EIS|2014-12-22|CAC06000,currently_designated_source_layer,Currently mapped as designated,ACEC,ACEC,not_verified,True,False,False,unverified,unverified,1,1,0,,not_researched,40.282013,40.282013,-0.0,-0.0,Central California District,Bakersfield Field Office,Bakersfield Field Office,CAC06000,1,Bakersfield Resource Management Plan,2014-12-22,2014,BLM land-use planning decision,DOI-BLM-CA-C060-2014-0001-RMP-EIS,https://eplanning.blm.gov/Project-Home/?id=77b9ea95-a7f2-f011-8406-001dd802fdea,,Current statewide source supplies one governing-plan/ROD association; earlier boundary and designation history require plan-level research.,"Cultural resources, Fish or aquatic resources, Historic resources, Natural processes, Natural systems, Scenic values, and Wildlife resources.",botanical_or_ecological;cultural_archaeological_historic;scenic;water_aquatic;wildlife_and_habitat,The statewide source identifies special management attention to protect identified relevant and important values and prevent irreparable damage to those values. Detailed restrictions and exceptions are plan-specific.,"Legal access, ownership, inholdings, and component-specific restrictions were not established from the statewide ACEC layer.",,California,,central_california_plan,documented_designation_value,The statewide source identifies fish-resource relevance.,,not_verified,,statewide_source_map_only,https://eplanning.blm.gov/Project-Home/?id=77b9ea95-a7f2-f011-8406-001dd802fdea,direct_official_plan_or_project_page,https://www.blm.gov/office/bakersfield-field-office,official_unit_url_candidate_not_http_validated,not_systematically_researched,not_systematically_researched,statewide_source_audit_complete_plan_level_research_partial,2026-08-05,high_source_identity_medium_semantic_history,"Ancient Lakeshores - Goose Lake is represented in the current BLM California designated-ACEC layer under Bakersfield Resource Management Plan. The statewide source identifies cultural resources, fish or aquatic resources, historic resources, natural processes, natural systems, scenic values, and wildlife resources as relevant designation categories. The statewide source identifies special management attention to protect identified relevant and important values and prevent irreparable damage to those values. Detailed restrictions and exceptions are plan-specific. The mapped boundary is a planning-designation geometry, not an ownership or access boundary.","Detailed ACEC-specific plan pages, maps, prescriptions, land status, access, and related-designation intersections remain a documented research/overlay phase.",1,40.282012830144836,True,equivalent_within_qa_tolerance,user-supplied BRIM acec shapefile; EPSG:3310; original snapshot preserved
acec-b9e89555f6b9bd,Ancient Lakeshores - Sand Ridge,ancient lakeshores sand ridge,,ancient lakeshores sand ridge|Bakersfield Resource Management Plan|DOI-BLM-CA-C060-2014-0001-RMP-EIS|2014-12-22|CAC06000,currently_designated_source_layer,Currently mapped as designated,ACEC,ACEC,not_verified,True,False,False,unverified,unverified,1,1,0,,not_researched,1600.474006,1600.474006,0.0,0.0,Central California District,Bakersfield Field Office,Bakersfield Field Office,CAC06000,1,Bakersfield Resource Management Plan,2014-12-22,2014,BLM land-use planning decision,DOI-BLM-CA-C060-2014-0001-RMP-EIS,https://eplanning.blm.gov/Project-Home/?id=77b9ea95-a7f2-f011-8406-001dd802fdea,,Current statewide source supplies one governing-plan/ROD association; earlier boundary and designation history require plan-level research.,"Fish or aquatic resources, Historic resources, Natural processes, Scenic values, and Wildlife resources.",botanical_or_ecological;cultural_archaeological_historic;scenic;water_aquatic;wildlife_and_habitat,The statewide source identifies special management attention to prevent irreparable damage to those values. Detailed restrictions and exceptions are plan-specific.,"Legal access, ownership, inholdings, and component-specific restrictions were not established from the statewide ACEC layer.",,California,,central_california_plan,documented_designation_value,The statewide source identifies fish-resource relevance.,,not_verified,,statewide_source_map_only,https://eplanning.blm.gov/Project-Home/?id=77b9ea95-a7f2-f011-8406-001dd802fdea,direct_official_plan_or_project_page,https://www.blm.gov/office/bakersfield-field-office,official_unit_url_candidate_not_http_validated,not_systematically_researched,not_systematically_researched,statewide_source_audit_complete_plan_level_research_partial,2026-08-05,high_source_identity_medium_semantic_history,"Ancient Lakeshores - Sand Ridge is represented in the current BLM California designated-ACEC layer under Bakersfield Resource Management Plan. The statewide source identifies fish or aquatic resources, historic resources, natural processes, scenic values, and wildlife resources as relevant designation categories. The statewide source identifies special management attention to prevent irreparable damage to those values. Detailed restrictions and exceptions are plan-specific. The mapped boundary is a planning-designation geometry, not an ownership or access boundary.","Detailed ACEC-specific plan pages, maps, prescriptions, land status, access, and related-designation intersections remain a documented research/overlay phase.",1,1600.474006465794,True,equivalent_within_qa_tolerance,user-supplied BRIM acec shapefile; EPSG:3310; original snapshot preserved
acec-c06f4dd9f79c23,Ash Valley,ash valley,,ash valley|Alturas|DOI-BLM-CA-N020-2008-0001-RMP-EIS|2008-04-17|CAN02000,currently_designated_source_layer,Currently mapped as designated,ACEC,ACEC,not_verified,True,False,False,unverified,unverified,1,1,1,,not_researched,1224.88003,1224.88003,0.0,0.0,Northern California District,Applegate Field Office,Applegate Field Office,CAN02000,1,Alturas,2008-04-17,2008,BLM land-use planning decision,DOI-BLM-CA-N020-2008-0001-RMP-EIS,https://eplanning.blm.gov/Project-Home/?id=e567a393-a7f2-f011-8407-001dd80c29f3,,Current statewide source supplies one governing-plan/ROD association; earlier boundary and designation history require plan-level research.,"Natural processes, and Natural systems.",botanical_or_ecological,The statewide source identifies special management attention to prevent irreparable damage to those values. Detailed restrictions and exceptions are plan-specific.,"Legal access, ownership, inholdings, and component-specific restrictions were not established from the statewide ACEC layer.",,California,,northern_california_other_plan,no_water_value_identified_in_statewide_source,No fish-resource relevance is coded affirmative in the statewide source; spatial hydrologic context has not been derived.,,not_verified,,statewide_source_map_only,https://eplanning.blm.gov/Project-Home/?id=e567a393-a7f2-f011-8407-001dd80c29f3,direct_official_plan_or_project_page,https://www.blm.gov/office/applegate-field-office,official_unit_url_candidate_not_http_validated,not_systematically_researched,not_systematically_researched,statewide_source_audit_complete_plan_level_research_partial,2026-08-05,high_source_identity_medium_semantic_history,"Ash Valley is represented in the current BLM California designated-ACEC layer under Alturas. The statewide source identifies natural processes, and natural systems as relevant designation categories. The statewide source identifies special management attention to prevent irreparable damage to those values. Detailed restrictions and exceptions are plan-specific. The mapped boundary is a planning-designation geometry, not an ownership or access boundary.","Detailed ACEC-specific plan pages, maps, prescriptions, land status, access, and related-designation intersections remain a documented research/overlay phase.",2,1224.8800303599492,True,equivalent_within_qa_tolerance,user-supplied BRIM acec shapefile; EPSG:3310; original snapshot preserved
acec-561918c93985ab,Avawatz Mountains WSA,avawatz mountains wsa,,"avawatz mountains wsa|CDCA Plan, as amended by DRECP||2016-09-14|CAD00000",currently_designated_source_layer,Currently mapped as designated,ACEC,ACEC,not_verified,True,False,False,unverified,unverified,1,1,0,,not_researched,53158.638661,53158.638661,-0.0,-0.0,California Desert District,,California Desert District,CAD00000,1,"CDCA Plan, as amended by DRECP",2016-09-14,2016,BLM land-use planning decision,,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california,,Current statewide source supplies one governing-plan/ROD association; earlier boundary and designation history require plan-level research.,"Fish or aquatic resources, Natural processes, and Wildlife resources.",botanical_or_ecological;water_aquatic;wildlife_and_habitat,The statewide source identifies special management attention to prevent irreparable damage to those values. Detailed restrictions and exceptions are plan-specific.,"Legal access, ownership, inholdings, and component-specific restrictions were not established from the statewide ACEC layer.",,California,,drecp,documented_designation_value,The statewide source identifies fish-resource relevance.,,not_verified,,statewide_source_map_only,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california,official_california_plan_index_only,https://www.blm.gov/office/california-desert-district-office,official_unit_url_candidate_not_http_validated,not_systematically_researched,not_systematically_researched,statewide_source_audit_complete_plan_level_research_partial,2026-08-05,high_source_identity_medium_semantic_history,"Avawatz Mountains WSA is represented in the current BLM California designated-ACEC layer under CDCA Plan, as amended by DRECP. The statewide source identifies fish or aquatic resources, natural processes, and wildlife resources as relevant designation categories. The statewide source identifies special management attention to prevent irreparable damage to those values. Detailed restrictions and exceptions are plan-specific. The mapped boundary is a planning-designation geometry, not an ownership or access boundary.","Detailed ACEC-specific plan pages, maps, prescriptions, land status, access, and related-designation intersections remain a documented research/overlay phase.",1,53158.63866116484,True,equivalent_within_qa_tolerance,user-supplied BRIM acec shapefile; EPSG:3310; original snapshot preserved
