acec_id,component_id,value_record_id,value_family,value_type,value_name,value_scope,value_is_primary,value_description,value_source_document,value_source_url,value_source_page,value_source_section,value_last_verified,value_confidence,water_resource_connection,provenance_class,notes
acec-2f049d343b6beb,blmca-4361352e-8ad0-4e17-8819-a66cbe28099b,value-b81fe5e2e0c1,cultural_archaeological_historic,cultural,Cultural resources,selected source record and semantic ACEC (one-to-one in current inventory),unresolved,Official statewide source codes cultural resources as relevant (YES).,BLM CA ACEC FeatureServer,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,,ACEC_RLVNCE_CUL,2026-08-05,high_source_code,not_classified_as_water_value,authoritative_source,"This is a controlled statewide relevance category, not a detailed unit-specific value narrative."
acec-2f049d343b6beb,blmca-4361352e-8ad0-4e17-8819-a66cbe28099b,value-0f23617c0ebc,botanical_or_ecological,natural_process,Natural processes,selected source record and semantic ACEC (one-to-one in current inventory),unresolved,Official statewide source codes natural processes as relevant (YES).,BLM CA ACEC FeatureServer,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,,ACEC_RLVNCE_NPRO,2026-08-05,high_source_code,not_classified_as_water_value,authoritative_source,"This is a controlled statewide relevance category, not a detailed unit-specific value narrative."
acec-2f049d343b6beb,blmca-4361352e-8ad0-4e17-8819-a66cbe28099b,value-f042d7919285,botanical_or_ecological,natural_system,Natural systems,selected source record and semantic ACEC (one-to-one in current inventory),unresolved,Official statewide source codes natural systems as relevant (YES).,BLM CA ACEC FeatureServer,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,,ACEC_RLVNCE_NSYS,2026-08-05,high_source_code,not_classified_as_water_value,authoritative_source,"This is a controlled statewide relevance category, not a detailed unit-specific value narrative."
acec-2f049d343b6beb,blmca-4361352e-8ad0-4e17-8819-a66cbe28099b,value-9725113d59a9,wildlife_and_habitat,wildlife_resource,Wildlife resources,selected source record and semantic ACEC (one-to-one in current inventory),unresolved,Official statewide source codes wildlife resources as relevant (YES).,BLM CA ACEC FeatureServer,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,,ACEC_RLVNCE_WRSC,2026-08-05,high_source_code,not_classified_as_water_value,authoritative_source,"This is a controlled statewide relevance category, not a detailed unit-specific value narrative."
acec-c0fa64746ffb35,blmca-33ea03d1-a477-4b15-9750-67ffd176ef32,value-047810bc9b86,cultural_archaeological_historic,cultural,Cultural resources,selected source record and semantic ACEC (one-to-one in current inventory),unresolved,Official statewide source codes cultural resources as relevant (YES).,BLM CA ACEC FeatureServer,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,,ACEC_RLVNCE_CUL,2026-08-05,high_source_code,not_classified_as_water_value,authoritative_source,"This is a controlled statewide relevance category, not a detailed unit-specific value narrative."
acec-c0fa64746ffb35,blmca-33ea03d1-a477-4b15-9750-67ffd176ef32,value-3bbe0d152afd,cultural_archaeological_historic,historic,Historic resources,selected source record and semantic ACEC (one-to-one in current inventory),unresolved,Official statewide source codes historic resources as relevant (YES).,BLM CA ACEC FeatureServer,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,,ACEC_RLVNCE_HIS,2026-08-05,high_source_code,not_classified_as_water_value,authoritative_source,"This is a controlled statewide relevance category, not a detailed unit-specific value narrative."
acec-c0fa64746ffb35,blmca-33ea03d1-a477-4b15-9750-67ffd176ef32,value-a3e269feb4dc,scenic,scenic,Scenic values,selected source record and semantic ACEC (one-to-one in current inventory),unresolved,Official statewide source codes scenic values as relevant (YES).,BLM CA ACEC FeatureServer,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,,ACEC_RLVNCE_SCE,2026-08-05,high_source_code,not_classified_as_water_value,authoritative_source,"This is a controlled statewide relevance category, not a detailed unit-specific value narrative."
acec-c0fa64746ffb35,blmca-33ea03d1-a477-4b15-9750-67ffd176ef32,value-f7a305e3a971,wildlife_and_habitat,wildlife_resource,Wildlife resources,selected source record and semantic ACEC (one-to-one in current inventory),unresolved,Official statewide source codes wildlife resources as relevant (YES).,BLM CA ACEC FeatureServer,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,,ACEC_RLVNCE_WRSC,2026-08-05,high_source_code,not_classified_as_water_value,authoritative_source,"This is a controlled statewide relevance category, not a detailed unit-specific value narrative."
acec-19355b869d75a5,blmca-006bce6f-aff5-4f0c-a926-e4de1bfd5b8f,value-a186aa01a0e0,water_aquatic,fish_resource,Fish or aquatic resources,selected source record and semantic ACEC (one-to-one in current inventory),unresolved,Official statewide source codes fish or aquatic resources as relevant (YES).,BLM CA ACEC FeatureServer,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,,ACEC_RLVNCE_FRSC,2026-08-05,high_source_code,designation_value,authoritative_source,"This is a controlled statewide relevance category, not a detailed unit-specific value narrative."
acec-19355b869d75a5,blmca-006bce6f-aff5-4f0c-a926-e4de1bfd5b8f,value-5d2d3a85a2b7,wildlife_and_habitat,wildlife_resource,Wildlife resources,selected source record and semantic ACEC (one-to-one in current inventory),unresolved,Official statewide source codes wildlife resources as relevant (YES).,BLM CA ACEC FeatureServer,https://gis.blm.gov/caarcgis/rest/services/Planning/BLM_CA_ACEC/FeatureServer/0,,ACEC_RLVNCE_WRSC,2026-08-05,high_source_code,not_classified_as_water_value,authoritative_source,"This is a controlled statewide relevance category, not a detailed unit-specific value narrative."
