acec_id,official_acec_name,wsa_name_context_status,current_wsa_name,current_wsa_nlcs_id,current_wsa_global_id,current_wsa_feature_key,comparison_inventory,comparison_source_url,comparison_date,match_method,popup_wording
acec-561918c93985ab,Avawatz Mountains WSA,historical_name_only,,,,,BRIM current 63-record BLM California WSA inventory,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_WildernessStudyAreas/FeatureServer/0,2026-08-06,no normalized-name match in current inventory,"Historical WSA name: this ACEC retains “WSA” in its official ACEC name, but it is not a current Wilderness Study Area."
acec-a639e3210a97b6,Cady Mountains WSA,historical_name_only,,,,,BRIM current 63-record BLM California WSA inventory,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_WildernessStudyAreas/FeatureServer/0,2026-08-06,no normalized-name match in current inventory,"Historical WSA name: this ACEC retains “WSA” in its official ACEC name, but it is not a current Wilderness Study Area."
acec-07e809c436333a,Cerro Gordo WSA,current_wsa,Cerro Gordo Wilderness Study Area,NLCS000219,{1E2DA3A2-E675-4683-9836-7BEB203BD694},wsa:nlcs_id:nlcs000219,BRIM current 63-record BLM California WSA inventory,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_WildernessStudyAreas/FeatureServer/0,2026-08-06,normalized official-name match after WSA suffix expansion,Also a current BLM Wilderness Study Area.
acec-44eff1e0aa93e7,Death Valley 17 WSA,historical_name_only,,,,,BRIM current 63-record BLM California WSA inventory,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_WildernessStudyAreas/FeatureServer/0,2026-08-06,no normalized-name match in current inventory,"Historical WSA name: this ACEC retains “WSA” in its official ACEC name, but it is not a current Wilderness Study Area."
acec-903e84da97e457,Independence Creek WSA,current_wsa,Independence Creek Wilderness Study Area,NLCS000255,{182FC325-075A-470B-A37B-F6192FF4B979},wsa:nlcs_id:nlcs000255,BRIM current 63-record BLM California WSA inventory,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_WildernessStudyAreas/FeatureServer/0,2026-08-06,normalized official-name match after WSA suffix expansion,Also a current BLM Wilderness Study Area.
acec-c6832fe4fe69ff,Kingston Range WSA,historical_name_only,,,,,BRIM current 63-record BLM California WSA inventory,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_WildernessStudyAreas/FeatureServer/0,2026-08-06,no normalized-name match in current inventory,"Historical WSA name: this ACEC retains “WSA” in its official ACEC name, but it is not a current Wilderness Study Area."
acec-567f19f3c713d7,Soda Mountains WSA,historical_name_only,,,,,BRIM current 63-record BLM California WSA inventory,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_WildernessStudyAreas/FeatureServer/0,2026-08-06,no normalized-name match in current inventory,"Historical WSA name: this ACEC retains “WSA” in its official ACEC name, but it is not a current Wilderness Study Area."
acec-b365df2948c9b1,Southern Inyo WSA,current_wsa,Southern Inyo Wilderness Study Area,NLCS000238,{016275E4-4BFF-4521-BCD2-48BD824560A4},wsa:nlcs_id:nlcs000238,BRIM current 63-record BLM California WSA inventory,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_WildernessStudyAreas/FeatureServer/0,2026-08-06,normalized official-name match after WSA suffix expansion,Also a current BLM Wilderness Study Area.
acec-db1c025620ee95,Symmes Creek WSA,current_wsa,Symmes Creek Wilderness Study Area,NLCS000254,{BBFC212F-9BAD-4CD2-A17C-415DC7EC4944},wsa:nlcs_id:nlcs000254,BRIM current 63-record BLM California WSA inventory,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_WildernessStudyAreas/FeatureServer/0,2026-08-06,normalized official-name match after WSA suffix expansion,Also a current BLM Wilderness Study Area.
acec-ed38a295261e2f,Timbered Crater WSA,current_wsa,Timbered Crater Wilderness Study Area,NLCS000246,{77A70B9A-9B5D-44EB-A05B-CCC22E59A3FB},wsa:nlcs_id:nlcs000246,BRIM current 63-record BLM California WSA inventory,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_WildernessStudyAreas/FeatureServer/0,2026-08-06,normalized official-name match after WSA suffix expansion,Also a current BLM Wilderness Study Area.
acec-75b3171ed4c960,White Mountains WSA,current_wsa,White Mountains Wilderness Study Area,NLCS000234,{E7B931CA-91AB-453C-BFC3-17A0A3E9FA8F},wsa:nlcs_id:nlcs000234,BRIM current 63-record BLM California WSA inventory,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_WildernessStudyAreas/FeatureServer/0,2026-08-06,normalized official-name match after WSA suffix expansion,Also a current BLM Wilderness Study Area.
