document_id,exact_title,agency_or_publisher,document_type,publication_date,decision_date,status,direct_document_url,official_landing_page_url,applicability,verification_date,limitation_notes
DOC001,"Omnibus Public Land Management Act of 2009, Public Law 111-11",U.S. Government Publishing Office,public_law,2009-03-30,,current,https://www.govinfo.gov/content/pkg/PLAW-111publ11/html/PLAW-111publ11.htm,https://www.govinfo.gov/content/pkg/PLAW-111publ11/html/PLAW-111publ11.htm,system-wide,2026-08-04,System authority; not individual named-unit establishment evidence.
DOC002,16 U.S.C. 7202 - Establishment of the National Landscape Conservation System,Office of the Law Revision Counsel,us_code,,,current,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title16-section7202,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title16-section7202,system-wide,2026-08-04,System authority only.
DOC003,43 U.S.C. 1781 - California Desert Conservation Area,U.S. Government Publishing Office,us_code_and_statutory_notes,,1976-10-21,current,https://www.govinfo.gov/content/pkg/USCODE-2024-title43/html/USCODE-2024-title43-chap35-subchapVI-sec1781.htm,https://www.govinfo.gov/content/pkg/USCODE-2024-title43/html/USCODE-2024-title43-chap35-subchapVI-sec1781.htm,CDCA-wide,2026-08-04,CDCA planning authority applies to public lands; other agencies retain jurisdiction over their lands.
DOC004,"California Desert Protection Act of 1994, section 107 - Desert Lily Sanctuary",U.S. Congress / U.S. Government Publishing Office,public_law_section,1994-10-31,1994-10-31,current,https://www.govinfo.gov/content/pkg/USCODE-2024-title43/html/USCODE-2024-title43-chap35-subchapVI-sec1781.htm,https://www.govinfo.gov/content/pkg/USCODE-2024-title43/html/USCODE-2024-title43-chap35-subchapVI-sec1781.htm,related-designation-specific,2026-08-04,Establishes Desert Lily Sanctuary; exact identity with Desert Lily Preserve source geometry is unresolved.
DOC005,Desert Renewable Energy Conservation Plan Land Use Plan Amendment and Record of Decision,Bureau of Land Management,record_of_decision_and_land_use_plan_amendment,2016-09,2016-09-14,current,https://friendsoftheinyo.org/wp-content/uploads/2019/10/DRECP_BLM_LUPA.pdf,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,DRECP-wide,2026-08-04,Direct PDF is a mirror of the BLM-authored document; official BLM landing page retained.
DOC006,Desert Renewable Energy Conservation Plan,Bureau of Land Management,official_landing_page,,2016-09-14,current,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,DRECP-wide,2026-08-04,Landing page; not unit-specific.
DOC007,National Conservation Lands of the California Desert,Bureau of Land Management,official_program_page,,,current,https://www.blm.gov/programs/national-conservation-lands/national-conservation-lands-of-the-california-desert,https://www.blm.gov/programs/national-conservation-lands/national-conservation-lands-of-the-california-desert,California Desert-wide,2026-08-04,"General program page, not unit-specific."
DOC008,BLM CA California Desert National Conservation Lands Feature Layer,Bureau of Land Management,official_gis_layer,,,current_dynamic,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_CDNCL/FeatureServer/0,https://gbp-blm-egis.hub.arcgis.com/datasets/BLM-EGIS::blm-ca-california-desert-national-conservation-lands/about,California Desert-wide,2026-08-04,Dynamic mapping source; not a legal land-status survey.
DOC009,BLM National Conservation Lands - California,Bureau of Land Management,official_program_inventory_page,,,current,https://www.blm.gov/programs/national-conservation-lands/california,https://www.blm.gov/programs/national-conservation-lands/california,system-wide,2026-08-04,Shows distinct National Conservation Lands families.
DOC010,California Desert District Office,Bureau of Land Management,official_office_page,,,current_dynamic,https://www.blm.gov/office/california-desert-district-office,https://www.blm.gov/office/california-desert-district-office,district-wide,2026-08-04,District context; not feature-level field-office assignment.
DOC011,BLM National ACEC inventory spreadsheet,Bureau of Land Management,official_inventory_spreadsheet,,,current_or_undated,https://www.blm.gov/sites/blm.gov/files/planningandnepa_aceclist.xlsx,,related-designation-specific,2026-08-04,Used for Desert Lily Preserve ACEC name and reported acreage only.
DOC012,DRECP overview,Bureau of Land Management,official_program_overview,2016,,current_background,https://www.blm.gov/sites/default/files/documents/files/media-center-public-room-california-desert-renewable-energy-conservation-plan-overview.pdf,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,DRECP-wide,2026-08-04,High-level public summary.
DOC013,April 2024 California Desert Advisory Council meeting transcript,Bureau of Land Management,official_meeting_transcript,2024-04,,current_background,https://www.blm.gov/sites/default/files/docs/2024-06/April_2024_DAC_Meeting_Transcript_508.pdf,https://www.blm.gov/office/california-desert-district-office,California Desert-wide,2026-08-04,"Supplemental explanation, not controlling authority."
