nlcs_id,semantic_unit_id,raw_source_name,standardized_display_name,aliases_summary,mapped_unit_class,mapped_unit_interpretation,semantic_interpretation_confidence,individual_establishment_status,individual_establishment_date,system_level_statutory_authority,drecp_decision_authority,named_unit_or_boundary_authority,planning_context,geographic_description,directly_supported_conservation_values,directly_supported_management_objectives,administering_agency,blm_role,blm_role_summary,responsible_blm_district,responsible_blm_office,responsible_office_status,intersecting_offices_summary,source_shape_area,source_shape_area_units,geometry_calculated_acres,geometry_calculated_sqmi,calculation_crs,calculation_method,official_reported_acres,official_reported_area_scope,area_provenance,area_discrepancy_acres,program_page_url,unit_specific_page_url,office_page_url,primary_plan_title,primary_plan_url,official_source_layer_url,access_and_route_caveat,land_status_caveat,boundary_caveat,relationship_summary,source_limitations,last_verification_date
NLCS002009,NLCS002009,Basin and Range,Basin and Range,See brim_ca_desert_ncl_aliases.csv,drecp_ecoregion_subarea_allocation,One of ten named DRECP ecoregion subareas used to describe and map California Desert National Conservation Lands.,high,not_individually_established_by_name,,Public Law 111-11; 16 U.S.C. 7202,"DRECP Record of Decision and Approved Land Use Plan Amendment, 2016-09-14",16 U.S.C. 7202(b)(2)(D) system authority; 2016 DRECP ROD/LUPA identification and management direction.,Source name corresponds to the DRECP ecoregion subarea “Basin and Range Subarea” by exact or reviewed alias match.,"Ecoregion subarea extending from the Nevada line toward the Sierra Nevada, with abrupt mountain-to-basin elevation changes, streams, springs, riparian areas, and Great Basin-to-Mojave vegetation transitions.","DRECP-supported values include high-elevation and desert vegetation gradients, streams, springs, riparian oases, and nationally significant ecological, cultural, and scientific landscapes.","Apply DRECP LUPA-wide and California Desert National Conservation Lands conservation and management actions on BLM-administered lands; use applicable ACEC, travel, recreation, and other site-specific plans where they overlap.","U.S. Bureau of Land Management, limited to BLM-administered lands and applicable BLM authorities",planning_authority_on_blm_lands,BLM is the planning authority and land manager for BLM-administered public lands within the DRECP allocation; the source polygon is not evidence that every acre is BLM-owned.,California Desert District,,not_directly_verified,Not calculated in this research environment; see office context and review queue.,1664281477.266700,square meters inferred from EPSG:3310 geometry properties and service metadata,411252.9,642.58,EPSG:3310 NAD83 / California Albers,"source Shape__Area divided by 4,046.8564224 m²/acre and 2,589,988.110336 m²/mi²; no geometry recomputation",377000,Rounded BLM-administered California Desert NCL acreage reported for the Basin and Range Subarea in the 2016 DRECP LUPA.,geometry_calculated_and_official_reported_kept_separate,34252.9,https://www.blm.gov/programs/national-conservation-lands/national-conservation-lands-of-the-california-desert,,,Desert Renewable Energy Conservation Plan Land Use Plan Amendment and Record of Decision,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_CDNCL/FeatureServer/0,"Use current BLM route, closure, permit, and office information. The source polygon does not establish public access, route status, or permission to cross non-BLM land.",BLM planning or management authority applies to BLM-administered lands. The broad mapped polygon must not be interpreted as proof that all land inside is federally owned or BLM-administered.,"The source service is appropriate for screening and reference, not as a legal survey, cadastral record, or controlling designation map.","Separate BRIM layers for DRECP, ACECs, monuments, wilderness, WSAs, trails, and wild and scenic rivers retain their own identities and geometries. Spatial overlap should be derived from current BRIM local data.","Feature content is reconciled to the attached 2026-08-04 official-service snapshot; live service metadata was rechecked, but current geometries were not independently downloaded in this runtime.",2026-08-04
NLCS002010,NLCS002010,Coachella Valley,Coachella Valley,See brim_ca_desert_ncl_aliases.csv,drecp_ecoregion_subarea_allocation,One of ten named DRECP ecoregion subareas used to describe and map California Desert National Conservation Lands.,high,not_individually_established_by_name,,Public Law 111-11; 16 U.S.C. 7202,"DRECP Record of Decision and Approved Land Use Plan Amendment, 2016-09-14",16 U.S.C. 7202(b)(2)(D) system authority; 2016 DRECP ROD/LUPA identification and management direction.,Source name corresponds to the DRECP ecoregion subarea “Coachella Valley” by exact or reviewed alias match.,"DRECP ecoregion subarea in the northern Salton Sea Trough, including the Coachella Dunes, mountain watersheds, the San Andreas Fault system, and desert palm oases.","DRECP-supported values include dunes, watershed connections to the Salton Sea, fault-associated palm oases, and nationally significant ecological, cultural, and scientific landscapes.","Apply DRECP LUPA-wide and California Desert National Conservation Lands conservation and management actions on BLM-administered lands; use applicable ACEC, travel, recreation, and other site-specific plans where they overlap.","U.S. Bureau of Land Management, limited to BLM-administered lands and applicable BLM authorities",planning_authority_on_blm_lands,BLM is the planning authority and land manager for BLM-administered public lands within the DRECP allocation; the source polygon is not evidence that every acre is BLM-owned.,California Desert District,,not_directly_verified,Not calculated in this research environment; see office context and review queue.,512552665.007217,square meters inferred from EPSG:3310 geometry properties and service metadata,126654.5,197.90,EPSG:3310 NAD83 / California Albers,"source Shape__Area divided by 4,046.8564224 m²/acre and 2,589,988.110336 m²/mi²; no geometry recomputation",72000,Rounded BLM-administered California Desert NCL acreage reported for the Coachella Valley in the 2016 DRECP LUPA.,geometry_calculated_and_official_reported_kept_separate,54654.5,https://www.blm.gov/programs/national-conservation-lands/national-conservation-lands-of-the-california-desert,,,Desert Renewable Energy Conservation Plan Land Use Plan Amendment and Record of Decision,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_CDNCL/FeatureServer/0,"Use current BLM route, closure, permit, and office information. The source polygon does not establish public access, route status, or permission to cross non-BLM land.",BLM planning or management authority applies to BLM-administered lands. The broad mapped polygon must not be interpreted as proof that all land inside is federally owned or BLM-administered.,"The source service is appropriate for screening and reference, not as a legal survey, cadastral record, or controlling designation map.","Separate BRIM layers for DRECP, ACECs, monuments, wilderness, WSAs, trails, and wild and scenic rivers retain their own identities and geometries. Spatial overlap should be derived from current BRIM local data.","Feature content is reconciled to the attached 2026-08-04 official-service snapshot; live service metadata was rechecked, but current geometries were not independently downloaded in this runtime.",2026-08-04
NLCS002011,NLCS002011,Colorado Desert,Colorado Desert,See brim_ca_desert_ncl_aliases.csv,drecp_ecoregion_subarea_allocation,One of ten named DRECP ecoregion subareas used to describe and map California Desert National Conservation Lands.,high,not_individually_established_by_name,,Public Law 111-11; 16 U.S.C. 7202,"DRECP Record of Decision and Approved Land Use Plan Amendment, 2016-09-14",16 U.S.C. 7202(b)(2)(D) system authority; 2016 DRECP ROD/LUPA identification and management direction.,Source name corresponds to the DRECP ecoregion subarea “Colorado Desert” by exact or reviewed alias match.,"DRECP ecoregion subarea forming the western extension of the Sonoran Desert, bounded by the Colorado River and containing dunes, desert washes, microphyll woodlands, and scarce permanent springs.","DRECP-supported values include sand-dependent habitats, old-growth blue palo verde and ironwood stands, desert washes, springs, and intact Sonoran Desert landscapes.","Apply DRECP LUPA-wide and California Desert National Conservation Lands conservation and management actions on BLM-administered lands; use applicable ACEC, travel, recreation, and other site-specific plans where they overlap.","U.S. Bureau of Land Management, limited to BLM-administered lands and applicable BLM authorities",planning_authority_on_blm_lands,BLM is the planning authority and land manager for BLM-administered public lands within the DRECP allocation; the source polygon is not evidence that every acre is BLM-owned.,California Desert District,,not_directly_verified,Not calculated in this research environment; see office context and review queue.,3803010890.464290,square meters inferred from EPSG:3310 geometry properties and service metadata,939744.5,1468.35,EPSG:3310 NAD83 / California Albers,"source Shape__Area divided by 4,046.8564224 m²/acre and 2,589,988.110336 m²/mi²; no geometry recomputation",768000,Rounded BLM-administered California Desert NCL acreage reported for the Colorado Desert in the 2016 DRECP LUPA.,geometry_calculated_and_official_reported_kept_separate,171744.5,https://www.blm.gov/programs/national-conservation-lands/national-conservation-lands-of-the-california-desert,,,Desert Renewable Energy Conservation Plan Land Use Plan Amendment and Record of Decision,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_CDNCL/FeatureServer/0,"Use current BLM route, closure, permit, and office information. The source polygon does not establish public access, route status, or permission to cross non-BLM land.",BLM planning or management authority applies to BLM-administered lands. The broad mapped polygon must not be interpreted as proof that all land inside is federally owned or BLM-administered.,"The source service is appropriate for screening and reference, not as a legal survey, cadastral record, or controlling designation map.","Separate BRIM layers for DRECP, ACECs, monuments, wilderness, WSAs, trails, and wild and scenic rivers retain their own identities and geometries. Spatial overlap should be derived from current BRIM local data.","Feature content is reconciled to the attached 2026-08-04 official-service snapshot; live service metadata was rechecked, but current geometries were not independently downloaded in this runtime.",2026-08-04
NLCS002012,NLCS002012,Desert Lily Preserve,Desert Lily Preserve,See brim_ca_desert_ncl_aliases.csv,existing_ncl_component_candidate,A separate source-layer record whose name and area closely correspond to the BLM Desert Lily Preserve ACEC and the statutory Desert Lily Sanctuary; exact boundary identity is unresolved.,medium,same_area_statutory_designation_found_exact_equivalence_unresolved,1994-10-31,Public Law 111-11; 16 U.S.C. 7202,"DRECP Record of Decision and Approved Land Use Plan Amendment, 2016-09-14","Public Law 103-433, section 107 (Desert Lily Sanctuary); BLM ACEC inventory (Desert Lily Preserve); exact source-polygon equivalence unresolved.",Not one of the ten DRECP ecoregion subareas. The DRECP LUPA lists Desert Lily Sanctuary among existing NLCS components that the DRECP identification did not alter.,A small source-layer polygon named Desert Lily Preserve. It is not one of the ten ecoregion subareas summarized in the DRECP LUPA. Official records separately identify a Desert Lily Preserve ACEC and the congressionally established Desert Lily Sanctuary.,"The statute directs maximum protection of the desert lily within Desert Lily Sanctuary. Exact identity and boundary equivalence among the source-layer “Preserve,” the ACEC, and the statutory Sanctuary require direct geometry and map confirmation.",Statute directs maximum protection of the desert lily within Desert Lily Sanctuary. Applicable ACEC prescriptions require review in the controlling plan; exact source-layer identity remains to be confirmed.,"U.S. Bureau of Land Management, limited to BLM-administered lands and applicable BLM authorities",local_land_manager,BLM administers the statutory Desert Lily Sanctuary and the BLM-listed Desert Lily Preserve ACEC; exact relationship to this source polygon requires confirmation.,California Desert District,,not_directly_verified,Not calculated in this research environment; see office context and review queue.,8302475.519161,square meters inferred from EPSG:3310 geometry properties and service metadata,2051.6,3.21,EPSG:3310 NAD83 / California Albers,"source Shape__Area divided by 4,046.8564224 m²/acre and 2,589,988.110336 m²/mi²; no geometry recomputation",2051,"BLM ACEC inventory: Desert Lily Preserve; separate statute reports approximately 2,040 acres for Desert Lily Sanctuary.",geometry_calculated_and_official_reported_kept_separate,0.6,https://www.blm.gov/programs/national-conservation-lands/national-conservation-lands-of-the-california-desert,,,Desert Renewable Energy Conservation Plan Land Use Plan Amendment and Record of Decision,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_CDNCL/FeatureServer/0,"Use current BLM route, closure, permit, and office information. The source polygon does not establish public access, route status, or permission to cross non-BLM land.",BLM planning or management authority applies to BLM-administered lands. The broad mapped polygon must not be interpreted as proof that all land inside is federally owned or BLM-administered.,"The source service is appropriate for screening and reference, not as a legal survey, cadastral record, or controlling designation map.","Separate BRIM layers for DRECP, ACECs, monuments, wilderness, WSAs, trails, and wild and scenic rivers retain their own identities and geometries. Spatial overlap should be derived from current BRIM local data.","Feature content is reconciled to the attached 2026-08-04 official-service snapshot; live service metadata was rechecked, but current geometries were not independently downloaded in this runtime.",2026-08-04
NLCS002013,NLCS002013,Kingston - Amargosa,Kingston–Amargosa,See brim_ca_desert_ncl_aliases.csv,drecp_ecoregion_subarea_allocation,One of ten named DRECP ecoregion subareas used to describe and map California Desert National Conservation Lands.,high,not_individually_established_by_name,,Public Law 111-11; 16 U.S.C. 7202,"DRECP Record of Decision and Approved Land Use Plan Amendment, 2016-09-14",16 U.S.C. 7202(b)(2)(D) system authority; 2016 DRECP ROD/LUPA identification and management direction.,Source name corresponds to the DRECP ecoregion subarea “Kingston-Amargosa” by exact or reviewed alias match.,"DRECP ecoregion subarea characterized by permanent flowing water and wetlands within an extremely arid region and by habitat connections among wilderness areas, Death Valley National Park, and Mojave National Preserve.","DRECP-supported values include wetlands and flowing water, narrowly endemic species, special-status species habitat, and major landscape connections.","Apply DRECP LUPA-wide and California Desert National Conservation Lands conservation and management actions on BLM-administered lands; use applicable ACEC, travel, recreation, and other site-specific plans where they overlap.","U.S. Bureau of Land Management, limited to BLM-administered lands and applicable BLM authorities",planning_authority_on_blm_lands,BLM is the planning authority and land manager for BLM-administered public lands within the DRECP allocation; the source polygon is not evidence that every acre is BLM-owned.,California Desert District,,not_directly_verified,Not calculated in this research environment; see office context and review queue.,1910362058.454120,square meters inferred from EPSG:3310 geometry properties and service metadata,472060.7,737.59,EPSG:3310 NAD83 / California Albers,"source Shape__Area divided by 4,046.8564224 m²/acre and 2,589,988.110336 m²/mi²; no geometry recomputation",433000,Rounded BLM-administered California Desert NCL acreage reported for the Kingston-Amargosa in the 2016 DRECP LUPA.,geometry_calculated_and_official_reported_kept_separate,39060.7,https://www.blm.gov/programs/national-conservation-lands/national-conservation-lands-of-the-california-desert,,,Desert Renewable Energy Conservation Plan Land Use Plan Amendment and Record of Decision,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_CDNCL/FeatureServer/0,"Use current BLM route, closure, permit, and office information. The source polygon does not establish public access, route status, or permission to cross non-BLM land.",BLM planning or management authority applies to BLM-administered lands. The broad mapped polygon must not be interpreted as proof that all land inside is federally owned or BLM-administered.,"The source service is appropriate for screening and reference, not as a legal survey, cadastral record, or controlling designation map.","Separate BRIM layers for DRECP, ACECs, monuments, wilderness, WSAs, trails, and wild and scenic rivers retain their own identities and geometries. Spatial overlap should be derived from current BRIM local data.","Feature content is reconciled to the attached 2026-08-04 official-service snapshot; live service metadata was rechecked, but current geometries were not independently downloaded in this runtime.",2026-08-04
NLCS002014,NLCS002014,Lake Cahuilla,Lake Cahuilla,See brim_ca_desert_ncl_aliases.csv,drecp_ecoregion_subarea_allocation,One of ten named DRECP ecoregion subareas used to describe and map California Desert National Conservation Lands.,high,not_individually_established_by_name,,Public Law 111-11; 16 U.S.C. 7202,"DRECP Record of Decision and Approved Land Use Plan Amendment, 2016-09-14",16 U.S.C. 7202(b)(2)(D) system authority; 2016 DRECP ROD/LUPA identification and management direction.,Source name corresponds to the DRECP ecoregion subarea “Lake Cahuilla” by exact or reviewed alias match.,"DRECP ecoregion subarea surrounding the Imperial Valley and Salton Sea, with ancient Lake Cahuilla shorelines, rugged desert mountains, the Coyote Mountains, Yuha Desert, and marine fossil deposits.","DRECP-supported values include remnant shorelines, rugged mountain landscapes, paleontological resources, and Sonoran Desert habitats around a heavily modified agricultural and urban basin.","Apply DRECP LUPA-wide and California Desert National Conservation Lands conservation and management actions on BLM-administered lands; use applicable ACEC, travel, recreation, and other site-specific plans where they overlap.","U.S. Bureau of Land Management, limited to BLM-administered lands and applicable BLM authorities",planning_authority_on_blm_lands,BLM is the planning authority and land manager for BLM-administered public lands within the DRECP allocation; the source polygon is not evidence that every acre is BLM-owned.,California Desert District,,not_directly_verified,Not calculated in this research environment; see office context and review queue.,1884530057.671240,square meters inferred from EPSG:3310 geometry properties and service metadata,465677.5,727.62,EPSG:3310 NAD83 / California Albers,"source Shape__Area divided by 4,046.8564224 m²/acre and 2,589,988.110336 m²/mi²; no geometry recomputation",428000,Rounded BLM-administered California Desert NCL acreage reported for the Lake Cahuilla in the 2016 DRECP LUPA.,geometry_calculated_and_official_reported_kept_separate,37677.5,https://www.blm.gov/programs/national-conservation-lands/national-conservation-lands-of-the-california-desert,,,Desert Renewable Energy Conservation Plan Land Use Plan Amendment and Record of Decision,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_CDNCL/FeatureServer/0,"Use current BLM route, closure, permit, and office information. The source polygon does not establish public access, route status, or permission to cross non-BLM land.",BLM planning or management authority applies to BLM-administered lands. The broad mapped polygon must not be interpreted as proof that all land inside is federally owned or BLM-administered.,"The source service is appropriate for screening and reference, not as a legal survey, cadastral record, or controlling designation map.","Separate BRIM layers for DRECP, ACECs, monuments, wilderness, WSAs, trails, and wild and scenic rivers retain their own identities and geometries. Spatial overlap should be derived from current BRIM local data.","Feature content is reconciled to the attached 2026-08-04 official-service snapshot; live service metadata was rechecked, but current geometries were not independently downloaded in this runtime.",2026-08-04
NLCS002015,NLCS002015,Mojave and Silurian Valley,Mojave and Silurian Valley,See brim_ca_desert_ncl_aliases.csv,drecp_ecoregion_subarea_allocation,One of ten named DRECP ecoregion subareas used to describe and map California Desert National Conservation Lands.,high,not_individually_established_by_name,,Public Law 111-11; 16 U.S.C. 7202,"DRECP Record of Decision and Approved Land Use Plan Amendment, 2016-09-14",16 U.S.C. 7202(b)(2)(D) system authority; 2016 DRECP ROD/LUPA identification and management direction.,Source name corresponds to the DRECP ecoregion subarea “Mojave and Silurian Valley” by exact or reviewed alias match.,"DRECP ecoregion subarea in the east and central Mojave Desert, extending through Soda Lake, Silurian Valley, alluvial fans, basin floors, dunes, dry lakes, and isolated mountain blocks.","DRECP-supported values include intact alluvial, playa, dune, dry-lake, and mountain landscapes shaped by wind and water erosion and deposition.","Apply DRECP LUPA-wide and California Desert National Conservation Lands conservation and management actions on BLM-administered lands; use applicable ACEC, travel, recreation, and other site-specific plans where they overlap.","U.S. Bureau of Land Management, limited to BLM-administered lands and applicable BLM authorities",planning_authority_on_blm_lands,BLM is the planning authority and land manager for BLM-administered public lands within the DRECP allocation; the source polygon is not evidence that every acre is BLM-owned.,California Desert District,,not_directly_verified,Not calculated in this research environment; see office context and review queue.,848969048.070235,square meters inferred from EPSG:3310 geometry properties and service metadata,209784.8,327.79,EPSG:3310 NAD83 / California Albers,"source Shape__Area divided by 4,046.8564224 m²/acre and 2,589,988.110336 m²/mi²; no geometry recomputation",271000,Rounded BLM-administered California Desert NCL acreage reported for the Mojave and Silurian Valley in the 2016 DRECP LUPA.,geometry_calculated_and_official_reported_kept_separate,-61215.2,https://www.blm.gov/programs/national-conservation-lands/national-conservation-lands-of-the-california-desert,,,Desert Renewable Energy Conservation Plan Land Use Plan Amendment and Record of Decision,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_CDNCL/FeatureServer/0,"Use current BLM route, closure, permit, and office information. The source polygon does not establish public access, route status, or permission to cross non-BLM land.",BLM planning or management authority applies to BLM-administered lands. The broad mapped polygon must not be interpreted as proof that all land inside is federally owned or BLM-administered.,"The source service is appropriate for screening and reference, not as a legal survey, cadastral record, or controlling designation map.","Separate BRIM layers for DRECP, ACECs, monuments, wilderness, WSAs, trails, and wild and scenic rivers retain their own identities and geometries. Spatial overlap should be derived from current BRIM local data.","Feature content is reconciled to the attached 2026-08-04 official-service snapshot; live service metadata was rechecked, but current geometries were not independently downloaded in this runtime.",2026-08-04
NLCS002016,NLCS002016,Pinto Lucerne Valley and Eastern Slopes,Pinto Lucerne Valley and Eastern Slopes,See brim_ca_desert_ncl_aliases.csv,drecp_ecoregion_subarea_allocation,One of ten named DRECP ecoregion subareas used to describe and map California Desert National Conservation Lands.,high,not_individually_established_by_name,,Public Law 111-11; 16 U.S.C. 7202,"DRECP Record of Decision and Approved Land Use Plan Amendment, 2016-09-14",16 U.S.C. 7202(b)(2)(D) system authority; 2016 DRECP ROD/LUPA identification and management direction.,"Source name corresponds to the DRECP ecoregion subarea “Pinto, Lucerne Valley, and Eastern Slopes” by exact or reviewed alias match.","DRECP ecoregion subarea spanning the south-central Mojave Desert and San Bernardino Mountains, including Joshua Tree National Park surroundings, mountain slopes, desert ranges, communities, and military lands.","DRECP-supported values include diverse elevation-dependent landscapes and public-land connections around sensitive resources, communities, military lands, and Joshua Tree National Park.","Apply DRECP LUPA-wide and California Desert National Conservation Lands conservation and management actions on BLM-administered lands; use applicable ACEC, travel, recreation, and other site-specific plans where they overlap.","U.S. Bureau of Land Management, limited to BLM-administered lands and applicable BLM authorities",planning_authority_on_blm_lands,BLM is the planning authority and land manager for BLM-administered public lands within the DRECP allocation; the source polygon is not evidence that every acre is BLM-owned.,California Desert District,,not_directly_verified,Not calculated in this research environment; see office context and review queue.,1335806001.904880,square meters inferred from EPSG:3310 geometry properties and service metadata,330084.9,515.76,EPSG:3310 NAD83 / California Albers,"source Shape__Area divided by 4,046.8564224 m²/acre and 2,589,988.110336 m²/mi²; no geometry recomputation",296000,"Rounded BLM-administered California Desert NCL acreage reported for the Pinto, Lucerne Valley, and Eastern Slopes in the 2016 DRECP LUPA.",geometry_calculated_and_official_reported_kept_separate,34084.9,https://www.blm.gov/programs/national-conservation-lands/national-conservation-lands-of-the-california-desert,,,Desert Renewable Energy Conservation Plan Land Use Plan Amendment and Record of Decision,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_CDNCL/FeatureServer/0,"Use current BLM route, closure, permit, and office information. The source polygon does not establish public access, route status, or permission to cross non-BLM land.",BLM planning or management authority applies to BLM-administered lands. The broad mapped polygon must not be interpreted as proof that all land inside is federally owned or BLM-administered.,"The source service is appropriate for screening and reference, not as a legal survey, cadastral record, or controlling designation map.","Separate BRIM layers for DRECP, ACECs, monuments, wilderness, WSAs, trails, and wild and scenic rivers retain their own identities and geometries. Spatial overlap should be derived from current BRIM local data.","Feature content is reconciled to the attached 2026-08-04 official-service snapshot; live service metadata was rechecked, but current geometries were not independently downloaded in this runtime.",2026-08-04
NLCS002017,NLCS002017,Piute Valley and Sacramento Mountains,Piute Valley and Sacramento Mountains,See brim_ca_desert_ncl_aliases.csv,drecp_ecoregion_subarea_allocation,One of ten named DRECP ecoregion subareas used to describe and map California Desert National Conservation Lands.,high,not_individually_established_by_name,,Public Law 111-11; 16 U.S.C. 7202,"DRECP Record of Decision and Approved Land Use Plan Amendment, 2016-09-14",16 U.S.C. 7202(b)(2)(D) system authority; 2016 DRECP ROD/LUPA identification and management direction.,Source name corresponds to the DRECP ecoregion subarea “Piute Valley and Sacramento Mountains” by exact or reviewed alias match.,"DRECP ecoregion subarea across the Mojave-Sonoran transition, with intact mountain ranges, large washes, canyons, piedmont plains, Piute Valley vistas, and the Chemehuevi Wash system.","DRECP-supported values include intact and scenic desert landscapes, mountain-wash systems, broad habitat connections, and nationally significant ecological, cultural, and scientific values.","Apply DRECP LUPA-wide and California Desert National Conservation Lands conservation and management actions on BLM-administered lands; use applicable ACEC, travel, recreation, and other site-specific plans where they overlap.","U.S. Bureau of Land Management, limited to BLM-administered lands and applicable BLM authorities",planning_authority_on_blm_lands,BLM is the planning authority and land manager for BLM-administered public lands within the DRECP allocation; the source polygon is not evidence that every acre is BLM-owned.,California Desert District,,not_directly_verified,Not calculated in this research environment; see office context and review queue.,1857250691.578880,square meters inferred from EPSG:3310 geometry properties and service metadata,458936.6,717.09,EPSG:3310 NAD83 / California Albers,"source Shape__Area divided by 4,046.8564224 m²/acre and 2,589,988.110336 m²/mi²; no geometry recomputation",417000,Rounded BLM-administered California Desert NCL acreage reported for the Piute Valley and Sacramento Mountains in the 2016 DRECP LUPA.,geometry_calculated_and_official_reported_kept_separate,41936.6,https://www.blm.gov/programs/national-conservation-lands/national-conservation-lands-of-the-california-desert,,,Desert Renewable Energy Conservation Plan Land Use Plan Amendment and Record of Decision,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_CDNCL/FeatureServer/0,"Use current BLM route, closure, permit, and office information. The source polygon does not establish public access, route status, or permission to cross non-BLM land.",BLM planning or management authority applies to BLM-administered lands. The broad mapped polygon must not be interpreted as proof that all land inside is federally owned or BLM-administered.,"The source service is appropriate for screening and reference, not as a legal survey, cadastral record, or controlling designation map.","Separate BRIM layers for DRECP, ACECs, monuments, wilderness, WSAs, trails, and wild and scenic rivers retain their own identities and geometries. Spatial overlap should be derived from current BRIM local data.","Feature content is reconciled to the attached 2026-08-04 official-service snapshot; live service metadata was rechecked, but current geometries were not independently downloaded in this runtime.",2026-08-04
NLCS002018,NLCS002018,South Mojave - Amboy,South Mojave–Amboy,See brim_ca_desert_ncl_aliases.csv,drecp_ecoregion_subarea_allocation,One of ten named DRECP ecoregion subareas used to describe and map California Desert National Conservation Lands.,high,not_individually_established_by_name,,Public Law 111-11; 16 U.S.C. 7202,"DRECP Record of Decision and Approved Land Use Plan Amendment, 2016-09-14",16 U.S.C. 7202(b)(2)(D) system authority; 2016 DRECP ROD/LUPA identification and management direction.,Source name corresponds to the DRECP ecoregion subarea “South Mojave-Amboy” by exact or reviewed alias match.,"DRECP ecoregion subarea in the central Mojave Desert containing the Old Woman and Providence Mountains, volcanic and limestone features, tall dunes, classic fossil localities, Mojave National Preserve context, and historic Route 66.","DRECP-supported values include geologic diversity, paleontological resources, dunes, mountain-valley landscapes, and historic Route 66 context.","Apply DRECP LUPA-wide and California Desert National Conservation Lands conservation and management actions on BLM-administered lands; use applicable ACEC, travel, recreation, and other site-specific plans where they overlap.","U.S. Bureau of Land Management, limited to BLM-administered lands and applicable BLM authorities",planning_authority_on_blm_lands,BLM is the planning authority and land manager for BLM-administered public lands within the DRECP allocation; the source polygon is not evidence that every acre is BLM-owned.,California Desert District,,not_directly_verified,Not calculated in this research environment; see office context and review queue.,2822431196.741950,square meters inferred from EPSG:3310 geometry properties and service metadata,697437.9,1089.75,EPSG:3310 NAD83 / California Albers,"source Shape__Area divided by 4,046.8564224 m²/acre and 2,589,988.110336 m²/mi²; no geometry recomputation",638000,Rounded BLM-administered California Desert NCL acreage reported for the South Mojave-Amboy in the 2016 DRECP LUPA.,geometry_calculated_and_official_reported_kept_separate,59437.9,https://www.blm.gov/programs/national-conservation-lands/national-conservation-lands-of-the-california-desert,,,Desert Renewable Energy Conservation Plan Land Use Plan Amendment and Record of Decision,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_CDNCL/FeatureServer/0,"Use current BLM route, closure, permit, and office information. The source polygon does not establish public access, route status, or permission to cross non-BLM land.",BLM planning or management authority applies to BLM-administered lands. The broad mapped polygon must not be interpreted as proof that all land inside is federally owned or BLM-administered.,"The source service is appropriate for screening and reference, not as a legal survey, cadastral record, or controlling designation map.","Separate BRIM layers for DRECP, ACECs, monuments, wilderness, WSAs, trails, and wild and scenic rivers retain their own identities and geometries. Spatial overlap should be derived from current BRIM local data.","Feature content is reconciled to the attached 2026-08-04 official-service snapshot; live service metadata was rechecked, but current geometries were not independently downloaded in this runtime.",2026-08-04
