nlcs_id,raw_nlcs_name,standardized_display_name,source_globalid,source_objectid,old_package_status,current_service_status,brim_target_status,join_method,join_confidence,review_status,reconciliation_notes
NLCS002009,Basin and Range,Basin and Range,{C83C6C6A-7538-4D00-A9CA-4E60841DCF06},822,present_in_attached_2026-08-04_snapshot,live_schema_and_endpoint_verified; record_content_reconciled_from_same_day_attached_snapshot,expected_target,exact_nlcs_id,high,accepted_semantic_join,Exact root name; DRECP adds the label “Subarea”. No added/removed NLCS_ID detected against the 11-unit target; exact geometry change is not testable without the prior geometry payload.
NLCS002010,Coachella Valley,Coachella Valley,{9CE92180-6BE2-43CB-B5AA-2A7747DD985F},813,present_in_attached_2026-08-04_snapshot,live_schema_and_endpoint_verified; record_content_reconciled_from_same_day_attached_snapshot,expected_target,exact_nlcs_id,high,accepted_semantic_join,Exact name match. No added/removed NLCS_ID detected against the 11-unit target; exact geometry change is not testable without the prior geometry payload.
NLCS002011,Colorado Desert,Colorado Desert,{B83111F2-B49D-46E3-AE56-1134C258E0C0},821,present_in_attached_2026-08-04_snapshot,live_schema_and_endpoint_verified; record_content_reconciled_from_same_day_attached_snapshot,expected_target,exact_nlcs_id,high,accepted_semantic_join,Exact name match. No added/removed NLCS_ID detected against the 11-unit target; exact geometry change is not testable without the prior geometry payload.
NLCS002012,Desert Lily Preserve,Desert Lily Preserve,{EEF32A74-30AC-4CDE-8AA5-D6091F45D795},816,present_in_attached_2026-08-04_snapshot,live_schema_and_endpoint_verified; record_content_reconciled_from_same_day_attached_snapshot,expected_target,exact_nlcs_id,high,accepted_semantic_join,No DRECP ecoregion-subarea name match. Same-area official names use “Preserve” (ACEC) and “Sanctuary” (statute). No added/removed NLCS_ID detected against the 11-unit target; exact geometry change is not testable without the prior geometry payload.
NLCS002013,Kingston - Amargosa,Kingston–Amargosa,{8182B073-0DEE-4D0B-A63A-17B61C5E7A3B},819,present_in_attached_2026-08-04_snapshot,live_schema_and_endpoint_verified; record_content_reconciled_from_same_day_attached_snapshot,expected_target,exact_nlcs_id,high,accepted_semantic_join,Reviewed punctuation-only match: source spaced hyphen; DRECP closed hyphen. No added/removed NLCS_ID detected against the 11-unit target; exact geometry change is not testable without the prior geometry payload.
NLCS002014,Lake Cahuilla,Lake Cahuilla,{AADCD799-CA58-4534-BB9A-8CD66B6C4463},823,present_in_attached_2026-08-04_snapshot,live_schema_and_endpoint_verified; record_content_reconciled_from_same_day_attached_snapshot,expected_target,exact_nlcs_id,high,accepted_semantic_join,Exact name match. No added/removed NLCS_ID detected against the 11-unit target; exact geometry change is not testable without the prior geometry payload.
NLCS002015,Mojave and Silurian Valley,Mojave and Silurian Valley,{1D5CA273-E744-4C25-913D-F09CFC65EE3F},820,present_in_attached_2026-08-04_snapshot,live_schema_and_endpoint_verified; record_content_reconciled_from_same_day_attached_snapshot,expected_target,exact_nlcs_id,high,accepted_semantic_join,Exact name match. No added/removed NLCS_ID detected against the 11-unit target; exact geometry change is not testable without the prior geometry payload.
NLCS002016,Pinto Lucerne Valley and Eastern Slopes,Pinto Lucerne Valley and Eastern Slopes,{C3D0ECF9-0A0C-4607-956A-872660CE8D40},818,present_in_attached_2026-08-04_snapshot,live_schema_and_endpoint_verified; record_content_reconciled_from_same_day_attached_snapshot,expected_target,exact_nlcs_id,high,accepted_semantic_join,Reviewed punctuation match; DRECP includes commas and separates Pinto from Lucerne Valley. No added/removed NLCS_ID detected against the 11-unit target; exact geometry change is not testable without the prior geometry payload.
NLCS002017,Piute Valley and Sacramento Mountains,Piute Valley and Sacramento Mountains,{4CF7E779-3428-4607-B781-34131DE14D60},817,present_in_attached_2026-08-04_snapshot,live_schema_and_endpoint_verified; record_content_reconciled_from_same_day_attached_snapshot,expected_target,exact_nlcs_id,high,accepted_semantic_join,Exact name match. No added/removed NLCS_ID detected against the 11-unit target; exact geometry change is not testable without the prior geometry payload.
NLCS002018,South Mojave - Amboy,South Mojave–Amboy,{7CBFDCDC-7B1C-4CF3-B815-31BFCC9B5B5A},814,present_in_attached_2026-08-04_snapshot,live_schema_and_endpoint_verified; record_content_reconciled_from_same_day_attached_snapshot,expected_target,exact_nlcs_id,high,accepted_semantic_join,Reviewed punctuation-only match: source spaced hyphen; DRECP closed hyphen. No added/removed NLCS_ID detected against the 11-unit target; exact geometry change is not testable without the prior geometry payload.
NLCS002019,West Desert and Eastern Slopes,West Desert and Eastern Slopes,{1550369E-5308-4153-B918-A71CB23B1EC8},815,present_in_attached_2026-08-04_snapshot,live_schema_and_endpoint_verified; record_content_reconciled_from_same_day_attached_snapshot,expected_target,exact_nlcs_id,high,accepted_semantic_join,Reviewed semantic/name variant: source uses “West” and plural “Slopes”; DRECP uses “Western” and singular “Slope”. No added/removed NLCS_ID detected against the 11-unit target; exact geometry change is not testable without the prior geometry payload.
