source_id,source_title,publisher,source_type,authority_level,url,applicable_units,claims_or_fields_supported,verification_date,limitations
SRC001,BLM CA California Desert National Conservation Lands Feature Layer,Bureau of Land Management,official_dynamic_gis_service,official_agency_gis,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_CDNCL/FeatureServer/0,all_11,"Live layer name, field schema, spatial reference, extent, service description, source identifiers and raw attributes.",2026-08-04,Dynamic GIS publication; not a legal survey. Record-level feature content in this package comes from the attached same-day service snapshot because the research runtime could not independently download the geometry payload.
SRC002,BLM CA California Desert National Conservation Lands Feature Service,Bureau of Land Management,official_dynamic_gis_service,official_agency_gis,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_CDNCL/FeatureServer,all_11,"Service-level metadata, capabilities, and service endpoint.",2026-08-04,Service metadata does not itself establish unit-specific legal status.
SRC003,National Conservation Lands of the California Desert,Bureau of Land Management,official_program_page,official_agency_program,https://www.blm.gov/programs/national-conservation-lands/national-conservation-lands-of-the-california-desert,all_11,"CDCA, 2009 authority, DRECP completion, approximate 4.2-million-acre program description, and program-level management context.",2026-08-04,Program-level page; not a unit-specific office or boundary source.
SRC004,Desert Renewable Energy Conservation Plan,Bureau of Land Management,official_planning_landing_page,official_agency_planning,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,all_11,ROD/LUPA approval date and official DRECP landing page.,2026-08-04,Some legacy document links from the page are unavailable or redirected.
SRC005,Desert Renewable Energy Conservation Plan Land Use Plan Amendment and Record of Decision,Bureau of Land Management,official_record_of_decision_and_lupa,official_agency_decision,https://friendsoftheinyo.org/wp-content/uploads/2019/10/DRECP_BLM_LUPA.pdf,ten_drecp_subareas; program_context_for_desert_lily,"DRECP legal/planning hierarchy, ten ecoregion subarea names and descriptions, rounded subarea acreages, 3,956,000-acre allocation excluding other NLCS components, and DRECP-wide CMAs.",2026-08-04,The accessible direct PDF is a mirror of the BLM-authored 2016 document; use the official BLM DRECP landing page as the authoritative landing record.
SRC006,"Omnibus Public Land Management Act of 2009, Public Law 111-11",U.S. Government Publishing Office,public_law,statute,https://www.govinfo.gov/content/pkg/PLAW-111publ11/html/PLAW-111publ11.htm,all_11,Establishment and composition of the National Landscape Conservation System.,2026-08-04,System-level authority; does not establish each GIS name as an individually designated unit.
SRC007,16 U.S.C. 7202 - Establishment of the National Landscape Conservation System,"Office of the Law Revision Counsel, U.S. House of Representatives",us_code,statute,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title16-section7202,all_11,Codified National Landscape Conservation System authority and component categories.,2026-08-04,System-level authority only.
SRC008,43 U.S.C. 1781 - California Desert Conservation Area and statutory notes,U.S. Government Publishing Office,us_code_and_statutory_notes,statute,https://www.govinfo.gov/content/pkg/USCODE-2024-title43/html/USCODE-2024-title43-chap35-subchapVI-sec1781.htm,all_11; Desert Lily Preserve relationship,"CDCA planning framework, limits to BLM public lands, and Desert Lily Sanctuary statutory designation and approximately 2,040 acres.",2026-08-04,The statutory name is Desert Lily Sanctuary; exact equivalence to the source-layer Desert Lily Preserve geometry is not established by the text alone.
SRC009,BLM National Conservation Lands - California,Bureau of Land Management,official_program_inventory_page,official_agency_program,https://www.blm.gov/programs/national-conservation-lands/california,all_11,"California National Conservation Lands families and separate listing of monuments, wilderness, trails, rivers, and similar designations.",2026-08-04,Does not list the ten ecoregion subareas as separately established monuments or NCAs.
SRC010,California Desert District Office,Bureau of Land Management,official_office_page,official_agency_office,https://www.blm.gov/office/california-desert-district-office,all_11,Current California Desert District context and the five current field offices.,2026-08-04,District page does not assign a responsible field office to each source polygon.
SRC011,BLM National ACEC inventory spreadsheet,Bureau of Land Management,official_program_inventory,official_agency_inventory,https://www.blm.gov/sites/blm.gov/files/planningandnepa_aceclist.xlsx,NLCS002012,"Desert Lily Preserve ACEC name and reported 2,051 acres.",2026-08-04,Inventory row alone does not prove coterminous geometry with the source-layer polygon or statutory Sanctuary.
SRC012,DRECP overview,Bureau of Land Management,official_program_overview_pdf,official_agency_program,https://www.blm.gov/sites/default/files/documents/files/media-center-public-room-california-desert-renewable-energy-conservation-plan-overview.pdf,all_11,Rounded public-facing summary of conservation allocations and DRECP scope.,2026-08-04,"High-level summary, not unit-specific controlling authority."
SRC013,April 2024 California Desert Advisory Council meeting transcript,Bureau of Land Management,official_meeting_transcript,official_agency_supplemental,https://www.blm.gov/sites/default/files/docs/2024-06/April_2024_DAC_Meeting_Transcript_508.pdf,all_11,Later BLM explanation that the DRECP planning process identified approximately ten areas and about 3.9 million acres.,2026-08-04,Supplemental oral explanation; not a controlling decision document.
SRC014,ArcGIS Hub item for BLM CA California Desert National Conservation Lands,Bureau of Land Management / ArcGIS,official_gis_catalog_record,official_agency_gis,https://gbp-blm-egis.hub.arcgis.com/datasets/BLM-EGIS::blm-ca-california-desert-national-conservation-lands/about,all_11,Catalog identity and download/discovery context for the live GIS layer.,2026-08-04,Catalog metadata may lag the live service.
SRC015,Barstow Field Office,Bureau of Land Management,official_office_page,official_agency_office,https://www.blm.gov/office/barstow-field-office,office_context_only,Current office name and general office jurisdiction/context.,2026-08-04,Not used as direct evidence that the office is responsible for any specific Desert NCL polygon.
SRC016,El Centro Field Office,Bureau of Land Management,official_office_page,official_agency_office,https://www.blm.gov/office/el-centro-field-office,office_context_only,Current office name and general office jurisdiction/context.,2026-08-04,Not used as direct evidence that the office is responsible for any specific Desert NCL polygon.
