source_layer,source_layer_url,source_service_url,source_objectid,source_globalid,component_id,wilderness_id,source_semantic_id,source_nlcs_id,source_name,standardized_name,casefile_no,managing_agency_code,managing_agency,co_managing_agencies,local_managing_unit,local_unit_url,blm_role,blm_role_summary,blm_office,blm_office_url,blm_managed_component,geographic_state,counties,source_gis_acres,calculated_acres,acreage_difference_acres,acreage_difference_pct,component_description,geometry_type,source_crs,geometry_caveat,source_designation_date,source_public_law_code,source_has_blm_lands,source_sma_id,source_sma_label,source_shape_length,source_shape_area_m2,source_modify_date,source_feature_count_at_build,source_dataset_modified,source_download_url,last_verified,brim_snapshot_representation_status,brim_snapshot_component_id,brim_snapshot_globalid,brim_snapshot_same_globalid,brim_snapshot_calculated_geometry_acres,brim_snapshot_geometry_valid,brim_snapshot_export_date,brim_snapshot_notes,snapshot_comparison_verified_on
BLM CA Federal Wilderness Areas Polygon,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_Federal_Wilderness_Polygon/FeatureServer/0,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_Federal_Wilderness_Polygon/FeatureServer,2801,{6A186753-9333-4A1C-8162-539A0CCB383D},blmca-6a186753-9333-4a1c-8162-539a0ccb383d,fw-21,21,NLCS000192,Agua Tibia Wilderness,Agua Tibia Wilderness,CACA   05133601,6,BLM,BLM; USFS,Palm Springs-South Coast Field Office,https://www.blm.gov/office/palm-springs-south-coast-field-office,manages_component_only,BLM manages this mapped component; the named wilderness also has component(s) administered by USFS.,Palm Springs-South Coast Field Office,https://www.blm.gov/office/palm-springs-south-coast-field-office,True,CA,,524.0,523.756,-0.244,-0.0466,BLM-managed component of a shared-agency wilderness.,Polygon / possible multipart polygon,EPSG:3310 (NAD83 / California Albers),Source geometry is preserved as an individual record. Do not dissolve solely by name; one named wilderness may have multiple agency or noncontiguous components.,2009-03-30,20.0,YES,2,BLM,12150.211384,2119566.383,2016-05-19,197,2023-12-21,https://gbp-blm-egis.hub.arcgis.com/api/download/v1/items/c85c6f3b33e6496fb5a64445a8eb754e/csv?layers=0,2026-08-04,exact_globalid_geometry_review,blmca-6a186753-9333-4a1c-8162-539a0ccb383d,{6A186753-9333-4A1C-8162-539A0CCB383D},True,522.303,True,2026-04-23,"Same GlobalID and stable core attributes, but the shapefile-calculated area differs from the current service Shape_Area by +1.453 acres. Treat as export/geometry-representation QA until geometry is replaced or reviewed.",2026-08-05
BLM CA Federal Wilderness Areas Polygon,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_Federal_Wilderness_Polygon/FeatureServer/0,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_Federal_Wilderness_Polygon/FeatureServer,3201,{599919DD-9D2D-4B35-91D2-68B72B219BCE},blmca-599919dd-9d2d-4b35-91d2-68b72b219bce,fw-21,21,NLCS000192,Agua Tibia Wilderness,Agua Tibia Wilderness,CACA   05133602,8,USFS,BLM; USFS,,,co_manager,BLM manages another mapped component of this named wilderness; the selected component is administered by USFS.,,,False,CA,,1532.0,1532.062,0.062,0.004,USFS-managed component of a shared-agency wilderness.,Polygon / possible multipart polygon,EPSG:3310 (NAD83 / California Albers),Source geometry is preserved as an individual record. Do not dissolve solely by name; one named wilderness may have multiple agency or noncontiguous components.,2009-03-30,20.0,YES,915,USFS,15610.80122,6200035.474,2017-01-24,197,2023-12-21,https://gbp-blm-egis.hub.arcgis.com/api/download/v1/items/c85c6f3b33e6496fb5a64445a8eb754e/csv?layers=0,2026-08-04,exact_globalid,blmca-599919dd-9d2d-4b35-91d2-68b72b219bce,{599919DD-9D2D-4B35-91D2-68B72B219BCE},True,1532.232,True,2026-04-23,,2026-08-05
BLM CA Federal Wilderness Areas Polygon,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_Federal_Wilderness_Polygon/FeatureServer/0,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_Federal_Wilderness_Polygon/FeatureServer,1917,{C307614A-FDD0-4D47-8AF9-ECFE9905DCAC},blmca-c307614a-fdd0-4d47-8af9-ecfe9905dcac,fw-21,21,NLCS000192,Agua Tibia Wilderness,Agua Tibia Wilderness,CACAAA 161033  01,8,USFS,BLM; USFS,,,co_manager,BLM manages another mapped component of this named wilderness; the selected component is administered by USFS.,,,False,CA,,15895.0,15894.881,-0.119,-0.0007,USFS-managed component of a shared-agency wilderness.,Polygon / possible multipart polygon,EPSG:3310 (NAD83 / California Albers),Source geometry is preserved as an individual record. Do not dissolve solely by name; one named wilderness may have multiple agency or noncontiguous components.,2009-03-30,7.0,Yes,915,USFS,44203.645711,64324299.637,2017-01-24,197,2023-12-21,https://gbp-blm-egis.hub.arcgis.com/api/download/v1/items/c85c6f3b33e6496fb5a64445a8eb754e/csv?layers=0,2026-08-04,exact_globalid_geometry_review,blmca-c307614a-fdd0-4d47-8af9-ecfe9905dcac,{C307614A-FDD0-4D47-8AF9-ECFE9905DCAC},True,15912.207,True,2026-04-23,"Same GlobalID and stable core attributes, but the shapefile-calculated area differs from the current service Shape_Area by -17.326 acres. Treat as export/geometry-representation QA until geometry is replaced or reviewed.",2026-08-05
BLM CA Federal Wilderness Areas Polygon,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_Federal_Wilderness_Polygon/FeatureServer/0,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_Federal_Wilderness_Polygon/FeatureServer,1975,{7E498C94-7B7F-4856-A588-14EED609BA95},blmca-7e498c94-7b7f-4856-a588-14eed609ba95,fw-95,95,,Ansel Adams Wilderness,Ansel Adams Wilderness,CACAAA 160047  11,8,USFS,USFS,,,no_identified_management_role,,,,False,CA,,230930.0,230930.679,0.679,0.0003,USFS-managed source geometry for the named wilderness.,Polygon / possible multipart polygon,EPSG:3310 (NAD83 / California Albers),Source geometry is preserved as an individual record. Do not dissolve solely by name; one named wilderness may have multiple agency or noncontiguous components.,1964-09-30,4.0,NO,915,USFS,341554.155028,934543302.531,2017-01-24,197,2023-12-21,https://gbp-blm-egis.hub.arcgis.com/api/download/v1/items/c85c6f3b33e6496fb5a64445a8eb754e/csv?layers=0,2026-08-04,exact_globalid,blmca-7e498c94-7b7f-4856-a588-14eed609ba95,{7E498C94-7B7F-4856-A588-14EED609BA95},True,230930.679,True,2026-04-23,,2026-08-05
BLM CA Federal Wilderness Areas Polygon,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_Federal_Wilderness_Polygon/FeatureServer/0,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_Federal_Wilderness_Polygon/FeatureServer,1997,{9ED53DDC-0C2C-42CF-946D-5EAAC5D9615E},blmca-9ed53ddc-0c2c-42cf-946d-5eaac5d9615e,fw-95,95,,Ansel Adams Wilderness,Ansel Adams Wilderness,,8,USFS,USFS,,,no_identified_management_role,,,,False,CA,,527.0,526.569,-0.431,-0.0818,USFS-managed source geometry for the named wilderness.,Polygon / possible multipart polygon,EPSG:3310 (NAD83 / California Albers),Source geometry is preserved as an individual record. Do not dissolve solely by name; one named wilderness may have multiple agency or noncontiguous components.,2009-03-30,20.0,NO,915,USFS,7563.078137,2130950.456,2015-11-12,197,2023-12-21,https://gbp-blm-egis.hub.arcgis.com/api/download/v1/items/c85c6f3b33e6496fb5a64445a8eb754e/csv?layers=0,2026-08-04,exact_globalid,blmca-9ed53ddc-0c2c-42cf-946d-5eaac5d9615e,{9ED53DDC-0C2C-42CF-946D-5EAAC5D9615E},True,526.569,True,2026-04-23,,2026-08-05
BLM CA Federal Wilderness Areas Polygon,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_Federal_Wilderness_Polygon/FeatureServer/0,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_Federal_Wilderness_Polygon/FeatureServer,1827,{E3A629C9-3412-4275-9E71-323394D042B9},blmca-e3a629c9-3412-4275-9e71-323394d042b9,fw-125,125,NLCS000148,Argus Range Wilderness,Argus Range Wilderness,CACA   035058,6,BLM,BLM,,,sole_manager,Sole managing agency represented in the BLM California source.,,,True,CA,,66571.0,66571.296,0.296,0.0004,BLM-managed source geometry for the named wilderness.,Polygon / possible multipart polygon,EPSG:3310 (NAD83 / California Albers),Source geometry is preserved as an individual record. Do not dissolve solely by name; one named wilderness may have multiple agency or noncontiguous components.,1994-10-31,1.0,Yes,2,BLM,198435.067142,269404477.628,2017-01-24,197,2023-12-21,https://gbp-blm-egis.hub.arcgis.com/api/download/v1/items/c85c6f3b33e6496fb5a64445a8eb754e/csv?layers=0,2026-08-04,exact_globalid,blmca-e3a629c9-3412-4275-9e71-323394d042b9,{E3A629C9-3412-4275-9E71-323394D042B9},True,66571.296,True,2026-04-23,,2026-08-05
BLM CA Federal Wilderness Areas Polygon,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_Federal_Wilderness_Polygon/FeatureServer/0,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_Federal_Wilderness_Polygon/FeatureServer,5226,{A16BAC74-DCC0-4874-847D-4BFE854C215B},blmca-a16bac74-dcc0-4874-847d-4bfe854c215b,fw-4545,4545,NLCS000207,Avawatz Mountains Wilderness,Avawatz Mountains Wilderness,CACA   058838,6,BLM,BLM,Barstow Field Office,https://www.blm.gov/office/barstow-field-office,sole_manager,Sole managing agency represented in the BLM California source.,Barstow Field Office,https://www.blm.gov/office/barstow-field-office,True,CA,,95188.0,95188.28,0.28,0.0003,BLM-managed source geometry for the named wilderness.,Polygon / possible multipart polygon,EPSG:3310 (NAD83 / California Albers),Source geometry is preserved as an individual record. Do not dissolve solely by name; one named wilderness may have multiple agency or noncontiguous components.,2019-03-12,,YES,2,BLM,196543.570845,385213303.745,2023-02-18,197,2023-12-21,https://gbp-blm-egis.hub.arcgis.com/api/download/v1/items/c85c6f3b33e6496fb5a64445a8eb754e/csv?layers=0,2026-08-04,exact_globalid,blmca-a16bac74-dcc0-4874-847d-4bfe854c215b,{A16BAC74-DCC0-4874-847D-4BFE854C215B},True,95188.28,True,2026-04-23,,2026-08-05
BLM CA Federal Wilderness Areas Polygon,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_Federal_Wilderness_Polygon/FeatureServer/0,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_Federal_Wilderness_Polygon/FeatureServer,1988,{206B30FA-C713-4AB2-8687-1B32F299B1CB},blmca-206b30fa-c713-4ab2-8687-1b32f299b1cb,fw-214,214,NLCS000204,Beauty Mountain Wilderness,Beauty Mountain Wilderness,CACA   051045,6,BLM,BLM,Palm Springs-South Coast Field Office,https://www.blm.gov/office/palm-springs-south-coast-field-office,sole_manager,Sole managing agency represented in the BLM California source.,Palm Springs-South Coast Field Office,https://www.blm.gov/office/palm-springs-south-coast-field-office,True,CA,,15735.0,15734.633,-0.367,-0.0023,BLM-managed source geometry for the named wilderness.,Polygon / possible multipart polygon,EPSG:3310 (NAD83 / California Albers),Source geometry is preserved as an individual record. Do not dissolve solely by name; one named wilderness may have multiple agency or noncontiguous components.,2009-03-30,20.0,Yes,2,BLM,75950.248713,63675802.489,2017-09-01,197,2023-12-21,https://gbp-blm-egis.hub.arcgis.com/api/download/v1/items/c85c6f3b33e6496fb5a64445a8eb754e/csv?layers=0,2026-08-04,exact_globalid,blmca-206b30fa-c713-4ab2-8687-1b32f299b1cb,{206B30FA-C713-4AB2-8687-1B32F299B1CB},True,15734.633,True,2026-04-23,,2026-08-05
BLM CA Federal Wilderness Areas Polygon,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_Federal_Wilderness_Polygon/FeatureServer/0,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_Federal_Wilderness_Polygon/FeatureServer,3218,{B5305C28-636F-4B97-BE3F-716556728C09},blmca-b5305c28-636f-4b97-be3f-716556728c09,fw-269,269,NLCS000157,Big Maria Mountains Wilderness,Big Maria Mountains Wilderness,CACA   035061,6,BLM,BLM,,,sole_manager,Sole managing agency represented in the BLM California source.,,,True,CA,,47767.0,47766.919,-0.081,-0.0002,BLM-managed source geometry for the named wilderness.,Polygon / possible multipart polygon,EPSG:3310 (NAD83 / California Albers),Source geometry is preserved as an individual record. Do not dissolve solely by name; one named wilderness may have multiple agency or noncontiguous components.,1994-10-31,1.0,YES,2,BLM,88649.66595,193305863.596,2017-01-24,197,2023-12-21,https://gbp-blm-egis.hub.arcgis.com/api/download/v1/items/c85c6f3b33e6496fb5a64445a8eb754e/csv?layers=0,2026-08-04,exact_globalid,blmca-b5305c28-636f-4b97-be3f-716556728c09,{B5305C28-636F-4B97-BE3F-716556728C09},True,47766.919,True,2026-04-23,,2026-08-05
BLM CA Federal Wilderness Areas Polygon,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_Federal_Wilderness_Polygon/FeatureServer/0,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_Federal_Wilderness_Polygon/FeatureServer,1839,{A07229FC-9BDE-4BFE-ACD0-6DE9FAD9BA73},blmca-a07229fc-9bde-4bfe-acd0-6de9fad9ba73,fw-282,282,NLCS000160,Bigelow Cholla Garden Wilderness,Bigelow Cholla Garden Wilderness,CACA   035059,6,BLM,BLM,,,sole_manager,Sole managing agency represented in the BLM California source.,,,True,CA,,15534.0,15534.063,0.063,0.0004,BLM-managed source geometry for the named wilderness.,Polygon / possible multipart polygon,EPSG:3310 (NAD83 / California Albers),Source geometry is preserved as an individual record. Do not dissolve solely by name; one named wilderness may have multiple agency or noncontiguous components.,1994-10-31,1.0,Yes,2,BLM,39263.914148,62864122.24,2017-01-24,197,2023-12-21,https://gbp-blm-egis.hub.arcgis.com/api/download/v1/items/c85c6f3b33e6496fb5a64445a8eb754e/csv?layers=0,2026-08-04,exact_globalid,blmca-a07229fc-9bde-4bfe-acd0-6de9fad9ba73,{A07229FC-9BDE-4BFE-ACD0-6DE9FAD9BA73},True,15534.063,True,2026-04-23,,2026-08-05
