document_id,wilderness_id,component_id,document_title,document_type,agency,publication_date,geographic_scope,document_url,landing_page_url,authority_level,wilderness_wide_or_component_specific,last_verified,notes
doc-3930e9d39c35,fw-21,,Agua Tibia Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Agua Tibia Wilderness,https://wilderness.net/visit-wilderness/?ID=3,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-09a2d35018e2,fw-21,,Public Law 93-632 — Wilderness designations act,public law,U.S. Congress,1975-01-03,Agua Tibia Wilderness,https://www.govinfo.gov/content/pkg/PLAW-93publ632/html/PLAW-93publ632.htm,https://www.govinfo.gov/content/pkg/PLAW-93publ632/html/PLAW-93publ632.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-f440d0f25df7,fw-21,,Public Law 111-11 — Omnibus Public Land Management Act of 2009,public law,U.S. Congress,2009-03-30,Agua Tibia Wilderness,https://www.govinfo.gov/content/pkg/PLAW-111publ11/html/PLAW-111publ11.htm,https://www.govinfo.gov/content/pkg/PLAW-111publ11/html/PLAW-111publ11.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-e9493d29c66f,fw-95,,Ansel Adams Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Ansel Adams Wilderness,https://wilderness.net/visit-wilderness/?ID=12,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-b8d18eb57a49,fw-95,,Public Law 88-577 — Wilderness Act of 1964,public law,U.S. Congress,1964-09-03,Ansel Adams Wilderness,https://www.govinfo.gov/content/pkg/PLAW-88publ577/html/PLAW-88publ577.htm,https://www.govinfo.gov/content/pkg/PLAW-88publ577/html/PLAW-88publ577.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-bf2c72b6ef0d,fw-95,,Public Law 111-11 — Omnibus Public Land Management Act of 2009,public law,U.S. Congress,2009-03-30,Ansel Adams Wilderness,https://www.govinfo.gov/content/pkg/PLAW-111publ11/html/PLAW-111publ11.htm,https://www.govinfo.gov/content/pkg/PLAW-111publ11/html/PLAW-111publ11.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
doc-cf9993318e77,fw-95,,High Sierra Hikers Association v. Powell,court opinion,"U.S. District Court, Northern District of California",2001-01-01,Ansel Adams Wilderness,https://law.justia.com/cases/federal/district-courts/FSupp2/150/1023/2468348/,https://law.justia.com/cases/federal/district-courts/FSupp2/150/1023/2468348/,11 - court opinion / legal database,wilderness-wide issue,2026-08-04,"Challenge involving Forest Service commercial packstock permitting, NEPA, and Wilderness Act issues in the Ansel Adams and John Muir Wildernesses. Citation: 150 F. Supp. 2d 1023; docket: C-00-01239-EDL."
doc-3c254b1b49e0,fw-95,,High Sierra Hikers Association v. Blackwell,court opinion,U.S. Court of Appeals for the Ninth Circuit,2004-01-01,Ansel Adams Wilderness,https://law.justia.com/cases/federal/appellate-courts/F3/390/630/506649/,https://law.justia.com/cases/federal/appellate-courts/F3/390/630/506649/,11 - court opinion / legal database,wilderness-wide issue,2026-08-04,"Appeal concerning Forest Service commercial packstock permits, NEPA analysis, and Wilderness Act constraints affecting the Ansel Adams and John Muir Wildernesses. Citation: 390 F.3d 630; docket: 02-15504."
doc-ae20a55b4216,fw-125,,Argus Range Wilderness — Wilderness Connect profile,interagency profile,Interagency Wilderness Connect,,Argus Range Wilderness,https://wilderness.net/visit-wilderness/?ID=17,https://wilderness.net/visit-wilderness/,9 - interagency reference,wilderness-wide,2026-08-04,Secondary reference; not statutory or a managing-agency page.
doc-1ab2e89a7990,fw-125,,Public Law 103-433 — California Desert Protection Act of 1994,public law,U.S. Congress,1994-10-31,Argus Range Wilderness,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,https://www.govinfo.gov/content/pkg/PLAW-103publ433/html/PLAW-103publ433.htm,1 - public law,wilderness-wide,2026-08-04,Statutory text; consult maps and legal descriptions incorporated by reference.
