wilderness_id,source_semantic_id,wilderness_connect_id,official_name,alternate_names,wilderness_abbreviation,states,designation_date,designation_year,original_public_law,subsequent_public_laws,public_law_source_notes,legal_authority,official_reference_acres,acreage_source,source_gis_acres_total,calculated_component_acres_total,source_component_count,managing_agencies,shared_management,blm_role,blm_role_summary,blm_component_count,non_blm_component_count,wilderness_summary_short,wilderness_summary_full,wilderness_character_summary,management_access_summary,official_page_url,direct_official_agency_page_url,official_map_url,primary_management_plan_title,primary_management_plan_url,local_unit_pages,wilderness_connect_url,recreation_gov_search_url,congress_search_url,nepa_search_url,courtlistener_search_url,google_scholar_case_search_url,web_search_url,verified_litigation_count,last_verified,source_notes,present_in_brim_snapshot,brim_snapshot_component_count,brim_snapshot_source_gis_acres_total,brim_snapshot_calculated_acres_total,brim_snapshot_managing_agencies,brim_snapshot_blm_component_count,brim_snapshot_non_blm_component_count,brim_snapshot_comparison_status,brim_snapshot_notes,brim_snapshot_export_date,snapshot_comparison_verified_on
fw-21,21,3,Agua Tibia Wilderness,,Agua_Tibia,CA,2009-03-30,2009,Public Law 93-632,Public Law 111-11,BLM coded-law values were cross-walked to public laws and checked against current interagency/official pages where available; statutory text and designation maps remain legally controlling.,Wilderness Act of 1964 (Public Law 88-577; 16 U.S.C. 1131–1136) and subsequent area-specific public laws.,17463.0,"Wilderness Connect/National Wilderness Preservation System interagency reference acreage; secondary compilation, not a substitute for statutory text.",17951.0,17950.699,3,BLM; USFS,True,co_manager,BLM manages one or more mapped components; other components are administered by USFS.,1,2,"The steep, chaparral-covered mountains of Agua Tibia Wilderness give way to stands of fir, pine, and oak at higher elevations that rise above 4,400 feet on Agua Tibia Mountain. Elevation ranges from 1,700","The steep, chaparral-covered mountains of Agua Tibia Wilderness give way to stands of fir, pine, and oak at higher elevations that rise above 4,400 feet on Agua Tibia Mountain. Elevation ranges from 1,700 The BLM California layer represents the named wilderness with 3 source geometries administered by BLM, USFS.","The steep, chaparral-covered mountains of Agua Tibia Wilderness give way to stands of fir, pine, and oak at higher elevations that rise above 4,400 feet on Agua Tibia Mountain. Elevation ranges from 1,700","Access, permits, fire restrictions, and other rules vary by managing agency and location. Review current managing-unit information before travel. Wilderness designation does not guarantee public access.",,,,,,https://www.blm.gov/office/palm-springs-south-coast-field-office,https://wilderness.net/visit-wilderness/?ID=3,https://www.recreation.gov/search?q=Agua+Tibia+Wilderness,https://www.congress.gov/search?q=%22Agua+Tibia+Wilderness%22+wilderness,https://eplanning.blm.gov/eplanning-ui/search?searchText=Agua+Tibia+Wilderness,https://www.courtlistener.com/?q=%22Agua+Tibia+Wilderness%22,https://scholar.google.com/scholar?q=%22Agua+Tibia+Wilderness%22+wilderness,https://www.google.com/search?q=%22Agua+Tibia+Wilderness%22+wilderness,0,2026-08-04,Semantic identity uses FAU_ID; mapped component identity uses GlobalID. BLM publication of the source does not itself establish BLM management of every record.,True,3,17951.0,17966.742,BLM; USFS,1,2,same_component_count,,2026-04-23,2026-08-05
fw-95,95,12,Ansel Adams Wilderness,,Ansel_Adams,CA,,1984,Public Law 88-577,Public Law 111-11,BLM coded-law values were cross-walked to public laws and checked against current interagency/official pages where available; statutory text and designation maps remain legally controlling.,Wilderness Act of 1964 (Public Law 88-577; 16 U.S.C. 1131–1136) and subsequent area-specific public laws.,230872.0,"Wilderness Connect/National Wilderness Preservation System interagency reference acreage; secondary compilation, not a substitute for statutory text.",231457.0,231457.249,2,USFS,False,no_identified_management_role,,0,2,"This wilderness was originally established as the Minarets Wilderness in 1964. These ""minarets"", a jagged ridge of peaks known as the Ritter Range, are considered to be the one of the most spectacular","This wilderness was originally established as the Minarets Wilderness in 1964. These ""minarets"", a jagged ridge of peaks known as the Ritter Range, are considered to be the one of the most spectacular The BLM California layer represents the named wilderness with 2 source geometries administered by USFS.","This wilderness was originally established as the Minarets Wilderness in 1964. These ""minarets"", a jagged ridge of peaks known as the Ritter Range, are considered to be the one of the most spectacular","Access, permits, fire restrictions, and other rules vary by managing agency and location. Review current managing-unit information before travel. Wilderness designation does not guarantee public access.",,,,,,,https://wilderness.net/visit-wilderness/?ID=12,https://www.recreation.gov/search?q=Ansel+Adams+Wilderness,https://www.congress.gov/search?q=%22Ansel+Adams+Wilderness%22+wilderness,https://eplanning.blm.gov/eplanning-ui/search?searchText=Ansel+Adams+Wilderness,https://www.courtlistener.com/?q=%22Ansel+Adams+Wilderness%22,https://scholar.google.com/scholar?q=%22Ansel+Adams+Wilderness%22+wilderness,https://www.google.com/search?q=%22Ansel+Adams+Wilderness%22+wilderness,2,2026-08-04,Semantic identity uses FAU_ID; mapped component identity uses GlobalID. BLM publication of the source does not itself establish BLM management of every record.,True,2,231457.0,231457.248,USFS,0,2,same_component_count,,2026-04-23,2026-08-05
fw-125,125,17,Argus Range Wilderness,,Argus_Range,CA,1994-10-31,1994,Public Law 103-433,,BLM coded-law values were cross-walked to public laws and checked against current interagency/official pages where available; statutory text and designation maps remain legally controlling.,Wilderness Act of 1964 (Public Law 88-577; 16 U.S.C. 1131–1136) and subsequent area-specific public laws.,65726.0,"Wilderness Connect/National Wilderness Preservation System interagency reference acreage; secondary compilation, not a substitute for statutory text.",66571.0,66571.296,1,BLM,False,sole_manager,Sole managing agency represented in the BLM California source.,1,0,"Nestling in the Argus Range, a thin and narrow north-south mountain chain, this Wilderness stretches for 28 miles along the west side of the Panamint Valley, just south and west of Death Valley National","Nestling in the Argus Range, a thin and narrow north-south mountain chain, this Wilderness stretches for 28 miles along the west side of the Panamint Valley, just south and west of Death Valley National","Nestling in the Argus Range, a thin and narrow north-south mountain chain, this Wilderness stretches for 28 miles along the west side of the Panamint Valley, just south and west of Death Valley National","Access, permits, fire restrictions, and other rules vary by managing agency and location. Review current managing-unit information before travel. Wilderness designation does not guarantee public access.",,,,,,,https://wilderness.net/visit-wilderness/?ID=17,https://www.recreation.gov/search?q=Argus+Range+Wilderness,https://www.congress.gov/search?q=%22Argus+Range+Wilderness%22+wilderness,https://eplanning.blm.gov/eplanning-ui/search?searchText=Argus+Range+Wilderness,https://www.courtlistener.com/?q=%22Argus+Range+Wilderness%22,https://scholar.google.com/scholar?q=%22Argus+Range+Wilderness%22+wilderness,https://www.google.com/search?q=%22Argus+Range+Wilderness%22+wilderness,0,2026-08-04,Semantic identity uses FAU_ID; mapped component identity uses GlobalID. BLM publication of the source does not itself establish BLM management of every record.,True,1,66571.0,66571.296,BLM,1,0,same_component_count,,2026-04-23,2026-08-05
fw-4545,4545,768,Avawatz Mountains Wilderness,,AvawatzMountains,CA,2019-03-12,2019,Public Law 116-9,,BLM coded-law values were cross-walked to public laws and checked against current interagency/official pages where available; statutory text and designation maps remain legally controlling.,Wilderness Act of 1964 (Public Law 88-577; 16 U.S.C. 1131–1136) and subsequent area-specific public laws.,89500.0,"Wilderness Connect/National Wilderness Preservation System interagency reference acreage; secondary compilation, not a substitute for statutory text.",95188.0,95188.28,1,BLM,False,sole_manager,Sole managing agency represented in the BLM California source.,1,0,"Rising to more than 6,100 feet above the Silurian Valley, the Avawatz Mountains form a commanding backdrop of colorful eroded slopes, rugged ridges, and steep, narrow canyons. The name ""Avawatz"" is derived","Rising to more than 6,100 feet above the Silurian Valley, the Avawatz Mountains form a commanding backdrop of colorful eroded slopes, rugged ridges, and steep, narrow canyons. The name ""Avawatz"" is derived","Rising to more than 6,100 feet above the Silurian Valley, the Avawatz Mountains form a commanding backdrop of colorful eroded slopes, rugged ridges, and steep, narrow canyons. The name ""Avawatz"" is derived","Access, permits, fire restrictions, and other rules vary by managing agency and location. Review current managing-unit information before travel. Wilderness designation does not guarantee public access.",,,,,,https://www.blm.gov/office/barstow-field-office,https://wilderness.net/visit-wilderness/?ID=768,https://www.recreation.gov/search?q=Avawatz+Mountains+Wilderness,https://www.congress.gov/search?q=%22Avawatz+Mountains+Wilderness%22+wilderness,https://eplanning.blm.gov/eplanning-ui/search?searchText=Avawatz+Mountains+Wilderness,https://www.courtlistener.com/?q=%22Avawatz+Mountains+Wilderness%22,https://scholar.google.com/scholar?q=%22Avawatz+Mountains+Wilderness%22+wilderness,https://www.google.com/search?q=%22Avawatz+Mountains+Wilderness%22+wilderness,0,2026-08-04,Semantic identity uses FAU_ID; mapped component identity uses GlobalID. BLM publication of the source does not itself establish BLM management of every record.,True,1,95188.0,95188.28,BLM,1,0,same_component_count,,2026-04-23,2026-08-05
fw-214,214,706,Beauty Mountain Wilderness,,Beauty_Mountain,CA,2009-03-30,2009,Public Law 111-11,,BLM coded-law values were cross-walked to public laws and checked against current interagency/official pages where available; statutory text and designation maps remain legally controlling.,Wilderness Act of 1964 (Public Law 88-577; 16 U.S.C. 1131–1136) and subsequent area-specific public laws.,15628.0,"Wilderness Connect/National Wilderness Preservation System interagency reference acreage; secondary compilation, not a substitute for statutory text.",15735.0,15734.633,1,BLM,False,sole_manager,Sole managing agency represented in the BLM California source.,1,0,"The Beauty Mountain Wilderness is a chaparral dominated ecosystem. The steep hillsides are overlain with granite boulder outcrops. At 5,548 feet, Beauty Mountain is the central feature to the wilderness.","The Beauty Mountain Wilderness is a chaparral dominated ecosystem. The steep hillsides are overlain with granite boulder outcrops. At 5,548 feet, Beauty Mountain is the central feature to the wilderness.","The Beauty Mountain Wilderness is a chaparral dominated ecosystem. The steep hillsides are overlain with granite boulder outcrops. At 5,548 feet, Beauty Mountain is the central feature to the wilderness.","Access, permits, fire restrictions, and other rules vary by managing agency and location. Review current managing-unit information before travel. Wilderness designation does not guarantee public access.",,,,,,https://www.blm.gov/office/palm-springs-south-coast-field-office,https://wilderness.net/visit-wilderness/?ID=706,https://www.recreation.gov/search?q=Beauty+Mountain+Wilderness,https://www.congress.gov/search?q=%22Beauty+Mountain+Wilderness%22+wilderness,https://eplanning.blm.gov/eplanning-ui/search?searchText=Beauty+Mountain+Wilderness,https://www.courtlistener.com/?q=%22Beauty+Mountain+Wilderness%22,https://scholar.google.com/scholar?q=%22Beauty+Mountain+Wilderness%22+wilderness,https://www.google.com/search?q=%22Beauty+Mountain+Wilderness%22+wilderness,0,2026-08-04,Semantic identity uses FAU_ID; mapped component identity uses GlobalID. BLM publication of the source does not itself establish BLM management of every record.,True,1,15735.0,15734.633,BLM,1,0,same_component_count,,2026-04-23,2026-08-05
fw-269,269,44,Big Maria Mountains Wilderness,,Big_Maria_Mountains,CA,1994-10-31,1994,Public Law 103-433,,BLM coded-law values were cross-walked to public laws and checked against current interagency/official pages where available; statutory text and designation maps remain legally controlling.,Wilderness Act of 1964 (Public Law 88-577; 16 U.S.C. 1131–1136) and subsequent area-specific public laws.,45384.0,"Wilderness Connect/National Wilderness Preservation System interagency reference acreage; secondary compilation, not a substitute for statutory text.",47767.0,47766.919,1,BLM,False,sole_manager,Sole managing agency represented in the BLM California source.,1,0,"Gently sloping bajadas, or desert slopes, rise to numerous rough and craggy peaks separated by steep canyons in Big Maria Mountains Wilderness. The Big Marias lie just south of a major drainage called","Gently sloping bajadas, or desert slopes, rise to numerous rough and craggy peaks separated by steep canyons in Big Maria Mountains Wilderness. The Big Marias lie just south of a major drainage called","Gently sloping bajadas, or desert slopes, rise to numerous rough and craggy peaks separated by steep canyons in Big Maria Mountains Wilderness. The Big Marias lie just south of a major drainage called","Access, permits, fire restrictions, and other rules vary by managing agency and location. Review current managing-unit information before travel. Wilderness designation does not guarantee public access.",,,,,,,https://wilderness.net/visit-wilderness/?ID=44,https://www.recreation.gov/search?q=Big+Maria+Mountains+Wilderness,https://www.congress.gov/search?q=%22Big+Maria+Mountains+Wilderness%22+wilderness,https://eplanning.blm.gov/eplanning-ui/search?searchText=Big+Maria+Mountains+Wilderness,https://www.courtlistener.com/?q=%22Big+Maria+Mountains+Wilderness%22,https://scholar.google.com/scholar?q=%22Big+Maria+Mountains+Wilderness%22+wilderness,https://www.google.com/search?q=%22Big+Maria+Mountains+Wilderness%22+wilderness,0,2026-08-04,Semantic identity uses FAU_ID; mapped component identity uses GlobalID. BLM publication of the source does not itself establish BLM management of every record.,True,1,47767.0,47766.919,BLM,1,0,same_component_count,,2026-04-23,2026-08-05
fw-282,282,46,Bigelow Cholla Garden Wilderness,,Bigelow_Cholla_Garden,CA,1994-10-31,1994,Public Law 103-433,,BLM coded-law values were cross-walked to public laws and checked against current interagency/official pages where available; statutory text and designation maps remain legally controlling.,Wilderness Act of 1964 (Public Law 88-577; 16 U.S.C. 1131–1136) and subsequent area-specific public laws.,14645.0,"Wilderness Connect/National Wilderness Preservation System interagency reference acreage; secondary compilation, not a substitute for statutory text.",15534.0,15534.063,1,BLM,False,sole_manager,Sole managing agency represented in the BLM California source.,1,0,"The Biglow Cholla Garden Wilderness lies in the northern end of the Sacramento Mountains. The mountains consist of very dark, highly eroded volcanic rock. Elevations range from 1,400 feet to 3,314 feet","The Biglow Cholla Garden Wilderness lies in the northern end of the Sacramento Mountains. The mountains consist of very dark, highly eroded volcanic rock. Elevations range from 1,400 feet to 3,314 feet","The Biglow Cholla Garden Wilderness lies in the northern end of the Sacramento Mountains. The mountains consist of very dark, highly eroded volcanic rock. Elevations range from 1,400 feet to 3,314 feet","Access, permits, fire restrictions, and other rules vary by managing agency and location. Review current managing-unit information before travel. Wilderness designation does not guarantee public access.",,,,,,,https://wilderness.net/visit-wilderness/?ID=46,https://www.recreation.gov/search?q=Bigelow+Cholla+Garden+Wilderness,https://www.congress.gov/search?q=%22Bigelow+Cholla+Garden+Wilderness%22+wilderness,https://eplanning.blm.gov/eplanning-ui/search?searchText=Bigelow+Cholla+Garden+Wilderness,https://www.courtlistener.com/?q=%22Bigelow+Cholla+Garden+Wilderness%22,https://scholar.google.com/scholar?q=%22Bigelow+Cholla+Garden+Wilderness%22+wilderness,https://www.google.com/search?q=%22Bigelow+Cholla+Garden+Wilderness%22+wilderness,0,2026-08-04,Semantic identity uses FAU_ID; mapped component identity uses GlobalID. BLM publication of the source does not itself establish BLM management of every record.,True,1,15534.0,15534.063,BLM,1,0,same_component_count,,2026-04-23,2026-08-05
fw-284,284,47,Bighorn Mountain Wilderness,,Bighorn_Mountain,CA,1994-10-31,1994,Public Law 103-433,,BLM coded-law values were cross-walked to public laws and checked against current interagency/official pages where available; statutory text and designation maps remain legally controlling.,Wilderness Act of 1964 (Public Law 88-577; 16 U.S.C. 1131–1136) and subsequent area-specific public laws.,26543.0,"Wilderness Connect/National Wilderness Preservation System interagency reference acreage; secondary compilation, not a substitute for statutory text.",38755.0,38755.493,2,BLM; USFS,True,co_manager,BLM manages one or more mapped components; other components are administered by USFS.,1,1,The north-central portion of this Wilderness area holds the rugged Bighorn Mountains and the eastern foothills of the San Bernardino Mountains. It presents a rare transition zone between the yucca- and,"The north-central portion of this Wilderness area holds the rugged Bighorn Mountains and the eastern foothills of the San Bernardino Mountains. It presents a rare transition zone between the yucca- and The BLM California layer represents the named wilderness with 2 source geometries administered by BLM, USFS.",The north-central portion of this Wilderness area holds the rugged Bighorn Mountains and the eastern foothills of the San Bernardino Mountains. It presents a rare transition zone between the yucca- and,"Access, permits, fire restrictions, and other rules vary by managing agency and location. Review current managing-unit information before travel. Wilderness designation does not guarantee public access.",,,,,,https://www.blm.gov/office/barstow-field-office,https://wilderness.net/visit-wilderness/?ID=47,https://www.recreation.gov/search?q=Bighorn+Mountain+Wilderness,https://www.congress.gov/search?q=%22Bighorn+Mountain+Wilderness%22+wilderness,https://eplanning.blm.gov/eplanning-ui/search?searchText=Bighorn+Mountain+Wilderness,https://www.courtlistener.com/?q=%22Bighorn+Mountain+Wilderness%22,https://scholar.google.com/scholar?q=%22Bighorn+Mountain+Wilderness%22+wilderness,https://www.google.com/search?q=%22Bighorn+Mountain+Wilderness%22+wilderness,0,2026-08-04,Semantic identity uses FAU_ID; mapped component identity uses GlobalID. BLM publication of the source does not itself establish BLM management of every record.,True,2,38755.0,38755.492,BLM; USFS,1,1,same_component_count,,2026-04-23,2026-08-05
fw-314,314,57,Black Mountain Wilderness,,Black_Mountain,CA,1994-10-31,1994,Public Law 103-433,,BLM coded-law values were cross-walked to public laws and checked against current interagency/official pages where available; statutory text and designation maps remain legally controlling.,Wilderness Act of 1964 (Public Law 88-577; 16 U.S.C. 1131–1136) and subsequent area-specific public laws.,20548.0,"Wilderness Connect/National Wilderness Preservation System interagency reference acreage; secondary compilation, not a substitute for statutory text.",20980.0,20980.357,1,BLM,False,sole_manager,Sole managing agency represented in the BLM California source.,1,0,"Black Mountain stands at 3,941 feet, a mesa rising above an expanse of desolate, ancient lava flows. The mountain lies in the northwest corner of the Wilderness, and from the summit, the area drops in","Black Mountain stands at 3,941 feet, a mesa rising above an expanse of desolate, ancient lava flows. The mountain lies in the northwest corner of the Wilderness, and from the summit, the area drops in","Black Mountain stands at 3,941 feet, a mesa rising above an expanse of desolate, ancient lava flows. The mountain lies in the northwest corner of the Wilderness, and from the summit, the area drops in","Access, permits, fire restrictions, and other rules vary by managing agency and location. Review current managing-unit information before travel. Wilderness designation does not guarantee public access.",,,,,,https://www.blm.gov/office/barstow-field-office,https://wilderness.net/visit-wilderness/?ID=57,https://www.recreation.gov/search?q=Black+Mountain+Wilderness,https://www.congress.gov/search?q=%22Black+Mountain+Wilderness%22+wilderness,https://eplanning.blm.gov/eplanning-ui/search?searchText=Black+Mountain+Wilderness,https://www.courtlistener.com/?q=%22Black+Mountain+Wilderness%22,https://scholar.google.com/scholar?q=%22Black+Mountain+Wilderness%22+wilderness,https://www.google.com/search?q=%22Black+Mountain+Wilderness%22+wilderness,0,2026-08-04,Semantic identity uses FAU_ID; mapped component identity uses GlobalID. BLM publication of the source does not itself establish BLM management of every record.,True,1,20980.0,20980.357,BLM,1,0,same_component_count,,2026-04-23,2026-08-05
fw-373,373,69,Boundary Peak Wilderness,,Boundary_Peak,NV,1989-11-28,1989,Public Law 101-628,,BLM coded-law values were cross-walked to public laws and checked against current interagency/official pages where available; statutory text and designation maps remain legally controlling.,Wilderness Act of 1964 (Public Law 88-577; 16 U.S.C. 1131–1136) and subsequent area-specific public laws.,10467.0,"Wilderness Connect/National Wilderness Preservation System interagency reference acreage; secondary compilation, not a substitute for statutory text.",10487.0,10487.444,1,USFS,False,no_identified_management_role,,0,1,"Of the 2 million acres of the heavily-visited Inyo National Forest split between Nevada and California, only about 60,000 acres lie in Nevada. In that portion, you will find this one lonely Wilderness","Of the 2 million acres of the heavily-visited Inyo National Forest split between Nevada and California, only about 60,000 acres lie in Nevada. In that portion, you will find this one lonely Wilderness","Of the 2 million acres of the heavily-visited Inyo National Forest split between Nevada and California, only about 60,000 acres lie in Nevada. In that portion, you will find this one lonely Wilderness","Access, permits, fire restrictions, and other rules vary by managing agency and location. Review current managing-unit information before travel. Wilderness designation does not guarantee public access.",,,,,,,https://wilderness.net/visit-wilderness/?ID=69,https://www.recreation.gov/search?q=Boundary+Peak+Wilderness,https://www.congress.gov/search?q=%22Boundary+Peak+Wilderness%22+wilderness,https://eplanning.blm.gov/eplanning-ui/search?searchText=Boundary+Peak+Wilderness,https://www.courtlistener.com/?q=%22Boundary+Peak+Wilderness%22,https://scholar.google.com/scholar?q=%22Boundary+Peak+Wilderness%22+wilderness,https://www.google.com/search?q=%22Boundary+Peak+Wilderness%22+wilderness,0,2026-08-04,Semantic identity uses FAU_ID; mapped component identity uses GlobalID. BLM publication of the source does not itself establish BLM management of every record.,True,1,10487.0,10487.444,USFS,0,1,same_component_count,,2026-04-23,2026-08-05
