monument_id,alias,alias_type,note,verification_date
nm_ca_berryessa_snow_mountain,Berryessa Snow Mountain National Monument,current official name,,2026-08-09
nm_ca_cabrillo,Cabrillo National Monument,current official name,,2026-08-09
nm_ca_california_coastal,California Coastal National Monument,current official name,,2026-08-09
nm_ca_carrizo_plain,Carrizo Plain National Monument,current official name,,2026-08-09
nm_ca_cascade_siskiyou,Cascade–Siskiyou National Monument,current official name,,2026-08-09
nm_ca_castle_mountains,Castle Mountains National Monument,current official name,,2026-08-09
nm_ca_cesar_e_chavez,César E. Chávez National Monument,current official name,,2026-08-09
nm_ca_chuckwalla,Chuckwalla National Monument,current official name,,2026-08-09
nm_ca_devils_postpile,Devils Postpile National Monument,current official name,,2026-08-09
nm_ca_fort_ord,Fort Ord National Monument,current official name,,2026-08-09
nm_ca_giant_sequoia,Giant Sequoia National Monument,current official name,,2026-08-09
nm_ca_lava_beds,Lava Beds National Monument,current official name,,2026-08-09
nm_ca_mojave_trails,Mojave Trails National Monument,current official name,,2026-08-09
nm_ca_muir_woods,Muir Woods National Monument,current official name,,2026-08-09
nm_ca_san_gabriel_mountains,San Gabriel Mountains National Monument,current official name,,2026-08-09
nm_ca_sand_to_snow,Sand to Snow National Monument,current official name,,2026-08-09
nm_ca_sattitla_highlands,Sáttítla Highlands National Monument,current official name,,2026-08-09
nm_ca_saint_francis_dam_disaster,Saint Francis Dam Disaster National Monument,current official name,,2026-08-09
nm_ca_santa_rosa_san_jacinto,Santa Rosa and San Jacinto Mountains National Monument,current official name,,2026-08-09
nm_ca_tule_lake,Tule Lake National Monument,current official name,,2026-08-09
nm_ca_berryessa_snow_mountain,Berryessa Snow Mountain NM,common short/variant,,2026-08-09
nm_ca_berryessa_snow_mountain,BSMNM,historical/search alias,,2026-08-09
nm_ca_california_coastal,California Coastal NM,common short/variant,,2026-08-09
nm_ca_california_coastal,CCNM,historical/search alias,,2026-08-09
nm_ca_carrizo_plain,Carrizo Plain NM,common short/variant,,2026-08-09
nm_ca_cascade_siskiyou,Cascade-Siskiyou National Monument,common short/variant,,2026-08-09
nm_ca_cascade_siskiyou,Cascade–Siskiyou NM,historical/search alias,,2026-08-09
nm_ca_castle_mountains,Castle Mountains NM,common short/variant,,2026-08-09
nm_ca_cesar_e_chavez,Cesar E. Chavez National Monument,common short/variant,,2026-08-09
nm_ca_cesar_e_chavez,César Chávez National Monument,historical/search alias,,2026-08-09
nm_ca_chuckwalla,Chuckwalla NM,common short/variant,,2026-08-09
nm_ca_devils_postpile,Devil Postpile National Monument,common short/variant,,2026-08-09
nm_ca_devils_postpile,Devils Postpile NM,historical/search alias,,2026-08-09
nm_ca_fort_ord,Fort Ord NM,common short/variant,,2026-08-09
nm_ca_giant_sequoia,Giant Sequoia NM,common short/variant,,2026-08-09
nm_ca_lava_beds,Lava Beds NM,common short/variant,,2026-08-09
nm_ca_mojave_trails,Mojave Trails NM,common short/variant,,2026-08-09
nm_ca_muir_woods,Muir Woods NM,common short/variant,,2026-08-09
nm_ca_san_gabriel_mountains,San Gabriel Mountains NM,common short/variant,,2026-08-09
nm_ca_san_gabriel_mountains,SGMNM,historical/search alias,,2026-08-09
nm_ca_sand_to_snow,Sand to Snow NM,common short/variant,,2026-08-09
nm_ca_sattitla_highlands,Sattitla Highlands National Monument,common short/variant,,2026-08-09
nm_ca_sattitla_highlands,Sáttítla Highlands NM,historical/search alias,,2026-08-09
nm_ca_saint_francis_dam_disaster,St. Francis Dam Disaster National Monument,common short/variant,,2026-08-09
nm_ca_saint_francis_dam_disaster,Saint Francis Dam NM,historical/search alias,,2026-08-09
nm_ca_santa_rosa_san_jacinto,Santa Rosa and San Jacinto Mountains NM,common short/variant,,2026-08-09
nm_ca_santa_rosa_san_jacinto,Santa Rosa–San Jacinto Mountains National Monument,historical/search alias,,2026-08-09
nm_ca_tule_lake,Tule Lake NM,common short/variant,,2026-08-09
nm_ca_tule_lake,World War II Valor in the Pacific National Monument — Tule Lake Unit,historical/search alias,,2026-08-09
nm_ca_california_coastal,Trinidad Head Lighthouse,constituent-unit name,,2026-08-09
nm_ca_california_coastal,Waluplh-Lighthouse Ranch,constituent-unit name,,2026-08-09
nm_ca_california_coastal,Lost Coast Headlands,constituent-unit name,,2026-08-09
nm_ca_california_coastal,Point Arena-Stornetta,constituent-unit name,,2026-08-09
nm_ca_california_coastal,Cotoni-Coast Dairies,constituent-unit name,,2026-08-09
nm_ca_california_coastal,Piedras Blancas,constituent-unit name,,2026-08-09
nm_ca_tule_lake,Tule Lake Segregation Center,constituent-unit name,,2026-08-09
nm_ca_tule_lake,The Peninsula,constituent-unit name,,2026-08-09
nm_ca_tule_lake,Castle Rock,constituent-unit name,,2026-08-09
nm_ca_tule_lake,Camp Tulelake,constituent-unit name,,2026-08-09
