monument_id,document_id,instrument_type,date,title,official_citation,president_or_congress,relationship_to_monument,direct_official_url,evidence_source_url,verification_date,confidence,explanatory_note
nm_ca_berryessa_snow_mountain,nm_ca_berryessa_snow_mountain_original,Presidential proclamation,2015-07-10,Establishment of the Berryessa Snow Mountain National Monument,Proclamation 9298,President of the United States,original/current designation,https://www.federalregister.gov/documents/2015/07/15/2015-17560/establishment-of-the-berryessa-snow-mountain-national-monument,https://www.govinfo.gov/link/uscode/54/320301,2026-08-09,High,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_cabrillo,nm_ca_cabrillo_original,Presidential proclamation,1913-10-14,Establishment of the Cabrillo National Monument,Proclamation 1255,President of the United States,original/current designation,,https://www.govinfo.gov/link/uscode/54/320301,2026-08-09,High,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_california_coastal,nm_ca_california_coastal_original,Presidential proclamation,2000-01-11,Establishment of the California Coastal National Monument,Proclamation 7264,President of the United States,original/current designation,,https://www.govinfo.gov/link/uscode/54/320301,2026-08-09,High,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_carrizo_plain,nm_ca_carrizo_plain_original,Presidential proclamation,2001-01-17,Establishment of the Carrizo Plain National Monument,Proclamation 7393,President of the United States,original/current designation,,https://www.govinfo.gov/link/uscode/54/320301,2026-08-09,High,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_cascade_siskiyou,nm_ca_cascade_siskiyou_original,Presidential proclamation,2000-06-09,Establishment of the Cascade–Siskiyou National Monument,Proclamation 7318,President of the United States,original/current designation,,https://www.govinfo.gov/link/uscode/54/320301,2026-08-09,High,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_castle_mountains,nm_ca_castle_mountains_original,Presidential proclamation,2016-02-12,Establishment of the Castle Mountains National Monument,Proclamation 9394,President of the United States,original/current designation,https://www.federalregister.gov/documents/2016/02/18/2016-03540/establishment-of-the-castle-mountains-national-monument,https://www.govinfo.gov/link/uscode/54/320301,2026-08-09,High,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_cesar_e_chavez,nm_ca_cesar_e_chavez_original,Presidential proclamation,2012-10-08,Establishment of the César E. Chávez National Monument,Proclamation 8884,President of the United States,original/current designation,https://www.nps.gov/cech/learn/management/upload/CECH_Establishment-508.pdf,https://www.govinfo.gov/link/uscode/54/320301,2026-08-09,High,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_chuckwalla,nm_ca_chuckwalla_original,Presidential proclamation,2025-01-14,Establishment of the Chuckwalla National Monument,Proclamation 10881,President of the United States,original/current designation,https://www.federalregister.gov/documents/2025/01/17/2025-01441/establishment-of-the-chuckwalla-national-monument,https://www.govinfo.gov/link/uscode/54/320301,2026-08-09,High,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_devils_postpile,nm_ca_devils_postpile_original,Presidential proclamation,1911-07-06,Establishment of the Devils Postpile National Monument,Proclamation 1166,President of the United States,original/current designation,,https://www.govinfo.gov/link/uscode/54/320301,2026-08-09,High,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_fort_ord,nm_ca_fort_ord_original,Presidential proclamation,2012-04-20,Establishment of the Fort Ord National Monument,Proclamation 8803,President of the United States,original/current designation,https://www.blm.gov/sites/blm.gov/files/programs-nlcs-california-fort-ord-proclamation.pdf,https://www.govinfo.gov/link/uscode/54/320301,2026-08-09,High,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_giant_sequoia,nm_ca_giant_sequoia_original,Presidential proclamation,2000-04-15,Establishment of the Giant Sequoia National Monument,Proclamation 7295,President of the United States,original/current designation,,https://www.govinfo.gov/link/uscode/54/320301,2026-08-09,High,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_lava_beds,nm_ca_lava_beds_original,Presidential proclamation,1925-11-21,Establishment of the Lava Beds National Monument,Proclamation 1755,President of the United States,original/current designation,,https://www.govinfo.gov/link/uscode/54/320301,2026-08-09,High,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_mojave_trails,nm_ca_mojave_trails_original,Presidential proclamation,2016-02-12,Establishment of the Mojave Trails National Monument,Proclamation 9395,President of the United States,original/current designation,https://www.federalregister.gov/documents/2016/02/18/2016-03544/establishment-of-the-mojave-trails-national-monument,https://www.govinfo.gov/link/uscode/54/320301,2026-08-09,High,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_muir_woods,nm_ca_muir_woods_original,Presidential proclamation,1908-01-09,Establishment of the Muir Woods National Monument,Proclamation 793,President of the United States,original/current designation,,https://www.govinfo.gov/link/uscode/54/320301,2026-08-09,High,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_san_gabriel_mountains,nm_ca_san_gabriel_mountains_original,Presidential proclamation,2014-10-10,Establishment of the San Gabriel Mountains National Monument,Proclamation 9194,President of the United States,original/current designation,,https://www.govinfo.gov/link/uscode/54/320301,2026-08-09,High,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
