monument_id,document_id,document_type,title,direct_url,issuing_authority,current_or_historical,verification_date,validation_status,note
nm_ca_berryessa_snow_mountain,nm_ca_berryessa_snow_mountain_official_page,current official monument page,Berryessa Snow Mountain National Monument — official page,https://www.blm.gov/programs/national-conservation-lands/california/berryessa-snow-mountain-national-monument,BLM|USFS,Yes,2026-08-09,Resolved in authoritative web research,
nm_ca_cabrillo,nm_ca_cabrillo_official_page,current official monument page,Cabrillo National Monument — official page,https://www.nps.gov/cabr/,NPS,Yes,2026-08-09,Resolved in authoritative web research,
nm_ca_california_coastal,nm_ca_california_coastal_official_page,current official monument page,California Coastal National Monument — official page,https://www.blm.gov/ccnm,BLM,Yes,2026-08-09,Resolved in authoritative web research,
nm_ca_carrizo_plain,nm_ca_carrizo_plain_official_page,current official monument page,Carrizo Plain National Monument — official page,https://www.blm.gov/programs/national-conservation-lands/california/carrizo-plain-national-monument,BLM,Yes,2026-08-09,Resolved in authoritative web research,
nm_ca_cascade_siskiyou,nm_ca_cascade_siskiyou_official_page,current official monument page,Cascade–Siskiyou National Monument — official page,https://www.blm.gov/programs/national-conservation-lands/national-monuments/oregon-washington/cascade-siskiyou,BLM,Yes,2026-08-09,Resolved in authoritative web research,
nm_ca_castle_mountains,nm_ca_castle_mountains_official_page,current official monument page,Castle Mountains National Monument — official page,https://www.nps.gov/camo/,NPS,Yes,2026-08-09,Resolved in authoritative web research,
nm_ca_cesar_e_chavez,nm_ca_cesar_e_chavez_official_page,current official monument page,César E. Chávez National Monument — official page,https://www.nps.gov/cech/,NPS,Yes,2026-08-09,Resolved in authoritative web research,
nm_ca_chuckwalla,nm_ca_chuckwalla_official_page,current official monument page,Chuckwalla National Monument — official page,https://www.blm.gov/chuckwalla-national-monument,BLM,Yes,2026-08-09,Resolved in authoritative web research,
nm_ca_devils_postpile,nm_ca_devils_postpile_official_page,current official monument page,Devils Postpile National Monument — official page,https://www.nps.gov/depo/,NPS,Yes,2026-08-09,Resolved in authoritative web research,
nm_ca_fort_ord,nm_ca_fort_ord_official_page,current official monument page,Fort Ord National Monument — official page,https://www.blm.gov/programs/national-conservation-lands/california/fort-ord-national-monument,BLM,Yes,2026-08-09,Resolved in authoritative web research,
nm_ca_giant_sequoia,nm_ca_giant_sequoia_official_page,current official monument page,Giant Sequoia National Monument — official page,https://www.fs.usda.gov/visit/destination/giant-sequoia-national-monument-0,USFS,Yes,2026-08-09,Resolved in authoritative web research,
nm_ca_lava_beds,nm_ca_lava_beds_official_page,current official monument page,Lava Beds National Monument — official page,https://www.nps.gov/labe/,NPS,Yes,2026-08-09,Resolved in authoritative web research,
nm_ca_mojave_trails,nm_ca_mojave_trails_official_page,current official monument page,Mojave Trails National Monument — official page,https://www.blm.gov/programs/national-conservation-lands/california/mojave-trails-national-monument,BLM,Yes,2026-08-09,Resolved in authoritative web research,
nm_ca_muir_woods,nm_ca_muir_woods_official_page,current official monument page,Muir Woods National Monument — official page,https://www.nps.gov/muwo/,NPS,Yes,2026-08-09,Resolved in authoritative web research,
nm_ca_san_gabriel_mountains,nm_ca_san_gabriel_mountains_official_page,current official monument page,San Gabriel Mountains National Monument — official page,https://www.fs.usda.gov/visit/national-monuments/san-gabriel-mountains-national-monument,USFS,Yes,2026-08-09,Resolved in authoritative web research,
nm_ca_sand_to_snow,nm_ca_sand_to_snow_official_page,current official monument page,Sand to Snow National Monument — official page,https://www.blm.gov/programs/national-conservation-lands/california/sand-to-snow-national-monument,BLM|USFS,Yes,2026-08-09,Resolved in authoritative web research,
nm_ca_sattitla_highlands,nm_ca_sattitla_highlands_official_page,current official monument page,Sáttítla Highlands National Monument — official page,https://www.fs.usda.gov/visit/national-monuments/sattitla-highlands-national-monument,USFS,Yes,2026-08-09,Resolved in authoritative web research,
nm_ca_saint_francis_dam_disaster,nm_ca_saint_francis_dam_disaster_official_page,current official monument page,Saint Francis Dam Disaster National Monument — official page,https://www.fs.usda.gov/media/120036,USFS,Yes,2026-08-09,Resolved in authoritative web research,
nm_ca_santa_rosa_san_jacinto,nm_ca_santa_rosa_san_jacinto_official_page,current official monument page,Santa Rosa and San Jacinto Mountains National Monument — official page,https://www.blm.gov/programs/national-conservation-lands/california/santa-rosa-and-san-jacinto-mountains-national-monument,BLM|USFS,Yes,2026-08-09,Resolved in authoritative web research,
nm_ca_tule_lake,nm_ca_tule_lake_official_page,current official monument page,Tule Lake National Monument — official page,https://www.nps.gov/tule/,NPS,Yes,2026-08-09,Resolved in authoritative web research,
nm_ca_berryessa_snow_mountain,nm_ca_berryessa_snow_mountain_original,original designation instrument,Establishment of the Berryessa Snow Mountain National Monument,https://www.federalregister.gov/documents/2015/07/15/2015-17560/establishment-of-the-berryessa-snow-mountain-national-monument,President of the United States,Historical,2026-08-09,Resolved in authoritative web research,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_cabrillo,nm_ca_cabrillo_original,original designation instrument,Establishment of the Cabrillo National Monument,,President of the United States,Historical,2026-08-09,Direct URL not resolved in-session,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_california_coastal,nm_ca_california_coastal_original,original designation instrument,Establishment of the California Coastal National Monument,,President of the United States,Historical,2026-08-09,Direct URL not resolved in-session,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_carrizo_plain,nm_ca_carrizo_plain_original,original designation instrument,Establishment of the Carrizo Plain National Monument,,President of the United States,Historical,2026-08-09,Direct URL not resolved in-session,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_cascade_siskiyou,nm_ca_cascade_siskiyou_original,original designation instrument,Establishment of the Cascade–Siskiyou National Monument,,President of the United States,Historical,2026-08-09,Direct URL not resolved in-session,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_castle_mountains,nm_ca_castle_mountains_original,original designation instrument,Establishment of the Castle Mountains National Monument,https://www.federalregister.gov/documents/2016/02/18/2016-03540/establishment-of-the-castle-mountains-national-monument,President of the United States,Historical,2026-08-09,Resolved in authoritative web research,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_cesar_e_chavez,nm_ca_cesar_e_chavez_original,original designation instrument,Establishment of the César E. Chávez National Monument,https://www.nps.gov/cech/learn/management/upload/CECH_Establishment-508.pdf,President of the United States,Historical,2026-08-09,Resolved in authoritative web research,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_chuckwalla,nm_ca_chuckwalla_original,original designation instrument,Establishment of the Chuckwalla National Monument,https://www.federalregister.gov/documents/2025/01/17/2025-01441/establishment-of-the-chuckwalla-national-monument,President of the United States,Historical,2026-08-09,Resolved in authoritative web research,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_devils_postpile,nm_ca_devils_postpile_original,original designation instrument,Establishment of the Devils Postpile National Monument,,President of the United States,Historical,2026-08-09,Direct URL not resolved in-session,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_fort_ord,nm_ca_fort_ord_original,original designation instrument,Establishment of the Fort Ord National Monument,https://www.blm.gov/sites/blm.gov/files/programs-nlcs-california-fort-ord-proclamation.pdf,President of the United States,Historical,2026-08-09,Resolved in authoritative web research,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_giant_sequoia,nm_ca_giant_sequoia_original,original designation instrument,Establishment of the Giant Sequoia National Monument,,President of the United States,Historical,2026-08-09,Direct URL not resolved in-session,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_lava_beds,nm_ca_lava_beds_original,original designation instrument,Establishment of the Lava Beds National Monument,,President of the United States,Historical,2026-08-09,Direct URL not resolved in-session,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_mojave_trails,nm_ca_mojave_trails_original,original designation instrument,Establishment of the Mojave Trails National Monument,https://www.federalregister.gov/documents/2016/02/18/2016-03544/establishment-of-the-mojave-trails-national-monument,President of the United States,Historical,2026-08-09,Resolved in authoritative web research,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_muir_woods,nm_ca_muir_woods_original,original designation instrument,Establishment of the Muir Woods National Monument,,President of the United States,Historical,2026-08-09,Direct URL not resolved in-session,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_san_gabriel_mountains,nm_ca_san_gabriel_mountains_original,original designation instrument,Establishment of the San Gabriel Mountains National Monument,,President of the United States,Historical,2026-08-09,Direct URL not resolved in-session,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_sand_to_snow,nm_ca_sand_to_snow_original,original designation instrument,Establishment of the Sand to Snow National Monument,https://www.federalregister.gov/documents/2016/02/18/2016-03548/establishment-of-the-sand-to-snow-national-monument,President of the United States,Historical,2026-08-09,Resolved in authoritative web research,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_sattitla_highlands,nm_ca_sattitla_highlands_original,original designation instrument,Establishment of the Sáttítla Highlands National Monument,https://public-inspection.federalregister.gov/2025-01443.pdf,President of the United States,Historical,2026-08-09,Resolved in authoritative web research,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_saint_francis_dam_disaster,nm_ca_saint_francis_dam_disaster_original,original designation instrument,Congressional designation of Saint Francis Dam Disaster National Monument,https://www.govinfo.gov/link/plaw/116/public/9,United States Congress,Historical,2026-08-09,Resolved in authoritative web research,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_santa_rosa_san_jacinto,nm_ca_santa_rosa_san_jacinto_original,original designation instrument,Congressional designation of Santa Rosa and San Jacinto Mountains National Monument,https://www.govinfo.gov/app/details/PLAW-106publ351,United States Congress,Historical,2026-08-09,Resolved in authoritative web research,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_tule_lake,nm_ca_tule_lake_original,original designation instrument,Congressional designation of Tule Lake National Monument,https://www.govinfo.gov/link/plaw/116/public/9,United States Congress,Historical,2026-08-09,Resolved in authoritative web research,"Where direct instrument text was not resolved in-session, the official U.S. Code monument notes or agency page is retained as legal-index evidence; reacquire direct instrument in a connected build runtime."
nm_ca_berryessa_snow_mountain,proc10745,later designation/amendment instrument,Expansion of Berryessa Snow Mountain National Monument / Molok Luyuk,https://www.federalregister.gov/documents/full_text/html/2024/05/09/2024-10266.html,President Joseph R. Biden Jr.,Historical,2026-08-09,Resolved in authoritative web research,Adds federal lands and directs consultation/co-stewardship exploration with interested Tribal Nations.
