layer_id,monument_id,geometry_component_key,public_label_text,semantic_to_component_relationship,label_anchor_strategy,visible_component_aware,recommended_min_zoom,lbl_available,lbl_default,filter_aware_membership,verification_date
national_monuments,nm_ca_berryessa_snow_mountain,source-component-aware,Berryessa Snow Mountain National Monument,one semantic monument to one-or-many source/constituent geometry components,Choose deterministic point-on-surface from largest currently visible polygon component; stable tie-break by component/source key,Yes,7,Yes,Use shared BRIM convention; do not create independent National Monument label controller,Label only monuments in the applied visible semantic set; recompute anchor after filters alter visible components,2026-08-09
national_monuments,nm_ca_cabrillo,source-component-aware,Cabrillo National Monument,one semantic monument to one-or-many source/constituent geometry components,Choose deterministic point-on-surface from largest currently visible polygon component; stable tie-break by component/source key,Yes,7,Yes,Use shared BRIM convention; do not create independent National Monument label controller,Label only monuments in the applied visible semantic set; recompute anchor after filters alter visible components,2026-08-09
national_monuments,nm_ca_california_coastal,source-component-aware,California Coastal National Monument,one semantic monument to one-or-many source/constituent geometry components,Choose deterministic point-on-surface from largest currently visible polygon component; stable tie-break by component/source key,Yes,7,Yes,Use shared BRIM convention; do not create independent National Monument label controller,Label only monuments in the applied visible semantic set; recompute anchor after filters alter visible components,2026-08-09
national_monuments,nm_ca_carrizo_plain,source-component-aware,Carrizo Plain National Monument,one semantic monument to one-or-many source/constituent geometry components,Choose deterministic point-on-surface from largest currently visible polygon component; stable tie-break by component/source key,Yes,7,Yes,Use shared BRIM convention; do not create independent National Monument label controller,Label only monuments in the applied visible semantic set; recompute anchor after filters alter visible components,2026-08-09
national_monuments,nm_ca_cascade_siskiyou,source-component-aware,Cascade–Siskiyou National Monument,one semantic monument to one-or-many source/constituent geometry components,Choose deterministic point-on-surface from largest currently visible polygon component; stable tie-break by component/source key,Yes,7,Yes,Use shared BRIM convention; do not create independent National Monument label controller,Label only monuments in the applied visible semantic set; recompute anchor after filters alter visible components,2026-08-09
national_monuments,nm_ca_castle_mountains,source-component-aware,Castle Mountains National Monument,one semantic monument to one-or-many source/constituent geometry components,Choose deterministic point-on-surface from largest currently visible polygon component; stable tie-break by component/source key,Yes,7,Yes,Use shared BRIM convention; do not create independent National Monument label controller,Label only monuments in the applied visible semantic set; recompute anchor after filters alter visible components,2026-08-09
national_monuments,nm_ca_cesar_e_chavez,source-component-aware,César E. Chávez National Monument,one semantic monument to one-or-many source/constituent geometry components,Choose deterministic point-on-surface from largest currently visible polygon component; stable tie-break by component/source key,Yes,7,Yes,Use shared BRIM convention; do not create independent National Monument label controller,Label only monuments in the applied visible semantic set; recompute anchor after filters alter visible components,2026-08-09
national_monuments,nm_ca_chuckwalla,source-component-aware,Chuckwalla National Monument,one semantic monument to one-or-many source/constituent geometry components,Choose deterministic point-on-surface from largest currently visible polygon component; stable tie-break by component/source key,Yes,7,Yes,Use shared BRIM convention; do not create independent National Monument label controller,Label only monuments in the applied visible semantic set; recompute anchor after filters alter visible components,2026-08-09
national_monuments,nm_ca_devils_postpile,source-component-aware,Devils Postpile National Monument,one semantic monument to one-or-many source/constituent geometry components,Choose deterministic point-on-surface from largest currently visible polygon component; stable tie-break by component/source key,Yes,7,Yes,Use shared BRIM convention; do not create independent National Monument label controller,Label only monuments in the applied visible semantic set; recompute anchor after filters alter visible components,2026-08-09
national_monuments,nm_ca_fort_ord,source-component-aware,Fort Ord National Monument,one semantic monument to one-or-many source/constituent geometry components,Choose deterministic point-on-surface from largest currently visible polygon component; stable tie-break by component/source key,Yes,7,Yes,Use shared BRIM convention; do not create independent National Monument label controller,Label only monuments in the applied visible semantic set; recompute anchor after filters alter visible components,2026-08-09
national_monuments,nm_ca_giant_sequoia,source-component-aware,Giant Sequoia National Monument,one semantic monument to one-or-many source/constituent geometry components,Choose deterministic point-on-surface from largest currently visible polygon component; stable tie-break by component/source key,Yes,7,Yes,Use shared BRIM convention; do not create independent National Monument label controller,Label only monuments in the applied visible semantic set; recompute anchor after filters alter visible components,2026-08-09
national_monuments,nm_ca_lava_beds,source-component-aware,Lava Beds National Monument,one semantic monument to one-or-many source/constituent geometry components,Choose deterministic point-on-surface from largest currently visible polygon component; stable tie-break by component/source key,Yes,7,Yes,Use shared BRIM convention; do not create independent National Monument label controller,Label only monuments in the applied visible semantic set; recompute anchor after filters alter visible components,2026-08-09
national_monuments,nm_ca_mojave_trails,source-component-aware,Mojave Trails National Monument,one semantic monument to one-or-many source/constituent geometry components,Choose deterministic point-on-surface from largest currently visible polygon component; stable tie-break by component/source key,Yes,7,Yes,Use shared BRIM convention; do not create independent National Monument label controller,Label only monuments in the applied visible semantic set; recompute anchor after filters alter visible components,2026-08-09
national_monuments,nm_ca_muir_woods,source-component-aware,Muir Woods National Monument,one semantic monument to one-or-many source/constituent geometry components,Choose deterministic point-on-surface from largest currently visible polygon component; stable tie-break by component/source key,Yes,7,Yes,Use shared BRIM convention; do not create independent National Monument label controller,Label only monuments in the applied visible semantic set; recompute anchor after filters alter visible components,2026-08-09
national_monuments,nm_ca_san_gabriel_mountains,source-component-aware,San Gabriel Mountains National Monument,one semantic monument to one-or-many source/constituent geometry components,Choose deterministic point-on-surface from largest currently visible polygon component; stable tie-break by component/source key,Yes,7,Yes,Use shared BRIM convention; do not create independent National Monument label controller,Label only monuments in the applied visible semantic set; recompute anchor after filters alter visible components,2026-08-09
national_monuments,nm_ca_sand_to_snow,source-component-aware,Sand to Snow National Monument,one semantic monument to one-or-many source/constituent geometry components,Choose deterministic point-on-surface from largest currently visible polygon component; stable tie-break by component/source key,Yes,7,Yes,Use shared BRIM convention; do not create independent National Monument label controller,Label only monuments in the applied visible semantic set; recompute anchor after filters alter visible components,2026-08-09
national_monuments,nm_ca_sattitla_highlands,source-component-aware,Sáttítla Highlands National Monument,one semantic monument to one-or-many source/constituent geometry components,Choose deterministic point-on-surface from largest currently visible polygon component; stable tie-break by component/source key,Yes,7,Yes,Use shared BRIM convention; do not create independent National Monument label controller,Label only monuments in the applied visible semantic set; recompute anchor after filters alter visible components,2026-08-09
national_monuments,nm_ca_saint_francis_dam_disaster,source-component-aware,Saint Francis Dam Disaster National Monument,one semantic monument to one-or-many source/constituent geometry components,Choose deterministic point-on-surface from largest currently visible polygon component; stable tie-break by component/source key,Yes,7,Yes,Use shared BRIM convention; do not create independent National Monument label controller,Label only monuments in the applied visible semantic set; recompute anchor after filters alter visible components,2026-08-09
national_monuments,nm_ca_santa_rosa_san_jacinto,source-component-aware,Santa Rosa and San Jacinto Mountains National Monument,one semantic monument to one-or-many source/constituent geometry components,Choose deterministic point-on-surface from largest currently visible polygon component; stable tie-break by component/source key,Yes,7,Yes,Use shared BRIM convention; do not create independent National Monument label controller,Label only monuments in the applied visible semantic set; recompute anchor after filters alter visible components,2026-08-09
national_monuments,nm_ca_tule_lake,source-component-aware,Tule Lake National Monument,one semantic monument to one-or-many source/constituent geometry components,Choose deterministic point-on-surface from largest currently visible polygon component; stable tie-break by component/source key,Yes,7,Yes,Use shared BRIM convention; do not create independent National Monument label controller,Label only monuments in the applied visible semantic set; recompute anchor after filters alter visible components,2026-08-09
