monument_id,canonical_name,states,scope_basis,designation_status,original_designation_date,designation_year,original_authority_type,original_authority_citation,administering_agencies,primary_public_acres,acreage_basis,current_official_page,geometry_source_agencies,geometry_source_ids,recent_material_change,semantic_notes,confidence,verification_date
nm_ca_berryessa_snow_mountain,Berryessa Snow Mountain National Monument,CA,Wholly/partly in California,Current,2015-07-10,2015,Presidential proclamation,Proclamation 9298,BLM|USFS,344476,BLM detail table total federal lands after 2024 expansion,https://www.blm.gov/programs/national-conservation-lands/california/berryessa-snow-mountain-national-monument,BLM|USFS,BLM:NLCS000318|USFS:AREANAME=Berryessa Snow Mountain,2024 expansion (Molok Luyuk) by Proclamation 10745,One legal monument with BLM and Forest Service administration; do not split into separate monuments by agency.,High,2026-08-09
nm_ca_cabrillo,Cabrillo National Monument,CA,Wholly in California,Current,1913-10-14,1913,Presidential proclamation,Proclamation 1255,NPS,166,NPS research page; current pages sometimes round to ~160 acres,https://www.nps.gov/cabr/,NPS,NPS:CABR,,Single NPS National Monument; historical boundary changes exist.,High,2026-08-09
nm_ca_california_coastal,California Coastal National Monument,CA,Wholly in California,Current,2000-01-11,2000,Presidential proclamation,Proclamation 7264,BLM,8858,"BLM detail table federal-land acreage; public page separately describes ~1,000 offshore acres + 7,924 onshore acres",https://www.blm.gov/ccnm,BLM,BLM:NLCS000317,Onshore additions under Proclamations 9089 (2014) and 9563 (2017),One distributed legal monument containing offshore rocks/islands/reefs/pinnacles and six named onshore units. Acreage descriptions vary by source/basis and should be disclosed.,High,2026-08-09
nm_ca_carrizo_plain,Carrizo Plain National Monument,CA,Wholly in California,Current,2001-01-17,2001,Presidential proclamation,Proclamation 7393,BLM,211045,BLM detail table total federal lands,https://www.blm.gov/programs/national-conservation-lands/california/carrizo-plain-national-monument,BLM,BLM:NLCS000316,,Single BLM monument.,High,2026-08-09
nm_ca_cascade_siskiyou,Cascade–Siskiyou National Monument,CA|OR,Crosses California–Oregon line; retain complete monument,Current,2000-06-09,2000,Presidential proclamation,Proclamation 7318,BLM,112928,BLM detail table total federal lands; includes California and Oregon portions,https://www.blm.gov/programs/national-conservation-lands/national-monuments/oregon-washington/cascade-siskiyou,BLM,BLM:NLCS000732,2017 expansion by Proclamation 9564; congressional land provisions in 2009,Complete monument retained because it crosses the California border. Source administrative state may be Oregon even though monument includes California land.,High,2026-08-09
nm_ca_castle_mountains,Castle Mountains National Monument,CA,Wholly in California,Current,2016-02-12,2016,Presidential proclamation,Proclamation 9394,NPS,21000,"NPS current page: nearly 21,000 acres",https://www.nps.gov/camo/,NPS,NPS:CAMO,,NPS monument co-managed administratively with Mojave National Preserve; remains a distinct National Monument.,High,2026-08-09
nm_ca_cesar_e_chavez,César E. Chávez National Monument,CA,Wholly in California,Current,2012-10-08,2012,Presidential proclamation,Proclamation 8884,NPS,117,NPS describes the monument as 117 acres; NPS directly manages only about 2.8 acres and other property is privately owned by the National Chavez Center,https://www.nps.gov/cech/,NPS,NPS:CECH,,Boundary/monument acreage is not equivalent to NPS ownership. Current NPS page describes collaborative management with the National Chavez Center.,High,2026-08-09
nm_ca_chuckwalla,Chuckwalla National Monument,CA,Wholly in California,Current,2025-01-14,2025,Presidential proclamation,Proclamation 10881,BLM,624270,"BLM public-land acreage; official page notes nearly 740,000 acres within the broader boundary context",https://www.blm.gov/chuckwalla-national-monument,BLM,BLM:NLCS000321,New designation in 2025,Current BLM public geometry snapshot includes the monument. Keep public-land acreage distinct from broader boundary/inholding context.,High,2026-08-09
nm_ca_devils_postpile,Devils Postpile National Monument,CA,Wholly in California,Current,1911-07-06,1911,Presidential proclamation,Proclamation 1166,NPS,798,NPS park statistics,https://www.nps.gov/depo/,NPS,NPS:DEPO,,Historical legal sources may use “Devil Postpile”; current official name is Devils Postpile.,High,2026-08-09
nm_ca_fort_ord,Fort Ord National Monument,CA,Wholly in California,Current,2012-04-20,2012,Presidential proclamation,Proclamation 8803,BLM,14658,"Current BLM page: 14,658 acres of public land; proclamation reserved approximately 14,651 acres",https://www.blm.gov/programs/national-conservation-lands/california/fort-ord-national-monument,BLM,BLM:NLCS000315,,Current public acreage differs slightly from proclamation approximate acreage; use current BLM public figure and retain legal figure in QA.,High,2026-08-09
nm_ca_giant_sequoia,Giant Sequoia National Monument,CA,Wholly in California,Current,2000-04-15,2000,Presidential proclamation,Proclamation 7295,USFS,328315,Forest Service current visitor/planning information,https://www.fs.usda.gov/visit/destination/giant-sequoia-national-monument-0,USFS,USFS:AREANAME=Giant Sequoia,,Administered by Sequoia National Forest.,High,2026-08-09
nm_ca_lava_beds,Lava Beds National Monument,CA,Wholly in California,Current,1925-11-21,1925,Presidential proclamation,Proclamation 1755,NPS,46692,"NPS Geodiversity Atlas: approximately 46,692 acres",https://www.nps.gov/labe/,NPS,NPS:LABE,Boundary modified by Proclamation 2925 (1951),Single NPS monument with extensive volcanic and cultural resources.,High,2026-08-09
nm_ca_mojave_trails,Mojave Trails National Monument,CA,Wholly in California,Current,2016-02-12,2016,Presidential proclamation,Proclamation 9395,BLM,1600000,BLM public description/detail-table rounded figure,https://www.blm.gov/programs/national-conservation-lands/california/mojave-trails-national-monument,BLM,BLM:NLCS000320,,Large BLM desert monument; acreage is intentionally approximate/rounded in public-facing sources.,High,2026-08-09
nm_ca_muir_woods,Muir Woods National Monument,CA,Wholly in California,Current,1908-01-09,1908,Presidential proclamation,Proclamation 793,NPS,554,NPS nature/geodiversity sources,https://www.nps.gov/muwo/,NPS,NPS:MUWO,Multiple historical boundary additions/modifications,Part of Golden Gate National Recreation Area administration while retaining National Monument identity.,High,2026-08-09
nm_ca_san_gabriel_mountains,San Gabriel Mountains National Monument,CA,Wholly in California,Current,2014-10-10,2014,Presidential proclamation,Proclamation 9194,USFS,455407,Forest Service 2024 boundary map total; proclamation-era rounded component figures do not sum exactly to this total,https://www.fs.usda.gov/visit/national-monuments/san-gabriel-mountains-national-monument,USFS,USFS:AREANAME=San Gabriel Mountains,2024 expansion by Proclamation 10746,Administered by Angeles National Forest. Retain acreage discrepancy as a documented QA issue rather than silently reconciling it.,High,2026-08-09
nm_ca_sand_to_snow,Sand to Snow National Monument,CA,Wholly in California,Current,2016-02-12,2016,Presidential proclamation,Proclamation 9396,BLM|USFS,154000,"BLM/Forest Service public description, rounded",https://www.blm.gov/programs/national-conservation-lands/california/sand-to-snow-national-monument,BLM|USFS,BLM:NLCS002020|USFS:AREANAME=Sand to Snow,,One legal monument jointly administered by BLM and the Forest Service; multiple local BLM office contexts may apply.,High,2026-08-09
nm_ca_sattitla_highlands,Sáttítla Highlands National Monument,CA,Wholly in California,Current,2025-01-14,2025,Presidential proclamation,Proclamation 10882,USFS,224676,Forest Service current National Monument page,https://www.fs.usda.gov/visit/national-monuments/sattitla-highlands-national-monument,USFS,USFS:AREANAME=Sáttítla Highlands,New designation in 2025,"Administered across Modoc, Shasta-Trinity, and Klamath National Forests; one legal monument.",High,2026-08-09
nm_ca_saint_francis_dam_disaster,Saint Francis Dam Disaster National Monument,CA,Wholly in California,Current,2019-03-12,2019,Act of Congress,"Public Law 116-9, Title I, §1111",USFS,353,Forest Service current media/Land Areas report,https://www.fs.usda.gov/media/120036,USFS,USFS:AREANAME=Saint Francis Dam Disaster,,"Congressional monument on Angeles National Forest; easy to miss in high-level monument lists, so preserve explicit inventory evidence.",High,2026-08-09
nm_ca_santa_rosa_san_jacinto,Santa Rosa and San Jacinto Mountains National Monument,CA,Wholly in California,Current,2000-10-24,2000,Act of Congress,Public Law 106-351,BLM|USFS,280000,"Current BLM public page: boundary encompasses about 280,000 acres; BLM detail table separately reports 169,096 federal acres",https://www.blm.gov/programs/national-conservation-lands/california/santa-rosa-and-san-jacinto-mountains-national-monument,BLM|USFS,BLM:NLCS000314|USFS:AREANAME=Santa Rosa and San Jacinto Mountains,Subsequent congressional provisions in 2000 and 2009,Joint BLM/Forest Service monument. Distinguish total mapped boundary from federal-land acreage.,High,2026-08-09
