source_id,publisher,service_title,endpoint,layer,geographic_scope,source_update_date,identifiers,geometry_type,crs,schema_summary,source_role,currentness,suitability,caveat,verification_date
src_blm_public_geometry,Bureau of Land Management,BLM Natl NLCS National Monuments National Conservation Areas Polygons,https://services1.arcgis.com/KbxwQRRfWyEYLgp4/arcgis/rest/services/BLM_Natl_NLCS_National_Monuments_National_Conservation_Areas_Polygons/FeatureServer/0,0,National BLM National Conservation Lands public subset,Recent 2026 service/catalog refresh; live research observed 2026-08-06 in one response and cached Data.gov metadata reporting 2026-06-18,NLCS_ID,Polygon,Service metadata / web query; reacquire raw snapshot to record exact returned CRS,"OBJECTID, sma_code, STATE_ADMN, STATE_GEOG, Label, NCA_NAME, NLCS_ID, Shape__Area, Shape__Length",Primary current BLM geometry source,Current public BLM service accessed 2026-08-09; materialized attribute snapshot includes Chuckwalla,High,Optimized public subset for online map performance; preserve raw timestamped query output for Local production.,2026-08-09
src_usfs_current_geometry,USDA Forest Service,EDW Other National Designated Area,https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_OtherNationalDesignatedArea_01/MapServer/0,0,National Forest System nationally designated areas,2026-06-28,othnatldesgid|areaid|areaname,Polygon,EPSG:4269 service layer,"objectid, othnatldesgid, areatype, areaname, fullname, areaid, boundarystatus, gis_acres",Primary current Forest Service display/analysis geometry,Current EDW refresh 2026-06-28,High,Current boundaries are merged by area name and simplified for general mapping; use legal-status dataset for transaction history/advanced boundary analysis.,2026-08-09
src_usfs_legal_status,USDA Forest Service,EDW Other National Designated Area Status,https://apps.fs.usda.gov/arcx/rest/services/EDW/EDW_OtherNationalDesignatedAreaStatus_01/MapServer/0,0,National Forest System nationally designated-area legal status transactions,2026-06-28,status/area identifiers per service schema,Polygon,Service metadata,"Transactional status polygons including adds/deletes/modifications, dates, authority, case/status fields",Forest Service legal-status companion,Current EDW refresh 2026-06-28,High for legal/transactional QA,Not the preferred simplified display layer; normalize carefully to current semantic monument.,2026-08-09
src_nps_lrd_boundary,National Park Service — Land Resources Division,NPS Land Resources Division Boundary and Tract Data Service — Boundary,https://services1.arcgis.com/fBc8EJBxQRMcHlei/ArcGIS/rest/services/NPS_Land_Resources_Division_Boundary_and_Tract_Data_Service/FeatureServer/2,2,National Park System boundaries,2026-07-30,UNIT_CODE|GlobalID|AreaID,Polygon,EPSG:3857 service layer,"UNIT_CODE, UNIT_NAME, DATE_EDIT, STATE, REGION, UNIT_TYPE, PARKNAME, GlobalID, AreaID, IRMAReference, Status",Primary authoritative NPS boundary source,Authoritative NPS LRD service; data edited 2026-07-30,High,Filter to current Official records and target unit codes; TULE is the NPS-administered Segregation Center component and not a complete semantic boundary.,2026-08-10
src_fws_tule_lake_special_designation,U.S. Fish and Wildlife Service — National Wildlife Refuge System Division of Realty,FWSSpecialDesignation,https://services.arcgis.com/QVENGdaPbd4LUkLV/arcgis/rest/services/SpecialDesignation201903/FeatureServer/0,0,National USFWS-administered special designations,Current service queried 2026-08-10,OBJECTID|GlobalID|GlobalID_2|DESNAME|DESTYPE,Polygon,EPSG:4269,"OBJECTID, GlobalID, GlobalID_2, ORGNAME, GISACRES, DOCNUM, DESNAME, DESTYPE, DESDATE, RSL_TYPE, ModifiedDate",Primary authoritative USFWS Tule Lake component geometry,Current authoritative USFWS National Realty service; exact Tule Lake record acquired 2026-08-10,High,OBJECTID 135 is one two-part National Monument multipolygon for the Peninsula/Castle Rock and Camp Tulelake areas within Tule Lake NWR.,2026-08-10
src_blm_detail_table,Bureau of Land Management,National Monuments / NCAs Detail Table,https://www.blm.gov/programs/national-conservation-lands/about/maps-data-and-resources/NM-Detail-Table,,BLM National Conservation Lands units,2026-01 (table states data current as of January 2026),Unit name; legal citation; managing office,None,,"Unit, type, managing office, initial authority/date, BLM acres, total federal acres","Inventory, legal citation, office, acreage cross-check",Current official table,High,Acreages are described as generalized/informal and should not substitute for legal/GIS QA.,2026-08-09
src_uscode_monument_notes,U.S. Government Publishing Office,54 U.S.C. §320301 and historical/statutory National Monument notes,https://www.govinfo.gov/link/uscode/54/320301,,Federal legal authority/history,Current U.S. Code edition available through GovInfo,Proclamation/Public Law citations,None,,Statute and historical monument notes,Official legal-index evidence and statutory authority,Official,High,Use direct proclamation/Public Law text where resolved; do not mislabel the U.S. Code note itself as the original instrument.,2026-08-09
page_nm_ca_berryessa_snow_mountain,BLM|USFS,Berryessa Snow Mountain National Monument current official page,https://www.blm.gov/programs/national-conservation-lands/california/berryessa-snow-mountain-national-monument,,CA,Current page checked 2026-08-09,nm_ca_berryessa_snow_mountain,None / page,,Official monument information page,"Current identity, management, acreage/value context",Current,High,Page content can change; preserve URL and verification date.,2026-08-09
page_nm_ca_cabrillo,NPS,Cabrillo National Monument current official page,https://www.nps.gov/cabr/,,CA,Current page checked 2026-08-09,nm_ca_cabrillo,None / page,,Official monument information page,"Current identity, management, acreage/value context",Current,High,Page content can change; preserve URL and verification date.,2026-08-09
page_nm_ca_california_coastal,BLM,California Coastal National Monument current official page,https://www.blm.gov/ccnm,,CA,Current page checked 2026-08-09,nm_ca_california_coastal,None / page,,Official monument information page,"Current identity, management, acreage/value context",Current,High,Page content can change; preserve URL and verification date.,2026-08-09
page_nm_ca_carrizo_plain,BLM,Carrizo Plain National Monument current official page,https://www.blm.gov/programs/national-conservation-lands/california/carrizo-plain-national-monument,,CA,Current page checked 2026-08-09,nm_ca_carrizo_plain,None / page,,Official monument information page,"Current identity, management, acreage/value context",Current,High,Page content can change; preserve URL and verification date.,2026-08-09
page_nm_ca_cascade_siskiyou,BLM,Cascade–Siskiyou National Monument current official page,https://www.blm.gov/programs/national-conservation-lands/national-monuments/oregon-washington/cascade-siskiyou,,CA|OR,Current page checked 2026-08-09,nm_ca_cascade_siskiyou,None / page,,Official monument information page,"Current identity, management, acreage/value context",Current,High,Page content can change; preserve URL and verification date.,2026-08-09
page_nm_ca_castle_mountains,NPS,Castle Mountains National Monument current official page,https://www.nps.gov/camo/,,CA,Current page checked 2026-08-09,nm_ca_castle_mountains,None / page,,Official monument information page,"Current identity, management, acreage/value context",Current,High,Page content can change; preserve URL and verification date.,2026-08-09
page_nm_ca_cesar_e_chavez,NPS,César E. Chávez National Monument current official page,https://www.nps.gov/cech/,,CA,Current page checked 2026-08-09,nm_ca_cesar_e_chavez,None / page,,Official monument information page,"Current identity, management, acreage/value context",Current,High,Page content can change; preserve URL and verification date.,2026-08-09
page_nm_ca_chuckwalla,BLM,Chuckwalla National Monument current official page,https://www.blm.gov/chuckwalla-national-monument,,CA,Current page checked 2026-08-09,nm_ca_chuckwalla,None / page,,Official monument information page,"Current identity, management, acreage/value context",Current,High,Page content can change; preserve URL and verification date.,2026-08-09
page_nm_ca_devils_postpile,NPS,Devils Postpile National Monument current official page,https://www.nps.gov/depo/,,CA,Current page checked 2026-08-09,nm_ca_devils_postpile,None / page,,Official monument information page,"Current identity, management, acreage/value context",Current,High,Page content can change; preserve URL and verification date.,2026-08-09
page_nm_ca_fort_ord,BLM,Fort Ord National Monument current official page,https://www.blm.gov/programs/national-conservation-lands/california/fort-ord-national-monument,,CA,Current page checked 2026-08-09,nm_ca_fort_ord,None / page,,Official monument information page,"Current identity, management, acreage/value context",Current,High,Page content can change; preserve URL and verification date.,2026-08-09
page_nm_ca_giant_sequoia,USFS,Giant Sequoia National Monument current official page,https://www.fs.usda.gov/visit/destination/giant-sequoia-national-monument-0,,CA,Current page checked 2026-08-09,nm_ca_giant_sequoia,None / page,,Official monument information page,"Current identity, management, acreage/value context",Current,High,Page content can change; preserve URL and verification date.,2026-08-09
page_nm_ca_lava_beds,NPS,Lava Beds National Monument current official page,https://www.nps.gov/labe/,,CA,Current page checked 2026-08-09,nm_ca_lava_beds,None / page,,Official monument information page,"Current identity, management, acreage/value context",Current,High,Page content can change; preserve URL and verification date.,2026-08-09
page_nm_ca_mojave_trails,BLM,Mojave Trails National Monument current official page,https://www.blm.gov/programs/national-conservation-lands/california/mojave-trails-national-monument,,CA,Current page checked 2026-08-09,nm_ca_mojave_trails,None / page,,Official monument information page,"Current identity, management, acreage/value context",Current,High,Page content can change; preserve URL and verification date.,2026-08-09
page_nm_ca_muir_woods,NPS,Muir Woods National Monument current official page,https://www.nps.gov/muwo/,,CA,Current page checked 2026-08-09,nm_ca_muir_woods,None / page,,Official monument information page,"Current identity, management, acreage/value context",Current,High,Page content can change; preserve URL and verification date.,2026-08-09
page_nm_ca_san_gabriel_mountains,USFS,San Gabriel Mountains National Monument current official page,https://www.fs.usda.gov/visit/national-monuments/san-gabriel-mountains-national-monument,,CA,Current page checked 2026-08-09,nm_ca_san_gabriel_mountains,None / page,,Official monument information page,"Current identity, management, acreage/value context",Current,High,Page content can change; preserve URL and verification date.,2026-08-09
page_nm_ca_sand_to_snow,BLM|USFS,Sand to Snow National Monument current official page,https://www.blm.gov/programs/national-conservation-lands/california/sand-to-snow-national-monument,,CA,Current page checked 2026-08-09,nm_ca_sand_to_snow,None / page,,Official monument information page,"Current identity, management, acreage/value context",Current,High,Page content can change; preserve URL and verification date.,2026-08-09
page_nm_ca_sattitla_highlands,USFS,Sáttítla Highlands National Monument current official page,https://www.fs.usda.gov/visit/national-monuments/sattitla-highlands-national-monument,,CA,Current page checked 2026-08-09,nm_ca_sattitla_highlands,None / page,,Official monument information page,"Current identity, management, acreage/value context",Current,High,Page content can change; preserve URL and verification date.,2026-08-09
page_nm_ca_saint_francis_dam_disaster,USFS,Saint Francis Dam Disaster National Monument current official page,https://www.fs.usda.gov/media/120036,,CA,Current page checked 2026-08-09,nm_ca_saint_francis_dam_disaster,None / page,,Official monument information page,"Current identity, management, acreage/value context",Current,High,Page content can change; preserve URL and verification date.,2026-08-09
