"seed_order","reference_name","source_name_candidates","date_established_reference","established_year_month","reference_acres","designation_subtype_reference","geographic_scope_note"
1,"Bear Canyon","Bear Canyon|Bear Canyon Rare II Contiguous","Jan-79","1979-01",318,"Wilderness Study Area","California"
2,"Bear Mountain","Bear Mountain|Bear Mountain Rare II Contiguous","Jan-79","1979-01",4023,"Wilderness Study Area","California"
3,"Beauty Mountain","Beauty Mountain","Jul-91","1991-07",3830,"Wilderness Study Area","California"
4,"Big Butte","Big Butte","Jul-91","1991-07",1500,"Wilderness Study Area","California"
5,"Bitterbrush ISA","Bitterbrush ISA|Bitterbrush|Bitterbrush Instant Study Area","Jul-91","1991-07",640,"Instant Study Area (ISA)","California"
6,"Black Mountain","Black Mountain","Dec-79","1979-12",150,"Wilderness Study Area","California"
7,"Bodie","Bodie","Jul-91","1991-07",16482,"Wilderness Study Area","California"
8,"Bodie Mountain","Bodie Mountain","Jul-91","1991-07",23934,"Wilderness Study Area","California"
9,"Brushy Mountain / English Ridge Subunit","Brushy Mountain / English Ridge Subunit|Brushy Mountain/English Ridge Subunit|Brushy Mountain English Ridge Subunit","Nov-24","2024-11",5500,"Contiguous/subunit WSA","California"
10,"Buffalo Hills","Buffalo Hills","Jul-91","1991-07",856,"Wilderness Study Area","California and Nevada; Nevada portions are administered by BLM California"
11,"Caliente Mountain","Caliente Mountain","Jul-91","1991-07",17590,"Wilderness Study Area","California"
12,"Carrizo Gorge","Carrizo Gorge","Jul-91","1991-07",890,"Wilderness Study Area","California"
13,"Carson Iceberg","Carson Iceberg","Jul-91","1991-07",550,"Wilderness Study Area","California"
14,"Casa Diablo","Casa Diablo","Jul-91","1991-07",5325,"Wilderness Study Area","California"
15,"Cerro Gordo","Cerro Gordo","Jul-91","1991-07",5800,"Wilderness Study Area","California"
16,"Chidago Canyon","Chidago Canyon","Jul-91","1991-07",19702,"Wilderness Study Area","California"
17,"Crater Mountain","Crater Mountain","Jul-91","1991-07",7069,"Wilderness Study Area","California"
18,"Dry Valley Rim","Dry Valley Rim","Jul-91","1991-07",18131,"Wilderness Study Area","California and Nevada; Nevada portions are administered by BLM California"
19,"Eden Valley","Eden Valley","Jul-91","1991-07",6166,"Wilderness Study Area","California"
20,"Excelsior","Excelsior","Jul-91","1991-07",9383,"Wilderness Study Area","California"
21,"Fish Slough","Fish Slough","Jul-91","1991-07",14700,"Wilderness Study Area","California"
22,"Five Springs","Five Springs","Jul-91","1991-07",47823,"Wilderness Study Area","California and Nevada; Nevada portions are administered by BLM California"
23,"Garcia Mountain","Garcia Mountain|Garcia Mountains","Jul-91","1991-07",80,"Wilderness Study Area","California"
24,"Hauser Mountain","Hauser Mountain","Jul-91","1991-07",5540,"Wilderness Study Area","California"
25,"Independence Creek","Independence Creek","Jul-91","1991-07",6458,"Wilderness Study Area","California"
26,"Lava","Lava","Jul-91","1991-07",10770,"Wilderness Study Area","California"
27,"Machesna","Machesna","Jul-91","1991-07",70,"Wilderness Study Area","California"
28,"Merced River","Merced River","Jul-91","1991-07",12959,"Wilderness Study Area","California"
29,"Milk Ranch/Case Mountain","Milk Ranch/Case Mountain|Milk Ranch/ Case Mountain|Milk Ranch - Case Mountain","Jul-91","1991-07",8970,"Wilderness Study Area","California"
30,"Moses","Moses","Dec-79","1979-12",558,"Wilderness Study Area","California"
31,"Mount Biedeman","Mount Biedeman","Jul-91","1991-07",13069,"Wilderness Study Area","California"
32,"Owens Peak","Owens Peak","Jul-91","1991-07",310,"Wilderness Study Area","California"
33,"Panoche Hills North","Panoche Hills North","Jul-91","1991-07",6631,"Wilderness Study Area","California"
34,"Panoche Hills South","Panoche Hills South","Jul-91","1991-07",11229,"Wilderness Study Area","California"
35,"Pit River Canyon","Pit River Canyon","Jul-91","1991-07",11724,"Wilderness Study Area","California"
36,"Piute Cypress ISA","Piute Cypress ISA","Jul-91","1991-07",3453,"Instant Study Area (ISA)","California"
37,"Red Mountain","Red Mountain","Nov-24","2024-11",320,"Wilderness Study Area","California"
38,"Rockhouse (a)","Rockhouse (a)|Rockhouse|Rockhouse A","Jul-91","1991-07",130,"Wilderness Study Area","California"
39,"Rocky Creek/Cache Creek","Rocky Creek/Cache Creek|Rocky Creek-Cache Creek|Rocky Creek Cache Creek","Jul-91","1991-07",6570,"Wilderness Study Area","California"
40,"Sacatar Meadows","Sacatar Meadows","Jul-91","1991-07",140,"Wilderness Study Area","California"
41,"San Benito Mountain ISA","San Benito Mountain ISA|San Benito Mountain|San Benito Mountain Instant Study Area","Jul-91","1991-07",1500,"Instant Study Area (ISA)","California"
42,"San Felipe Hills","San Felipe Hills","Jul-91","1991-07",5325,"Wilderness Study Area","California"
43,"San Ysidro Mountain","San Ysidro Mountain","Jul-91","1991-07",2125,"Wilderness Study Area","California"
