"schema_version","component_manifest_id","derived_geometry_id","component_order","component_geometry_id","component_source_role","source_object","source_id_field","source_id_value","operation","required","decision_note"
"1.0.0","MWSP_BDBC1_FNF_V1","BDBC1_FNF","1","SHDC1_FNF","fnf_forecast_watershed","04_processed_data/rds/cnrfc_fnf_delta_wgs84.rds","nws5id","SHDC1","union","TRUE","Use the authoritative retained assembled Shasta FNF watershed."
"1.0.0","MWSP_BDBC1_FNF_V1","BDBC1_FNF","2","WHSC1_MODEL","cnrfc_model_subbasin","04_processed_data/rds/cnrfc_basins_wgs84.rds","Basin","WHSC1","union","TRUE","Reviewed Whiskeytown/Clear Creek detailed model-subbasin component."
"1.0.0","MWSP_BDBC1_FNF_V1","BDBC1_FNF","3","BDBC1_MODEL","cnrfc_model_subbasin","04_processed_data/rds/cnrfc_basins_wgs84.rds","Basin","BDBC1","union","TRUE","Reviewed local/incremental Bend Bridge detailed model-subbasin component."
"1.0.0","MWSP_BDBC1_FNF_V1","BDBC1_FNF","4","CWAC1_MODEL","cnrfc_model_subbasin","04_processed_data/rds/cnrfc_basins_wgs84.rds","Basin","CWAC1","union","TRUE","Reviewed Cottonwood Creek detailed model-subbasin component."
"1.0.0","MWSP_BDBC1_FNF_V1","BDBC1_FNF","5","CWCC1_MODEL","cnrfc_model_subbasin","04_processed_data/rds/cnrfc_basins_wgs84.rds","Basin","CWCC1","union","TRUE","Reviewed Cow Creek detailed model-subbasin component."
"1.0.0","MWSP_BDBC1_FNF_V1","BDBC1_FNF","6","COTC1_MODEL","cnrfc_model_subbasin","04_processed_data/rds/cnrfc_basins_wgs84.rds","Basin","COTC1","union","TRUE","Reviewed Battle Creek detailed model-subbasin component."
"1.0.0","MWSP_BDBC1_FNF_V1","BDBC1_FNF","7","KWKC1_MODEL","cnrfc_model_subbasin","04_processed_data/rds/cnrfc_basins_wgs84.rds","Basin","KWKC1","union","TRUE","Reviewed Sacramento at Keswick detailed model-subbasin component."
"1.0.0","MWSP_BDBC1_FNF_V1","BDBC1_FNF","8","RDGC1_MODEL","cnrfc_model_subbasin","04_processed_data/rds/cnrfc_basins_wgs84.rds","Basin","RDGC1","union","TRUE","Reviewed Clear Creek at Igo detailed model-subbasin component."
"1.0.0","MWSP_SACC0_FNF_V1","SACC0_FNF","1","BDBC1_FNF","fnf_forecast_watershed","derived_geometry_3310","geometry_id","BDBC1_FNF","union","TRUE","Use the reviewed BDBC1_FNF derived geometry as the upper Sacramento component."
"1.0.0","MWSP_SACC0_FNF_V1","SACC0_FNF","2","ORDC1_FNF","fnf_forecast_watershed","04_processed_data/rds/cnrfc_fnf_delta_wgs84.rds","nws5id","ORDC1","union","TRUE","Use the authoritative retained assembled Feather FNF watershed."
"1.0.0","MWSP_SACC0_FNF_V1","SACC0_FNF","3","HLEC1_FNF","fnf_forecast_watershed","04_processed_data/rds/cnrfc_fnf_delta_wgs84.rds","nws5id","HLEC1","union","TRUE","Use the authoritative retained assembled Yuba FNF watershed."
"1.0.0","MWSP_SACC0_FNF_V1","SACC0_FNF","4","FOLC1_FNF","fnf_forecast_watershed","04_processed_data/rds/cnrfc_fnf_delta_wgs84.rds","nws5id","FOLC1","union","TRUE","Use the authoritative retained assembled American FNF watershed."
"1.0.0","MWSP_VNSC0_FNF_V1","VNSC0_FNF","1","FRAC1_FNF","fnf_forecast_watershed","04_processed_data/rds/cnrfc_fnf_delta_wgs84.rds","nws5id","FRAC1","union","TRUE","Use the authoritative retained assembled San Joaquin FNF watershed."
"1.0.0","MWSP_VNSC0_FNF_V1","VNSC0_FNF","2","EXQC1_FNF","fnf_forecast_watershed","04_processed_data/rds/cnrfc_fnf_delta_wgs84.rds","nws5id","EXQC1","union","TRUE","Use the authoritative retained assembled Merced FNF watershed."
"1.0.0","MWSP_VNSC0_FNF_V1","VNSC0_FNF","3","NDPC1_FNF","fnf_forecast_watershed","04_processed_data/rds/cnrfc_fnf_delta_wgs84.rds","nws5id","NDPC1","union","TRUE","Use the authoritative retained assembled Tuolumne FNF watershed."
"1.0.0","MWSP_VNSC0_FNF_V1","VNSC0_FNF","4","NMSC1_FNF","fnf_forecast_watershed","04_processed_data/rds/cnrfc_fnf_delta_wgs84.rds","nws5id","NMSC1","union","TRUE","Use the authoritative retained assembled Stanislaus FNF watershed."
"1.0.0","MWSP_MLIC0_FNF_V1","MLIC0_FNF","1","SACC0_FNF","fnf_index_watershed","derived_geometry_3310","geometry_id","SACC0_FNF","union","TRUE","Use the reviewed Sacramento Valley index geometry without expanding its underlying recipe."
"1.0.0","MWSP_MLIC0_FNF_V1","MLIC0_FNF","2","VNSC0_FNF","fnf_index_watershed","derived_geometry_3310","geometry_id","VNSC0_FNF","union","TRUE","Use the reviewed San Joaquin Valley index geometry without expanding its underlying recipe."
