"schema_version","geometry_id","forecast_key","rfc","nws_lid","product_type","geometry_role","view_group","display_name","river_name","reservoir_name","source_geometry_type","geometry_source","source_id_field","source_id_value","component_manifest_id","source_url","observed_url","generalization_note","include_in_display","display_order","display_simplify_keep","cleanup_policy"
"1.0.0","SCSC1_FNF","CNRFC:SCSC1:WY_FNF","CNRFC","SCSC1","water_year_fnf","fnf_forecast_watershed","major_basin","Tule","Tule","Success","retained_assembled_fnf","04_processed_data/rds/cnrfc_fnf_delta_wgs84.rds","nws5id","SCSC1","","https://www.cnrfc.noaa.gov/ensembleProduct.php?id=SCSC1&prodID=9","https://cdec.water.ca.gov/reportapp/javareports?name=FNF","Authoritative retained BRIM assembled FNF geometry; original component lineage is not reconstructed.","TRUE","10","0.20","none"
"1.0.0","TMDC1_FNF","CNRFC:TMDC1:WY_FNF","CNRFC","TMDC1","water_year_fnf","fnf_forecast_watershed","major_basin","Kaweah","Kaweah","Terminus","retained_assembled_fnf","04_processed_data/rds/cnrfc_fnf_delta_wgs84.rds","nws5id","TMDC1","","https://www.cnrfc.noaa.gov/ensembleProduct.php?id=TMDC1&prodID=9","https://cdec.water.ca.gov/reportapp/javareports?name=FNF","Authoritative retained BRIM assembled FNF geometry; original component lineage is not reconstructed.","TRUE","20","0.20","none"
"1.0.0","SHDC1_FNF","CNRFC:SHDC1:WY_FNF","CNRFC","SHDC1","water_year_fnf","fnf_forecast_watershed","major_basin","Sacramento/McCloud/Pit","Sacramento/McCloud/Pit","Shasta","retained_assembled_fnf","04_processed_data/rds/cnrfc_fnf_delta_wgs84.rds","nws5id","SHDC1","","https://www.cnrfc.noaa.gov/ensembleProduct.php?id=SHDC1&prodID=9","https://cdec.water.ca.gov/reportapp/javareports?name=FNF","Authoritative retained BRIM assembled FNF geometry; original component lineage is not reconstructed.","TRUE","30","0.20","none"
"1.0.0","CEGC1_FNF","CNRFC:CEGC1:WY_FNF","CNRFC","CEGC1","water_year_fnf","fnf_forecast_watershed","major_basin","Trinity","Trinity","Trinity","retained_assembled_fnf","04_processed_data/rds/cnrfc_fnf_delta_wgs84.rds","nws5id","CEGC1","","https://www.cnrfc.noaa.gov/ensembleProduct.php?id=CEGC1&prodID=9","https://cdec.water.ca.gov/reportapp/javareports?name=FNF","Authoritative retained BRIM assembled FNF geometry; original component lineage is not reconstructed.","TRUE","40","0.20","none"
"1.0.0","ORDC1_FNF","CNRFC:ORDC1:WY_FNF","CNRFC","ORDC1","water_year_fnf","fnf_forecast_watershed","major_basin","Feather","Feather","Oroville","retained_assembled_fnf","04_processed_data/rds/cnrfc_fnf_delta_wgs84.rds","nws5id","ORDC1","","https://www.cnrfc.noaa.gov/ensembleProduct.php?id=ORDC1&prodID=9","https://cdec.water.ca.gov/reportapp/javareports?name=FNF","Authoritative retained BRIM assembled FNF geometry; original component lineage is not reconstructed.","TRUE","50","0.20","none"
"1.0.0","HLEC1_FNF","CNRFC:HLEC1:WY_FNF","CNRFC","HLEC1","water_year_fnf","fnf_forecast_watershed","major_basin","Yuba","Yuba","Englebright","retained_assembled_fnf","04_processed_data/rds/cnrfc_fnf_delta_wgs84.rds","nws5id","HLEC1","","https://www.cnrfc.noaa.gov/ensembleProduct.php?id=HLEC1&prodID=9","https://cdec.water.ca.gov/reportapp/javareports?name=FNF","Authoritative retained BRIM assembled FNF geometry; original component lineage is not reconstructed.","TRUE","60","0.20","none"
"1.0.0","FOLC1_FNF","CNRFC:FOLC1:WY_FNF","CNRFC","FOLC1","water_year_fnf","fnf_forecast_watershed","major_basin","American","American","Folsom","retained_assembled_fnf","04_processed_data/rds/cnrfc_fnf_delta_wgs84.rds","nws5id","FOLC1","","https://www.cnrfc.noaa.gov/ensembleProduct.php?id=FOLC1&prodID=9","https://cdec.water.ca.gov/reportapp/javareports?name=FNF","Authoritative retained BRIM assembled FNF geometry; original component lineage is not reconstructed.","TRUE","70","0.20","none"
"1.0.0","NDPC1_FNF","CNRFC:NDPC1:WY_FNF","CNRFC","NDPC1","water_year_fnf","fnf_forecast_watershed","major_basin","Tuolumne","Tuolumne","Don Pedro","retained_assembled_fnf","04_processed_data/rds/cnrfc_fnf_delta_wgs84.rds","nws5id","NDPC1","","https://www.cnrfc.noaa.gov/ensembleProduct.php?id=NDPC1&prodID=9","https://cdec.water.ca.gov/reportapp/javareports?name=FNF","Authoritative retained BRIM assembled FNF geometry; original component lineage is not reconstructed.","TRUE","80","0.20","none"
"1.0.0","EXQC1_FNF","CNRFC:EXQC1:WY_FNF","CNRFC","EXQC1","water_year_fnf","fnf_forecast_watershed","major_basin","Merced","Merced","Exchequer","retained_assembled_fnf","04_processed_data/rds/cnrfc_fnf_delta_wgs84.rds","nws5id","EXQC1","","https://www.cnrfc.noaa.gov/ensembleProduct.php?id=EXQC1&prodID=9","https://cdec.water.ca.gov/reportapp/javareports?name=FNF","Authoritative retained BRIM assembled FNF geometry; original component lineage is not reconstructed.","TRUE","90","0.20","none"
"1.0.0","FRAC1_FNF","CNRFC:FRAC1:WY_FNF","CNRFC","FRAC1","water_year_fnf","fnf_forecast_watershed","major_basin","San Joaquin","San Joaquin","Millerton","retained_assembled_fnf","04_processed_data/rds/cnrfc_fnf_delta_wgs84.rds","nws5id","FRAC1","","https://www.cnrfc.noaa.gov/ensembleProduct.php?id=FRAC1&prodID=9","https://cdec.water.ca.gov/reportapp/javareports?name=FNF","Authoritative retained BRIM assembled FNF geometry; original component lineage is not reconstructed.","TRUE","100","0.20","none"
