"schema_version","forecast_key","source_family","product_type","product_family","forecast_period","geometry_id","view_applicability","measure_applicability","default_metric","allowed_popup_metrics","source_link_authority","source_link_roles","display_order","decision_note"
"1.0.0","CNRFC:SCSC1:WY_FNF","CNRFC","water_year_fnf","water_year","Water Year","SCSC1_FNF","california_major_basins","forecast_volume|percent_average|percent_median","percent_median","forecast_volume|percent_average|percent_median","producer_record","source_url",10,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:TMDC1:WY_FNF","CNRFC","water_year_fnf","water_year","Water Year","TMDC1_FNF","california_major_basins","forecast_volume|percent_average|percent_median","percent_median","forecast_volume|percent_average|percent_median","producer_record","source_url",20,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:SHDC1:WY_FNF","CNRFC","water_year_fnf","water_year","Water Year","SHDC1_FNF","california_major_basins","forecast_volume|percent_average|percent_median","percent_median","forecast_volume|percent_average|percent_median","producer_record","source_url",30,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:CEGC1:WY_FNF","CNRFC","water_year_fnf","water_year","Water Year","CEGC1_FNF","california_major_basins","forecast_volume|percent_average|percent_median","percent_median","forecast_volume|percent_average|percent_median","producer_record","source_url",40,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:ORDC1:WY_FNF","CNRFC","water_year_fnf","water_year","Water Year","ORDC1_FNF","california_major_basins","forecast_volume|percent_average|percent_median","percent_median","forecast_volume|percent_average|percent_median","producer_record","source_url",50,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:HLEC1:WY_FNF","CNRFC","water_year_fnf","water_year","Water Year","HLEC1_FNF","california_major_basins","forecast_volume|percent_average|percent_median","percent_median","forecast_volume|percent_average|percent_median","producer_record","source_url",60,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:FOLC1:WY_FNF","CNRFC","water_year_fnf","water_year","Water Year","FOLC1_FNF","california_major_basins","forecast_volume|percent_average|percent_median","percent_median","forecast_volume|percent_average|percent_median","producer_record","source_url",70,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:NDPC1:WY_FNF","CNRFC","water_year_fnf","water_year","Water Year","NDPC1_FNF","california_major_basins","forecast_volume|percent_average|percent_median","percent_median","forecast_volume|percent_average|percent_median","producer_record","source_url",80,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:EXQC1:WY_FNF","CNRFC","water_year_fnf","water_year","Water Year","EXQC1_FNF","california_major_basins","forecast_volume|percent_average|percent_median","percent_median","forecast_volume|percent_average|percent_median","producer_record","source_url",90,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
"1.0.0","CNRFC:FRAC1:WY_FNF","CNRFC","water_year_fnf","water_year","Water Year","FRAC1_FNF","california_major_basins","forecast_volume|percent_average|percent_median","percent_median","forecast_volume|percent_average|percent_median","producer_record","source_url",100,"Literal producer key copied from frozen BRIM Live CNRFC roster; this mapping table is the future browser authority."
