schema_version,link_id,geometry_id,geometry_scope,link_type,link_label,source_agency,url,display_order,applies_to_product_family,required,decision_note
1.0.0,CDEC_FNF_REPORT,,california_forecast_basins,observed_flow_report,CDEC Full Natural Flow report,California Department of Water Resources,https://cdec.water.ca.gov/reportapp/javareports?name=FNF,10,all,TRUE,Supporting observed-flow context; not producer forecast provenance.
1.0.0,CDEC_RES_SCC,SCSC1_FNF,,reservoir_metadata,Success reservoir station,California Department of Water Resources,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=SCC,20,all,TRUE,Reviewed reservoir crosswalk support.
1.0.0,CDEC_RES_TRM,TMDC1_FNF,,reservoir_metadata,Terminus reservoir station,California Department of Water Resources,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=TRM,30,all,TRUE,Reviewed reservoir crosswalk support.
1.0.0,CDEC_RES_SHA,SHDC1_FNF,,reservoir_metadata,Shasta reservoir station,California Department of Water Resources,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=SHA,40,all,TRUE,Reviewed reservoir crosswalk support.
1.0.0,CDEC_RES_CLE,CEGC1_FNF,,reservoir_metadata,Trinity reservoir station,California Department of Water Resources,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=CLE,50,all,TRUE,Reviewed reservoir crosswalk support.
1.0.0,CDEC_RES_ORO,ORDC1_FNF,,reservoir_metadata,Oroville reservoir station,California Department of Water Resources,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=ORO,60,all,TRUE,Reviewed reservoir crosswalk support.
1.0.0,CDEC_RES_ENG,HLEC1_FNF,,reservoir_metadata,Englebright reservoir station,California Department of Water Resources,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=ENG,70,all,TRUE,Reviewed reservoir crosswalk support.
1.0.0,CDEC_RES_FOL,FOLC1_FNF,,reservoir_metadata,Folsom reservoir station,California Department of Water Resources,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=FOL,80,all,TRUE,Reviewed reservoir crosswalk support.
1.0.0,CDEC_RES_DNP,NDPC1_FNF,,reservoir_metadata,Don Pedro reservoir station,California Department of Water Resources,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=DNP,90,all,TRUE,Reviewed reservoir crosswalk support.
1.0.0,CDEC_RES_EXC,EXQC1_FNF,,reservoir_metadata,Exchequer reservoir station,California Department of Water Resources,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=EXC,100,all,TRUE,Reviewed reservoir crosswalk support.
1.0.0,CDEC_RES_MIL,FRAC1_FNF,,reservoir_metadata,Millerton reservoir station,California Department of Water Resources,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=MIL,110,all,TRUE,Reviewed reservoir crosswalk support.
1.0.0,CDEC_RES_PNF,PFTC1_FNF,,reservoir_metadata,Pine Flat reservoir station,California Department of Water Resources,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=PNF,120,all,TRUE,Reviewed reservoir crosswalk support.
1.0.0,CDEC_RES_ISB,ISAC1_FNF,,reservoir_metadata,Isabella reservoir station,California Department of Water Resources,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=ISB,130,all,TRUE,Reviewed reservoir crosswalk support.
1.0.0,CDEC_RES_PAR,CMPC1_FNF,,reservoir_metadata,Pardee reservoir station,California Department of Water Resources,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=PAR,140,all,TRUE,Reviewed reservoir crosswalk support.
1.0.0,CDEC_RES_NML,NMSC1_FNF,,reservoir_metadata,New Melones reservoir station,California Department of Water Resources,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=NML,150,all,TRUE,Reviewed reservoir crosswalk support.
1.0.0,USACE_CA_RESERVOIR_PLOTS,,california_reservoir_crosswalk,reservoir_plots,California reservoir plots,U.S. Army Corps of Engineers,https://www.spk-wc.usace.army.mil/plots/california.html,160,all,FALSE,Reviewed supporting plots where applicable; not producer forecast provenance.
1.0.0,USBR_GLEN_CANYON_STATUS,GLDA3_CBRFC_MODELED_UPSTREAM,,reservoir_operations,Glen Canyon Dam current status and operations,Bureau of Reclamation,https://www.usbr.gov/uc/water/crsp/cs/gcd.html,170,all,TRUE,Supporting Lake Powell and Glen Canyon operating context; not CBRFC forecast provenance.
1.0.0,USBR_UPPER_COLORADO_WATER_OPS,GLDA3_CBRFC_MODELED_UPSTREAM,,water_operations,Upper Colorado Water Operations,Bureau of Reclamation,https://www.usbr.gov/uc/water/index.html,180,all,TRUE,Supporting regional operating context; not CBRFC forecast provenance.
1.0.0,USBR_UPPER_COLORADO_RESERVOIR_DATA,GLDA3_CBRFC_MODELED_UPSTREAM,,reservoir_conditions,Upper Colorado reservoir data,Bureau of Reclamation,https://www.usbr.gov/uc/water/hydrodata/reservoir_data/site_map.html,190,all,TRUE,Current Reclamation HydroData successor to the decommissioning 40-day application; supporting reservoir conditions and not CBRFC forecast provenance.
1.0.0,USBR_LOWER_COLORADO_CONDITIONS,LKSA3_CBRFC_LOCAL_INTERVENING,,water_operations,Lower Colorado River current conditions,Bureau of Reclamation,https://www.usbr.gov/lc/region/g4000/riverops/CurrentConditions.html,200,all,TRUE,Supporting Lower Colorado operating context; not CBRFC forecast provenance.
1.0.0,USBR_LAKE_MEAD_CONDITIONS,LKSA3_CBRFC_LOCAL_INTERVENING,,reservoir_conditions,Lake Mead current reservoir conditions,Bureau of Reclamation,https://www.usbr.gov/lc/region/g4000/riverops/AutomatedMeadSample.html,210,all,FALSE,Supporting Lake Mead conditions; not CBRFC forecast provenance.
