"portfolio_version","layer_id","brim_layer_name","action","accepted_method","parameter_type","parameter_value","parent_artifact_key","source_parent_relative_path","parent_component","parent_sha256","candidate_bundle_key","candidate_sha256","expected_geometry_rows","expected_semantic_features","expected_vertices","expected_geometry_bytes","expected_browser_geometry_bytes","cache_relative_path","cache_child","match_strategy","match_fields","fingerprint_fields","disclosure_required","public_disclosure","disclosure_ui_owner","runtime_group","label_dependency"
"3.1","blm_field_office_boundaries","BLM Field Office Boundaries","retain_current","rmapshaper::ms_simplify (current display)","vertex_keep_fraction","0.20","field_office_outer_wgs84","04_processed_data/rds/field_office_outer_wgs84.rds","","89884eb36cafda640ed13165b47beb18005ac086f0549bb5c0dbf1b46ef197c6","","","14","14","80899","1086214","2976693","04_processed_data/cache/latest/field_office_outer_map.rds","","business_key","ADM_UNIT_C","ADM_UNIT_C|ADMU_NAME","yes","Field-office display boundaries generalized using a 20% vertex-retention setting. Check authoritative source for boundary-sensitive use.","blm_office_legend","BLM Field Office (outer)","labels_all_map.rds::field_office_outer"
"3.1","blm_ca_managed","BLM-CA Managed","retain_current","none","none","","blm_managed_core_3310","04_processed_data/rds/blm_managed_core_3310.rds","","3a2503accb32ca6d94913af0b2f9057845097e574233952a9d02aa6b5d748ba3","","","1","1","369066","4330244","11696821","04_processed_data/cache/latest/blm_core_map.rds","","business_key","category","category","no","","none","BLM-CA Managed",""
"3.1","blm_held_managed_differences","BLM Held/Managed Differences","retain_current","none","none","","blm_held_vs_managed_diffs_3310","04_processed_data/rds/blm_held_vs_managed_diffs_3310.rds","","2d9170df053b94d975a106098afaae3f0a956d183a3d9157b3981dd47341e9df","","","2","2","3339","42567","123614","04_processed_data/cache/latest/blm_diffs_map.rds","","business_key","category","category","no","","none","BLM Held/Managed Differences",""
"3.1","bulletin118","Bulletin 118 Groundwater Basins","replace_geometry","sf::st_simplify(preserveTopology=TRUE) in EPSG:3310","distance_tolerance_m","20","bull118gw_full","04_processed_data/rds/bull118gw_full.rds","","29594d93844704a02f1f72df3ce943f75e175a0632e4eea72d1238ecc1f30d4a","candidates/bulletin118/20m_geometry_only.rds","d5d676377954c9f3f71a35632e754d65bc5f1fab9b25f122db74336b18bfcbc2","515","515","231361","3092395","8540431","04_processed_data/cache/latest/gw_bull118_map.rds","","business_key","subbasin_num","subbasin_num|basin_num|subbasin_name","yes","Groundwater basin display boundaries generalized with a 20 m tolerance. Check authoritative source for boundary-sensitive use.","bulletin118_theme_card","GW – Bull. 118","labels_all_map.rds::gw_bull118"
"3.1","cnrfc_product_availability","CNRFC Product Availability","replace_geometry","sf::st_simplify(preserveTopology=TRUE) in EPSG:3310","distance_tolerance_m","100","cnrfc_basins_wgs84","04_processed_data/rds/cnrfc_basins_wgs84.rds","","356c3c679dd3eb33a6166002021e22240f4785b6acbc21efea69003755d99eae","candidates/cnrfc_product_availability/100m_geometry_only.rds","b9ed4496c958351889a949adb07241ea0f0a06194721a6fcc3f605a3b65dc8bd","345","345","76925","983270","2832001","04_processed_data/cache/latest/cnrfc_basin_product_availability_map.rds","","business_key","cnrfc_id/Basin","Basin|ForecastGr|Descript","yes","Forecast-basin display boundaries generalized with a 100 m tolerance. Check authoritative source for boundary-sensitive use.","cnrfc_product_card","CNRFC Product Availability","labels_all_map.rds::cnrfc_basins"
"3.1","cnrfc_fnf_delta","CNRFC FNF Sha/Tri/west Sierra Basins","replace_geometry","sf::st_simplify(preserveTopology=TRUE) in EPSG:3310","distance_tolerance_m","100","cnrfc_fnf_delta_wgs84","04_processed_data/rds/cnrfc_fnf_delta_wgs84.rds","","51899a696efc37d93f502a71177ddefdb323c26e1f1f9b6a61a944d6cabcaa4e","candidates/cnrfc_fnf_delta/100m_geometry_only.rds","7c7400d2c6aefd9e398c452324c7c857c7ada6a4e511597b3054f97f8d98a4e0","15","15","9765","132325","358200","04_processed_data/cache/latest/cnrfc_fnf_delta_map.rds","","business_key","nws5id","nws5id|River|res","yes","Forecast-context display boundaries generalized with a 100 m tolerance. Check authoritative source for boundary-sensitive use.","layer_owned_card","CNRFC FNF Sha/Tri/west Sierra Basins",""
"3.1","gsp_areas","Groundwater Sustainability Plan Areas","replace_geometry","sf::st_simplify(preserveTopology=TRUE) in EPSG:3310","distance_tolerance_m","20","reference_gsps_wgs84","04_processed_data/rds/reference_gsps_wgs84.rds","","0d35e8d887885ca219913183079673c92aea3bf6027eb3774081a73ce82174e2","candidates/gsp_areas/20m_geometry_only.rds","dec915e15600ea8955a8e4f85788e83d9074e6421eded82383bb702cae9b5c9a","121","121","73249","968711","2638656","04_processed_data/cache/latest/reference_layers_all_map.rds","gsps","source_fingerprint","","Basin_Su_1|Basin_Subb","yes","GSP area display boundaries generalized with a 20 m tolerance. Check authoritative source for boundary-sensitive use.","layer_owned_card","Groundwater Sustainability Plan Areas",""
"3.1","adjudicated_gw_basins","Adjudicated Groundwater Basins","replace_geometry","sf::st_simplify(preserveTopology=TRUE) in EPSG:3310","distance_tolerance_m","20","reference_gwbasins_adjd_wgs84","04_processed_data/rds/reference_gwbasins_adjd_wgs84.rds","","ad1a1a890b58f75a8acd1eb3e28e9cc61a3c241ad9f751ee6342ca089a110d94","candidates/adjudicated_gw_basins/20m_geometry_only.rds","df19fcb22dcafcb586f0d1d31da7c06ad0a6394423c0bc5b3a1febc9b7b6a7c5","47","47","19125","245607","682575","04_processed_data/cache/latest/reference_layers_all_map.rds","gwbasins_adjd","business_key","Label","Label","yes","Adjudicated basin display boundaries generalized with a 20 m tolerance. Check authoritative source for boundary-sensitive use.","layer_owned_card","Adjudicated Groundwater Basins",""
"3.1","huc2","HUC2","replace_geometry","rmapshaper::ms_simplify whole family in EPSG:3310; keep_shapes=TRUE","vertex_keep_fraction","0.01","huc_all_full","04_processed_data/rds/huc_all_full.rds","huc2","973cf9a8c6dd20e75f7eff4634a1911e11bc4f4d9b5f944788b2c3e209169491","candidates/huc2/mapshaper_keep_1pct_geometry_only.rds","4d5d18cd1985f1eb22ef140cf657fb9ad9eda0823e68fba6ced0a61a646c8239","4","4","7490","100637","275728","04_processed_data/cache/latest/huc_all_map.rds","huc2","business_key","huc2","huc2|name","yes","Shared HUC2 boundaries generalized together using a 1% vertex-retention setting. Check authoritative source for boundary-sensitive use.","huc_theme_card","HUC2","labels_all_map.rds::huc2"
"3.1","huc4","HUC4","replace_geometry","rmapshaper::ms_simplify whole family in EPSG:3310; keep_shapes=TRUE","vertex_keep_fraction","0.01","huc_all_full","04_processed_data/rds/huc_all_full.rds","huc4","973cf9a8c6dd20e75f7eff4634a1911e11bc4f4d9b5f944788b2c3e209169491","candidates/huc4/mapshaper_keep_1pct_geometry_only.rds","ec753e918932248b01fb0f8f565bc0ac43fc257daff1212873fd40363478e0c0","16","16","9972","132741","367216","04_processed_data/cache/latest/huc_all_map.rds","huc4","business_key","huc4","huc4|name","yes","Shared HUC4 boundaries generalized together using a 1% vertex-retention setting. Check authoritative source for boundary-sensitive use.","huc_theme_card","HUC4","labels_all_map.rds::huc4"
