Water Right/Claim ID,Status,Type,Primary owner,Source,County,Effective date,Face value,Use type,Special use area,HUC 12,Watershed,Action,,Field Office ,
A021793,Licensed,License,BLM California State Office,UNSP,Fresno,5/29/1964,0.1,Fish and Wildlife Preservation and Enhancement,,Silver Creek | 180400140304,Larious Creek-Silver Creek,,,Central Coast,
A002294,Licensed,License,BLM California State Office,UNSP,San Diego,4/9/1921,7.3,Domestic,,Paradise Creek-San Luis Rey River | 180703030201,Middle San Luis Rey River,,,San Diego,
A023454,Licensed,License,BLM RIDGECREST FIELD OFFICE,NORTH FORK SPRING,Kern,2/25/1970,2.4,Fish and Wildlife Preservation and Enhancement; Stockwatering,,North Fork Pine Tree Canyon-Pine Tree Canyon | 180902060501,Pine Tree Canyon,,,Ridgecrest,
A010068D,Licensed,License,BLM California State Office,DREDGER CUT,Sacramento,11/20/1940,903,Stockwatering; Irrigation,SACRAMENTO DELTA;LEGAL DELTA,South Stone Lake-Snodgrass Slough | 180400121002,Snodgrass Slough,,,MLFO ,
A016098,Licensed,License,BLM California State Office,UNCR,San Joaquin,10/18/1954,229.9,Irrigation,SAN JOAQUIN DELTA;LEGAL DELTA,Hog Slough | 180400121103,Lower Mokelumne River,,,MLFO ,
A016916,Licensed,License,BLM California State Office,MCCONNAHUE GULCH,Siskiyou,3/5/1956,0.3,Stockwatering,;KLAMATH WATERSHED;Klamath,McConaughy Gulch | 180102080202,French Creek-Scott River,,,Redding,
A018265,Licensed,License,BLM RIDGECREST FIELD OFFICE,UNSP,Inyo,8/14/1958,0.2,Fish and Wildlife Preservation and Enhancement; Stockwatering,,South Haiwee Reservoir | 180901030503,Haiwee Reservoirs,,,Ridgecrest,
A018517,Licensed,License,BLM California State Office,UNST,San Bernardino;Siskiyou,2/3/1959,0.3,Stockwatering,KLAMATH WATERSHED;Klamath,Grass Valley Creek-West Fork Mojave River | 180902080202;Camp Creek-Scotch Creek | 180102060501,West Fork Mojave River;Iron Gate Reservoir-Klamath River,,,Redding,
A018518,Licensed,License,BLM California State Office,UNST,Siskiyou;Sutter,2/3/1959,0.5,Stockwatering,COLUSA BASIN;Klamath,Camp Creek-Scotch Creek | 180102060501;Gilsizer Slough-Snake River | 180201590400,Iron Gate Reservoir-Klamath River;Gilsizer Slough-Snake River,,,Redding/Mother Lode,
A019849,Licensed,License,BLM California State Office,UNST,Tehama,11/21/1960,0.5,Stockwatering,DELTA WATERSHEDS;;BALL MOUNTAIN,Upper Red Bank Creek | 180201550301,Red Bank Creek,,,Redding,
A022668,Licensed,License,BLM California State Office,UNST,Tehama,12/20/1966,1.4,Fire Protection; Stockwatering,REDDING;UPPER CALAVERAS,Spring Branch-Battle Creek | 180201530302,Battle Creek,,,Redding,
A027829,Licensed,License,BLM California State Office,UNST,Tehama,8/8/1983,0.3,Fish and Wildlife Preservation and Enhancement; Stockwatering,Klamath;REDDING,Spring Branch-Battle Creek | 180201530302,Battle Creek,,,Redding,
A027830,Licensed,License,BLM California State Office,UNST,Tehama,8/8/1983,14,Fish and Wildlife Preservation and Enhancement; Stockwatering; Recreational,MIDDLE SIERRA;REDDING,Spring Creek-Sacramento River | 180201550402,Dibble Creek-Sacramento River,,,Redding,
A027831,Licensed,License,BLM California State Office,UNST,San Luis Obispo;Shasta,8/8/1983,0.1,Fish and Wildlife Preservation and Enhancement; Stockwatering,WHITMORE;DELTA WATERSHEDS;,Barrett Creek-San Juan Creek | 180600040102;Middle Little Cow Creek | 180201510304,Upper San Juan Creek;Little Cow Creek,,,Redding,
A027821,Licensed,License,BLM California State Office,UNST,Los Angeles;Shasta,8/8/1983,0.2,Fish and Wildlife Preservation and Enhancement,DELTA WATERSHEDS;;SHASTA BALLY,Wilson Creek | 180201520302;180902061602,North Fork Cottonwood Creek;Town of Pearblossom,,,Redding,
A027822,Licensed,License,BLM California State Office,UNST,Shasta,8/8/1983,0.2,Fire Protection; Fish and Wildlife Preservation and Enhancement,SHASTA BALLY;TUOLUMNE RIVER,Olney Creek-Sacramento River | 180201540303,Churn Creek-Sacramento River,,,Redding,
