rule_id,priority,match_regex,exclude_regex,project_family,project_name,project_division,project_unit,project_subunit,membership_role,assignment_confidence,evidence_url,notes
CVP_DMC_CA_INTERTIE,5,Delta[- ]Mendota.*California Aqueduct.*Intertie|DMC.*(CA|California Aqueduct).*Intertie,,CVP,Central Valley Project,Delta Division,Delta-Mendota Canal,DMC–California Aqueduct Intertie,intertie,authoritative_crosswalk,https://www.usbr.gov/mp/intertie/,
SWP_DMC_CA_INTERTIE,6,Delta[- ]Mendota.*California Aqueduct.*Intertie|DMC.*(CA|California Aqueduct).*Intertie,,SWP,State Water Project,California Aqueduct,California Aqueduct,DMC–California Aqueduct Intertie,intertie,authoritative_crosswalk,https://www.usbr.gov/mp/intertie/,
CVP_DELTA_DXC,10,\bDelta Cross Channel\b,,CVP,Central Valley Project,Delta Division,,,facility,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=477,
CVP_DELTA_CCC,11,\bContra Costa Canal\b|Contra Costa Canal Tunnel|Delta[- ]Contra Costa Shortcut,,CVP,Central Valley Project,Delta Division,Contra Costa Canal,,facility,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=477,
CVP_DELTA_DMC,12,\bDelta[- ]Mendota Canal\b,,CVP,Central Valley Project,Delta Division,Delta-Mendota Canal,,facility,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=477,
CVP_DELTA_TRACY,13,Tracy (Pumping Plant|PP).*(Inlet|Discharge)|Tracy PP Inlet Channel|Tracy Pumping Plant Discharge,,CVP,Central Valley Project,Delta Division,C.W. Bill Jones (Tracy) Pumping Plant conveyance,,facility,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=477,
CVP_AMERICAN_FOLSOM_SOUTH,20,\bFolsom South Canal\b|Folsom South Canal Connection,,CVP,Central Valley Project,American River Division,Folsom Unit,Folsom South Canal,facility,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=505,
CVP_AMERICAN_SLY_CAMP,21,\bCamp Creek Tunnel\b,,CVP,Central Valley Project,American River Division,Sly Park Unit,Camp Creek diversion system,facility,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=505,
CVP_AMERICAN_SLY_CAMINO,22,\bCamino (Tunnel|Conduit)\b,,CVP,Central Valley Project,American River Division,Sly Park Unit,Camino Conduit,facility,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=505,
CVP_FRIANT_FKC,30,\bFriant[- ]Kern Canal\b|Friant[- ]Kern Canal Kings River Siphon,,CVP,Central Valley Project,Friant Division,Friant-Kern Canal,,facility,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=341,
CVP_FRIANT_MADERA,31,\bMadera Canal\b,Madera Lateral,CVP,Central Valley Project,Friant Division,Madera Canal,,facility,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=341,
CVP_SAC_CANALS_TEHAMA,40,\bTehama[- ]Colusa Canal\b,,CVP,Central Valley Project,Sacramento River Division,Sacramento Canals Unit,Tehama-Colusa Canal,facility,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=509,
CVP_SAC_CANALS_CORNING,41,\bCorning Canal\b|Corning Canal Pumping Plant Intake Channel,,CVP,Central Valley Project,Sacramento River Division,Sacramento Canals Unit,Corning Canal,facility,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=509,
CVP_SAN_FELIPE_PACHECO,50,\bPacheco (Tunnel|Conduit)\b,,CVP,Central Valley Project,San Felipe Division,Pacheco conveyance,,facility,authoritative_crosswalk,https://www.usbr.gov/projects/index.php?id=392,
