segment_id,facility_id,canonical_name,lbl,lbl_full,aliases,parent_system,facility_group,facility_type,network_role,ownership_class,owner_agency,operator_agency,project_family,project_name,project_division,project_unit,project_subunit,project_path,display_rank,display_rank_source,display_rank_reason,status,length_mi,geometry_source,geometry_decision,geometry_confidence,decision_id,source_major_rows,source_delta_rows,source_ids,blm_crosses,blm_length_mi,blm_pct_length,blm_nearest_mi,blm_crossing_count,blm_field_offices,search_text
CVY_00049B8E_S001,CVY_00049B8E,KLAMATH CENTER CANAL,KLAMATH CENTER CANAL,KLAMATH CENTER CANAL,,,Open conveyance,Canal,Unknown,Federal,,US Bureau of Reclamation,Other Reclamation,Klamath Project,,,,,local_supporting,automatic,Automatic standard/local rank.,unknown,4.026447899798827,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,292,DELTA_0292,FALSE,0,0,5.571162024474997,0,,klamath center canal klamath center canal   other reclamation klamath project      us bureau of reclamation canal
CVY_001F8FA8_S001,CVY_001F8FA8,Herndon Canal,Herndon Canal,Herndon Canal,,,Open conveyance,Canal,Unknown,Local/regional public,,Fresno Irrigation District,Local/regional public,Fresno Irrigation District,,,,,medium,automatic,Automatic medium rank from mapped length or facility type.,unknown,11.838250235264033,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,460,DELTA_0460,FALSE,0,0,19.228134198618296,0,,herndon canal herndon canal   local/regional public fresno irrigation district      fresno irrigation district canal
CVY_001F8FA8_S002,CVY_001F8FA8,Herndon Canal,Herndon Canal,Herndon Canal,,,Open conveyance,Canal,Unknown,Local/regional public,,Fresno Irrigation District,Local/regional public,Fresno Irrigation District,,,,,medium,automatic,Automatic medium rank from mapped length or facility type.,unknown,12.34944062832799,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,460,DELTA_0460,FALSE,0,0,11.545161621116737,0,,herndon canal herndon canal   local/regional public fresno irrigation district      fresno irrigation district canal
CVY_004C73AE_S001,CVY_004C73AE,'Upper' Gold Hill Canal (Orr Creek),'Upper' Gold Hill Canal,'Upper' Gold Hill Canal (Orr Creek),,,Distribution/local,Ditch,Distribution,Unknown,NID,,Unknown/unassigned,Unassigned,,,,,local_supporting,automatic,Automatic standard/local rank.,unknown,1.3280846799040469,Major Conveyance,provisional_source_inclusion,medium,UNREVIEWED,1294,,MAJOR_1294,FALSE,0,0,3.5427023779189613,0,,'upper' gold hill canal (orr creek) 'upper' gold hill canal   unknown/unassigned unassigned     nid  ditch
CVY_0092AF31_S001,CVY_0092AF31,Intertie,Intertie,Intertie,,,Closed conveyance,Intertie,Unknown,Unknown,,,Unknown/unassigned,Unassigned,,,,,medium,automatic,Automatic medium rank from mapped length or facility type.,unknown,1.3314802950817264,Major Conveyance,provisional_source_inclusion,medium,UNREVIEWED,1099,,MAJOR_1099,FALSE,0,0,2.4105088515689173,0,,intertie intertie   unknown/unassigned unassigned       intertie
CVY_0092AF31_S002,CVY_0092AF31,Intertie,Intertie,Intertie,,,Closed conveyance,Intertie,Unknown,Unknown,,,Unknown/unassigned,Unassigned,,,,,medium,automatic,Automatic medium rank from mapped length or facility type.,unknown,3.183410520354863,Major Conveyance,provisional_source_inclusion,medium,UNREVIEWED,1100,,MAJOR_1100,FALSE,0,0,6.990366373534531,0,,intertie intertie   unknown/unassigned unassigned       intertie
CVY_0167BFA9_S001,CVY_0167BFA9,San Luis Drain,San Luis Drain,San Luis Drain,,,Drainage,Drain,Drainage,Federal,,US Bureau of Reclamation,CVP,Central Valley Project,West San Joaquin Division,San Luis Unit,San Luis Drain,West San Joaquin Division > San Luis Unit > San Luis Drain,medium,automatic,Automatic medium rank from mapped length or facility type.,unknown,85.12002351706991,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,320,DELTA_0320,FALSE,0,0,0.9450477297527964,0,,san luis drain san luis drain   cvp central valley project west san joaquin division san luis unit san luis drain west san joaquin division > san luis unit > san luis drain  us bureau of reclamation drain
CVY_0167BFA9_S002,CVY_0167BFA9,San Luis Drain,San Luis Drain,San Luis Drain,,San Luis-area conveyance network,Drainage,Drain,Distribution,Federal,,Federal,CVP,Central Valley Project,West San Joaquin Division,San Luis Unit,San Luis Drain,West San Joaquin Division > San Luis Unit > San Luis Drain,medium,automatic,Automatic medium rank from mapped length or facility type.,unknown,13.26870177902567,Major Conveyance,separate_facility_drain,high,20,1243,486,MAJOR_1243,FALSE,0,0,15.18027964336948,0,,san luis drain san luis drain  san luis-area conveyance network cvp central valley project west san joaquin division san luis unit san luis drain west san joaquin division > san luis unit > san luis drain  federal drain
CVY_01A703CC_S001,CVY_01A703CC,Proposed Watsonville Canal,Proposed Watsonville Canal,Proposed Watsonville Canal,,,Open conveyance,Canal,Unknown,Federal,,Federal,Unknown/unassigned,Unassigned,,,,,medium,automatic,Automatic medium rank from mapped length or facility type.,unknown,22.393305920747743,Major Conveyance,provisional_source_inclusion,medium,UNREVIEWED,70,,MAJOR_0070,FALSE,0,0,7.386744353024402,0,,proposed watsonville canal proposed watsonville canal   unknown/unassigned unassigned      federal canal
CVY_01E6DCF2_S001,CVY_01E6DCF2,KLAMATH C CANAL,KLAMATH C CANAL,KLAMATH C CANAL,,,Open conveyance,Canal,Unknown,Federal,,US Bureau of Reclamation,Other Reclamation,Klamath Project,,,,,medium,automatic,Automatic medium rank from mapped length or facility type.,unknown,13.317378846581004,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,217,DELTA_0217,FALSE,0,0,9.580555255989742,0,,klamath c canal klamath c canal   other reclamation klamath project      us bureau of reclamation canal
CVY_01E6DCF2_S002,CVY_01E6DCF2,KLAMATH C CANAL,KLAMATH C CANAL,KLAMATH C CANAL,,,Open conveyance,Canal,Unknown,Federal,,US Bureau of Reclamation,Other Reclamation,Klamath Project,,,,,medium,automatic,Automatic medium rank from mapped length or facility type.,unknown,11.299078759914421,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,221,DELTA_0221,FALSE,0,0,12.99589407294533,0,,klamath c canal klamath c canal   other reclamation klamath project      us bureau of reclamation canal
CVY_01E6DCF2_S003,CVY_01E6DCF2,KLAMATH C CANAL,KLAMATH C CANAL,KLAMATH C CANAL,,,Open conveyance,Canal,Unknown,Federal,,US Bureau of Reclamation,Other Reclamation,Klamath Project,,,,,medium,automatic,Automatic medium rank from mapped length or facility type.,unknown,19.034365249874817,DeltaMAPP,provisional_source_inclusion,medium,UNREVIEWED,,277,DELTA_0277,FALSE,0,0,0.11276222814915797,0,,klamath c canal klamath c canal   other reclamation klamath project      us bureau of reclamation canal
CVY_01F93789_S001,CVY_01F93789,West Branch California Aqueduct,West Branch,West Branch California Aqueduct,California Aqueduct – West Branch; West Branch,California Aqueduct / State Water Project,Closed conveyance,Pipeline,Branch,California state,,State Water Project,SWP,State Water Project,California Aqueduct,West Branch,,California Aqueduct > West Branch,statewide_major,reviewed_system_rule,California Aqueduct East/West Branch system rule: keep all mapped branch pieces at one statewide-major width.,unknown,0.4427095070904929,Derived from DeltaMAPP,delta_nonduplicate_extension,high,A85,1084,146,DELTA_0146,FALSE,0,0,0.5108712530342883,0,,west branch california aqueduct west branch california aqueduct – west branch; west branch california aqueduct / state water project swp state water project california aqueduct west branch  california aqueduct > west branch  state water project pipeline
CVY_01F93789_S002,CVY_01F93789,West Branch California Aqueduct,West Branch,West Branch California Aqueduct,California Aqueduct – West Branch; West Branch,California Aqueduct / State Water Project,Open conveyance,Aqueduct,Branch,California state,,State,SWP,State Water Project,California Aqueduct,West Branch,,California Aqueduct > West Branch,statewide_major,reviewed_system_rule,California Aqueduct East/West Branch system rule: keep all mapped branch pieces at one statewide-major width.,unknown,4.564255363314364,Major Conveyance,major_spine,high,A85,1084,146,MAJOR_1084,FALSE,0,0,1.9908241376596174,0,,west branch california aqueduct west branch california aqueduct – west branch; west branch california aqueduct / state water project swp state water project california aqueduct west branch  california aqueduct > west branch  state aqueduct
CVY_01F93789_S003,CVY_01F93789,West Branch California Aqueduct,West Branch,West Branch California Aqueduct,California Aqueduct – West Branch; West Branch,California Aqueduct / State Water Project,Open conveyance,Aqueduct,Branch,California state,,State,SWP,State Water Project,California Aqueduct,West Branch,,California Aqueduct > West Branch,statewide_major,reviewed_system_rule,California Aqueduct East/West Branch system rule: keep all mapped branch pieces at one statewide-major width.,unknown,7.671312400056146,Major Conveyance,major_spine,high,A85,1084,146,MAJOR_1084,FALSE,0,0,1.0318456918890238,0,,west branch california aqueduct west branch california aqueduct – west branch; west branch california aqueduct / state water project swp state water project california aqueduct west branch  california aqueduct > west branch  state aqueduct
CVY_01F93789_S004,CVY_01F93789,West Branch California Aqueduct,West Branch,West Branch California Aqueduct,California Aqueduct – West Branch; West Branch,California Aqueduct / State Water Project,Open conveyance,Aqueduct,Branch,California state,,State,SWP,State Water Project,California Aqueduct,West Branch,,California Aqueduct > West Branch,statewide_major,reviewed_system_rule,California Aqueduct East/West Branch system rule: keep all mapped branch pieces at one statewide-major width.,unknown,7.1857119863801415,Major Conveyance,major_spine,high,A85,1084,146,MAJOR_1084,FALSE,0,0,0.9709043727405768,0,,west branch california aqueduct west branch california aqueduct – west branch; west branch california aqueduct / state water project swp state water project california aqueduct west branch  california aqueduct > west branch  state aqueduct
CVY_01F93789_S005,CVY_01F93789,West Branch California Aqueduct,West Branch,West Branch California Aqueduct,California Aqueduct – West Branch; West Branch,California Aqueduct / State Water Project,Open conveyance,Aqueduct,Branch,California state,,State,SWP,State Water Project,California Aqueduct,West Branch,,California Aqueduct > West Branch,statewide_major,reviewed_system_rule,California Aqueduct East/West Branch system rule: keep all mapped branch pieces at one statewide-major width.,unknown,0.016471744697972527,Major Conveyance,major_spine,high,A85,1084,146,MAJOR_1084,FALSE,0,0,0.47501204950546433,0,,west branch california aqueduct west branch california aqueduct – west branch; west branch california aqueduct / state water project swp state water project california aqueduct west branch  california aqueduct > west branch  state aqueduct
CVY_01F93789_S006,CVY_01F93789,West Branch California Aqueduct,West Branch,West Branch California Aqueduct,California Aqueduct – West Branch; West Branch,California Aqueduct / State Water Project,Open conveyance,Aqueduct,Branch,California state,,State,SWP,State Water Project,California Aqueduct,West Branch,,California Aqueduct > West Branch,statewide_major,reviewed_system_rule,California Aqueduct East/West Branch system rule: keep all mapped branch pieces at one statewide-major width.,unknown,14.620473177069034,Major Conveyance,major_spine,high,A85,1084,146,MAJOR_1084,FALSE,0,0,0.36508826882793394,0,,west branch california aqueduct west branch california aqueduct – west branch; west branch california aqueduct / state water project swp state water project california aqueduct west branch  california aqueduct > west branch  state aqueduct
