facility_id,canonical_name,lbl,lbl_full,aliases,parent_system,project_family,project_name,project_division,project_unit,project_subunit,project_path,ownership_class,owner_agency,operator_agency,facility_group,facility_type,network_role,display_rank,display_rank_source,display_rank_reason,status,length_mi,segment_count,geometry_confidence,decision_ids,facility_crosses_blm,facility_length_on_blm_mi,facility_min_blm_distance_mi,facility_blm_field_offices
CVY_00049B8E,KLAMATH CENTER CANAL,KLAMATH CENTER CANAL,KLAMATH CENTER CANAL,,,Other Reclamation,Klamath Project,,,,,Federal,,US Bureau of Reclamation,Open conveyance,Canal,Unknown,local_supporting,automatic,Automatic standard/local rank.,unknown,4.026447899798827,1,medium,UNREVIEWED,FALSE,0,5.571162024474997,
CVY_001F8FA8,Herndon Canal,Herndon Canal,Herndon Canal,,,Local/regional public,Fresno Irrigation District,,,,,Local/regional public,,Fresno Irrigation District,Open conveyance,Canal,Unknown,medium,automatic,Automatic medium rank from mapped length or facility type.,unknown,24.187690863592024,2,medium,UNREVIEWED,FALSE,0,11.545161621116737,
CVY_004C73AE,'Upper' Gold Hill Canal (Orr Creek),'Upper' Gold Hill Canal,'Upper' Gold Hill Canal (Orr Creek),,,Unknown/unassigned,Unassigned,,,,,Unknown,NID,,Distribution/local,Ditch,Distribution,local_supporting,automatic,Automatic standard/local rank.,unknown,1.3280846799040469,1,medium,UNREVIEWED,FALSE,0,3.5427023779189613,
CVY_0092AF31,Intertie,Intertie,Intertie,,,Unknown/unassigned,Unassigned,,,,,Unknown,,,Closed conveyance,Intertie,Unknown,medium,automatic,Automatic medium rank from mapped length or facility type.,unknown,4.51489081543659,2,medium,UNREVIEWED,FALSE,0,2.4105088515689173,
CVY_0167BFA9,San Luis Drain,San Luis Drain,San Luis Drain,,San Luis-area conveyance network,CVP,Central Valley Project,West San Joaquin Division,San Luis Unit,San Luis Drain,West San Joaquin Division > San Luis Unit > San Luis Drain,Federal,,US Bureau of Reclamation; Federal,Drainage,Drain,Drainage; Distribution,medium,automatic,Automatic medium rank from mapped length or facility type.,unknown,98.38872529609559,2,medium,UNREVIEWED; 20,FALSE,0,0.9450477297527964,
CVY_01A703CC,Proposed Watsonville Canal,Proposed Watsonville Canal,Proposed Watsonville Canal,,,Unknown/unassigned,Unassigned,,,,,Federal,,Federal,Open conveyance,Canal,Unknown,medium,automatic,Automatic medium rank from mapped length or facility type.,unknown,22.393305920747743,1,medium,UNREVIEWED,FALSE,0,7.386744353024402,
CVY_01E6DCF2,KLAMATH C CANAL,KLAMATH C CANAL,KLAMATH C CANAL,,,Other Reclamation,Klamath Project,,,,,Federal,,US Bureau of Reclamation,Open conveyance,Canal,Unknown,medium,automatic,Automatic medium rank from mapped length or facility type.,unknown,43.65082285637024,3,medium,UNREVIEWED,FALSE,0,0.11276222814915797,
CVY_01F93789,West Branch California Aqueduct,West Branch,West Branch California Aqueduct,California Aqueduct – West Branch; West Branch,California Aqueduct / State Water Project,SWP,State Water Project,California Aqueduct,West Branch,,California Aqueduct > West Branch,California state,,State Water Project; State,Closed conveyance; Open conveyance,Pipeline; Aqueduct,Branch,statewide_major,reviewed_system_rule,California Aqueduct East/West Branch system rule: keep all mapped branch pieces at one statewide-major width.,unknown,34.50093417860815,6,high,A85,FALSE,0,0.36508826882793394,
CVY_023742FB,Bypass Spill Channel,Bypass Spill Channel,Bypass Spill Channel,,,Unknown/unassigned,Unassigned,,,,,Unknown,PCWA,,Other/unknown,Unknown,Unknown,local_supporting,automatic,Automatic standard/local rank.,unknown,0.18623647878920813,2,medium,UNREVIEWED,FALSE,0,3.8612073637367876,
CVY_02BE0F98,West Branch Lakeland Canal,West Branch Lakeland Canal,West Branch Lakeland Canal,,,Unknown/unassigned,Unassigned,,,,,Unknown,,Kings River Water Association,Open conveyance,Canal,Branch,local_supporting,automatic,Automatic standard/local rank.,unknown,3.352498962357918,1,medium,UNREVIEWED,FALSE,0,8.027816164430803,
CVY_02C0B6D8,PUTAH SOUTH CANAL GREEN VALLEY CONDUIT,PUTAH SOUTH CANAL GREEN VALLEY CONDUIT,PUTAH SOUTH CANAL GREEN VALLEY CONDUIT,,,Other Reclamation,Solano Project,,Putah South Canal system,,Putah South Canal system,Federal,,US Bureau of Reclamation,Closed conveyance,Pipeline,Unknown,local_supporting,automatic,Automatic standard/local rank.,unknown,2.223103131510392,1,medium,UNREVIEWED,FALSE,0,13.910935922981132,
CVY_031FE24C,ALL AMERICAN CANAL NEW RIVER SIPHON,ALL AMERICAN CANAL NEW RIVER SIPHON,ALL AMERICAN CANAL NEW RIVER SIPHON,,,Other Reclamation,Boulder Canyon Project,,All-American Canal system,,All-American Canal system,Federal,,US Bureau of Reclamation,Closed conveyance,Siphon,Unknown,local_supporting,automatic,Automatic standard/local rank.,unknown,0.09575050478682498,1,medium,UNREVIEWED,FALSE,0,1.21970087660803,
CVY_03678E60,Stallman Canal,Stallman Canal,Stallman Canal,,,Unknown/unassigned,Unassigned,,,,,Unknown,PCWA,,Open conveyance,Canal,Unknown,local_supporting,automatic,Automatic standard/local rank.,unknown,0.32175967099196967,2,medium,UNREVIEWED,FALSE,0,3.9232112330389177,
CVY_039DD70F,Lincoln Canal,Lincoln Canal,Lincoln Canal,,,Unknown/unassigned,Unassigned,,,,,Unknown,NID,,Open conveyance,Canal,Unknown,local_supporting,automatic,Automatic standard/local rank.,unknown,5.54156560140277,1,medium,UNREVIEWED,FALSE,0,3.503745415404696,
CVY_03A29A2E,Anderson Cottonwood Irrigation District Canal,Anderson Cottonwood Irrigation District Canal,Anderson Cottonwood Irrigation District Canal,,,Local/regional public,Anderson-Cottonwood Irrigation District,,,,,Local/regional public,,Anderson-Cottonwood Irrigation District,Open conveyance,Canal,Unknown,local_supporting,automatic,Automatic standard/local rank.,unknown,6.784588104429764,1,medium,UNREVIEWED,FALSE,0,0.08098626168722282,
CVY_03AE5904,Riego,Riego,Riego,,,Unknown/unassigned,Unassigned,,,,,Unknown,,,Other/unknown,Unknown,Unknown,local_supporting,automatic,Automatic standard/local rank.,unknown,1.4848421470030473,2,medium,UNREVIEWED,FALSE,0,18.030431973139898,
CVY_03DDB527,Westlands Water District Lateral 4-5.5,WWD Lateral 4-5.5,Westlands Water District Lateral 4-5.5,WWD Lateral 4-5.5,Westlands Water District conveyance system,Local/regional public,Westlands Water District conveyance system,,,,,Local/regional public,,Westlands Water District,Distribution/local,Lateral,Distribution,local_supporting,automatic,Automatic standard/local rank.,unknown,6.503677905780381,1,high,A14,FALSE,0,3.850911013951378,
CVY_03E6A686,Alejandro Canal,Alejandro Canal,Alejandro Canal,,,Unknown/unassigned,Unassigned,,,,,Unknown,,North Kern Water Storage District,Open conveyance,Canal,Unknown,local_supporting,automatic,Automatic standard/local rank.,unknown,5.934820234603143,2,medium,UNREVIEWED,FALSE,0,4.496848603129752,
CVY_03EECDC1,Bay Division Pipelines (SFPUC segment; pipeline numbers unresolved),SFPUC Bay Division Pipelines,Bay Division Pipelines (SFPUC segment; pipeline numbers unresolved),SFPUC Bay Division Pipelines; Hetch Hetchy Regional Water System pipeline,Hetch Hetchy Regional Water System,Local/regional public,Hetch Hetchy Regional Water System,,Bay Division Pipelines,,Bay Division Pipelines,Local/regional public,,,Closed conveyance,Pipeline,Unknown,medium,automatic,Automatic medium rank from mapped length or facility type.,unknown,32.55181644485999,1,medium,31,FALSE,0,10.011405351273034,
CVY_03EF0B1D,Stahl Ditch,Stahl Ditch,Stahl Ditch,,,Unknown/unassigned,Unassigned,,,,,Unknown,,,Distribution/local,Ditch,Distribution,local_supporting,automatic,Automatic standard/local rank.,unknown,4.405476387408485,2,medium,UNREVIEWED,FALSE,0,1.9804555903001486,
CVY_040635D8,Spangler South,Spangler South,Spangler South,,,Unknown/unassigned,Unassigned,,,,,Unknown,,,Other/unknown,Unknown,Unknown,local_supporting,automatic,Automatic standard/local rank.,unknown,1.1748636137408115,2,medium,UNREVIEWED,FALSE,0,21.617532868663503,
CVY_0438E8F2,Adams West Canal,Adams West Canal,Adams West Canal,,,Unknown/unassigned,Unassigned,,,,,Unknown,,,Open conveyance,Canal,Unknown,medium,automatic,Automatic medium rank from mapped length or facility type.,unknown,13.002063652487289,1,medium,UNREVIEWED,FALSE,0,3.6126316643442165,
CVY_043B4F94,El Centro,El Centro,El Centro,,,Unknown/unassigned,Unassigned,,,,,Unknown,,,Other/unknown,Unknown,Unknown,local_supporting,automatic,Automatic standard/local rank.,unknown,1.25607412111132,1,medium,UNREVIEWED,FALSE,0,16.196687300658382,
CVY_048110EF,South San Joaquin Main Canal,Main District Canal,South San Joaquin Main Canal,Main District Canal,South San Joaquin Irrigation District system,Local/regional public,South San Joaquin Irrigation District system,,,,,Local/regional public,,,Open conveyance,Canal,Mainline,medium,automatic,Automatic medium rank from mapped length or facility type.,unknown,16.75925580712209,1,high,23,FALSE,0,1.9273326542588067,
CVY_04CF4069,Shafter-Wasco Irrigation District Lateral,Shafter Wasco ID Lateral,Shafter-Wasco Irrigation District Lateral,Shafter Wasco ID Lateral,Shafter-Wasco Irrigation District conveyance system,Local/regional public,Shafter-Wasco Irrigation District conveyance system,,,,,Local/regional public,,Shafter Wasco Irrigation District,Distribution/local,Lateral,Distribution,local_supporting,automatic,Automatic standard/local rank.,unknown,5.318048024747626,1,medium,A57,FALSE,0,8.329039130501961,
CVY_04D47F32,Consolidated Peoples Ditch,Consolidated Peoples Ditch,Consolidated Peoples Ditch,,,Unknown/unassigned,Unassigned,,,,,Unknown,,Kaweah Delta WCD,Distribution/local,Ditch,Distribution,local_supporting,automatic,Automatic standard/local rank.,unknown,2.3015980844732287,1,medium,UNREVIEWED,FALSE,0,4.93207925204339,
