project_id,project_family,project_name,project_division,project_unit,project_subunit,project_path,parent_project_id
PRJ_79BDE48C,Other Reclamation,Klamath Project,,,,,
PRJ_3338F459,Local/regional public,Fresno Irrigation District,,,,,
PRJ_070B8008,Unknown/unassigned,Unassigned,,,,,
PRJ_1F6339EE,CVP,Central Valley Project,West San Joaquin Division,San Luis Unit,San Luis Drain,West San Joaquin Division > San Luis Unit > San Luis Drain,
PRJ_6A61062F,SWP,State Water Project,California Aqueduct,West Branch,,California Aqueduct > West Branch,
PRJ_055E9D4D,Other Reclamation,Solano Project,,Putah South Canal system,,Putah South Canal system,
PRJ_05ED4047,Other Reclamation,Boulder Canyon Project,,All-American Canal system,,All-American Canal system,
PRJ_1A67BE18,Local/regional public,Anderson-Cottonwood Irrigation District,,,,,
PRJ_66301D9A,Local/regional public,Westlands Water District conveyance system,,,,,
PRJ_2549EC30,Local/regional public,Hetch Hetchy Regional Water System,,Bay Division Pipelines,,Bay Division Pipelines,
PRJ_215CCADB,Local/regional public,South San Joaquin Irrigation District system,,,,,
PRJ_131FA1D1,Local/regional public,Shafter-Wasco Irrigation District conveyance system,,,,,
PRJ_03E91FED,Other Reclamation,Reclamation project (unit unassigned),,,,,
PRJ_4061188B,CVP,Central Valley Project,,San Luis Unit,,San Luis Unit,
PRJ_2A4546F2,SWP,State Water Project,,California Aqueduct,,California Aqueduct,
PRJ_3FD82257,CVP,Central Valley Project,West San Joaquin Division,San Luis Unit,San Luis Canal,West San Joaquin Division > San Luis Unit > San Luis Canal,
PRJ_3A6088A2,SWP,State Water Project,California Aqueduct,San Luis Field Division,San Luis Canal,California Aqueduct > San Luis Field Division > San Luis Canal,
PRJ_1F30458B,CVP,Central Valley Project,West San Joaquin Division,San Luis Unit,Coalinga Canal,West San Joaquin Division > San Luis Unit > Coalinga Canal,
PRJ_5194B935,Local/regional public,Contra Costa Water District,,,,,
PRJ_33C45DD5,Local/regional public,Local/regional public system,,,,,
PRJ_4E166C49,SWP,State Water Project,Oroville Division,Oroville-Thermalito Complex,,Oroville Division > Oroville-Thermalito Complex,
PRJ_61C7C8A7,CVP,Central Valley Project,Delta Division,Contra Costa Canal,,Delta Division > Contra Costa Canal,
PRJ_10852A82,Other Reclamation,Cachuma Project,,South Coast conveyance system,,South Coast conveyance system,
PRJ_3DFDEE1C,Local/regional public,Metropolitan Water District,,,,,
PRJ_116F9B5B,Local/regional public,Glenn-Colusa Irrigation District conveyance system,,,,,
