name_norm,major_source_row,delta_source_row,major_near_delta_pct,delta_near_major_pct,selected_source
california aqueduct,9,45,86.76855937984762,39.34744097645774,DeltaMAPP
california aqueduct,10,26,27.07758262079971,75.00393158285729,DeltaMAPP
california aqueduct,47,48,100,20.291450152763197,DeltaMAPP
california aqueduct,155,21,99.78233168800026,100,DeltaMAPP
california aqueduct,177,107,27.046700759201165,100,DeltaMAPP
california aqueduct,177,176,70.25445389361293,100,DeltaMAPP
new rim ditch,11,431,100,98.87068649521629,DeltaMAPP
east side canal,13,335,100,25.040353233083888,DeltaMAPP
east side canal,19,335,100,60.75222172115813,DeltaMAPP
east side canal,25,497,100,71.52732987065681,DeltaMAPP
east side canal,602,362,88.61710675940884,71.00807181472432,DeltaMAPP
buena vista canal,15,501,97.69927811977786,92.97276692611145,DeltaMAPP
pioneer canal,16,332,62.1756825498331,41.33727492553736,DeltaMAPP
cross valley canal,20,445,99.99999999999999,21.01786577850412,DeltaMAPP
cross valley canal,1117,445,99.82966171358457,64.97869475742583,DeltaMAPP
calloway canal,26,439,100,43.823382139745895,DeltaMAPP
calloway canal,43,439,87.34574449759225,21.04230869881626,DeltaMAPP
kern island canal,22,422,86.71324906831676,66.65822426478017,DeltaMAPP
west side canal,30,369,94.10957576716956,98.72113407703297,Major Conveyance
friant kern canal,36,258,99.67981419546764,100,DeltaMAPP
goose lake canal,42,358,100,31.181019595046436,DeltaMAPP
goose lake canal,46,358,100,62.02021485462499,DeltaMAPP
blakeley canal,48,479,100,74.1015462005139,DeltaMAPP
tulare irrigation canal,49,504,100,99.05999196553925,DeltaMAPP
coalinga canal,53,283,80.63370512477468,100,Major Conveyance
inlet canal,56,498,100,47.460255392188365,DeltaMAPP
inlet canal,61,498,79.36407866267542,39.22208726181193,DeltaMAPP
firebaugh wasteway,67,500,100,100,DeltaMAPP
gravelly ford canal,68,279,77.58857705150184,41.11664357378321,DeltaMAPP
gravelly ford canal,69,279,100,44.410416279883535,DeltaMAPP
santa clara conduit,71,308,75.51163103013901,22.052950992640575,DeltaMAPP
main canal,74,364,99.99999999999999,100,DeltaMAPP
main canal,78,344,99.82915782715527,100,DeltaMAPP
main canal,87,341,100,42.0930142329335,DeltaMAPP
main canal,89,341,100,29.745226245187133,DeltaMAPP
main canal,90,341,100,29.389421461155685,DeltaMAPP
main canal,619,371,100,99.9085740571008,DeltaMAPP
madera canal,75,244,100,54.232662255100806,DeltaMAPP
madera canal,83,244,100.00000000000001,39.84334052165704,DeltaMAPP
pacheco conduit,76,243,71.18022124731473,70.71668203597027,DeltaMAPP
san luis canal,79,223,100,100,DeltaMAPP
san luis canal,79,424,100,99.99999999999999,DeltaMAPP
arroyo canal,80,477,82.89904756808882,100,Major Conveyance
chowchilla canal,81,219,100,99.39907271409884,DeltaMAPP
chowchilla canal,81,476,100,100,DeltaMAPP
outside canal,84,468,98.25830918073869,98.35228650706502,DeltaMAPP
san luis drain,86,320,100,84.48161748987381,DeltaMAPP
turlock main canal,104,416,100,43.374296689347624,DeltaMAPP
ceres main canal,105,438,100,31.13617484175276,DeltaMAPP
modesto main canal,126,381,99.99999999999999,45.29762280324854,DeltaMAPP
modesto main canal,143,381,100,31.47547430350586,DeltaMAPP
modesto main canal,1248,398,100,94.34266150791008,DeltaMAPP
south bay aqueduct,141,174,100,100,DeltaMAPP
south bay aqueduct,1037,42,100,100,DeltaMAPP
south bay aqueduct,1037,80,97.59395875637813,97.89552185036354,DeltaMAPP
south bay aqueduct,1037,162,100,88.31633875083847,DeltaMAPP
south bay aqueduct,1038,35,34.68444488893142,100,DeltaMAPP
south bay aqueduct,1038,118,68.78019536759206,100,DeltaMAPP
south bay aqueduct,1039,34,100,92.0326276771885,DeltaMAPP
south bay aqueduct,1040,159,39.32213656034447,100,DeltaMAPP
south bay aqueduct,1040,188,34.79409291724395,100,DeltaMAPP
south bay aqueduct,1040,205,23.388710811031125,100,DeltaMAPP
south bay aqueduct,1043,100,71.20620646885192,85.50999368088458,DeltaMAPP
contra costa canal,203,220,100,36.97786312551895,DeltaMAPP
contra costa canal,206,220,100,30.541779037051242,DeltaMAPP
mokelumne aqueduct,1050,348,100,88.67031803867849,DeltaMAPP
tule canal,412,480,100,88.96006316131209,DeltaMAPP
east borrow ditch,893,462,99.99999999999999,27.142296832863483,DeltaMAPP
west borrow ditch,895,386,75.29488730053843,77.00431381006909,DeltaMAPP
wadsworth canal,903,461,100,100,DeltaMAPP
glenn colusa canal,1016,385,100,36.08272571867531,DeltaMAPP
sutter butte canal,987,350,100,54.30691830053951,DeltaMAPP
2054 drain,951,388,100,27.66379828160157,DeltaMAPP
2054 drain,952,388,99.99999999999999,52.80219701184442,DeltaMAPP
main drainage levee canal,969,330,100,88.09758457377147,DeltaMAPP
cherokee canal,998,491,100,84.77898428652476,DeltaMAPP
western canal,1001,382,100,54.162415512915274,DeltaMAPP
western canal,1002,382,100,30.424876402435718,DeltaMAPP
tehama colusa canal,1006,316,100,22.684280563380735,DeltaMAPP
tehama colusa canal,1006,409,100,22.697165460422866,DeltaMAPP
tehama colusa canal,1028,316,98.53119998123051,27.002645415875538,DeltaMAPP
tehama colusa canal,1028,409,98.17263067995628,26.879487987486716,DeltaMAPP
tehama colusa canal,1078,316,100,50.204427149566,DeltaMAPP
tehama colusa canal,1078,409,99.93668403004699,50.21080903968969,DeltaMAPP
corning canal,1027,313,99.74365078166564,100,DeltaMAPP
all american canal,1067,286,70.31355170184095,79.52301496627669,DeltaMAPP
all american canal,1067,436,88.08022507603255,100,DeltaMAPP
newman wasteway,1075,303,100,100,DeltaMAPP
colusa basin drainage canal,1082,363,97.07931822564758,99.73950904198864,DeltaMAPP
putah south canal,1104,289,95.74436233805973,100,Major Conveyance
north bay aqueduct,1105,96,74.51456420738788,100,Major Conveyance
arvin edison canal,1114,379,76.57318794764936,100,Major Conveyance
east highline canal,1196,435,69.09183733111578,85.54300098344662,Major Conveyance
delta mendota canal,1197,315,97.06043650844069,100,DeltaMAPP
westley wasteway,1199,227,96.29530424256745,100,Major Conveyance
clear creek tunnel,1213,300,100,98.78296650535722,DeltaMAPP
alejandro canal,1229,426,99.33929934096749,100,DeltaMAPP
east side irrigation canal,1241,411,100,77.49781331905122,DeltaMAPP
columbia canal,1249,375,100,84.07803438755542,DeltaMAPP
main lift canal,1254,384,100,100,DeltaMAPP
fresno canal,1257,401,98.31000316934228,100,DeltaMAPP
mill ditch,1258,458,85.86719405870465,89.52555903763277,DeltaMAPP
