expected_id,expected_name,expected_level,present_in_canonical_geometry,assigned_to_expected_project,audit_status,matched_facility_ids,matched_canonical_names,matched_project_paths,evidence_url
CVP001,Delta Cross Channel,major,TRUE,TRUE,present_and_assigned,CVY_5289D764,DELTA CROSS CHANNEL,Delta Division,https://www.usbr.gov/projects/index.php?id=477
CVP002,Contra Costa Canal,major,TRUE,TRUE,present_and_assigned,CVY_0875DDAA; CVY_0FFAA7B8; CVY_19010B47,Contra Costa Canal; DELTA-CONTRA COSTA SHORTCUT PIPELINE; CONTRA COSTA CANAL TUNNEL NO 1,Delta Division > Contra Costa Canal,https://www.usbr.gov/projects/index.php?id=477
CVP003,Delta-Mendota Canal,major,TRUE,TRUE,present_and_assigned,CVY_65F6DC6F; CVY_6793BD2A,O’Neill Forebay Inlet Channel; DELTA-MENDOTA CANAL,Delta Division > Delta-Mendota Canal; West San Joaquin Division > San Luis Unit > O'Neill Pumping Plant and Intake Canal; Delta Division > Delta-Mendota Canal,https://www.usbr.gov/projects/index.php?id=477
CVP004,Tracy/Jones Pumping Plant conveyance,important,TRUE,TRUE,present_and_assigned,CVY_13EC3B05; CVY_5F5B275A,TRACY PUMPING PLANT DISCHARGE LINES; TRACY PP INLET CHANNEL,Delta Division > C.W. Bill Jones (Tracy) Pumping Plant conveyance,https://www.usbr.gov/projects/index.php?id=477
CVP005,Folsom South Canal,major,TRUE,TRUE,present_and_assigned,CVY_1F67F1CE; CVY_364F15B3,Folsom South Canal Connection; Folsom South Canal,American River Division > Folsom Unit > Folsom South Canal,https://www.usbr.gov/projects/index.php?id=505
CVP006,Camp Creek Tunnel,important,TRUE,TRUE,present_and_assigned,CVY_16EE1FAF,Camp Creek Tunnel,American River Division > Sly Park Unit > Camp Creek diversion system,https://www.usbr.gov/projects/index.php?id=505
CVP007,Camino Conduit/Tunnel,supplemental_expected,TRUE,TRUE,present_and_assigned,CVY_52870B8D,Camino Tunnel,American River Division > Sly Park Unit > Camino Conduit,https://www.usbr.gov/projects/index.php?id=505
CVP008,Friant-Kern Canal,major,TRUE,TRUE,present_and_assigned,CVY_262C08B2; CVY_4049F88E,FRIANT-KERN CANAL KINGS RIVER SIPHON; FRIANT-KERN CANAL,Friant Division > Friant-Kern Canal,https://www.usbr.gov/projects/index.php?id=341
CVP009,Madera Canal,major,TRUE,TRUE,present_and_assigned,CVY_3AE343CD,MADERA CANAL,Friant Division > Madera Canal,https://www.usbr.gov/projects/index.php?id=341
CVP010,Tehama-Colusa Canal,major,TRUE,TRUE,present_and_assigned,CVY_4BEBA6E1,Tehama Colusa Canal,Sacramento River Division > Sacramento Canals Unit > Tehama-Colusa Canal,https://www.usbr.gov/projects/index.php?id=509
CVP011,Corning Canal,major,TRUE,TRUE,present_and_assigned,CVY_47C0C85F; CVY_70F0B9EE,CORNING CANAL PUMPING PLANT INTAKE CHANNEL; CORNING CANAL,Sacramento River Division > Sacramento Canals Unit > Corning Canal,https://www.usbr.gov/projects/index.php?id=509
CVP012,Pacheco Tunnel,major,TRUE,TRUE,present_and_assigned,CVY_23062076; CVY_23062078; CVY_4A821268,PACHECO TUNNEL REACH 1; PACHECO TUNNEL REACH 2; Pacheco Tunnel,San Felipe Division > Pacheco conveyance,https://www.usbr.gov/projects/index.php?id=392
CVP013,Pacheco Conduit,major,TRUE,TRUE,present_and_assigned,CVY_5C48721A,PACHECO CONDUIT,San Felipe Division > Pacheco conveyance,https://www.usbr.gov/projects/index.php?id=392
CVP014,Santa Clara Conduit,important,TRUE,TRUE,present_and_assigned,CVY_30424E73; CVY_35F7F339,Santa Clara Tunnel; Santa Clara Conduit,San Felipe Division > Santa Clara Conduit,https://www.usbr.gov/projects/index.php?id=392
CVP015,Hollister Conduit,important,TRUE,TRUE,present_and_assigned,CVY_6A848799,Hollister Conduit,San Felipe Division > Hollister Conduit,https://www.usbr.gov/projects/index.php?id=392
