facility_id,canonical_name,aliases,owner_agency,operator_agency,project_family,project_name,geometry_confidence,recommended_action
CVY_01A703CC,Proposed Watsonville Canal,,,Federal,Unknown/unassigned,Unassigned,medium,Add or refine an authoritative project crosswalk rule.
CVY_05028EEA,CHOWCHILLA BYPASS,,,US Bureau of Reclamation,Other Reclamation,Reclamation project (unit unassigned),medium,Add or refine an authoritative project crosswalk rule.
CVY_0555A924,MARIPOSA BYPASS,,,US Bureau of Reclamation,Other Reclamation,Reclamation project (unit unassigned),medium,Add or refine an authoritative project crosswalk rule.
CVY_27E36C82,J DRAINS,,,US Bureau of Reclamation,Other Reclamation,Reclamation project (unit unassigned),medium,Add or refine an authoritative project crosswalk rule.
CVY_2E0ABB8C,COW CREEK MAIN AQUEDUCT,,,US Bureau of Reclamation,Other Reclamation,Reclamation project (unit unassigned),medium,Add or refine an authoritative project crosswalk rule.
CVY_2F315C17,MALONE EAST LATERAL,,,US Bureau of Reclamation,Other Reclamation,Reclamation project (unit unassigned),medium,Add or refine an authoritative project crosswalk rule.
CVY_33926656,PUMPING PLANT D TUNNEL,,,US Bureau of Reclamation,Other Reclamation,Reclamation project (unit unassigned),medium,Add or refine an authoritative project crosswalk rule.
CVY_3F7F9E0C,GRAVELLY FORD CANAL,,,US Bureau of Reclamation,Other Reclamation,Reclamation project (unit unassigned),medium,Add or refine an authoritative project crosswalk rule.
CVY_5B21AB78,CLAYTON CANAL,,,US Bureau of Reclamation,Other Reclamation,Reclamation project (unit unassigned),medium,Add or refine an authoritative project crosswalk rule.
CVY_5C664CD8,Kern River Intertie,,,Federal,Unknown/unassigned,Unassigned,medium,Add or refine an authoritative project crosswalk rule.
CVY_5FF1C922,JAMES BYPASS,,,US Bureau of Reclamation,Other Reclamation,Reclamation project (unit unassigned),medium,Add or refine an authoritative project crosswalk rule.
CVY_68F5D382,SACRAMENTO BYPASS,,,US Bureau of Reclamation,Other Reclamation,Reclamation project (unit unassigned),medium,Add or refine an authoritative project crosswalk rule.
CVY_734E3829,Westley Wasteway,,,Federal,Unknown/unassigned,Unassigned,medium,Add or refine an authoritative project crosswalk rule.
CVY_7ECAE569,EASTSIDE BYPASS,,,US Bureau of Reclamation,Other Reclamation,Reclamation project (unit unassigned),medium,Add or refine an authoritative project crosswalk rule.
