source_id,source_name,source_row,source_feature_name,source_length_mi,facility_id,segment_id,source_action,decision_id,qa_notes
MAJOR_0001,Major Conveyance,1,California Aqueduct,10.761307388480269,,,decision_alternate_suppressed,A62,Apply the approved East Branch rule to the multi-component cluster.
MAJOR_0002,Major Conveyance,2,California Aqueduct,22.695720843316877,,,decision_alternate_suppressed,14,Canal reach; use DeltaMAPP.
MAJOR_0003,Major Conveyance,3,California Aqueduct,17.50875820164614,,,decision_alternate_suppressed,A81,Apply the approved East Branch canal rule.
MAJOR_0004,Major Conveyance,4,California Aqueduct,8.210548601397456,,,decision_alternate_suppressed,A59,Apply the previously approved parent-system/branch rule for canal reaches.
MAJOR_0005,Major Conveyance,5,California Aqueduct,11.212032955045238,,,decision_alternate_suppressed,A72,Apply the approved East Branch canal rule.
MAJOR_0006,Major Conveyance,6,California Aqueduct,8.158092250750451,,,decision_alternate_suppressed,A70,Apply the approved East Branch canal rule.
MAJOR_0007,Major Conveyance,7,California Aqueduct,9.178746538616368,,,decision_alternate_suppressed,A64,Apply the approved East Branch canal rule.
MAJOR_0008,Major Conveyance,8,California Aqueduct,14.400119677642701,CVY_20C08296,CVY_20C08296_S033,used,UNREVIEWED,provisional_source_inclusion
MAJOR_0009,Major Conveyance,9,California Aqueduct,3.8759460735893914,,,exact_duplicate_suppressed,,
MAJOR_0010,Major Conveyance,10,California Aqueduct,44.860272875633626,,,exact_duplicate_suppressed,,
MAJOR_0011,Major Conveyance,11,New Rim Ditch,18.7811888993968,,,exact_duplicate_suppressed,,
MAJOR_0012,Major Conveyance,12,Stine Canal,2.947041817318201,CVY_369196E5,CVY_369196E5_S002,used,UNREVIEWED,provisional_source_inclusion
MAJOR_0013,Major Conveyance,13,East Side Canal,4.811856133137342,,,exact_duplicate_suppressed,,
MAJOR_0014,Major Conveyance,14,California Aqueduct,19.264036177484034,CVY_20C08296,CVY_20C08296_S034,used,UNREVIEWED,provisional_source_inclusion
MAJOR_0015,Major Conveyance,15,Buena Vista Canal,18.604685572035333,,,exact_duplicate_suppressed,,
MAJOR_0016,Major Conveyance,16,Pioneer Canal,7.8017341827146796,,,exact_duplicate_suppressed,,
MAJOR_0017,Major Conveyance,17,Central Branch,14.0931216483585,,,decision_alternate_suppressed,4,Use contextual full name and DeltaMAPP geometry.
MAJOR_0018,Major Conveyance,18,Cross Valley Canal,3.0705103121284734,CVY_52C545BF,CVY_52C545BF_S002,used,UNREVIEWED,provisional_source_inclusion
MAJOR_0019,Major Conveyance,19,East Side Canal,11.480006395705939,,,exact_duplicate_suppressed,,
MAJOR_0020,Major Conveyance,20,Cross Valley Canal,4.351937934039395,,,exact_duplicate_suppressed,,
MAJOR_0021,Major Conveyance,21,Calloway Canal,4.988013974670513,CVY_50986E65,CVY_50986E65_S003,used,UNREVIEWED,provisional_source_inclusion
MAJOR_0022,Major Conveyance,22,Kern Island Canal,18.273104539968212,,,exact_duplicate_suppressed,,
MAJOR_0023,Major Conveyance,23,East Side Canal,2.972955638806787,CVY_1134B8EA,CVY_1134B8EA_S006,used,UNREVIEWED,provisional_source_inclusion
MAJOR_0024,Major Conveyance,24,Kern Island Canal,2.451726172884979,CVY_7AE6FDB7,CVY_7AE6FDB7_S002,used,UNREVIEWED,provisional_source_inclusion
MAJOR_0025,Major Conveyance,25,East Side Canal,19.50322389516117,,,exact_duplicate_suppressed,,
MAJOR_0026,Major Conveyance,26,Calloway Canal,12.584171641089615,,,exact_duplicate_suppressed,,
MAJOR_0027,Major Conveyance,27,California Aqueduct,26.25809009064473,CVY_20C08296,CVY_20C08296_S035,used,UNREVIEWED,provisional_source_inclusion
MAJOR_0028,Major Conveyance,28,East Side Canal,4.861605339642088,CVY_1134B8EA,CVY_1134B8EA_S007,used,UNREVIEWED,provisional_source_inclusion
MAJOR_0029,Major Conveyance,29,,2.0694505317346503,,,decision_alternate_suppressed,A77,DeltaMAPP supplies the only usable facility name and the longer extent.
MAJOR_0030,Major Conveyance,30,West Side Canal,23.860284475898272,CVY_70C74644,CVY_70C74644_S001,used,UNREVIEWED,provisional_source_inclusion
MAJOR_0031,Major Conveyance,31,,1.620149861426298,,,short_unnamed_provisional_omitted,,
MAJOR_0032,Major Conveyance,32,,3.1495091647413798,,,decision_alternate_suppressed,A77,DeltaMAPP supplies the only usable facility name and the longer extent.
MAJOR_0033,Major Conveyance,33,Shafter Wasco Id Lateral,3.0877883361408927,,,decision_alternate_suppressed,A57,"The sources provide only a generic facility name, so preserve that limitation rather than inventing a lateral number."
MAJOR_0034,Major Conveyance,34,Calloway Canal,5.472232122144516,CVY_50986E65,CVY_50986E65_S004,used,UNREVIEWED,provisional_source_inclusion
MAJOR_0035,Major Conveyance,35,,1.8511314705892095,,,decision_alternate_suppressed,A57,"The sources provide only a generic facility name, so preserve that limitation rather than inventing a lateral number."
MAJOR_0036,Major Conveyance,36,Friant-kern Canal,151.76121426125601,,,exact_duplicate_suppressed,,
MAJOR_0037,Major Conveyance,37,East Side Canal,3.8468370631761317,CVY_1134B8EA,CVY_1134B8EA_S008,used,UNREVIEWED,provisional_source_inclusion
MAJOR_0038,Major Conveyance,38,Lerdo Canal,25.045569904499033,,,unresolved_omitted,37,Unresolved; omit from curated pilot pending split.
MAJOR_0039,Major Conveyance,39,Kern River Flood Canal,4.251374314038252,CVY_579C31AB,CVY_579C31AB_S004,used,33,major
MAJOR_0040,Major Conveyance,40,California Aqueduct,4.660366974945477,CVY_20C08296,CVY_20C08296_S036,used,UNREVIEWED,provisional_source_inclusion
MAJOR_0041,Major Conveyance,41,,3.663266706785457,CVY_69CC3D53,CVY_69CC3D53_S001,used,UNREVIEWED,provisional_source_inclusion
MAJOR_0042,Major Conveyance,42,Goose Lake Canal,6.9468297203242955,,,exact_duplicate_suppressed,,
MAJOR_0043,Major Conveyance,43,Calloway Canal,6.955493261399918,,,exact_duplicate_suppressed,,
MAJOR_0044,Major Conveyance,44,??Pipeline??,9.520838458957043,,,decision_alternate_suppressed,A84,The Major label is an obvious placeholder; DeltaMAPP supplies the facility name and fuller reach.
MAJOR_0045,Major Conveyance,45,,8.556639430322662,CVY_2BA4DDCE,CVY_2BA4DDCE_S001,used,UNREVIEWED,provisional_source_inclusion
MAJOR_0046,Major Conveyance,46,Goose Lake Canal,13.987969693668353,,,exact_duplicate_suppressed,,
MAJOR_0047,Major Conveyance,47,California Aqueduct,28.74816632313563,,,exact_duplicate_suppressed,,
MAJOR_0048,Major Conveyance,48,Blakeley Canal,20.00684873248973,,,exact_duplicate_suppressed,,
MAJOR_0049,Major Conveyance,49,Tulare Irrigation Canal,1.8209360396055911,,,exact_duplicate_suppressed,,
MAJOR_0050,Major Conveyance,50,Kaweah Canal,0.9587105446688043,CVY_7EAFBEC0,CVY_7EAFBEC0_S002,used,UNREVIEWED,provisional_source_inclusion
MAJOR_0051,Major Conveyance,51,Tulare Irrigation Dist Canal,2.8510929885345284,,,unresolved_omitted,38,Unresolved; omit from curated pilot pending component decision.
MAJOR_0052,Major Conveyance,52,Tulare Canal,8.869431141430905,,,decision_alternate_suppressed,A60,The district-qualified name avoids the ambiguous generic Main Canal; DeltaMAPP is longer.
MAJOR_0053,Major Conveyance,53,Coalinga Canal,14.590856819381905,CVY_0691119C,CVY_0691119C_S001,used,UNREVIEWED,provisional_source_inclusion
MAJOR_0054,Major Conveyance,54,,0.053267957639485886,,,short_unnamed_provisional_omitted,,
MAJOR_0055,Major Conveyance,55,Wwd Lateral 7,9.137015599966007,,,decision_alternate_suppressed,A21,Expanded district abbreviation; geometry is effectively identical.
MAJOR_0056,Major Conveyance,56,Inlet Canal,2.9141091085615876,,,exact_duplicate_suppressed,,
MAJOR_0057,Major Conveyance,57,Inlet Canal,0.510510730987877,CVY_4D13CE60,CVY_4D13CE60_S002,used,UNREVIEWED,provisional_source_inclusion
