"candidate_id","title","provider","theme","input_batch","desire","strength","custom","ease","link_only_input","likely_panel_input","ui_tier_input","service_type","service_root_url","exact_layer_urls","layer_ids_to_add","layer_names_to_add","root_probe_ok","root_probe_error","root_layer_count","geometry_or_raster_type","spatial_reference","extent","time_enabled","query_supported","geojson_or_pbf_supported","legend_supported","token_required","existing_catalog_match","recommended_implementation_path","recommended_panel","recommended_ui_tier","recommended_label","score","recommended_patch_bucket","mandatory_caveats","performance_notes","source_link_plan","legend_plan","scale_visibility_plan","reject_or_defer_reason"
"NOHRSC_SNOW","NOHRSC snow analysis — snow depth and SWE","NOAA / NWS / NOHRSC","Snow / water supply","Batch 1",4.5,5,4,4.5,"No","Ops Live / Snow","A","MapServer","https://mapservices.weather.noaa.gov/raster/rest/services/snow/NOHRSC_Snow_Analysis/MapServer","https://mapservices.weather.noaa.gov/raster/rest/services/snow/NOHRSC_Snow_Analysis/MapServer/0 ; https://mapservices.weather.noaa.gov/raster/rest/services/snow/NOHRSC_Snow_Analysis/MapServer/3 ; https://mapservices.weather.noaa.gov/raster/rest/services/snow/NOHRSC_Snow_Analysis/MapServer/4 ; https://mapservices.weather.noaa.gov/raster/rest/services/snow/NOHRSC_Snow_Analysis/MapServer/7","0,3,4,7","Snow Depth | Boundary | Footprint | Image | Snow Water Equivalent | Boundary | Footprint | Image","TRUE","",8,"Mosaic Layer; Raster Layer","4269","-130.5167, 24.1, -62.25, 58.2333","FALSE","TRUE","TRUE","TRUE","FALSE","","direct_arcgis","External first; consider Ops/both after QA","A","NOHRSC snow analysis — snow depth and SWE | NOAA / NWS / NOHRSC",25.85,"EL_003_first_low_risk_add_batch","Modeled/gridded snow product; complements but does not replace station observations.","Use current-view/min-zoom or raster export guardrails for first map add.","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Use ArcGIS legend endpoint or provider legend if clearer.","Prefer current-view and/or min-zoom guardrails for first add; avoid full-state heavy loads.",""
"SPC_FIREWX","SPC fire weather outlooks","NOAA / NWS / Storm Prediction Center","Fire / wind / forecast","Batch 1",4.5,5,4,4.5,"No","Fire / Forecasts","A/B","MapServer","https://mapservices.weather.noaa.gov/vector/rest/services/fire_weather/SPC_firewx/MapServer","","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23","Day 1 Fire Weather Outlook | Day 1 Outlook | Day 1 Outlook Dry Thunderstorm | Day 2 Fire Weather Outlook | Day 2 Outlook | Day 2 Outlook Dry Thunderstorm | Day 3 Fire Weather Outlook | Day 3 Dry Thunderstorm | Day 3 Winds and Low Humidity | Day 4 Fire Weather Outlook | Day 4 Dry Thunderstorm | Day 4 Winds and Low Humidity | Day 5 Fire Weather Outlook | Day 5 Dry Thunderstorm | Day 5 Winds and Low Humidity | Day 6 Fire Weather Outlook | Day 6 Dry Thunderstorm | Day 6 Winds and Low Humidity | Day 7 Fire Weather Outlook | Day 7 Dry Thunderstorm | Day 7 Winds and Low Humidity | Day 8 Fire Weather Outlook | Day 8 Dry Thunderstorm | Day 8 Winds and Low Humidity","TRUE","",24,"Group Layer; esriGeometryPolygon","3857","-13868182.163, 2876972.949, -7469537.8322, 6369492.1795 | -13710108.4861, 2876972.949, -7469537.8322, 6369492.1795 | -13868182.163, 3596438.9528, -10412825.1688, 6313466.6872 | -13868182.163, 3563876.4865, -10279241.7799, 6313466.6872 | -13864842.5783, 2878201.3737, -8476979.2239, 6309238.9256 | -13864842.5783, 3660051.777, -10914430.7943, 6309238.9256 | -13686731.393, 2878201.3737, -8476979.2239, 6307162.1271 | -13766881.4264, 2888032.3783, -8476979.2239, 6307162.1271","FALSE","TRUE","TRUE","TRUE","FALSE","","direct_arcgis","External first; consider Ops/both after QA","A/B","SPC fire weather outlooks | NOAA / NWS / Storm Prediction Center",25.85,"EL_003_first_low_risk_add_batch","Forecast/outlook/discussion polygons; not warnings, incidents, or observed conditions.","Service has 24 sublayers; add only selected IDs. Use current-view/min-zoom or raster export guardrails for first map add. Only first 10 layer details probed; inspect remaining layers before patching.","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Use ArcGIS legend endpoint or provider legend if clearer.","Prefer current-view and/or min-zoom guardrails for first add; avoid full-state heavy loads.",""
"CA_GDE_NCCAG","California NCCAG / groundwater-dependent ecosystems / iGDE","California DWR","Groundwater / ecology / springs / wetlands","Batch 1",5,4.5,4,4,"No","Groundwater / Biota / Hydro Screening","A","MapServer","https://gis.water.ca.gov/arcgis/rest/services/Biota/i02_NaturalCommunitiesCommonlyAssociatedWithGroundwater/MapServer","https://gis.water.ca.gov/arcgis/rest/services/Biota/i02_NaturalCommunitiesCommonlyAssociatedWithGroundwater/MapServer/0 ; https://gis.water.ca.gov/arcgis/rest/services/Biota/i02_NaturalCommunitiesCommonlyAssociatedWithGroundwater/MapServer/1","0,1","","FALSE","ArcGIS error 500 Service Biota/i02_NaturalCommunitiesCommonlyAssociatedWithGroundwater/MapServer not started  ",,"Polygon","","","","","","FALSE","FALSE","","direct_arcgis","External","A","California NCCAG / groundwater-dependent ecosystems / iGDE",25.67,"EL_003_first_low_risk_add_batch","Screening/start-point layer only; not a field-verified GDE determination.","Use current-view/min-zoom or raster export guardrails for first map add.","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Likely supports ArcGIS legend; verify visually before adding row-level lgnd.","Prefer current-view and/or min-zoom guardrails for first add; avoid full-state heavy loads.",""
"AML_CA_FEATURES","CA mapped abandoned mine features","California DOC / Division of Mine Reclamation","AML / hazards / water quality","Batch 1",5,4.5,3.5,4,"No","External or Hazards/Water Quality","A","FeatureServer","https://services2.arcgis.com/zr3KAIbsRSUyARHG/ArcGIS/rest/services/Mapped_Abandoned_Mine_Features/FeatureServer","https://services2.arcgis.com/zr3KAIbsRSUyARHG/ArcGIS/rest/services/Mapped_Abandoned_Mine_Features/FeatureServer/0","0","MappedAbandonedMineFeaturesWGS84","TRUE","",1,"esriGeometryPoint","4326","-124.3705, 32.542, -114.1526, 42.0056","FALSE","TRUE","TRUE","FALSE","FALSE","","direct_arcgis","External","A","CA mapped abandoned mine features | California DOC / Division of Mine Reclamation",25.12,"EL_003_first_low_risk_add_batch","Locations may be generalized/obfuscated and incomplete; screening only, not a site-specific inventory.","","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Likely supports ArcGIS legend; verify visually before adding row-level lgnd.","Likely OK as current-view or full load after response-size check.",""
"SPC_MESO_DISC","SPC mesoscale discussions","NOAA / NWS / Storm Prediction Center","Active weather / severe / fire-wind / winter","Batch 1",4,4.5,4,4.5,"Maybe","Forecasts / Active Weather","A/B","MapServer","https://mapservices.weather.noaa.gov/vector/rest/services/outlooks/spc_mesoscale_discussion/MapServer","","0","SPC Mesoscale Discussion","TRUE","",1,"esriGeometryPolygon","4326","-126, 0, -66.1, 50.16","FALSE","TRUE","TRUE","TRUE","FALSE","","direct_arcgis","External first; consider Ops/both after QA","A/B","SPC mesoscale discussions | NOAA / NWS / Storm Prediction Center",24.22,"EL_003_first_low_risk_add_batch","Forecast/outlook/discussion polygons; not warnings, incidents, or observed conditions.","Use current-view/min-zoom or raster export guardrails for first map add.","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Use ArcGIS legend endpoint or provider legend if clearer.","Prefer current-view and/or min-zoom guardrails for first add; avoid full-state heavy loads.",""
"HIGHWAYS_NHS","Major highways / National Highway System","Caltrans","ROW / access / infrastructure","Batch 1",4,4.5,4,4,"No","ROW / Access / Infrastructure","A/B","FeatureServer","https://caltrans-gis.dot.ca.gov/arcgis/rest/services/CHhighway/National_Highway_System/FeatureServer","","0","NHS","TRUE","",1,"esriGeometryPolyline","3857","-13828647.0809, 3834973.342, -12744726.7914, 5161799.8976","FALSE","TRUE","TRUE","TRUE","FALSE","","direct_arcgis","External","A/B","Major highways / National Highway System | Caltrans",23.67,"EL_003_first_low_risk_add_batch","","","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Use ArcGIS legend endpoint or provider legend if clearer.","Prefer current-view and/or min-zoom guardrails for first add; avoid full-state heavy loads.",""
"BLM_RECREATION","BLM CA recreation sites / recreation areas / OHV","BLM California","Recreation / access / water-use impacts","Batch 1",3.5,4.5,4,4.5,"No","BLM / Recreation / Access","B/C","FeatureServer","https://gis.blm.gov/caarcgis/rest/services/Recreation/BLM_CA_RECS/FeatureServer","https://gis.blm.gov/caarcgis/rest/services/Recreation/BLM_CA_RECS/FeatureServer/0 ; https://gis.blm.gov/caarcgis/rest/services/Recreation/BLM_CA_RECS/FeatureServer/1","0,1","BLM CA Recreation Points | BLM CA Recreation Polygons","TRUE","",2,"esriGeometryPoint; esriGeometryPolygon","3310","-370191.891, -576883.8236, 522696.6724, 445136.5077 | -267421.2756, -591399.2446, 531772.8666, 316403.3218","FALSE","TRUE","TRUE","FALSE","FALSE","","direct_arcgis","External","B/C","BLM CA recreation sites / recreation areas / OHV | BLM California",23.22,"EL_003_first_low_risk_add_batch","","Use current-view/min-zoom or raster export guardrails for first map add.","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Likely supports ArcGIS legend; verify visually before adding row-level lgnd.","Prefer current-view and/or min-zoom guardrails for first add; avoid full-state heavy loads.",""
"BETTER_WIND_OBS","Better wind — NOAA surface observations / MADIS wind barbs","NOAA / NWS / MADIS","Wind observations","Batch 1",4,4,3.5,4,"No","Obs / Wind","A","MapServer","https://mapservices.weather.noaa.gov/vector/rest/services/obs/surface_obs/MapServer","","","","TRUE","",21,"Point/barbs","4326","-129.7481, 7.5746, -62.2946, 64.2612","","TRUE","TRUE","TRUE","FALSE","","direct_arcgis","External","A","Better wind — NOAA surface observations / MADIS wind barbs",22.5,"EL_003_or_EL_004_after_review","","Service has 21 sublayers; add only selected IDs.","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Use ArcGIS legend endpoint or provider legend if clearer.","Likely OK as current-view or full load after response-size check.",""
"IMPAIRED_WATERS","303(d) / 305(b) impaired waters / TMDL context","California State Water Resources Control Board","Water quality","Batch 1",5,4.5,4,4,"No","Water Quality","A","MapServer","https://gispublic.waterboards.ca.gov/arcgis/rest/services/Water_Quality/Impaired_waters/MapServer","","","","TRUE","",,"Mixed point/line/polygon or line/polygon","","","","","","TRUE","FALSE","SWRCB Impaired Waters / Integrated Report [Water quality / impaired waters]","audit_existing_catalog_row","keep existing panel; audit External/Ops duplication","A","303(d) / 305(b) impaired waters / TMDL context",24.17,"EL_004_existing_row_upgrades","Verify current Integrated Report/listing cycle and layer currency before relying on status.","Use current-view/min-zoom or raster export guardrails for first map add.","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Use ArcGIS legend endpoint or provider legend if clearer.","Prefer current-view and/or min-zoom guardrails for first add; avoid full-state heavy loads.",""
"NWM_SOIL_MOISTURE","NOAA National Water Model Land Analysis near-surface soil moisture saturation","NOAA / NWS / Office of Water Prediction","Soil moisture / current wetness","Batch 1",4,4.5,3.5,5,"No","Ops Live / Soil Moisture","A/B","MapServer","https://mapservices.weather.noaa.gov/raster/rest/services/obs/NWM_Land_Analysis/MapServer","https://mapservices.weather.noaa.gov/raster/rest/services/obs/NWM_Land_Analysis/MapServer/0 ; https://mapservices.weather.noaa.gov/raster/rest/services/obs/NWM_Land_Analysis/MapServer/3","0,3","CONUS Near-Surface Soil Moisture (% saturation)  | Boundary | Footprint | Image | Hawaii Near-Surface Soil Moisture (% saturation) | Boundary | Footprint | Image | Puerto Rico Near-Surface Soil Moisture (% saturation)  | Boundary | Footprint | Image | Alaska Near-Surface Soil Moisture (% saturation) | Boundary | Footprint | Image","TRUE","",16,"Mosaic Layer; Raster Layer","3857","-17848000, 1991000, -6734000, 9416000","FALSE","TRUE","TRUE","TRUE","FALSE","NWM Streamflow Analysis (cfs) [Streamflow / modeled flow]","audit_existing_catalog_row","keep existing panel; audit External/Ops duplication","A/B","NOAA National Water Model Land Analysis near-surface soil moisture saturation | NOAA / NWS / Office of Water Prediction",22.73,"EL_004_existing_row_upgrades","Current/model wetness or saturation context; not a station observation or percentile/anomaly unless explicitly documented.","Service has 16 sublayers; add only selected IDs. Use current-view/min-zoom or raster export guardrails for first map add.","Use provider landing/product page for user-facing srce; retain REST endpoint in audit metadata.","Use ArcGIS legend endpoint or provider legend if clearer.","Prefer current-view and/or min-zoom guardrails for first add; avoid full-state heavy loads.",""
