"column","class","non_null","example_1","example_2"
"OBJECTID","integer",22000,"3","6"
"stationid","character",22000,"03807","04707"
"stationurl","character",20287,"https://alert.fcd.maricopa.gov/alert/Flow/3807.htm","https://alert.fcd.maricopa.gov/alert/Flow/4707.htm"
"stageurl","character",20731,"https://dd.weather.gc.ca/today/hydrometric/csv/NB/hourly/NB_01AD003_hourly_hydrometric.csv","https://dd.weather.gc.ca/today/hydrometric/csv/NB/hourly/NB_01AF002_hourly_hydrometric.csv"
"flowurl","character",21342,"https://dd.weather.gc.ca/today/hydrometric/csv/NB/hourly/NB_01AD003_hourly_hydrometric.csv","https://dd.weather.gc.ca/today/hydrometric/csv/NB/hourly/NB_01AF002_hourly_hydrometric.csv"
"graphurl","character",17296,"https://alert.fcd.maricopa.gov/php/getplotimage3.php?pointNumid=03807&displayPeriod=7d","https://alert.fcd.maricopa.gov/php/getplotimage3.php?pointNumid=04707&displayPeriod=7d"
"org","character",22000,"Maricopa County","Meteorological Service of Canada"
"stage_ft","numeric",20962,"0.45","0.2"
"flow_cfs","numeric",22000,"0","0.03"
"status","character",5504,"No Flooding","Low Flow"
"lastupdate","numeric",22000,"1781722800000","1.781712e+12"
"name","character",22000,"Grand Ave. @ 27th Ave.","Old Crosscut Canal @ McDowell Rd"
"governing_location","character",22000,"AZ, USA","NB, Canada"
"lastupdate_age","integer",21922,"0","3"
"statusClass","integer",22000,"-1","1"
"status_full","character",1799,"No Flooding","Minor Flood"
"status_24h","character",1799,"No Flooding","Minor Flood"
"status_48h","character",1748,"No Flooding","Minor Flood"
"status_72h","character",1432,"No Flooding","Minor Flood"
