"relative_path","parse_ok","parse_error"
"00_config/config_labels.r",TRUE,""
"00_config/config_local_layer_registry.r",TRUE,""
"00_config/config_map_display.r",TRUE,""
"00_config/config_paths.r",TRUE,""
"00_config/config_run_flags.r",TRUE,""
"00_config/config_source_files.r",TRUE,""
"02_preprocess/01_blm_managed_and_held.r",TRUE,""
"02_preprocess/02_huc_gw_county_pct_blm.r",TRUE,""
"02_preprocess/03_cnrfc_stream_gages.r",TRUE,""
"02_preprocess/04_cnrfc_precip_gages.r",TRUE,""
"02_preprocess/05_usgs_streamgages_wells.r",TRUE,""
"02_preprocess/06_blm_offices.r",TRUE,""
"02_preprocess/07_project_areas_placeholder.r",TRUE,""
"02_preprocess/08_cnrfc_basins.r",TRUE,""
"02_preprocess/09_field_office_outer.r",TRUE,""
"02_preprocess/10_calsim3_arcs.r",TRUE,""
"02_preprocess/11_reference_layers_batch.r",TRUE,""
"02_preprocess/12_major_conveyance.r",TRUE,""
"02_preprocess/13_huc_climate_recharge_summary.r",TRUE,""
"02_preprocess/14_huc4_huc2_from_huc6_climate_rollup.r",TRUE,""
"02_preprocess/15_usgs_gw_latest_water_levels.r",TRUE,""
"02_preprocess/15b_rescue_missing_gw_wl_batches.r",TRUE,""
"02_preprocess/16_swrcb_waterrights_pod.r",TRUE,""
"02_preprocess/17_springs.r",TRUE,""
"02_preprocess/18_blm_groundwater_well_inventory.r",TRUE,""
"02_preprocess/18_snow_soil_climate_stations.r",TRUE,""
"02_preprocess/18b_snow_soil_climate_recent_obs.r",TRUE,""
"02_preprocess/19_new_static_reference_layers.r",TRUE,""
"02_preprocess/20_build_external_service_catalog.r",TRUE,""
"02_preprocess/21_build_pt2_external_overlay_field_curation_qa_sheet.r",TRUE,""
"02_preprocess/22_promote_pt2_external_overlay_catalog_approved_rows.r",TRUE,""
"02_preprocess/23_repair_pt2_external_overlay_catalog_bad_urls.r",TRUE,""
"02_preprocess/24_inventory_pt2_external_overlay_mapserver_sublayers.r",TRUE,""
"02_preprocess/25_normalize_pt2_external_overlay_catalog_agencies.r",TRUE,""
"02_preprocess/26_review_pt2_external_overlay_fields_helpers.r",TRUE,""
"02_preprocess/27_rwqcb_regions.r",TRUE,""
"02_preprocess/28_reservoir_station_index.r",TRUE,""
"02_preprocess/29_export_usgs_streamflow_live_inputs.R",TRUE,""
"02_preprocess/30_export_usgs_groundwater_live_inputs.R",TRUE,""
"02_preprocess/31_build_usgs_groundwater_history_summary.r",TRUE,""
"02_preprocess/32_audit_usgs_groundwater_static_live_architecture.r",TRUE,""
"02_preprocess/33_export_scan_live_inputs.r",TRUE,""
"02_preprocess/34_build_scan_history_summary.r",TRUE,""
"02_preprocess/35_export_scan_monthly_context_for_ops_live.r",TRUE,""
"02_preprocess/36_publish_scan_context_to_docs_data.r",TRUE,""
"02_preprocess/37_update_scan_ops_live_historical_context.r",TRUE,""
"02_preprocess/38_export_scan_prior_wy_fallback_for_ops_live.r",TRUE,""
"02_preprocess/38_export_snow_pillow_live_inputs.r",TRUE,""
"02_preprocess/39_build_snow_pillow_history_context.r",TRUE,""
"02_preprocess/40_audit_snow_pillow_om_readiness.R",TRUE,""
"02_preprocess/41_snow_pillow_water_year_rollover_update.R",TRUE,""
"02_preprocess/42_audit_random_external_layer_candidates.R",TRUE,""
"02_preprocess/43_build_external_catalog_organization_tree.R",TRUE,""
"02_preprocess/44_assign_external_catalog_ids.R",TRUE,""
"02_preprocess/45_print_external_catalog_reorg_sheet.R",TRUE,""
"02_preprocess/46_apply_external_group_theme_reorg.R",TRUE,""
"02_preprocess/47_tune_spc_forecast_hover_popups.R",TRUE,""
"02_preprocess/48_update_usgs_gw_blm_distance_fields.R",TRUE,""
"02_preprocess/49_update_usgs_streamflow_blm_distance_fields.R",TRUE,""
"02_preprocess/50_build_delta_ops_x2_lookup.R",TRUE,""
"02_preprocess/51_build_cnrfc_feature_inventory.R",TRUE,""
"02_preprocess/52_build_cnrfc_basin_product_availability.R",TRUE,""
"02_preprocess/53_build_cnrfc_forecast_point_product_availability.R",TRUE,""
"02_preprocess/54_build_cnrfc_precip_weather_link_availability.R",TRUE,""
"02_preprocess/55_build_cnrfc_precip_weather_precip_timeseries_availability.R",TRUE,""
"02_preprocess/56_audit_cnrfc_river_reservoir_local_vs_ops.R",TRUE,""
"02_preprocess/57_audit_cnrfc_river_reservoir_coordinate_alignment.R",TRUE,""
"02_preprocess/58_audit_usgs_streamgage_catalog_vs_ops.R",TRUE,""
"02_preprocess/59_update_cnrfc_local_blm_distance_fields.R",TRUE,""
"02_preprocess/60_update_usgs_gw_local_blm_distance_fields.R",TRUE,""
"02_preprocess/61_update_swrcb_pod_blm_distance_fields.R",TRUE,""
"02_preprocess/62_update_springs_blm_distance_fields.R",TRUE,""
"02_preprocess/63_update_blm_gw_well_inventory_blm_distance_fields.R",TRUE,""
"02_preprocess/64_audit_external_layer_load_behavior.R",TRUE,""
"02_preprocess/65_archive_old_qa_outputs.R",TRUE,""
"02_preprocess/66_build_conveyance_pipeline.R",TRUE,""
"02_preprocess/66_conveyance_pipeline/R/00_setup.R",TRUE,""
"02_preprocess/66_conveyance_pipeline/R/01_ingest_and_build_geometry.R",TRUE,""
"02_preprocess/66_conveyance_pipeline/R/02_build_facilities_and_projects.R",TRUE,""
"02_preprocess/66_conveyance_pipeline/R/02b_calculate_blm_spatial_attribution.R",TRUE,""
"02_preprocess/66_conveyance_pipeline/R/03_build_labels_and_qa.R",TRUE,""
"02_preprocess/66_conveyance_pipeline/R/04_write_canonical_outputs.R",TRUE,""
"02_preprocess/66_conveyance_pipeline/R/05_build_public_pilot_html.R",TRUE,""
"02_preprocess/66_conveyance_pipeline/R/06_write_build_summary.R",TRUE,""
"02_preprocess/66_conveyance_pipeline/tools/90_package_conveyance_handoff.R",TRUE,""
"02_preprocess/66_conveyance_pipeline/tools/preview_blm_spatial_attribution.R",TRUE,""
"02_preprocess/zz_probe_cnrfc_onehourP_endpoint.R",TRUE,""
"03_functions/cache_helpers.r",TRUE,""
"03_functions/label_helpers.r",TRUE,""
"03_functions/leaflet_core_helpers.r",TRUE,""
"03_functions/leaflet_huc_theme_helpers.r",TRUE,""
"03_functions/leaflet_label_helpers.r",TRUE,""
"03_functions/leaflet_layer_helpers.r",TRUE,""
"03_functions/leaflet_layer_local_cnrfc_helpers.r",TRUE,""
"03_functions/leaflet_layer_local_core_helpers.r",TRUE,""
"03_functions/leaflet_layer_local_polygon_helpers.r",TRUE,""
"03_functions/leaflet_layer_local_reference_helpers.r",TRUE,""
"03_functions/leaflet_layer_local_swrcb_helpers.r",TRUE,""
"03_functions/leaflet_layer_local_usgs_helpers.r",TRUE,""
"03_functions/leaflet_layer_local_well_spring_helpers.r",TRUE,""
"03_functions/leaflet_loading_helpers.r",TRUE,""
"03_functions/leaflet_local_upload_helpers.r",TRUE,""
"03_functions/leaflet_ops_live_arcgis_export_helpers.r",TRUE,""
"03_functions/leaflet_ops_live_cnrfc_forecast_points_helpers.r",TRUE,""
"03_functions/leaflet_ops_live_cnrfc_precip_weather_helpers.r",TRUE,""
"03_functions/leaflet_ops_live_cocorahs_helpers.r",TRUE,""
"03_functions/leaflet_ops_live_delta_ops_helpers.r",TRUE,""
"03_functions/leaflet_ops_live_helpers.r",TRUE,""
"03_functions/leaflet_ops_live_hrrr_wind_helpers.r",TRUE,""
"03_functions/leaflet_ops_live_layer_definition_helpers.r",TRUE,""
"03_functions/leaflet_ops_live_legend_helpers.r",TRUE,""
"03_functions/leaflet_ops_live_nbm_wind_helpers.r",TRUE,""
"03_functions/leaflet_ops_live_observed_wind_helpers.r",TRUE,""
"03_functions/leaflet_ops_live_panel_helpers.r",TRUE,""
"03_functions/leaflet_ops_live_reservoir_helpers.r",TRUE,""
"03_functions/leaflet_ops_live_scan_helpers.r",TRUE,""
"03_functions/leaflet_ops_live_service_helpers.r",TRUE,""
"03_functions/leaflet_ops_live_shared_helpers.r",TRUE,""
"03_functions/leaflet_ops_live_snow_pillow_helpers.r",TRUE,""
"03_functions/leaflet_ops_live_usgs_groundwater_helpers.r",TRUE,""
"03_functions/leaflet_ops_live_usgs_streamflow_helpers.r",TRUE,""
"03_functions/leaflet_ops_live_weather_hazards_helpers.r",TRUE,""
"03_functions/leaflet_ops_live_wind_helpers.r",TRUE,""
"03_functions/leaflet_ops_live_wpc_qpf_hover_helpers.r",TRUE,""
"03_functions/leaflet_tools_adddata_helpers.r",TRUE,""
"03_functions/popup_helpers.r",TRUE,""
"03_functions/spatial_helpers.r",TRUE,""
"05_map_build/00_preview_cnrfc_points.r",TRUE,""
"05_map_build/01_preview_blm_huc_gw_county.r",TRUE,""
"05_map_build/02_build_core_map_cache.r",TRUE,""
"05_map_build/02_cache_blocks/01_prepare_core_polygons.r",TRUE,""
"05_map_build/02_cache_blocks/02_cache_huc_climate_theme.r",TRUE,""
"05_map_build/02_cache_blocks/03_cache_stream_usgs_points.r",TRUE,""
"05_map_build/02_cache_blocks/04_cache_admin_water_reference_layers.r",TRUE,""
"05_map_build/02_cache_blocks/05_cache_final_point_tweaks.r",TRUE,""
"05_map_build/03_preview_core_cache_map.r",TRUE,""
"05_map_build/04_build_portatreasure2_core_map.r",TRUE,""
"05_map_build/05_build_label_cache.r",TRUE,""
"05_map_build/dev_sandbox/build_scan_live_popup_sandbox.r",TRUE,""
"05_map_build/dev_sandbox/build_snow_pillow_live_popup_sandbox.r",TRUE,""
"05_map_build/dev_sandbox/check_delta_ops_x2_safety.R",TRUE,""
"05_map_build/dev_sandbox/delta_ops_sandbox/scripts/build_delta_ops_daily_summary_sandbox.R",TRUE,""
"05_map_build/dev_sandbox/delta_ops_sandbox/scripts/preview_delta_ops_snapshot_v10.R",TRUE,""
"05_map_build/dev_sandbox/delta_ops_sandbox/scripts/preview_delta_ops_snapshot_v2.R",TRUE,""
"05_map_build/dev_sandbox/delta_ops_sandbox/scripts/preview_delta_ops_snapshot_v4.R",TRUE,""
"05_map_build/dev_sandbox/delta_ops_sandbox/scripts/preview_delta_ops_snapshot_v5.R",TRUE,""
"05_map_build/dev_sandbox/delta_ops_sandbox/scripts/preview_delta_ops_snapshot_v6.R",TRUE,""
"05_map_build/dev_sandbox/delta_ops_sandbox/scripts/preview_delta_ops_snapshot_v7.R",TRUE,""
"05_map_build/dev_sandbox/delta_ops_sandbox/scripts/preview_delta_ops_snapshot_v8.R",TRUE,""
"05_map_build/dev_sandbox/delta_ops_sandbox/scripts/preview_delta_ops_snapshot_v9.R",TRUE,""
"05_map_build/dev_sandbox/install_delta_ops_promote_patch.R",TRUE,""
"05_map_build/dev_sandbox/install_delta_ops_view_percent_patch.R",TRUE,""
"05_map_build/dev_sandbox/RO_001_ops_live_panel_ui_sandbox.R",TRUE,""
"cdec_sensor3_vs82_audit.R",TRUE,""
"futurelayerstoadd/build_snow_soil_climate_stations_webmap.r",TRUE,""
"futurelayerstoadd/deltamapr_dataexporter.r",TRUE,""
"futurelayerstoadd/operational_qpe_qpf_layer_test_v7.R",TRUE,""
"futurelayerstoadd/operational_qpe_qpf_layer_v6.r",TRUE,""
"futurelayerstoadd/pilot_operational_hydro_leaflet_v5.R",TRUE,""
"qa/qa_calsim3_network_audit.r",TRUE,""
"qa/qa_cnrfc_active_forecast_point_audit.r",TRUE,""
"qa/qa_cnrfc_active_forecast_source_diagnostic.r",TRUE,""
"qa/qa_cnrfc_active_forecast_xml_parse_audit.r",TRUE,""
"qa/qa_cnrfc_basin_product_availability_audit.r",TRUE,""
"qa/qa_cnrfc_product_intelligence_audit.r",TRUE,""
"qa/qa_cnrfc_water_resources_update_diagnostic.r",TRUE,""
"qa/qa_cnrfc_water_resources_update_kml_audit.r",TRUE,""
"qa/qa_cnrfc_weather_gov_wrh_audit.r",TRUE,""
"qa/qa_local_layer_cache_check.r",TRUE,""
"qa/qa_local_layer_payload_size_check.r",TRUE,""
"run_build_map.r",TRUE,""
"SWE020a_cdec_sensor82_all_cdec_source_choice_audit.R",TRUE,""
