"layer_id","category_key","label","source_values","fill_color","stroke_color","fill_opacity","stroke_weight","dash_array","legend_swatch_style","sort_order","include_when_absent","provisional"
"national_scenic_historic_trails","nlcs000280","California Historic Trail","NLCS000280","transparent","#8C510A",0,2.4,"","line",1,TRUE,TRUE
"national_scenic_historic_trails","nlcs000281","Pony Express Trail","NLCS000281","transparent","#C51B7D",0,2.4,"","line",2,TRUE,TRUE
"national_scenic_historic_trails","nlcs000282","Old Spanish Trail","NLCS000282","transparent","#6A3D9A",0,2.4,"","line",3,TRUE,TRUE
"national_scenic_historic_trails","nlcs000283","Juan Bautista de Anza Trail","NLCS000283","transparent","#006D77",0,2.4,"","line",4,TRUE,TRUE
"national_scenic_historic_trails","nlcs000284","Pacific Crest Trail","NLCS000284","transparent","#2166AC",0,2.4,"","line",5,TRUE,TRUE
"national_scenic_historic_trails","nlcs000285","Butterfield Overland National Historic Trail","NLCS000285","transparent","#B54800",0,2.4,"","line",6,TRUE,TRUE
"national_scenic_historic_trails","unknown","Unknown trail identity","","transparent","#6B6B6B",0,2.1,"","line",7,TRUE,TRUE
"national_monuments","blm","Bureau of Land Management","BLM|6","#C69A3C","#916100",0.2,1.5,"","polygon",1,TRUE,TRUE
"national_monuments","usfs","U.S. Forest Service","USFS|US FOREST SERVICE|8","#72A57B","#2F6B3A",0.2,1.5,"","polygon",2,TRUE,TRUE
"national_monuments","nps","National Park Service","NPS|5","#C78467","#9C4A2F",0.2,1.5,"","polygon",3,TRUE,TRUE
"national_monuments","fws","U.S. Fish & Wildlife Service","FWS|USFWS|4","#5A9FA4","#006D77",0.2,1.5,"","polygon",4,TRUE,TRUE
"national_monuments","other_federal","Other federal","OTHER FEDERAL","#8998A6","#4F6478",0.18,1.4,"","polygon",5,TRUE,TRUE
"national_monuments","shared_multi","Shared / multi-agency","SHARED|MULTI|MULTI-AGENCY","#A58CBD","#6F4C8E",0.18,1.7,"6,3","dashed_polygon",6,TRUE,TRUE
"national_monuments","unknown","Unknown / unverified","","#B0B0B0","#6B6B6B",0.14,1.4,"2,3","dotted_polygon",7,TRUE,TRUE
"ca_desert_ncl","context","Context boundary","CONTEXT","#D8D4C8","#6B6963",0.04,1.2,"","polygon",1,TRUE,TRUE
"ca_desert_ncl","unknown","Unknown / not stated","","#B0B0B0","#6B6B6B",0.03,1.2,"2,3","dotted_polygon",2,TRUE,TRUE
"wilderness_study_areas","suitable","Recommended suitable","SUITABLE","#6EA990","#287461",0.22,1.5,"","polygon",1,TRUE,TRUE
"wilderness_study_areas","non_suitable","Recommended non-suitable","NON-SUITABLE|NON SUITABLE","#D58A70","#A14E38",0.2,1.5,"","polygon",2,TRUE,TRUE
"wilderness_study_areas","no_recommendation","No recommendation","NO RECOMMENDATION","#88A8BA","#4C708A",0.2,1.5,"","polygon",3,TRUE,TRUE
"wilderness_study_areas","unknown","Not stated","","#B0B0B0","#6B6B6B",0.14,1.4,"2,3","dotted_polygon",4,TRUE,TRUE
"federal_wilderness","blm","Bureau of Land Management","BLM|6","#C69A3C","#916100",0.2,1.5,"","polygon",1,TRUE,TRUE
"federal_wilderness","usfs","U.S. Forest Service","USFS|US FOREST SERVICE|8","#72A57B","#2F6B3A",0.2,1.5,"","polygon",2,TRUE,TRUE
"federal_wilderness","nps","National Park Service","NPS|5","#C78467","#9C4A2F",0.2,1.5,"","polygon",3,TRUE,TRUE
"federal_wilderness","fws","U.S. Fish & Wildlife Service","FWS|USFWS|4","#5A9FA4","#006D77",0.2,1.5,"","polygon",4,TRUE,TRUE
"federal_wilderness","other_federal","Other federal","OTHER FEDERAL","#8998A6","#4F6478",0.18,1.4,"","polygon",5,TRUE,TRUE
"federal_wilderness","shared_multi","Shared / multi-agency","SHARED|MULTI|MULTI-AGENCY","#A58CBD","#6F4C8E",0.18,1.7,"6,3","dashed_polygon",6,TRUE,TRUE
"federal_wilderness","unknown","Unknown / unverified","","#B0B0B0","#6B6B6B",0.14,1.4,"2,3","dotted_polygon",7,TRUE,TRUE
"drecp","context","Context boundary","CONTEXT","#D8D0BE","#756F63",0.04,1.2,"","polygon",1,TRUE,TRUE
"drecp","unknown","Unknown / not stated","","#B0B0B0","#6B6B6B",0.03,1.2,"2,3","dotted_polygon",2,TRUE,TRUE
"acec","context","Context boundary","CONTEXT","#D8D0BE","#756F63",0.04,1.2,"","polygon",1,TRUE,TRUE
"acec","unknown","Unknown / not stated","","#B0B0B0","#6B6B6B",0.03,1.2,"2,3","dotted_polygon",2,TRUE,TRUE
