"field_name","storage_type","required"
"layer_id","character",TRUE
"semantic_feature_key","character",TRUE
"geometry_key","character",FALSE
"designation_authority","character",FALSE
"administering_agency","character",FALSE
"local_managing_agency","character",FALSE
"co_managing_agencies","character",FALSE
"blm_role","character",FALSE
"blm_role_summary","character",FALSE
"blm_office","character",FALSE
"blm_office_url","character",FALSE
"management_role_source","character",FALSE
"management_role_source_url","character",FALSE
"management_role_verified_on","date",FALSE
"management_role_confidence","controlled_character",TRUE
"provenance_class","controlled_character",TRUE
"limitations","character",FALSE
