"metric","value","note"
"source_records",63,"authoritative local snapshot"
"semantic_features",63,"distinct stable feature keys"
"geometry_components",104,"polygon components after source geometry cast"
"retained_source_fields",13,"focused Phase 1 aliases only"
"retained_attribute_object_bytes",29224,"in-memory R estimate, not HTML transfer size"
"popup_html_bytes",164791,"structured WSA popup strings"
"popup_html_mean_bytes",2616,"mean structured popup size across 63 records"
"popup_html_max_bytes",3341,"largest current popup: Buffalo Hills Wilderness Study Area"
"hover_text_bytes",5686,"source-backed hover strings"
"controller_payload_json_bytes",42549,"records, semantic-feature search/bounds catalog, category definitions, count and zoom contracts"
"filter_engine_js_bytes",15123,"shared once per map"
"controller_js_bytes",29810,"shared once per map"
"total_interaction_material_bytes_uncompressed_estimate",257959,"does not subtract prior generic WSA popup bytes"
