"seed_order","seed_reference_name","seed_status"
1,"Bear Canyon","matched_exact_alias"
2,"Bear Mountain","matched_exact_alias"
3,"Beauty Mountain","matched_exact_alias"
4,"Big Butte","matched_exact_alias"
5,"Bitterbrush ISA","matched_exact_alias"
6,"Black Mountain","matched_exact_alias"
7,"Bodie","matched_exact_alias"
8,"Bodie Mountain","matched_exact_alias"
9,"Brushy Mountain / English Ridge Subunit","seed_only"
10,"Buffalo Hills","matched_exact_alias"
11,"Caliente Mountain","matched_exact_alias"
12,"Carrizo Gorge","matched_exact_alias"
13,"Carson Iceberg","seed_only"
14,"Casa Diablo","matched_exact_alias"
15,"Cerro Gordo","matched_exact_alias"
16,"Chidago Canyon","matched_exact_alias"
17,"Crater Mountain","matched_exact_alias"
18,"Dry Valley Rim","matched_exact_alias"
19,"Eden Valley","matched_exact_alias"
20,"Excelsior","matched_exact_alias"
21,"Fish Slough","matched_exact_alias"
22,"Five Springs","matched_exact_alias"
23,"Garcia Mountain","matched_exact_alias"
24,"Hauser Mountain","matched_exact_alias"
25,"Independence Creek","matched_exact_alias"
26,"Lava","matched_exact_alias"
27,"Machesna","matched_exact_alias"
28,"Merced River","matched_exact_alias"
29,"Milk Ranch/Case Mountain","matched_exact_alias"
30,"Moses","matched_exact_alias"
31,"Mount Biedeman","matched_exact_alias"
32,"Owens Peak","matched_exact_alias"
33,"Panoche Hills North","matched_exact_alias"
34,"Panoche Hills South","matched_exact_alias"
35,"Pit River Canyon","matched_exact_alias"
36,"Piute Cypress ISA","matched_exact_alias"
37,"Red Mountain","matched_exact_alias"
38,"Rockhouse (a)","matched_exact_alias"
39,"Rocky Creek/Cache Creek","matched_exact_alias"
40,"Sacatar Meadows","matched_exact_alias"
41,"San Benito Mountain ISA","unmatched_manual_review"
42,"San Felipe Hills","matched_exact_alias"
43,"San Ysidro Mountain","matched_exact_alias"
44,"Sawtooth Mountains A","matched_exact_alias"
45,"Sawtooth Mountains C","matched_exact_alias"
46,"Scodie","matched_exact_alias"
47,"Sheep Ridge","matched_exact_alias"
48,"Skedaddle","matched_exact_alias"
49,"Slinkard","matched_exact_alias"
50,"South Warner Contiguous","matched_exact_alias"
51,"Southern Inyo","matched_exact_alias"
52,"Symmes Creek","matched_exact_alias"
53,"Table Mountain","matched_exact_alias"
54,"Thatcher Ridge","matched_exact_alias"
55,"Timbered Crater & Baker Cypress ISA","matched_exact_alias"
56,"Trinity Alps Subunit","unmatched_manual_review"
57,"Tule Mountain","matched_exact_alias"
58,"Tunnison Mountain","matched_exact_alias"
59,"Twin Peaks","matched_exact_alias"
60,"Volcanic Tablelands","matched_exact_alias"
61,"White Mountains","matched_exact_alias"
62,"Yolla Bolly Contiguous","matched_exact_alias"
63,"Massacre Rim","matched_exact_alias"
