"source_name","stable_feature_key","stable_geometry_key","key_basis","seed_reference_name","join_status","local_managing_agency","blm_role","management_role_confidence","managing_office","official_page_url","curation_verified_date","category_key","geometry_components","raw_source_gis_acres","calculated_geometry_acres","raw_wsa_rcmnd"
"Bitterbrush Wilderness Study Area","wsa:nlcs_id:nlcs000239","wsa:nlcs_id:nlcs000239:geometry:1","NLCS_ID","Bitterbrush ISA","matched_exact_alias","Bureau of Land Management","local_land_manager","verified_layer_family","","","","no_recommendation",1,647.18593401,643.398039800649,"No recommendation"
"San Benito Wilderness Study Area","wsa:nlcs_id:nlcs000240","wsa:nlcs_id:nlcs000240:geometry:1","NLCS_ID","","unmatched_manual_review","Bureau of Land Management","local_land_manager","verified_layer_family","","","","no_recommendation",1,1512.61848725,1500.08181498365,"No recommendation"
"Merced River Wilderness Study Area","wsa:nlcs_id:nlcs000242","wsa:nlcs_id:nlcs000242:geometry:1","NLCS_ID","Merced River","matched_exact_alias","Bureau of Land Management","local_land_manager","verified_layer_family","","","","non_suitable",1,13096.23505823,12938.5743499996,"Non-suitable"
"Yolla Bolly Contiguous Wilderness Study Area","wsa:nlcs_id:nlcs000243","wsa:nlcs_id:nlcs000243:geometry:1","NLCS_ID","Yolla Bolly Contiguous","matched_exact_alias","Bureau of Land Management","local_land_manager","verified_layer_family","","","","non_suitable",1,591.572,592.307437836078,"Non-suitable"
"Black Mountain Wilderness Study Area","wsa:nlcs_id:nlcs000244","wsa:nlcs_id:nlcs000244:geometry:1","NLCS_ID","Black Mountain","matched_exact_alias","Bureau of Land Management","local_land_manager","verified_layer_family","","","","no_recommendation",1,161.2598584,161.233954602179,"No recommendation"
"Scodie Wilderness Study Area","wsa:nlcs_id:nlcs000245","wsa:nlcs_id:nlcs000245:geometry:1","NLCS_ID","Scodie","matched_exact_alias","Bureau of Land Management","local_land_manager","verified_layer_family","","","","no_recommendation",4,370.32976391,344.748923192143,"No recommendation"
"Timbered Crater Wilderness Study Area","wsa:nlcs_id:nlcs000246","wsa:nlcs_id:nlcs000246:geometry:1","NLCS_ID","Timbered Crater & Baker Cypress ISA","matched_exact_alias","Bureau of Land Management","local_land_manager","verified_layer_family","Applegate Field Office","https://www.blm.gov/visit/timbered-crater-wilderness-study-area","2026-07-25","non_suitable",1,18084.6611163,18088.8588560722,"Non-suitable"
"Wall Canyon Wilderness Study Area","wsa:nlcs_id:nlcs000247","wsa:nlcs_id:nlcs000247:geometry:1","NLCS_ID","","source_only","Bureau of Land Management","local_land_manager","verified_layer_family","","","","non_suitable",1,47567.38344656,47408.9158856884,"Non-suitable"
"Twin Peaks Wilderness Study Area","wsa:nlcs_id:nlcs000249","wsa:nlcs_id:nlcs000249:geometry:1","NLCS_ID","Twin Peaks","matched_exact_alias","Bureau of Land Management","local_land_manager","verified_layer_family","Eagle Lake Field Office","https://www.blm.gov/visit/twin-peaks","2026-07-25","no_recommendation",1,92131.33873118,92298.1610420528,"No recommendation"
"Five Springs Wilderness Study Area","wsa:nlcs_id:nlcs000250","wsa:nlcs_id:nlcs000250:geometry:1","NLCS_ID","Five Springs","matched_exact_alias","Bureau of Land Management","local_land_manager","verified_layer_family","Eagle Lake Field Office","https://www.blm.gov/visit/five-springs","2026-07-25","non_suitable",1,50345.20867603,50635.7730618562,"Non-suitable"
"Dry Valley Rim Wilderness Study Area","wsa:nlcs_id:nlcs000251","wsa:nlcs_id:nlcs000251:geometry:1","NLCS_ID","Dry Valley Rim","matched_exact_alias","Bureau of Land Management","local_land_manager","verified_layer_family","Eagle Lake Field Office","https://www.blm.gov/visit/dry-valley-rim","2026-07-25","suitable",1,94530.10534715,95105.0399699195,"Suitable"
"Rocky Creek/Cache Creek Wilderness Study Area","wsa:nlcs_id:nlcs000252","wsa:nlcs_id:nlcs000252:geometry:1","NLCS_ID","Rocky Creek/Cache Creek","matched_exact_alias","Bureau of Land Management","local_land_manager","verified_layer_family","","","","non_suitable",1,6814.73305813,6689.48295354714,"Non-suitable"
