"NLCS_ID","GlobalID","NLCS_NAME","CASEFILE_N","WSA_RCMND","ADMIN_ST","ROD_DATE","WSACODE_ca","FLPMA_SEC_","MODIFY_DAT","GIS_ACRES","SMA_ID","FAU_ID","fixture_geometry_components","fixture_calculated_geometry_acres"
"NLCS000239","{C7BFDBD9-B1D6-4C14-9203-8775ADF36D7C}","Bitterbrush Wilderness Study Area",,"No recommendation","CA",1979-01-01,"CA-020-604",603,2016-08-23,647.18593401,2,300,1,643.39804
"NLCS000240","{7E0A5F33-D930-4DC3-833F-D742B45B3B46}","San Benito Wilderness Study Area",,"No recommendation","CA",1979-01-01,"CA-040-309",603,2016-08-23,1512.61848725,2,3086,1,1500.081815
"NLCS000242","{1BD5292A-7A9D-4FD9-B71B-4273F228FC54}","Merced River Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-040-203",603,2016-08-23,13096.23505823,2,2158,1,12938.57435
"NLCS000243","{01A12349-83EC-4A9D-AA85-606DD15F836D}","Yolla Bolly Contiguous Wilderness Study Area","CA-030-501","Non-suitable","CA",1993-07-27,"CA-030-501",202,2015-12-02,591.572,2,3938,1,592.307438
"NLCS000244","{FBDF5BA2-263A-4ED2-BE81-DF0F111AA341}","Black Mountain Wilderness Study Area",,"No recommendation","CA",1979-01-01,"CA-010-020",202,2016-08-23,161.2598584,2,315,1,161.233955
"NLCS000245","{49D284B5-ED07-4E54-8FAF-AE8DFF6B38CE}","Scodie Wilderness Study Area",,"No recommendation","CA",1979-01-01,"CA-010-030",202,2016-08-23,370.32976391,2,3190,4,344.748923
"NLCS000246","{77A70B9A-9B5D-44EB-A05B-CCC22E59A3FB}","Timbered Crater Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-030-201",603,2016-08-23,18084.6611163,2,3536,1,18088.858856
"NLCS000247","{25994ED6-E53D-44B5-ABB4-1AAFD3DFECE2}","Wall Canyon Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-020-805",603,2016-08-23,47567.38344656,2,3746,1,47408.915886
"NLCS000249","{7F2ECD3B-AF1D-4329-BABA-9E30DD77F386}","Twin Peaks Wilderness Study Area",,"No recommendation","CA",1979-01-01,"CA-020-619A",603,2016-08-23,92131.33873118,2,3632,1,92298.161042
"NLCS000250","{CE976EC8-7E37-4F28-B842-4ABF46B1CF2E}","Five Springs Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-020-609",603,2016-08-23,50345.20867603,2,1108,1,50635.773062
"NLCS000251","{176B6648-012B-4D70-BE51-50492FC49DCB}","Dry Valley Rim Wilderness Study Area",,"Suitable","CA",1979-01-01,"CA-020-615",603,2016-08-23,94530.10534715,2,960,1,95105.03997
"NLCS000252","{21FD5D9D-525F-46B5-885C-0A58F1D2BAA0}","Rocky Creek/Cache Creek Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-050-317",603,2016-08-23,6814.73305813,2,2993,1,6689.482954
"NLCS000254","{BBFC212F-9BAD-4CD2-A17C-415DC7EC4944}","Symmes Creek Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-010-064",603,2016-08-23,8747.75496375,2,3466,1,8811.599945
"NLCS000255","{182FC325-075A-470B-A37B-F6192FF4B979}","Independence Creek Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-010-057",603,2016-08-23,6480.4473219,2,1625,1,6523.616572
"NLCS000256","{E7384A1B-7786-494B-B170-6CB143852E22}","Moses Wilderness Study Area",,"No recommendation","CA",1979-01-01,"CA-010-025",202,2016-08-23,452.18541834,2,2260,1,452.163571
"NLCS000257","{E758C077-CF3E-4159-BC55-A95E83B10788}","Rockhouse A Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-010-029A",202,2016-08-23,121.69632594,2,2988,1,116.580007
"NLCS000258","{065E52D1-0F5B-46B5-8122-10211C3AF2C2}","Bear Canyon Wilderness Study Area",,"No recommendation","CA",1979-01-01,"CA-040-305C",202,2016-08-23,332.4711768,2,203,1,344.111753
"NLCS000263","{64FC4CAD-3D78-4399-ADF9-F50109B99A60}","Table Mountain Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-060-026",202,2016-08-23,990.31642894,2,3471,1,1001.891869
"NLCS000264","{D231332A-9D96-47E0-889C-1ECB8214E7FF}","San Ysidro Mountain Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-060-022",202,2016-08-23,2129.92338976,2,3124,1,2129.983131
"NLCS000265","{2EFF8DBC-DDC0-4F34-9CB0-8E232C029C55}","Hauser Mountain Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-060-027C",603,2016-08-23,5455.8885677,2,1488,1,5447.541636
"NLCS000266","{05253B75-12D4-4AA4-AAFF-50020FCA3D05}","Garcia Mountain Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-010-012",202,2016-08-23,78.49642785,2,1290,2,78.682921
"NLCS000267","{DAD6DA68-7200-4721-9109-2A0F567B33F0}","Machesna Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-010-108",202,2016-08-23,81.06423127,2,2042,1,81.059754
"NLCS000268","{E6BADB20-B4DC-45F9-B0A3-0717A320212D}","San Felipe Hills Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-060-023",603,2016-08-23,5279.01895588,2,3096,1,5279.039777
"NLCS000269","{79D7EAFC-9441-4543-AB9C-0FE5FFF17552}","Sawtooth Mountains A Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-060-024A",202,2016-08-23,3965.64962401,2,3177,1,4058.409305
"NLCS000271","{5A2D09FF-D17F-4EED-9A42-A9888F455FBC}","Slinkard Wilderness Study Area","CA-010-105","Non-suitable","CA",1979-01-01,"CA-010-105",603,2017-06-23,3830.35051736,2,3314,1,3790.525816
"NLCS000272","{6B176972-A4F7-4C0A-995F-6BC2714B6B69}","Sacatar Meadows Wilderness Study Area",,"Suitable","CA",1979-01-01,"CA-101-027",603,2016-08-23,299.63343775,2,3035,4,306.533199
"NLCS000273","{98D48775-E2B8-4C18-84D5-1DE5804A3E36}","Owens Peak Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-010-026",603,2016-08-23,935.47707132,2,2647,2,903.623336
"NLCS000274","{49851CA2-40E3-4B74-8AB9-BFCEC96AB99C}","Pit River Canyon Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-020-103",603,2016-08-23,11739.99068632,2,2794,1,11842.719032
"NLCS000275","{27A2899C-E1D0-435B-82FF-7FB42AF9B11C}","Panoche Hills South Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-040-301B",603,2016-08-23,11190.33563298,2,2684,1,11147.937867
"NLCS000276","{D5474C1D-6D1C-4BB6-8EA1-0BD4BA5ABFD4}","Panoche Hills North Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-040-301",603,2016-08-23,6653.18459295,2,2683,1,6531.275631
"NLCS000277","{7DE6B3D7-6E7F-46E6-993C-95656DBAE493}","Milk Ranch/Case Mountain Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-010-023",202,2016-08-23,9360.64809262,2,2189,6,9279.607487
"NLCS000278","{F8B0B6F6-609B-4769-96A1-F89F60958336}","Piute Cypress ISA Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-010-046",603,2016-08-23,3473.34823072,2,2796,1,3466.553486
"NLCS000208","{42F502A2-47AF-4285-98BC-1A0A2DC68AE7}","Sawtooth Mountains C Wilderness Study Area",,"No recommendation","CA",1979-01-01,"CA-060-024C",202,2016-08-23,472.59504463,2,3178,1,456.393518
"NLCS000209","{1917F05B-D67D-45DB-B6B9-ECCD4D6B6785}","Volcanic Tablelands Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-010-081",603,2016-08-23,12733.19323951,2,3730,1,12444.807979
"NLCS000210","{DE3F0C81-119B-47AB-97C6-7125B2EC1331}","Tunnison Mountain Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-020-311",603,2016-08-23,20165.54778535,2,3604,1,20236.722637
"NLCS000211","{D1B0FA62-6699-458A-B12E-395222AEB101}","Tule Mountain Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-020-211",603,2016-08-23,17814.31927477,2,3596,1,17753.180677
"NLCS000212","{548B5810-FBEF-40A7-ADC1-52851CB716AA}","Thatcher Ridge Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-050-212",603,2016-08-23,150.87772149,2,3508,3,152.731387
"NLCS000213","{CF79F5AD-AEEE-41E6-856C-378A94EC4CCD}","Skedaddle Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-020-612",603,2016-08-23,62815.21866999,2,3304,1,63165.826923
"NLCS000215","{435CB853-D04B-4309-8173-1ACD534AB5D2}","South Warner Contiguous Wilderness Study Area",,"Suitable","CA",1979-01-01,"CA-020-708",202,2016-08-23,4332.93831806,2,3361,10,4419.152684
"NLCS000216","{EE032CF1-4EE2-440E-B315-BDEA450590B6}","Big Butte Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-050-211",202,2016-08-23,1554.71927633,2,252,3,1554.72523
"NLCS000217","{2B1F2B1C-A61E-4719-A999-BEF052E70F54}","Buffalo Hills Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-020-619",603,2016-08-23,47510.69370874,2,431,1,47395.822951
"NLCS000218","{5C965203-162C-408D-8473-899C0F81222F}","Caliente Mountain Wilderness Study Area",,"No recommendation","CA",1979-01-01,"CA-010-042",202,2016-08-23,18015.41667293,2,479,1,18002.148175
"NLCS000219","{1E2DA3A2-E675-4683-9836-7BEB203BD694}","Cerro Gordo Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-010-055",603,2016-08-23,5298.81190381,2,617,1,5357.920364
"NLCS000220","{CCF15D8A-CC34-419D-8896-B5393CD594D3}","Chidago Canyon Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-010-079",603,2016-08-23,20347.71297106,2,675,1,20460.390571
"NLCS000223","{1DF4CFF6-B7BC-43D0-8A7B-FFEFACC4239B}","Lava Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-030-203",603,2016-08-23,10763.25202955,2,1906,1,10720.095369
"NLCS000224","{314BC88D-131C-4C48-B789-2C0AEC919ACA}","Massacre Rim Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-020-1013",603,2016-08-23,101400.2514572,2,2103,1,101092.28651
"NLCS000225","{2871CA0F-AC66-4E60-9E9E-199C2B2D6286}","Sheep Ridge Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-010-022",202,2016-08-23,5017.07325523,2,3244,1,5028.095108
"NLCS000226","{CCC12E31-DA8D-486B-8645-9F4731C66773}","Casa Diablo Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-010-082",603,2016-08-23,8992.57695319,2,577,1,9032.994319
"NLCS000227","{809E5D3E-D5D7-44C2-8512-0A773318AD4D}","Fish Slough Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-010-080",603,2016-08-23,15336.72430734,2,1101,1,15340.650008
"NLCS000228","{7A95A4BD-5BFB-4D9A-8941-BA09ED34607A}","Excelsior Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-010-088",603,2016-08-23,9399.6886857,2,1067,1,9323.157381
"NLCS000230","{724B7E44-BFE4-4228-A6FC-ACFCC5A1624F}","Beauty Mountain Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-060-020G",603,2016-08-23,3824.50960528,2,215,2,3817.229344
"NLCS000231","{F5A1E800-4EC0-407D-9ABD-917A1DD8E11C}","Carrizo Gorge Wilderness Study Area",,"No recommendation","CA",1979-01-01,"CA-060-025A",603,2016-08-23,894.04439562,2,567,6,905.805466
"NLCS000233","{38EB7C34-89BB-43ED-825D-5A0BF9865711}","Sheldon Contiguous Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-020-1012",603,2016-08-23,24265.26917685,2,3247,2,24132.479938
"NLCS000234","{E7B931CA-91AB-453C-BFC3-17A0A3E9FA8F}","White Mountains Wilderness Study Area",,"Non-suitable","CA",1994-10-31,"PL 103-433 Sec 105",603,2016-08-23,1650.30318667,2,3838,2,1637.158908
"NLCS000235","{9038DEE9-75B1-422C-BD24-331E4ADBC181}","Bodie Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-010-100",603,2016-08-23,16973.13042321,2,349,1,16960.814957
"NLCS000236","{FD46D1BD-00C1-4944-8B4B-73399029674D}","Mount Biedeman Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-010-095",603,2016-08-23,13105.0398087,2,2268,1,13035.957642
"NLCS000237","{096275A8-3D0D-4798-8657-119EBD3E4CAD}","Bodie Mountain Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-010-099",603,2016-08-23,25609.96074032,2,348,1,25604.788595
"NLCS000238","{016275E4-4BFF-4521-BCD2-48BD824560A4}","Southern Inyo Wilderness Study Area",,"Suitable","CA",1979-01-01,"CA-010-056",603,2023-09-21,3719.4097674,2,3364,6,3719.424502
"NLCS000241","{7BDB485B-2204-47F4-AB23-C41CF7761517}","Bear Mountain Wilderness Study Area",,"No recommendation","CA",1979-01-01,"CA-040-305B",202,2016-08-23,4024.62573432,2,206,3,3728.619427
"NLCS000222","{782AC27B-6400-4F0B-9379-18577447C1D4}","Eden Valley Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-050-214",603,2016-08-23,6477.14430806,2,995,1,6479.62565
"NLCS000221","{E5499E20-309C-4742-8141-175BC96B5F58}","Crater Mountain Wilderness Study Area",,"Non-suitable","CA",1979-01-01,"CA-010-062",603,2016-08-23,7519.55435248,2,812,1,7519.554344
