"layer_id","display_name","cache_file","cache_exists","cache_path","cache_size_mb","cache_size_pct_of_250mb","read_error","object_class","is_sf","is_list_cache","list_names","n_features","geometry_family_expected","geometry_types","crs_epsg","bbox","western_us_bbox_ok","contains_zero_zero","empty_geometry_count","invalid_geometry_count","required_fields","missing_required_fields","required_fields_max_blank_fraction","duplicate_coord_groups","max_coord_stack","duplicate_id_groups","warning_count","warnings"
"project_areas","Project area(s)","project_areas_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/project_areas_map.rds",0.001,0,,"sf;data.frame",TRUE,FALSE,,0,"polygon",,"4326","xmin=NA;ymin=NA;xmax=NA;ymax=NA",FALSE,FALSE,0,0,,,,0,0,0,2,"zero features | bbox outside broad western-US sanity range"
"blm_offices","BLM Offices","blm_offices_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/blm_offices_map.rds",0.002,0,,"sf;tbl_df;tbl;data.frame",TRUE,FALSE,,19,"point","POINT","4326","xmin=-124.087468;ymin=32.779528;xmax=-114.601111;ymax=41.529781",TRUE,FALSE,0,0,,,,3,2,0,0,"OK"
"field_office_outer","BLM Field Office (outer)","field_office_outer_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/field_office_outer_map.rds",1.031,0.4,,"sf;data.frame",TRUE,FALSE,,14,"polygon","POLYGON;MULTIPOLYGON","4326","xmin=-124.409782;ymin=32.53406;xmax=-114.245277;ymax=42.009504",TRUE,FALSE,0,0,,,,0,0,0,0,"OK"
"blm_core","BLM-CA Managed (core)","blm_core_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/blm_core_map.rds",4.873,1.9,,"sf;data.frame",TRUE,FALSE,,1,"polygon","MULTIPOLYGON","4326","xmin=-124.418097;ymin=32.555541;xmax=-114.131473;ymax=42.009504",TRUE,FALSE,0,0,"popup_html",,0,0,0,0,0,"OK"
"blm_diffs","BLM Held/Managed Differences","blm_diffs_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/blm_diffs_map.rds",0.041,0,,"sf;data.frame",TRUE,FALSE,,2,"polygon","MULTIPOLYGON","4326","xmin=-124.368083;ymin=32.947257;xmax=-114.785233;ymax=41.962558",TRUE,FALSE,0,0,"popup_html",,0,0,0,0,0,"OK"
"gw_bull118","GW – Bull. 118","gw_bull118_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/gw_bull118_map.rds",0.497,0.2,,"sf;data.frame",TRUE,FALSE,,515,"polygon","POLYGON;MULTIPOLYGON","4326","xmin=-124.35549;ymin=32.534084;xmax=-114.237775;ymax=42.003367",TRUE,FALSE,0,0,"popup_html",,0,0,0,0,0,"OK"
"cnrfc_basins","CNRFC Basins","cnrfc_basins_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/cnrfc_basins_map.rds",0.442,0.2,,"sf;data.frame",TRUE,FALSE,,345,"polygon","POLYGON","4326","xmin=-124.289191;ymin=32.589256;xmax=-115.953071;ymax=43.342465",TRUE,FALSE,0,0,,,,0,0,0,0,"OK"
"cnrfc_fnf_delta","CNRFC FNF Delta Basins","cnrfc_fnf_delta_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/cnrfc_fnf_delta_map.rds",0.191,0.1,,"sf;data.frame",TRUE,FALSE,,15,"polygon","POLYGON","4326","xmin=-123.039623;ymin=35.417895;xmax=-117.980812;ymax=41.826067",TRUE,FALSE,0,0,,,,0,0,0,0,"OK"
"huc2","HUC2","huc_all_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",6.693,2.7,,"sf;data.frame",TRUE,FALSE,,4,"polygon","MULTIPOLYGON;POLYGON","4326","xmin=-124.902204;ymin=29.838591;xmax=-107.785091;ymax=52.87951",TRUE,FALSE,0,0,,,,0,0,0,0,"OK"
"huc4","HUC4","huc_all_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",6.693,2.7,,"sf;data.frame",TRUE,FALSE,,16,"polygon","MULTIPOLYGON;POLYGON","4326","xmin=-124.859839;ymin=31.510395;xmax=-112.550193;ymax=48.395503",TRUE,FALSE,0,0,,,,0,0,0,0,"OK"
"huc6","HUC6","huc_all_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",6.693,2.7,,"sf;data.frame",TRUE,FALSE,,24,"polygon","POLYGON;MULTIPOLYGON","4326","xmin=-124.703465;ymin=31.510395;xmax=-113.404803;ymax=44.297961",TRUE,FALSE,0,0,,,,0,0,0,0,"OK"
"huc8","HUC8","huc_all_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",6.693,2.7,,"sf;data.frame",TRUE,FALSE,,140,"polygon","MULTIPOLYGON;POLYGON","4326","xmin=-124.534961;ymin=31.644489;xmax=-113.855777;ymax=43.006474",TRUE,FALSE,0,0,,,,0,0,0,0,"OK"
"huc10","HUC10","huc_all_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",6.693,2.7,,"sf;data.frame",TRUE,FALSE,,1128,"polygon","POLYGON;MULTIPOLYGON","4326","xmin=-124.534961;ymin=31.644489;xmax=-113.855777;ymax=43.006474",TRUE,FALSE,0,0,,,,0,0,0,0,"OK"
"huc12","HUC12","huc_all_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",6.693,2.7,,"sf;data.frame",TRUE,FALSE,,5065,"polygon","POLYGON;MULTIPOLYGON","4326","xmin=-124.534961;ymin=31.644489;xmax=-113.855777;ymax=43.006474",TRUE,FALSE,0,0,,,,0,0,0,0,"OK"
"cnrfc_stream","CNRFC River & Reservoir","cnrfc_stream_map.rds",TRUE,"C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/cnrfc_stream_map.rds",0.238,0.1,,"sf;tbl_df;tbl;data.frame",TRUE,FALSE,,2047,"point","POINT","4326","xmin=-124.28222;ymin=32.44417;xmax=-113.58111;ymax=42.37333",TRUE,FALSE,0,0,"popup_html",,0,34,3,0,0,"OK"
