"cache_file","cache_path","cache_exists","cache_size_mb","cache_size_pct_of_250mb","registry_row_count","layer_ids","display_names"
"reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,9,9,"wild_scenic_rivers;national_scenic_historic_trails;national_monuments;ca_desert_ncl;wilderness_study_areas;federal_wilderness;drecp;acec;grazing_allotments","Wild & Scenic Rivers;National Scenic/Historic Trails;National Monuments;CA Desert National Conservation Lands;Wilderness Study Areas;Federal Wilderness;DRECP;ACECs;Grazing Allotments"
"huc_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",TRUE,6.693,2.7,6,"huc2;huc4;huc6;huc8;huc10;huc12","HUC2;HUC4;HUC6;HUC8;HUC10;HUC12"
"blm_core_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/blm_core_map.rds",TRUE,4.873,1.9,1,"blm_core","BLM-CA Managed (core)"
"calsim3_arcs_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/calsim3_arcs_map.rds",TRUE,4.707,1.9,1,"calsim3_arcs","CalSim3 Arcs"
"water_districts_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/water_districts_map.rds",TRUE,4.612,1.8,1,"water_districts","Water Districts"
"usgs_wells_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/usgs_wells_map.rds",TRUE,2.827,1.1,1,"usgs_wells","USGS Wells"
"rwqcb_regions_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/rwqcb_regions_map.rds",TRUE,2.708,1.1,1,"rwqcb_regions","RWQCB Regions"
"deltamapr_canals_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/deltamapr_canals_map.rds",TRUE,1.798,0.7,1,"deltamapr_canals","Deltamapr Conveyance"
"major_conveyance_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/major_conveyance_map.rds",TRUE,1.647,0.7,1,"major_conveyance","Major Conveyance"
"field_office_outer_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/field_office_outer_map.rds",TRUE,1.031,0.4,1,"field_office_outer","BLM Field Office (outer)"
"county_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/county_map.rds",TRUE,0.928,0.4,1,"county","Counties"
"springs_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/springs_map.rds",TRUE,0.643,0.3,1,"springs","Springs"
"gw_bull118_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/gw_bull118_map.rds",TRUE,0.497,0.2,1,"gw_bull118","GW – Bull. 118"
"cnrfc_basins_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/cnrfc_basins_map.rds",TRUE,0.442,0.2,1,"cnrfc_basins","CNRFC Basins"
"usgs_streamgages_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/usgs_streamgages_map.rds",TRUE,0.351,0.1,1,"usgs_streamgages","USGS Streamgages"
"swrcb_pod_wr_blm_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/swrcb_pod_wr_blm_map.rds",TRUE,0.276,0.1,3,"swrcb_wr_list_official;swrcb_pod_spatial_matches;swrcb_name_text_candidates","SWRCB 2026 BLM WR list records;SWRCB additional PODs spatially matched to BLM;SWRCB additional BLM name/text-match candidates"
"cnrfc_precip_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/cnrfc_precip_map.rds",TRUE,0.262,0.1,1,"cnrfc_precip","CNRFC Precip Gages"
"cnrfc_stream_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/cnrfc_stream_map.rds",TRUE,0.238,0.1,1,"cnrfc_stream","CNRFC River & Reservoir"
"cnrfc_fnf_delta_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/cnrfc_fnf_delta_map.rds",TRUE,0.191,0.1,1,"cnrfc_fnf_delta","CNRFC FNF Delta Basins"
"calsim3_nodes_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/calsim3_nodes_map.rds",TRUE,0.144,0.1,1,"calsim3_nodes","CalSim3 Nodes"
"cdec_reservoir_stations_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/cdec_reservoir_stations_map.rds",TRUE,0.047,0,1,"cdec_reservoir_stations","CDEC Reservoir Stations"
