"cache_file","cache_path","cache_exists","cache_size_mb","registry_rows","list_child_rows","sf_rows","total_features_all_rows","max_layer_payload_mb","sum_payload_registry_rows_mb","sum_payload_list_child_rows_mb","sum_popup_registry_rows_mb","sum_popup_list_child_rows_mb","largest_layer_id","largest_display_name","preferred_sum_payload_mb","preferred_sum_popup_mb"
"usgs_wells_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/usgs_wells_map.rds",TRUE,5.724,1,0,1,44159,99.635,99.635,0,37.46,0,"usgs_wells","USGS Wells",99.635,37.46
"reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,9,11,14,1919,7.471,6.116,36.407,0.016,0.069,"reference_layers_all_map::fedwilderness","fedwilderness [cache child]",36.407,0.069
"huc_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",TRUE,6.693,6,6,12,12754,17.215,24.505,24.505,7.452,7.452,"huc12","HUC12",24.505,7.452
"swrcb_pod_wr_blm_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/swrcb_pod_wr_blm_map.rds",TRUE,0.276,3,0,3,10530,5.743,17.229,0,6.825,0,"swrcb_wr_list_official","SWRCB 2026 BLM WR list records",17.229,6.825
"springs_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/springs_map.rds",TRUE,0.643,1,0,1,27278,11.986,11.986,0,1.964,0,"springs","Springs",11.986,1.964
"water_districts_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/water_districts_map.rds",TRUE,4.612,1,0,1,3483,8.489,8.489,0,0.666,0,"water_districts","Water Districts",8.489,0.666
"blm_core_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/blm_core_map.rds",TRUE,4.873,1,0,1,1,8.371,8.371,0,0,0,"blm_core","BLM-CA Managed (core)",8.371,0
"calsim3_arcs_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/calsim3_arcs_map.rds",TRUE,4.707,1,0,1,2166,7.869,7.869,0,0.178,0,"calsim3_arcs","CalSim3 Arcs",7.869,0.178
"usgs_streamgages_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/usgs_streamgages_map.rds",TRUE,0.351,1,0,1,2387,4.289,4.289,0,1.55,0,"usgs_streamgages","USGS Streamgages",4.289,1.55
"rwqcb_regions_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/rwqcb_regions_map.rds",TRUE,2.708,1,0,1,9,4.017,4.017,0,0.001,0,"rwqcb_regions","RWQCB Regions",4.017,0.001
"deltamapr_canals_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/deltamapr_canals_map.rds",TRUE,1.798,1,0,1,508,3.02,3.02,0,0.065,0,"deltamapr_canals","Deltamapr Conveyance",3.02,0.065
"cnrfc_stream_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/cnrfc_stream_map.rds",TRUE,0.238,1,0,1,2047,2.799,2.799,0,1.152,0,"cnrfc_stream","CNRFC River & Reservoir",2.799,1.152
"major_conveyance_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/major_conveyance_map.rds",TRUE,1.647,1,0,1,444,2.647,2.647,0,0.049,0,"major_conveyance","Major Conveyance",2.647,0.049
"cnrfc_precip_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/cnrfc_precip_map.rds",TRUE,0.262,1,0,1,3137,2.045,2.045,0,1.105,0,"cnrfc_precip","CNRFC Precip Gages",2.045,1.105
"field_office_outer_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/field_office_outer_map.rds",TRUE,1.031,1,0,1,14,1.525,1.525,0,0.001,0,"field_office_outer","BLM Field Office (outer)",1.525,0.001
"county_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/county_map.rds",TRUE,0.928,1,0,1,58,1.382,1.382,0,0.006,0,"county","Counties",1.382,0.006
"calsim3_nodes_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/calsim3_nodes_map.rds",TRUE,0.144,1,0,1,1540,1.299,1.299,0,0.402,0,"calsim3_nodes","CalSim3 Nodes",1.299,0.402
"gw_bull118_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/gw_bull118_map.rds",TRUE,0.497,1,0,1,515,0.952,0.952,0,0.142,0,"gw_bull118","GW – Bull. 118",0.952,0.142
"cnrfc_basins_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/cnrfc_basins_map.rds",TRUE,0.442,1,0,1,345,0.835,0.835,0,0.11,0,"cnrfc_basins","CNRFC Basins",0.835,0.11
"cdec_reservoir_stations_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/cdec_reservoir_stations_map.rds",TRUE,0.047,1,0,1,218,0.746,0.746,0,0.218,0,"cdec_reservoir_stations","CDEC Reservoir Stations",0.746,0.218
"snow_pillows_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/snow_pillows_map.rds",TRUE,0.035,1,0,1,304,0.402,0.402,0,0.198,0,"snow_pillows","Snow Pillows",0.402,0.198
"cnrfc_fnf_delta_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/cnrfc_fnf_delta_map.rds",TRUE,0.191,1,0,1,15,0.298,0.298,0,0.005,0,"cnrfc_fnf_delta","CNRFC FNF Delta Basins",0.298,0.005
