"cache_file","cache_path","cache_exists","cache_size_mb","registry_rows","list_child_rows","sf_rows","total_features_all_rows","max_layer_payload_mb","max_likely_leaflet_payload_mb","sum_payload_registry_rows_mb","sum_payload_list_child_rows_mb","sum_likely_registry_rows_mb","sum_likely_list_child_rows_mb","sum_popup_registry_rows_mb","sum_popup_list_child_rows_mb","largest_layer_id","largest_display_name","preferred_sum_payload_mb","preferred_sum_likely_leaflet_mb","preferred_sum_popup_mb","full_minus_likely_mb"
"usgs_wells_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/usgs_wells_map.rds",TRUE,2.827,1,0,1,44159,48.515,48.065,48.515,0,48.065,0,37.462,0,"usgs_wells","USGS Wells",48.515,48.065,37.462,0.45
"reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,9,11,14,1919,7.471,7.402,6.116,36.407,6.031,35.837,0.016,0.069,"reference_layers_all_map::fedwilderness","fedwilderness [cache child]",36.407,35.837,0.069,0.57
"huc_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",TRUE,6.693,6,6,12,12754,17.215,11.386,24.505,24.505,17.376,17.376,7.452,7.452,"huc12","HUC12",24.505,17.376,7.452,7.129
"swrcb_pod_wr_blm_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/swrcb_pod_wr_blm_map.rds",TRUE,0.276,3,0,3,10530,5.743,2.875,17.229,0,8.625,0,6.825,0,"swrcb_wr_list_official","SWRCB 2026 BLM WR list records",17.229,8.625,6.825,8.604
"blm_core_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/blm_core_map.rds",TRUE,4.873,1,0,1,1,8.371,8.371,8.371,0,8.371,0,0,0,"blm_core","BLM-CA Managed (core)",8.371,8.371,0,0
"water_districts_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/water_districts_map.rds",TRUE,4.612,1,0,1,3483,8.489,7.826,8.489,0,7.826,0,0.666,0,"water_districts","Water Districts",8.489,7.826,0.666,0.663
"calsim3_arcs_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/calsim3_arcs_map.rds",TRUE,4.707,1,0,1,2166,7.869,7.533,7.869,0,7.533,0,0.178,0,"calsim3_arcs","CalSim3 Arcs",7.869,7.533,0.178,0.336
"springs_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/springs_map.rds",TRUE,0.643,1,0,1,27278,11.986,4.376,11.986,0,4.376,0,1.964,0,"springs","Springs",11.986,4.376,1.964,7.61
"rwqcb_regions_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/rwqcb_regions_map.rds",TRUE,2.708,1,0,1,9,4.017,4.014,4.017,0,4.014,0,0.001,0,"rwqcb_regions","RWQCB Regions",4.017,4.014,0.001,0.003
"deltamapr_canals_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/deltamapr_canals_map.rds",TRUE,1.798,1,0,1,508,3.02,2.907,3.02,0,2.907,0,0.065,0,"deltamapr_canals","Deltamapr Conveyance",3.02,2.907,0.065,0.113
