"layer_id","display_name","category","canonical_group","cache_file","cache_path","cache_exists","cache_size_mb","cache_read_ok","read_error","source_kind","object_class","is_sf","is_list_cache","list_names","n_features","n_columns","geometry_family_expected","geometry_types","crs_epsg","layer_object_size_mb","n_coordinates","geometry_wkt_mb","attributes_json_mb","attributes_character_mb","popup_html_mb","hover_tooltip_mb","label_candidate_mb","style_candidate_mb","estimated_text_payload_mb","geom_mb_per_1000_features","attr_json_mb_per_1000_features","popup_mb_per_1000_features","payload_note"
"usgs_wells","USGS Wells","Points","Points – USGS Wells","usgs_wells_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/usgs_wells_map.rds",TRUE,2.827,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,44159,9,"point","POINT","4326",65.979,44159,1.086,47.429,40.056,37.462,1.373,0,0,48.515,0.025,1.074,0.848,"OK; estimates use WKT geometry proxy plus JSON attributes"
"huc12","HUC12","Basins","Basins – HUC12 – PRISM/BCMv8 summaries","huc_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",TRUE,6.693,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,5065,54,"polygon","POLYGON;MULTIPOLYGON","4326",16.201,,4.548,12.667,7.18,6.041,0,0.155,0,17.215,0.898,2.501,1.193,"OK; estimates use WKT geometry proxy plus JSON attributes"
"huc_all_map::huc12","huc12 [cache child]",,,"huc_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",TRUE,6.693,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,5065,54,,"POLYGON;MULTIPOLYGON","4326",16.201,,4.548,12.667,7.18,6.041,0,0.155,0,17.215,0.898,2.501,1.193,"OK; estimates use WKT geometry proxy plus JSON attributes"
"springs","Springs","Points","Points – Springs","springs_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/springs_map.rds",TRUE,0.643,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,27278,14,"point","POINT","4326",17.125,27278,0.671,11.315,4.086,1.964,0.771,0,0,11.986,0.025,0.415,0.072,"OK; estimates use WKT geometry proxy plus JSON attributes"
"water_districts","Water Districts","Reference","Reference – Water Districts","water_districts_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/water_districts_map.rds",TRUE,4.612,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,3483,10,"polygon","MULTIPOLYGON;POLYGON","4326",11.612,,6.875,1.614,1.064,0.666,0.096,0,0,8.489,1.974,0.463,0.191,"OK; estimates use WKT geometry proxy plus JSON attributes"
"blm_core","BLM-CA Managed (core)","Core","Core – BLM-CA Managed","blm_core_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/blm_core_map.rds",TRUE,4.873,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,1,3,"polygon","MULTIPOLYGON","4326",14.905,439905,8.371,0,0,0,0,0,0,8.371,8371,0,0,"OK; estimates use WKT geometry proxy plus JSON attributes"
"calsim3_arcs","CalSim3 Arcs","Channels","Channels – CalSim3 Arcs","calsim3_arcs_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/calsim3_arcs_map.rds",TRUE,4.707,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,2166,10,"line","LINESTRING","4326",7.963,386547,7.313,0.556,0.303,0.178,0,0,0,7.869,3.376,0.257,0.082,"OK; estimates use WKT geometry proxy plus JSON attributes"
"reference_layers_all_map::fedwilderness","fedwilderness [cache child]",,,"reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,192,17,,"POLYGON;MULTIPOLYGON","4326",6.233,,7.389,0.082,0.03,0.006,0,0.002,0,7.471,38.484,0.427,0.031,"OK; estimates use WKT geometry proxy plus JSON attributes"
"reference_layers_all_map::gsps","gsps [cache child]",,,"reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,121,16,,"MULTIPOLYGON","4326",5.435,329427,6.219,0.055,0.024,0.008,0,0,0,6.274,51.397,0.455,0.066,"OK; estimates use WKT geometry proxy plus JSON attributes"
"swrcb_wr_list_official","SWRCB 2026 BLM WR list records","Points","Points – SWRCB 2026 BLM WR list records","swrcb_pod_wr_blm_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/swrcb_pod_wr_blm_map.rds",TRUE,0.276,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,3510,25,"point","POINT","4326",5.962,3510,0.086,5.656,3.679,2.275,0.336,0,0,5.743,0.025,1.611,0.648,"OK; estimates use WKT geometry proxy plus JSON attributes"
"swrcb_pod_spatial_matches","SWRCB additional PODs spatially matched to BLM","Points","Points – SWRCB additional PODs spatially matched to BLM","swrcb_pod_wr_blm_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/swrcb_pod_wr_blm_map.rds",TRUE,0.276,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,3510,25,"point","POINT","4326",5.962,3510,0.086,5.656,3.679,2.275,0.336,0,0,5.743,0.025,1.611,0.648,"OK; estimates use WKT geometry proxy plus JSON attributes"
"swrcb_name_text_candidates","SWRCB additional BLM name/text-match candidates","Points","Points – SWRCB additional BLM name/text-match candidates","swrcb_pod_wr_blm_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/swrcb_pod_wr_blm_map.rds",TRUE,0.276,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,3510,25,"point","POINT","4326",5.962,3510,0.086,5.656,3.679,2.275,0.336,0,0,5.743,0.025,1.611,0.648,"OK; estimates use WKT geometry proxy plus JSON attributes"
"huc10","HUC10","Basins","Basins – HUC10 – PRISM/BCMv8 summaries","huc_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",TRUE,6.693,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,1128,49,"polygon","POLYGON;MULTIPOLYGON","4326",4.406,,2.196,2.547,1.444,1.224,0,0.037,0,4.743,1.947,2.258,1.085,"OK; estimates use WKT geometry proxy plus JSON attributes"
"huc_all_map::huc10","huc10 [cache child]",,,"huc_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",TRUE,6.693,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,1128,49,,"POLYGON;MULTIPOLYGON","4326",4.406,,2.196,2.547,1.444,1.224,0,0.037,0,4.743,1.947,2.258,1.085,"OK; estimates use WKT geometry proxy plus JSON attributes"
"reference_layers_all_map::monuments","monuments [cache child]",,,"reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,19,17,,"MULTIPOLYGON","4326",10.527,233941,4.507,0.008,0.003,0.001,0,0,0,4.515,237.211,0.421,0.053,"OK; estimates use WKT geometry proxy plus JSON attributes"
"usgs_streamgages","USGS Streamgages","Points","Points – USGS Streamgages","usgs_streamgages_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/usgs_streamgages_map.rds",TRUE,0.351,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,2387,17,"point","POINT","4326",5.243,2387,0.059,4.23,3.621,1.55,0,0,0,4.289,0.025,1.772,0.649,"OK; estimates use WKT geometry proxy plus JSON attributes"
"acec","ACECs","Reference","Reference – ACECs","reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,238,16,"polygon","MULTIPOLYGON","4326",3.709,217755,4.113,0.107,0.047,0.016,0,0.002,0,4.22,17.282,0.45,0.067,"OK; estimates use WKT geometry proxy plus JSON attributes"
