"layer_id","display_name","category","canonical_group","cache_file","cache_path","cache_exists","cache_size_mb","cache_read_ok","read_error","source_kind","object_class","is_sf","is_list_cache","list_names","n_features","n_columns","geometry_family_expected","geometry_types","crs_epsg","layer_object_size_mb","n_coordinates","geometry_wkt_mb","attributes_json_mb","attributes_character_mb","popup_html_mb","hover_tooltip_mb","label_candidate_mb","style_candidate_mb","estimated_text_payload_mb","full_cache_text_payload_mb","likely_leaflet_attr_json_mb","likely_leaflet_text_payload_mb","full_minus_likely_mb","likely_leaflet_fields","likely_leaflet_method","likely_leaflet_note","geom_mb_per_1000_features","attr_json_mb_per_1000_features","popup_mb_per_1000_features","payload_note"
"usgs_wells","USGS Wells","Points","Points – USGS Wells","usgs_wells_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/usgs_wells_map.rds",TRUE,2.827,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,44159,9,"point","POINT","4326",65.979,44159,1.086,47.429,40.056,37.462,1.373,0,0,48.515,48.515,46.979,48.065,0.45,"well_radius;well_stroke_col_display;well_stroke_weight_display;well_dash_array_display;well_fill_col;popup_html;hover_text","usgs_wells_patch005_draw_subset","Uses the same slim display fields passed to Leaflet after Patch 005.",0.025,1.074,0.848,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"huc12","HUC12","Basins","Basins – HUC12 – PRISM/BCMv8 summaries","huc_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",TRUE,6.693,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,5065,54,"polygon","POLYGON;MULTIPOLYGON","4326",16.201,,4.548,12.667,7.18,6.041,0,0.155,0,17.215,17.215,6.838,11.386,5.829,"popup_html;ppt_in_fill_label;ppt_kaf_fill_label;rech_in_fill_label;rech_kaf_fill_label","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",0.898,2.501,1.193,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"huc_all_map::huc12","huc12 [cache child]",,,"huc_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/huc_all_map.rds",TRUE,6.693,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,5065,54,,"POLYGON;MULTIPOLYGON","4326",16.201,,4.548,12.667,7.18,6.041,0,0.155,0,17.215,17.215,6.838,11.386,5.829,"popup_html;ppt_in_fill_label;ppt_kaf_fill_label;rech_in_fill_label;rech_kaf_fill_label","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",0.898,2.501,1.193,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"blm_core","BLM-CA Managed (core)","Core","Core – BLM-CA Managed","blm_core_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/blm_core_map.rds",TRUE,4.873,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,1,3,"polygon","MULTIPOLYGON","4326",14.905,439905,8.371,0,0,0,0,0,0,8.371,8.371,0,8.371,0,"popup_html","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",8371,0,0,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"water_districts","Water Districts","Reference","Reference – Water Districts","water_districts_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/water_districts_map.rds",TRUE,4.612,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,3483,10,"polygon","MULTIPOLYGON;POLYGON","4326",11.612,,6.875,1.614,1.064,0.666,0.096,0,0,8.489,8.489,0.951,7.826,0.663,"popup_html;hover_text;fill_col","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",1.974,0.463,0.191,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"calsim3_arcs","CalSim3 Arcs","Channels","Channels – CalSim3 Arcs","calsim3_arcs_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/calsim3_arcs_map.rds",TRUE,4.707,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,2166,10,"line","LINESTRING","4326",7.963,386547,7.313,0.556,0.303,0.178,0,0,0,7.869,7.869,0.22,7.533,0.336,"popup_html","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",3.376,0.257,0.082,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"reference_layers_all_map::fedwilderness","fedwilderness [cache child]",,,"reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,192,17,,"POLYGON;MULTIPOLYGON","4326",6.233,,7.389,0.082,0.03,0.006,0,0.002,0,7.471,7.471,0.013,7.402,0.069,"popup_html;fill_col","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",38.484,0.427,0.031,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"reference_layers_all_map::gsps","gsps [cache child]",,,"reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,121,16,,"MULTIPOLYGON","4326",5.435,329427,6.219,0.055,0.024,0.008,0,0,0,6.274,6.274,0.012,6.231,0.043,"popup_html;fill_col","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",51.397,0.455,0.066,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"reference_layers_all_map::monuments","monuments [cache child]",,,"reference_layers_all_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/reference_layers_all_map.rds",TRUE,22.509,TRUE,,"list_child","sf;data.frame",TRUE,FALSE,,19,17,,"MULTIPOLYGON","4326",10.527,233941,4.507,0.008,0.003,0.001,0,0,0,4.515,4.515,0.002,4.508,0.007,"popup_html;fill_col","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",237.211,0.421,0.053,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
"springs","Springs","Points","Points – Springs","springs_map.rds","C:/Users/doconnor/OneDrive - DOI/Documents/PortaTreasure2/04_processed_data/cache/latest/springs_map.rds",TRUE,0.643,TRUE,,"registry_row","sf;data.frame",TRUE,FALSE,,27278,14,"point","POINT","4326",17.125,27278,0.671,11.315,4.086,1.964,0.771,0,0,11.986,11.986,3.705,4.376,7.61,"popup_html;hover_text","generic_popup_hover_style_subset","Generic estimate using popup/hover/tooltip/label/style fields only.",0.025,0.415,0.072,"OK; full-cache uses WKT geometry proxy plus all JSON attributes; likely estimate uses Leaflet draw subset"
