"facility_id","canonical_name","lbl","lbl_full","aliases","parent_system","project_family","project_name","project_division","project_unit","project_subunit","project_path","ownership_class","owner_agency","operator_agency","facility_group","facility_type","network_role","display_rank","display_rank_source","display_rank_reason","status","length_mi","segment_count","geometry_confidence","decision_ids","facility_crosses_blm","facility_length_on_blm_mi","facility_min_blm_distance_mi","facility_blm_field_offices"
"CVY_00049B8E","KLAMATH CENTER CANAL","KLAMATH CENTER CANAL","KLAMATH CENTER CANAL","","","Other Reclamation","Klamath Project","","","","","Federal","","US Bureau of Reclamation","Open conveyance","Canal","Unknown","local_supporting","automatic","Automatic standard/local rank.","unknown",4.02644789979883,1,"medium","UNREVIEWED",FALSE,0,5.571162024475,
"CVY_001F8FA8","Herndon Canal","Herndon Canal","Herndon Canal","","","Local/regional public","Fresno Irrigation District","","","","","Local/regional public","","Fresno Irrigation District","Open conveyance","Canal","Unknown","medium","automatic","Automatic medium rank from mapped length or facility type.","unknown",24.187690863592,2,"medium","UNREVIEWED",FALSE,0,11.5451616211167,
"CVY_004C73AE","'Upper' Gold Hill Canal (Orr Creek)","'Upper' Gold Hill Canal","'Upper' Gold Hill Canal (Orr Creek)","","","Unknown/unassigned","Unassigned","","","","","Unknown","NID","","Distribution/local","Ditch","Distribution","local_supporting","automatic","Automatic standard/local rank.","unknown",1.32808467990405,1,"medium","UNREVIEWED",FALSE,0,3.54270237791896,
"CVY_0092AF31","Intertie","Intertie","Intertie","","","Unknown/unassigned","Unassigned","","","","","Unknown","","","Closed conveyance","Intertie","Unknown","medium","automatic","Automatic medium rank from mapped length or facility type.","unknown",4.51489081543659,2,"medium","UNREVIEWED",FALSE,0,2.41050885156892,
"CVY_0167BFA9","San Luis Drain","San Luis Drain","San Luis Drain","","San Luis-area conveyance network","CVP","Central Valley Project","West San Joaquin Division","San Luis Unit","San Luis Drain","West San Joaquin Division > San Luis Unit > San Luis Drain","Federal","","US Bureau of Reclamation; Federal","Drainage","Drain","Drainage; Distribution","medium","automatic","Automatic medium rank from mapped length or facility type.","unknown",98.3887252960956,2,"medium","UNREVIEWED; 20",FALSE,0,0.945047729752796,
"CVY_01A703CC","Proposed Watsonville Canal","Proposed Watsonville Canal","Proposed Watsonville Canal","","","Unknown/unassigned","Unassigned","","","","","Federal","","Federal","Open conveyance","Canal","Unknown","medium","automatic","Automatic medium rank from mapped length or facility type.","unknown",22.3933059207477,1,"medium","UNREVIEWED",FALSE,0,7.3867443530244,
"CVY_01E6DCF2","KLAMATH C CANAL","KLAMATH C CANAL","KLAMATH C CANAL","","","Other Reclamation","Klamath Project","","","","","Federal","","US Bureau of Reclamation","Open conveyance","Canal","Unknown","medium","automatic","Automatic medium rank from mapped length or facility type.","unknown",43.6508228563702,3,"medium","UNREVIEWED",FALSE,0,0.112762228149158,
"CVY_01F93789","West Branch California Aqueduct","West Branch","West Branch California Aqueduct","California Aqueduct – West Branch; West Branch","California Aqueduct / State Water Project","SWP","State Water Project","California Aqueduct","West Branch","","California Aqueduct > West Branch","California state","","State Water Project; State","Closed conveyance; Open conveyance","Pipeline; Aqueduct","Branch","statewide_major","reviewed_system_rule","California Aqueduct East/West Branch system rule: keep all mapped branch pieces at one statewide-major width.","unknown",34.5009341786081,6,"high","A85",FALSE,0,0.365088268827934,
"CVY_023742FB","Bypass Spill Channel","Bypass Spill Channel","Bypass Spill Channel","","","Unknown/unassigned","Unassigned","","","","","Unknown","PCWA","","Other/unknown","Unknown","Unknown","local_supporting","automatic","Automatic standard/local rank.","unknown",0.186236478789208,2,"medium","UNREVIEWED",FALSE,0,3.86120736373679,
"CVY_02BE0F98","West Branch Lakeland Canal","West Branch Lakeland Canal","West Branch Lakeland Canal","","","Unknown/unassigned","Unassigned","","","","","Unknown","","Kings River Water Association","Open conveyance","Canal","Branch","local_supporting","automatic","Automatic standard/local rank.","unknown",3.35249896235792,1,"medium","UNREVIEWED",FALSE,0,8.0278161644308,
