"segment_id","facility_id","canonical_name","lbl","lbl_full","aliases","parent_system","facility_group","facility_type","network_role","ownership_class","owner_agency","operator_agency","project_family","project_name","project_division","project_unit","project_subunit","project_path","display_rank","display_rank_source","display_rank_reason","status","length_mi","geometry_source","geometry_decision","geometry_confidence","decision_id","source_major_rows","source_delta_rows","source_ids","blm_crosses","blm_length_mi","blm_pct_length","blm_nearest_mi","blm_crossing_count","blm_field_offices","search_text"
"CVY_00049B8E_S001","CVY_00049B8E","KLAMATH CENTER CANAL","KLAMATH CENTER CANAL","KLAMATH CENTER CANAL","","","Open conveyance","Canal","Unknown","Federal","","US Bureau of Reclamation","Other Reclamation","Klamath Project","","","","","local_supporting","automatic","Automatic standard/local rank.","unknown",4.02644789979883,"DeltaMAPP","provisional_source_inclusion","medium","UNREVIEWED","","292","DELTA_0292",FALSE,0,0,5.571162024475,0,,"klamath center canal klamath center canal   other reclamation klamath project      us bureau of reclamation canal"
"CVY_001F8FA8_S001","CVY_001F8FA8","Herndon Canal","Herndon Canal","Herndon Canal","","","Open conveyance","Canal","Unknown","Local/regional public","","Fresno Irrigation District","Local/regional public","Fresno Irrigation District","","","","","medium","automatic","Automatic medium rank from mapped length or facility type.","unknown",11.838250235264,"DeltaMAPP","provisional_source_inclusion","medium","UNREVIEWED","","460","DELTA_0460",FALSE,0,0,19.2281341986183,0,,"herndon canal herndon canal   local/regional public fresno irrigation district      fresno irrigation district canal"
"CVY_001F8FA8_S002","CVY_001F8FA8","Herndon Canal","Herndon Canal","Herndon Canal","","","Open conveyance","Canal","Unknown","Local/regional public","","Fresno Irrigation District","Local/regional public","Fresno Irrigation District","","","","","medium","automatic","Automatic medium rank from mapped length or facility type.","unknown",12.349440628328,"DeltaMAPP","provisional_source_inclusion","medium","UNREVIEWED","","460","DELTA_0460",FALSE,0,0,11.5451616211167,0,,"herndon canal herndon canal   local/regional public fresno irrigation district      fresno irrigation district canal"
"CVY_004C73AE_S001","CVY_004C73AE","'Upper' Gold Hill Canal (Orr Creek)","'Upper' Gold Hill Canal","'Upper' Gold Hill Canal (Orr Creek)","","","Distribution/local","Ditch","Distribution","Unknown","NID","","Unknown/unassigned","Unassigned","","","","","local_supporting","automatic","Automatic standard/local rank.","unknown",1.32808467990405,"Major Conveyance","provisional_source_inclusion","medium","UNREVIEWED","1294","","MAJOR_1294",FALSE,0,0,3.54270237791896,0,,"'upper' gold hill canal (orr creek) 'upper' gold hill canal   unknown/unassigned unassigned     nid  ditch"
"CVY_0092AF31_S001","CVY_0092AF31","Intertie","Intertie","Intertie","","","Closed conveyance","Intertie","Unknown","Unknown","","","Unknown/unassigned","Unassigned","","","","","medium","automatic","Automatic medium rank from mapped length or facility type.","unknown",1.33148029508173,"Major Conveyance","provisional_source_inclusion","medium","UNREVIEWED","1099","","MAJOR_1099",FALSE,0,0,2.41050885156892,0,,"intertie intertie   unknown/unassigned unassigned       intertie"
"CVY_0092AF31_S002","CVY_0092AF31","Intertie","Intertie","Intertie","","","Closed conveyance","Intertie","Unknown","Unknown","","","Unknown/unassigned","Unassigned","","","","","medium","automatic","Automatic medium rank from mapped length or facility type.","unknown",3.18341052035486,"Major Conveyance","provisional_source_inclusion","medium","UNREVIEWED","1100","","MAJOR_1100",FALSE,0,0,6.99036637353453,0,,"intertie intertie   unknown/unassigned unassigned       intertie"
"CVY_0167BFA9_S001","CVY_0167BFA9","San Luis Drain","San Luis Drain","San Luis Drain","","","Drainage","Drain","Drainage","Federal","","US Bureau of Reclamation","CVP","Central Valley Project","West San Joaquin Division","San Luis Unit","San Luis Drain","West San Joaquin Division > San Luis Unit > San Luis Drain","medium","automatic","Automatic medium rank from mapped length or facility type.","unknown",85.1200235170699,"DeltaMAPP","provisional_source_inclusion","medium","UNREVIEWED","","320","DELTA_0320",FALSE,0,0,0.945047729752796,0,,"san luis drain san luis drain   cvp central valley project west san joaquin division san luis unit san luis drain west san joaquin division > san luis unit > san luis drain  us bureau of reclamation drain"
"CVY_0167BFA9_S002","CVY_0167BFA9","San Luis Drain","San Luis Drain","San Luis Drain","","San Luis-area conveyance network","Drainage","Drain","Distribution","Federal","","Federal","CVP","Central Valley Project","West San Joaquin Division","San Luis Unit","San Luis Drain","West San Joaquin Division > San Luis Unit > San Luis Drain","medium","automatic","Automatic medium rank from mapped length or facility type.","unknown",13.2687017790257,"Major Conveyance","separate_facility_drain","high","20","1243","486","MAJOR_1243",FALSE,0,0,15.1802796433695,0,,"san luis drain san luis drain  san luis-area conveyance network cvp central valley project west san joaquin division san luis unit san luis drain west san joaquin division > san luis unit > san luis drain  federal drain"
"CVY_01A703CC_S001","CVY_01A703CC","Proposed Watsonville Canal","Proposed Watsonville Canal","Proposed Watsonville Canal","","","Open conveyance","Canal","Unknown","Federal","","Federal","Unknown/unassigned","Unassigned","","","","","medium","automatic","Automatic medium rank from mapped length or facility type.","unknown",22.3933059207477,"Major Conveyance","provisional_source_inclusion","medium","UNREVIEWED","70","","MAJOR_0070",FALSE,0,0,7.3867443530244,0,,"proposed watsonville canal proposed watsonville canal   unknown/unassigned unassigned      federal canal"
"CVY_01E6DCF2_S001","CVY_01E6DCF2","KLAMATH C CANAL","KLAMATH C CANAL","KLAMATH C CANAL","","","Open conveyance","Canal","Unknown","Federal","","US Bureau of Reclamation","Other Reclamation","Klamath Project","","","","","medium","automatic","Automatic medium rank from mapped length or facility type.","unknown",13.317378846581,"DeltaMAPP","provisional_source_inclusion","medium","UNREVIEWED","","217","DELTA_0217",FALSE,0,0,9.58055525598974,0,,"klamath c canal klamath c canal   other reclamation klamath project      us bureau of reclamation canal"
